Rank	Latitude	Longitude
1	12.96411	77.58782
2	12.96404	77.58789
3	12.96398	77.58795
4	12.96393	77.58802
5	12.96388	77.58807
6	12.96383	77.58814
7	12.96378	77.58818
8	12.96372	77.58823
9	12.96367	77.58829
10	12.96362	77.58835
11	12.96356	77.58841
12	12.96351	77.58847
13	12.96346	77.58853
14	12.96340	77.58859
15	12.96336	77.58865
16	12.96331	77.58870
17	12.96326	77.58876
18	12.96319	77.58883
19	12.96313	77.58888
20	12.96307	77.58894
21	12.96301	77.58901
22	12.96295	77.58907
23	12.96290	77.58914
24	12.96284	77.58919
25	12.96278	77.58926
26	12.96274	77.58932
27	12.96268	77.58938
28	12.96262	77.58943
29	12.96256	77.58950
30	12.96249	77.58956
31	12.96243	77.58961
32	12.96238	77.58968
33	12.96232	77.58973
34	12.96226	77.58980
35	12.96221	77.58987
36	12.96216	77.58993
37	12.96212	77.58999
38	12.96207	77.59006
39	12.96201	77.59013
40	12.96196	77.59019
41	12.96191	77.59025
42	12.96186	77.59031
43	12.96182	77.59037
44	12.96177	77.59044
45	12.96172	77.59050
46	12.96167	77.59057
47	12.96162	77.59064
48	12.96158	77.59071
49	12.96156	77.59076
50	12.96153	77.59083
51	12.96150	77.59089
52	12.96149	77.59095
53	12.96147	77.59102
54	12.96145	77.59108
55	12.96143	77.59114
56	12.96141	77.59119
57	12.96139	77.59127
58	12.96136	77.59133
59	12.96133	77.59140
60	12.96133	77.59145
61	12.96131	77.59151
62	12.96129	77.59156
63	12.96128	77.59162
64	12.96127	77.59168
65	12.96125	77.59174
66	12.96123	77.59179
67	12.96122	77.59184
68	12.96121	77.59191
69	12.96120	77.59197
70	12.96119	77.59203
71	12.96119	77.59209
72	12.96118	77.59215
73	12.96117	77.59223
74	12.96117	77.59229
75	12.96116	77.59236
76	12.96115	77.59242
77	12.96114	77.59251
78	12.96113	77.59257
79	12.96112	77.59263
80	12.96111	77.59270
81	12.96110	77.59276
82	12.96109	77.59281
83	12.96109	77.59288
84	12.96107	77.59295
85	12.96107	77.59301
86	12.96106	77.59309
87	12.96105	77.59316
88	12.96105	77.59323
89	12.96104	77.59330
90	12.96103	77.59337
91	12.96102	77.59343
92	12.96101	77.59348
93	12.96098	77.59354
94	12.96096	77.59362
95	12.96095	77.59369
96	12.96092	77.59377
97	12.96091	77.59384
98	12.96090	77.59390
99	12.96090	77.59396
100	12.96088	77.59403
101	12.96087	77.59409
102	12.96086	77.59416
103	12.96084	77.59424
104	12.96083	77.59429
105	12.96082	77.59435
106	12.96081	77.59443
107	12.96080	77.59448
108	12.96080	77.59454
109	12.96079	77.59462
110	12.96079	77.59468
111	12.96079	77.59475
112	12.96079	77.59483
113	12.96080	77.59489
114	12.96082	77.59494
115	12.96084	77.59502
116	12.96086	77.59509
117	12.96087	77.59515
118	12.96089	77.59521
119	12.96090	77.59529
120	12.96090	77.59535
121	12.96091	77.59540
122	12.96091	77.59548
123	12.96091	77.59557
124	12.96092	77.59564
125	12.96093	77.59569
126	12.96095	77.59575
127	12.96097	77.59580
128	12.96099	77.59587
129	12.96102	77.59595
130	12.96106	77.59601
131	12.96111	77.59607
132	12.96116	77.59613
133	12.96120	77.59619
134	12.96127	77.59627
135	12.96131	77.59632
136	12.96135	77.59637
137	12.96139	77.59643
138	12.96145	77.59650
139	12.96150	77.59656
140	12.96155	77.59663
141	12.96159	77.59670
142	12.96163	77.59676
143	12.96168	77.59681
144	12.96173	77.59687
145	12.96180	77.59694
146	12.96186	77.59701
147	12.96191	77.59705
148	12.96197	77.59711
149	12.96202	77.59716
150	12.96209	77.59721
151	12.96215	77.59727
152	12.96222	77.59733
153	12.96230	77.59740
154	12.96236	77.59745
155	12.96242	77.59748
156	12.96249	77.59752
157	12.96256	77.59756
158	12.96262	77.59759
159	12.96268	77.59762
160	12.96273	77.59763
161	12.96279	77.59765
162	12.96285	77.59767
163	12.96292	77.59770
164	12.96299	77.59773
165	12.96305	77.59776
166	12.96312	77.59778
167	12.96319	77.59783
168	12.96327	77.59785
169	12.96333	77.59788
170	12.96340	77.59791
171	12.96346	77.59794
172	12.96349	77.59786
173	12.96349	77.59781
174	12.96349	77.59774
175	12.96349	77.59768
176	12.96349	77.59762
177	12.96348	77.59757
178	12.96348	77.59749
179	12.96348	77.59743
180	12.96350	77.59738
181	12.96353	77.59731
182	12.96354	77.59726
183	12.96357	77.59720
184	12.96362	77.59713
185	12.96366	77.59707
186	12.96370	77.59702
187	12.96377	77.59695
188	12.96384	77.59689
189	12.96390	77.59685
190	12.96397	77.59678
191	12.96404	77.59672
192	12.96411	77.59667
193	12.96417	77.59664
194	12.96422	77.59660
195	12.96428	77.59657
196	12.96436	77.59653
197	12.96442	77.59650
198	12.96448	77.59646
199	12.96453	77.59643
200	12.96460	77.59640
201	12.96465	77.59638
202	12.96472	77.59635
203	12.96477	77.59633
204	12.96483	77.59631
205	12.96489	77.59629
206	12.96495	77.59627
207	12.96501	77.59623
208	12.96508	77.59622
209	12.96514	77.59620
210	12.96521	77.59618
211	12.96528	77.59616
212	12.96535	77.59614
213	12.96542	77.59612
214	12.96550	77.59610
215	12.96557	77.59608
216	12.96564	77.59606
217	12.96570	77.59605
218	12.96577	77.59603
219	12.96582	77.59601
220	12.96588	77.59601
221	12.96594	77.59600
222	12.96601	77.59598
223	12.96607	77.59597
224	12.96613	77.59596
225	12.96619	77.59595
226	12.96625	77.59595
227	12.96632	77.59594
228	12.96641	77.59593
229	12.96647	77.59593
230	12.96653	77.59592
231	12.96659	77.59591
232	12.96666	77.59588
233	12.96671	77.59587
