Rank	Latitude	Longitude
1	12.97126	77.64224
2	12.97125	77.64219
3	12.97125	77.64212
4	12.97124	77.64206
5	12.97124	77.64200
6	12.97123	77.64195
7	12.97122	77.64189
8	12.97122	77.64181
9	12.97122	77.64175
10	12.97122	77.64170
11	12.97122	77.64164
12	12.97122	77.64158
13	12.97122	77.64152
14	12.97122	77.64147
15	12.97122	77.64140
16	12.97122	77.64135
17	12.97122	77.64129
18	12.97122	77.64124
19	12.97122	77.64117
20	12.97121	77.64110
21	12.97121	77.64104
22	12.97121	77.64099
23	12.97121	77.64093
24	12.97120	77.64087
25	12.97120	77.64081
26	12.97120	77.64076
27	12.97120	77.64069
28	12.97120	77.64062
29	12.97120	77.64056
30	12.97119	77.64049
31	12.97118	77.64043
32	12.97118	77.64035
33	12.97117	77.64028
34	12.97117	77.64021
35	12.97117	77.64014
36	12.97117	77.64005
37	12.97117	77.63998
38	12.97117	77.63990
39	12.97117	77.63983
40	12.97116	77.63976
41	12.97116	77.63968
42	12.97116	77.63962
43	12.97115	77.63955
44	12.97114	77.63948
45	12.97114	77.63942
46	12.97113	77.63936
47	12.97113	77.63929
48	12.97111	77.63924
49	12.97110	77.63915
50	12.97109	77.63909
51	12.97108	77.63904
52	12.97106	77.63898
53	12.97104	77.63892
54	12.97102	77.63886
55	12.97099	77.63877
56	12.97097	77.63871
57	12.97094	77.63864
58	12.97091	77.63857
59	12.97088	77.63849
60	12.97085	77.63842
61	12.97081	77.63835
62	12.97078	77.63828
63	12.97075	77.63821
64	12.97071	77.63813
65	12.97068	77.63806
66	12.97065	77.63798
67	12.97064	77.63790
68	12.97060	77.63784
69	12.97058	77.63778
70	12.97055	77.63773
71	12.97052	77.63767
72	12.97049	77.63760
73	12.97045	77.63753
74	12.97041	77.63745
75	12.97038	77.63739
76	12.97035	77.63733
77	12.97032	77.63727
78	12.97030	77.63721
79	12.97029	77.63716
80	12.97027	77.63710
81	12.97025	77.63704
82	12.97023	77.63697
83	12.97021	77.63691
84	12.97019	77.63685
85	12.97016	77.63679
86	12.97013	77.63672
87	12.97009	77.63665
88	12.97006	77.63659
89	12.97002	77.63652
90	12.96999	77.63645
91	12.96996	77.63638
92	12.96994	77.63632
93	12.96991	77.63626
94	12.96988	77.63619
95	12.96984	77.63612
96	12.96981	77.63605
97	12.96980	77.63599
98	12.96977	77.63593
99	12.96975	77.63587
100	12.96971	77.63580
101	12.96968	77.63574
102	12.96966	77.63569
103	12.96963	77.63561
104	12.96960	77.63555
105	12.96959	77.63549
106	12.96955	77.63542
107	12.96952	77.63536
108	12.96950	77.63530
109	12.96947	77.63523
110	12.96944	77.63516
111	12.96940	77.63511
112	12.96938	77.63505
113	12.96937	77.63500
114	12.96934	77.63494
115	12.96932	77.63488
116	12.96930	77.63482
117	12.96929	77.63476
118	12.96927	77.63469
119	12.96925	77.63463
120	12.96924	77.63456
121	12.96923	77.63448
122	12.96922	77.63442
123	12.96920	77.63436
124	12.96918	77.63429
125	12.96917	77.63422
126	12.96915	77.63417
127	12.96912	77.63409
128	12.96908	77.63402
129	12.96906	77.63394
130	12.96903	77.63387
131	12.96902	77.63380
132	12.96900	77.63374
133	12.96897	77.63366
134	12.96895	77.63360
135	12.96894	77.63354
136	12.96892	77.63347
137	12.96890	77.63341
138	12.96888	77.63334
139	12.96886	77.63329
140	12.96885	77.63323
141	12.96882	77.63316
142	12.96880	77.63308
143	12.96878	77.63301
144	12.96876	77.63294
145	12.96875	77.63289
146	12.96873	77.63284
147	12.96872	77.63278
148	12.96870	77.63273
149	12.96866	77.63266
150	12.96864	77.63261
151	12.96863	77.63255
152	12.96860	77.63247
153	12.96858	77.63241
154	12.96856	77.63235
155	12.96855	77.63228
156	12.96853	77.63223
157	12.96851	77.63216
158	12.96849	77.63210
159	12.96848	77.63205
160	12.96846	77.63199
161	12.96844	77.63194
162	12.96841	77.63187
163	12.96837	77.63179
164	12.96835	77.63174
165	12.96832	77.63166
166	12.96829	77.63161
167	12.96826	77.63154
168	12.96824	77.63148
169	12.96822	77.63143
170	12.96820	77.63137
171	12.96818	77.63132
172	12.96817	77.63125
173	12.96815	77.63119
174	12.96813	77.63113
175	12.96809	77.63106
176	12.96807	77.63101
177	12.96804	77.63095
178	12.96802	77.63087
179	12.96800	77.63081
180	12.96797	77.63073
181	12.96795	77.63066
182	12.96793	77.63060
183	12.96792	77.63055
184	12.96790	77.63049
185	12.96788	77.63043
186	12.96787	77.63037
187	12.96785	77.63030
188	12.96782	77.63023
189	12.96779	77.63015
190	12.96774	77.63013
191	12.96765	77.63013
192	12.96757	77.63013
193	12.96751	77.63011
194	12.96744	77.63011
195	12.96737	77.63011
196	12.96729	77.63009
197	12.96721	77.63008
198	12.96715	77.63007
199	12.96706	77.63006
200	12.96700	77.63005
201	12.96694	77.63003
202	12.96687	77.63003
203	12.96680	77.63003
204	12.96672	77.63002
205	12.96669	77.63008
206	12.96670	77.63015
207	12.96671	77.63022
208	12.96671	77.63028
209	12.96671	77.63035
210	12.96671	77.63043
211	12.96671	77.63050
212	12.96671	77.63055
213	12.96671	77.63062
214	12.96671	77.63069
215	12.96670	77.63076
216	12.96670	77.63085
217	12.96670	77.63092
218	12.96670	77.63099
219	12.96670	77.63105
220	12.96672	77.63111
221	12.96672	77.63117
222	12.96673	77.63123
223	12.96674	77.63129
224	12.96674	77.63138
225	12.96675	77.63143
226	12.96675	77.63150
227	12.96676	77.63155
228	12.96676	77.63162
229	12.96677	77.63168
230	12.96678	77.63173
231	12.96678	77.63181
232	12.96679	77.63189
233	12.96680	77.63194
234	12.96680	77.63203
235	12.96680	77.63209
236	12.96681	77.63215
237	12.96681	77.63222
238	12.96681	77.63228
239	12.96682	77.63235
240	12.96683	77.63241
241	12.96684	77.63249
242	12.96685	77.63255
243	12.96686	77.63261
244	12.96687	77.63266
245	12.96688	77.63273
246	12.96689	77.63279
247	12.96691	77.63285
248	12.96693	77.63290
249	12.96695	77.63297
250	12.96696	77.63303
251	12.96697	77.63310
252	12.96699	77.63317
253	12.96700	77.63324
254	12.96701	77.63332
255	12.96702	77.63338
256	12.96703	77.63345
257	12.96704	77.63352
258	12.96705	77.63357
259	12.96707	77.63364
260	12.96709	77.63371
261	12.96710	77.63377
262	12.96711	77.63383
263	12.96712	77.63389
264	12.96713	77.63394
265	12.96714	77.63400
266	12.96709	77.63406
267	12.96704	77.63410
268	12.96697	77.63413
269	12.96691	77.63415
270	12.96684	77.63418
271	12.96677	77.63420
272	12.96671	77.63422
273	12.96665	77.63423
274	12.96659	77.63426
275	12.96654	77.63428
276	12.96648	77.63429
277	12.96643	77.63431
278	12.96634	77.63430
279	12.96628	77.63429
280	12.96622	77.63429
281	12.96614	77.63432
282	12.96607	77.63436
283	12.96601	77.63438
284	12.96594	77.63441
285	12.96588	77.63441
286	12.96582	77.63442
287	12.96576	77.63443
288	12.96569	77.63444
289	12.96561	77.63445
290	12.96553	77.63448
291	12.96546	77.63449
292	12.96540	77.63451
293	12.96534	77.63453
294	12.96528	77.63455
295	12.96519	77.63457
296	12.96512	77.63459
297	12.96506	77.63461
298	12.96501	77.63463
299	12.96494	77.63464
300	12.96486	77.63466
301	12.96480	77.63469
302	12.96473	77.63470
303	12.96468	77.63472
304	12.96461	77.63475
305	12.96453	77.63477
306	12.96447	77.63479
307	12.96440	77.63481
308	12.96433	77.63482
309	12.96427	77.63484
310	12.96421	77.63482
311	12.96417	77.63474
312	12.96415	77.63468
313	12.96409	77.63463
314	12.96404	77.63463
315	12.96397	77.63464
316	12.96392	77.63464
317	12.96386	77.63465
318	12.96380	77.63465
319	12.96374	77.63466
320	12.96368	77.63468
321	12.96362	77.63469
322	12.96356	77.63470
323	12.96349	77.63470
324	12.96344	77.63472
325	12.96338	77.63473
326	12.96333	77.63474
327	12.96327	77.63479
328	12.96324	77.63486
329	12.96321	77.63494
330	12.96318	77.63499
331	12.96316	77.63506
332	12.96313	77.63513
333	12.96312	77.63518
334	12.96310	77.63525
335	12.96302	77.63529
336	12.96294	77.63528
337	12.96287	77.63528
338	12.96281	77.63528
339	12.96274	77.63526
340	12.96265	77.63524
341	12.96257	77.63522
342	12.96248	77.63521
343	12.96241	77.63519
344	12.96234	77.63519
345	12.96226	77.63519
346	12.96217	77.63521
347	12.96211	77.63521
348	12.96203	77.63522
349	12.96196	77.63522
350	12.96188	77.63524
351	12.96181	77.63526
352	12.96174	77.63529
353	12.96169	77.63531
354	12.96162	77.63533
355	12.96155	77.63536
356	12.96149	77.63537
357	12.96143	77.63538
358	12.96136	77.63538
359	12.96129	77.63540
360	12.96123	77.63541
361	12.96115	77.63541
362	12.96109	77.63541
363	12.96102	77.63541
364	12.96095	77.63541
365	12.96089	77.63541
366	12.96082	77.63543
367	12.96074	77.63544
368	12.96068	77.63545
369	12.96062	77.63546
370	12.96055	77.63547
371	12.96049	77.63548
372	12.96041	77.63550
373	12.96034	77.63551
374	12.96025	77.63552
375	12.96020	77.63552
376	12.96012	77.63555
377	12.96006	77.63556
378	12.96000	77.63557
379	12.95994	77.63560
380	12.95986	77.63562
381	12.95979	77.63564
382	12.95972	77.63566
383	12.95965	77.63568
384	12.95959	77.63572
385	12.95954	77.63574
386	12.95946	77.63576
387	12.95941	77.63579
388	12.95935	77.63581
389	12.95929	77.63583
390	12.95923	77.63585
391	12.95916	77.63587
392	12.95910	77.63588
393	12.95904	77.63589
394	12.95896	77.63592
395	12.95891	77.63594
396	12.95883	77.63597
397	12.95875	77.63601
398	12.95869	77.63602
399	12.95863	77.63604
400	12.95856	77.63607
401	12.95850	77.63609
402	12.95845	77.63611
403	12.95840	77.63613
404	12.95833	77.63616
405	12.95828	77.63619
406	12.95822	77.63621
407	12.95816	77.63624
408	12.95810	77.63626
409	12.95803	77.63629
410	12.95797	77.63631
411	12.95790	77.63634
412	12.95784	77.63637
413	12.95778	77.63639
414	12.95771	77.63641
415	12.95763	77.63645
416	12.95758	77.63646
417	12.95751	77.63648
418	12.95745	77.63650
419	12.95739	77.63653
420	12.95732	77.63655
421	12.95724	77.63657
422	12.95718	77.63660
423	12.95712	77.63661
424	12.95705	77.63664
425	12.95698	77.63667
426	12.95693	77.63669
427	12.95686	77.63672
428	12.95679	77.63674
429	12.95672	77.63675
430	12.95665	77.63679
431	12.95659	77.63680
432	12.95652	77.63682
433	12.95643	77.63683
434	12.95637	77.63684
435	12.95631	77.63685
436	12.95624	77.63686
437	12.95616	77.63688
438	12.95610	77.63691
439	12.95603	77.63695
440	12.95596	77.63699
441	12.95590	77.63700
442	12.95585	77.63703
443	12.95578	77.63706
444	12.95571	77.63708
445	12.95565	77.63710
446	12.95557	77.63714
447	12.95551	77.63716
448	12.95544	77.63718
449	12.95539	77.63720
450	12.95532	77.63722
451	12.95527	77.63723
452	12.95520	77.63726
453	12.95513	77.63727
454	12.95508	77.63729
455	12.95501	77.63731
456	12.95493	77.63734
457	12.95488	77.63737
