Rank	Latitude	Longitude
1	12.94602	77.65054
2	12.94606	77.65048
3	12.94610	77.65042
4	12.94614	77.65037
5	12.94620	77.65034
6	12.94625	77.65029
7	12.94631	77.65025
8	12.94638	77.65021
9	12.94643	77.65019
10	12.94648	77.65017
11	12.94654	77.65016
12	12.94661	77.65015
13	12.94666	77.65014
14	12.94673	77.65014
15	12.94680	77.65014
16	12.94687	77.65014
17	12.94692	77.65014
18	12.94699	77.65015
19	12.94705	77.65016
20	12.94713	77.65017
21	12.94720	77.65018
22	12.94726	77.65018
23	12.94731	77.65020
24	12.94736	77.65022
25	12.94744	77.65024
26	12.94752	77.65026
27	12.94759	77.65030
28	12.94765	77.65036
29	12.94772	77.65041
30	12.94779	77.65046
31	12.94784	77.65050
32	12.94790	77.65053
33	12.94797	77.65057
34	12.94802	77.65061
35	12.94807	77.65064
36	12.94815	77.65068
37	12.94822	77.65072
38	12.94828	77.65077
39	12.94833	77.65081
40	12.94839	77.65085
41	12.94845	77.65090
42	12.94851	77.65096
43	12.94857	77.65102
44	12.94864	77.65107
45	12.94869	77.65112
46	12.94875	77.65118
47	12.94881	77.65125
48	12.94887	77.65132
49	12.94893	77.65137
50	12.94898	77.65143
51	12.94906	77.65149
52	12.94913	77.65156
53	12.94920	77.65162
54	12.94925	77.65168
55	12.94931	77.65175
56	12.94936	77.65180
57	12.94943	77.65187
58	12.94948	77.65192
59	12.94953	77.65197
60	12.94958	77.65202
61	12.94964	77.65208
62	12.94969	77.65215
63	12.94974	77.65221
64	12.94980	77.65228
65	12.94983	77.65234
66	12.94987	77.65239
67	12.94992	77.65247
68	12.94995	77.65253
69	12.94999	77.65260
70	12.95003	77.65267
71	12.95007	77.65274
72	12.95011	77.65282
73	12.95015	77.65289
74	12.95020	77.65296
75	12.95023	77.65303
76	12.95026	77.65310
77	12.95029	77.65316
78	12.95033	77.65323
79	12.95038	77.65328
80	12.95042	77.65334
81	12.95046	77.65340
82	12.95052	77.65345
83	12.95058	77.65349
84	12.95064	77.65353
85	12.95070	77.65355
86	12.95075	77.65357
87	12.95081	77.65359
88	12.95086	77.65360
89	12.95093	77.65361
90	12.95098	77.65362
91	12.95106	77.65363
92	12.95112	77.65364
93	12.95114	77.65372
94	12.95115	77.65377
95	12.95116	77.65383
96	12.95117	77.65389
97	12.95118	77.65397
98	12.95119	77.65404
99	12.95120	77.65409
100	12.95121	77.65415
101	12.95121	77.65421
102	12.95121	77.65428
103	12.95122	77.65433
104	12.95122	77.65441
105	12.95122	77.65448
106	12.95122	77.65455
107	12.95122	77.65462
108	12.95122	77.65468
109	12.95123	77.65474
110	12.95123	77.65480
111	12.95125	77.65486
112	12.95125	77.65494
113	12.95125	77.65500
114	12.95126	77.65506
115	12.95126	77.65511
116	12.95126	77.65518
117	12.95126	77.65524
118	12.95126	77.65532
119	12.95127	77.65538
120	12.95128	77.65544
121	12.95128	77.65550
122	12.95129	77.65555
123	12.95129	77.65561
124	12.95130	77.65568
125	12.95130	77.65574
126	12.95130	77.65581
127	12.95130	77.65586
128	12.95131	77.65592
129	12.95131	77.65597
130	12.95132	77.65603
131	12.95132	77.65609
132	12.95133	77.65616
133	12.95134	77.65621
134	12.95134	77.65627
135	12.95135	77.65634
136	12.95135	77.65642
137	12.95136	77.65649
138	12.95136	77.65655
139	12.95136	77.65661
140	12.95136	77.65668
141	12.95136	77.65675
142	12.95136	77.65682
143	12.95135	77.65688
144	12.95135	77.65694
145	12.95135	77.65701
146	12.95136	77.65707
147	12.95137	77.65714
148	12.95137	77.65720
149	12.95137	77.65727
150	12.95138	77.65734
151	12.95138	77.65743
152	12.95139	77.65750
153	12.95141	77.65757
154	12.95142	77.65763
155	12.95144	77.65768
156	12.95145	77.65774
157	12.95146	77.65781
158	12.95146	77.65787
159	12.95147	77.65794
160	12.95147	77.65802
161	12.95147	77.65809
162	12.95147	77.65815
163	12.95147	77.65820
164	12.95147	77.65827
165	12.95147	77.65833
166	12.95147	77.65840
167	12.95147	77.65846
168	12.95148	77.65852
169	12.95148	77.65859
170	12.95149	77.65865
171	12.95149	77.65870
172	12.95150	77.65878
173	12.95151	77.65883
174	12.95151	77.65891
175	12.95152	77.65896
176	12.95153	77.65904
177	12.95154	77.65909
178	12.95154	77.65916
179	12.95154	77.65922
180	12.95154	77.65928
181	12.95154	77.65934
182	12.95154	77.65940
183	12.95155	77.65947
184	12.95155	77.65955
185	12.95155	77.65961
186	12.95155	77.65967
187	12.95155	77.65974
188	12.95155	77.65982
189	12.95154	77.65988
190	12.95153	77.65993
191	12.95153	77.66000
192	12.95152	77.66006
193	12.95151	77.66011
194	12.95151	77.66017
195	12.95151	77.66023
196	12.95151	77.66030
197	12.95151	77.66036
198	12.95151	77.66042
199	12.95151	77.66049
200	12.95151	77.66055
201	12.95152	77.66062
202	12.95152	77.66069
203	12.95153	77.66075
204	12.95153	77.66081
205	12.95153	77.66086
206	12.95153	77.66094
207	12.95153	77.66100
208	12.95153	77.66105
209	12.95153	77.66113
210	12.95153	77.66119
211	12.95153	77.66124
212	12.95153	77.66131
213	12.95153	77.66138
214	12.95153	77.66145
215	12.95152	77.66150
216	12.95152	77.66158
217	12.95151	77.66164
218	12.95151	77.66170
219	12.95150	77.66177
220	12.95149	77.66184
221	12.95148	77.66191
222	12.95148	77.66197
223	12.95147	77.66203
224	12.95147	77.66209
225	12.95155	77.66212
226	12.95162	77.66213
227	12.95167	77.66214
228	12.95175	77.66214
229	12.95180	77.66214
230	12.95186	77.66214
231	12.95192	77.66215
232	12.95198	77.66215
233	12.95205	77.66215
234	12.95213	77.66215
235	12.95218	77.66215
236	12.95227	77.66216
237	12.95233	77.66216
238	12.95239	77.66216
239	12.95246	77.66216
240	12.95254	77.66216
241	12.95262	77.66217
242	12.95268	77.66218
243	12.95275	77.66218
244	12.95281	77.66218
245	12.95286	77.66219
246	12.95293	77.66219
247	12.95296	77.66226
248	12.95297	77.66234
249	12.95297	77.66242
250	12.95297	77.66249
251	12.95295	77.66256
252	12.95295	77.66262
253	12.95295	77.66268
254	12.95294	77.66274
255	12.95294	77.66280
256	12.95293	77.66286
257	12.95292	77.66292
258	12.95291	77.66297
259	12.95291	77.66304
260	12.95291	77.66312
261	12.95289	77.66319
262	12.95289	77.66326
263	12.95288	77.66336
264	12.95287	77.66341
265	12.95292	77.66347
266	12.95298	77.66348
267	12.95304	77.66349
268	12.95310	77.66349
269	12.95317	77.66351
270	12.95325	77.66352
271	12.95331	77.66353
272	12.95337	77.66354
273	12.95343	77.66354
274	12.95350	77.66355
275	12.95355	77.66353
276	12.95358	77.66346
277	12.95359	77.66341
278	12.95360	77.66334
279	12.95360	77.66328
280	12.95360	77.66321
281	12.95359	77.66314
282	12.95359	77.66307
283	12.95360	77.66301
284	12.95366	77.66296
285	12.95373	77.66294
286	12.95378	77.66293
287	12.95385	77.66292
288	12.95391	77.66291
289	12.95397	77.66290
290	12.95403	77.66288
291	12.95405	77.66281
292	12.95405	77.66272
293	12.95405	77.66265
294	12.95405	77.66258
295	12.95405	77.66251
296	12.95405	77.66243
297	12.95405	77.66234
298	12.95405	77.66228
299	12.95406	77.66222
300	12.95407	77.66215
301	12.95407	77.66208
302	12.95410	77.66202
303	12.95416	77.66201
304	12.95421	77.66203
305	12.95427	77.66208
306	12.95430	77.66215
307	12.95431	77.66220
308	12.95431	77.66227
309	12.95430	77.66233
310	12.95430	77.66238
311	12.95429	77.66245
312	12.95429	77.66252
313	12.95429	77.66258
314	12.95429	77.66266
315	12.95429	77.66273
316	12.95429	77.66280
317	12.95429	77.66285
318	12.95430	77.66291
319	12.95432	77.66296
320	12.95433	77.66302
321	12.95435	77.66308
322	12.95436	77.66314
323	12.95436	77.66319
324	12.95437	77.66325
325	12.95437	77.66333
326	12.95437	77.66338
327	12.95437	77.66345
328	12.95437	77.66351
329	12.95437	77.66356
330	12.95436	77.66363
331	12.95436	77.66369
332	12.95435	77.66375
333	12.95434	77.66382
334	12.95434	77.66390
335	12.95433	77.66397
336	12.95433	77.66403
337	12.95433	77.66408
338	12.95433	77.66414
339	12.95434	77.66420
340	12.95435	77.66428
341	12.95435	77.66434
342	12.95436	77.66440
343	12.95436	77.66447
344	12.95441	77.66446
345	12.95448	77.66441
346	12.95453	77.66436
347	12.95459	77.66433
348	12.95465	77.66430
349	12.95471	77.66428
350	12.95478	77.66425
351	12.95484	77.66424
352	12.95490	77.66422
353	12.95496	77.66420
354	12.95503	77.66420
355	12.95509	77.66419
356	12.95516	77.66419
357	12.95521	77.66418
358	12.95527	77.66418
359	12.95534	77.66418
360	12.95540	77.66418
361	12.95546	77.66418
362	12.95551	77.66419
363	12.95558	77.66419
364	12.95566	77.66422
365	12.95572	77.66424
366	12.95577	77.66425
367	12.95583	77.66425
368	12.95589	77.66427
369	12.95595	77.66429
370	12.95601	77.66431
371	12.95607	77.66433
372	12.95613	77.66434
373	12.95621	77.66436
374	12.95626	77.66438
375	12.95632	77.66440
376	12.95640	77.66441
377	12.95645	77.66443
378	12.95651	77.66445
379	12.95657	77.66447
380	12.95663	77.66448
381	12.95670	77.66451
382	12.95676	77.66453
383	12.95681	77.66454
384	12.95687	77.66456
385	12.95692	77.66457
