Rank	Latitude	Longitude
1	12.95261	77.61352
2	12.95267	77.61353
3	12.95273	77.61354
4	12.95274	77.61361
5	12.95271	77.61368
6	12.95270	77.61374
7	12.95268	77.61381
8	12.95266	77.61387
9	12.95265	77.61393
10	12.95264	77.61400
11	12.95263	77.61406
12	12.95262	77.61413
13	12.95261	77.61419
14	12.95260	77.61426
15	12.95259	77.61432
16	12.95259	77.61439
17	12.95258	77.61445
18	12.95250	77.61448
19	12.95243	77.61447
20	12.95235	77.61445
21	12.95230	77.61450
22	12.95228	77.61456
23	12.95225	77.61463
24	12.95223	77.61469
25	12.95221	77.61475
26	12.95220	77.61480
27	12.95226	77.61485
28	12.95233	77.61486
29	12.95238	77.61487
30	12.95243	77.61490
31	12.95249	77.61491
32	12.95254	77.61492
33	12.95260	77.61493
34	12.95265	77.61494
35	12.95271	77.61495
36	12.95276	77.61497
37	12.95284	77.61499
38	12.95292	77.61501
39	12.95297	77.61502
40	12.95304	77.61505
41	12.95310	77.61506
42	12.95315	77.61507
43	12.95321	77.61509
44	12.95326	77.61510
45	12.95331	77.61512
46	12.95337	77.61512
47	12.95342	77.61514
48	12.95347	77.61515
49	12.95353	77.61516
50	12.95358	77.61517
51	12.95365	77.61520
52	12.95367	77.61527
53	12.95363	77.61533
54	12.95360	77.61538
55	12.95357	77.61544
56	12.95355	77.61550
57	12.95352	77.61556
58	12.95349	77.61561
59	12.95346	77.61568
60	12.95343	77.61573
61	12.95340	77.61580
62	12.95336	77.61587
63	12.95334	77.61593
64	12.95332	77.61600
65	12.95330	77.61606
66	12.95329	77.61612
67	12.95326	77.61617
68	12.95325	77.61624
69	12.95323	77.61629
70	12.95321	77.61635
71	12.95319	77.61641
72	12.95316	77.61648
73	12.95314	77.61654
74	12.95312	77.61661
75	12.95309	77.61669
76	12.95307	77.61675
77	12.95304	77.61682
78	12.95303	77.61687
79	12.95301	77.61693
80	12.95298	77.61700
81	12.95295	77.61706
82	12.95291	77.61714
83	12.95290	77.61719
84	12.95288	77.61726
85	12.95285	77.61734
86	12.95283	77.61740
87	12.95281	77.61745
88	12.95280	77.61751
89	12.95278	77.61758
90	12.95275	77.61764
91	12.95273	77.61770
92	12.95270	77.61777
93	12.95268	77.61782
94	12.95266	77.61788
95	12.95265	77.61793
96	12.95263	77.61800
97	12.95260	77.61806
98	12.95254	77.61813
99	12.95250	77.61818
100	12.95246	77.61824
101	12.95243	77.61829
102	12.95240	77.61835
103	12.95237	77.61841
104	12.95233	77.61847
105	12.95230	77.61853
106	12.95228	77.61860
107	12.95225	77.61866
108	12.95223	77.61873
109	12.95219	77.61880
110	12.95213	77.61879
111	12.95208	77.61878
112	12.95201	77.61878
113	12.95194	77.61881
114	12.95188	77.61883
115	12.95182	77.61884
116	12.95174	77.61886
117	12.95167	77.61888
118	12.95160	77.61891
119	12.95154	77.61894
120	12.95148	77.61897
121	12.95141	77.61899
122	12.95136	77.61902
123	12.95129	77.61908
124	12.95122	77.61914
125	12.95115	77.61921
126	12.95112	77.61927
127	12.95109	77.61933
128	12.95105	77.61940
129	12.95100	77.61947
130	12.95094	77.61955
131	12.95088	77.61962
132	12.95083	77.61969
133	12.95080	77.61975
134	12.95078	77.61981
135	12.95077	77.61988
136	12.95076	77.61995
137	12.95068	77.61997
138	12.95062	77.61997
139	12.95055	77.61999
140	12.95049	77.62001
141	12.95041	77.62003
142	12.95035	77.62005
143	12.95030	77.62006
144	12.95030	77.62013
145	12.95032	77.62020
146	12.95033	77.62025
147	12.95034	77.62030
148	12.95034	77.62037
149	12.95035	77.62043
150	12.95038	77.62048
151	12.95039	77.62054
152	12.95039	77.62062
153	12.95039	77.62068
154	12.95039	77.62075
155	12.95039	77.62081
156	12.95039	77.62088
157	12.95038	77.62094
158	12.95037	77.62101
159	12.95035	77.62106
160	12.95029	77.62103
161	12.95022	77.62101
162	12.95016	77.62097
163	12.95010	77.62094
164	12.95004	77.62090
165	12.94999	77.62088
166	12.94993	77.62084
167	12.94988	77.62082
168	12.94982	77.62079
169	12.94976	77.62075
170	12.94970	77.62073
171	12.94964	77.62069
172	12.94959	77.62065
173	12.94953	77.62061
174	12.94947	77.62058
175	12.94941	77.62055
176	12.94935	77.62051
177	12.94929	77.62048
178	12.94922	77.62045
179	12.94915	77.62042
180	12.94910	77.62039
181	12.94904	77.62035
182	12.94898	77.62032
183	12.94891	77.62028
184	12.94885	77.62024
185	12.94878	77.62019
186	12.94872	77.62016
187	12.94867	77.62013
188	12.94860	77.62010
189	12.94852	77.62005
190	12.94847	77.62002
191	12.94841	77.62001
192	12.94837	77.62006
193	12.94831	77.62006
194	12.94826	77.62003
195	12.94821	77.62000
196	12.94814	77.61997
197	12.94811	77.62002
198	12.94808	77.62008
199	12.94802	77.62014
200	12.94796	77.62013
201	12.94790	77.62017
202	12.94786	77.62023
203	12.94780	77.62030
204	12.94776	77.62036
205	12.94771	77.62044
206	12.94767	77.62049
207	12.94760	77.62057
208	12.94756	77.62065
209	12.94752	77.62072
210	12.94748	77.62077
211	12.94744	77.62082
212	12.94741	77.62088
213	12.94737	77.62094
214	12.94733	77.62099
215	12.94729	77.62105
216	12.94726	77.62110
217	12.94728	77.62117
218	12.94735	77.62120
219	12.94741	77.62123
220	12.94747	77.62126
221	12.94754	77.62129
222	12.94760	77.62131
223	12.94766	77.62134
224	12.94773	77.62136
225	12.94780	77.62141
226	12.94792	77.62146
227	12.94798	77.62149
228	12.94804	77.62153
229	12.94811	77.62155
230	12.94821	77.62161
231	12.94827	77.62164
232	12.94834	77.62167
233	12.94844	77.62171
234	12.94849	77.62171
235	12.94858	77.62174
236	12.94865	77.62177
237	12.94871	77.62180
238	12.94877	77.62184
239	12.94883	77.62187
240	12.94889	77.62190
241	12.94896	77.62193
242	12.94902	77.62195
243	12.94908	77.62200
244	12.94915	77.62203
245	12.94921	77.62206
246	12.94927	77.62211
247	12.94933	77.62214
248	12.94939	77.62216
249	12.94944	77.62219
250	12.94952	77.62222
251	12.94957	77.62226
252	12.94962	77.62230
253	12.94969	77.62233
254	12.94975	77.62236
255	12.94981	77.62238
256	12.94986	77.62242
257	12.94993	77.62245
258	12.94998	77.62248
259	12.95003	77.62251
260	12.95009	77.62255
261	12.95015	77.62258
262	12.95021	77.62261
263	12.95019	77.62266
264	12.95016	77.62276
265	12.95014	77.62282
266	12.95012	77.62289
267	12.95006	77.62297
268	12.95004	77.62303
269	12.95000	77.62311
270	12.94997	77.62317
271	12.94993	77.62325
272	12.94990	77.62332
273	12.94985	77.62340
274	12.94981	77.62349
275	12.94975	77.62358
276	12.94972	77.62367
277	12.94968	77.62378
278	12.94967	77.62383
279	12.94966	77.62389
280	12.94965	77.62396
281	12.94964	77.62402
282	12.94960	77.62410
283	12.94958	77.62415
284	12.94954	77.62422
285	12.94950	77.62427
286	12.94948	77.62433
287	12.94944	77.62441
288	12.94940	77.62451
289	12.94938	77.62457
290	12.94935	77.62466
291	12.94933	77.62471
292	12.94932	77.62477
293	12.94929	77.62482
294	12.94928	77.62487
295	12.94927	77.62493
296	12.94927	77.62499
297	12.94926	77.62506
298	12.94925	77.62513
299	12.94924	77.62518
300	12.94924	77.62525
301	12.94924	77.62531
302	12.94924	77.62538
303	12.94925	77.62544
304	12.94924	77.62550
305	12.94921	77.62560
306	12.94920	77.62566
307	12.94918	77.62572
308	12.94917	77.62577
309	12.94916	77.62583
310	12.94915	77.62589
311	12.94914	77.62596
312	12.94913	77.62601
313	12.94912	77.62606
314	12.94911	77.62613
315	12.94911	77.62621
316	12.94909	77.62627
317	12.94908	77.62638
318	12.94906	77.62647
319	12.94905	77.62654
320	12.94904	77.62660
321	12.94902	77.62667
322	12.94900	77.62672
323	12.94896	77.62680
324	12.94891	77.62688
325	12.94888	77.62693
326	12.94883	77.62702
327	12.94878	77.62711
328	12.94872	77.62718
329	12.94865	77.62727
330	12.94859	77.62734
331	12.94853	77.62742
332	12.94846	77.62749
333	12.94840	77.62758
334	12.94833	77.62765
335	12.94827	77.62773
336	12.94821	77.62780
337	12.94815	77.62788
338	12.94808	77.62795
339	12.94804	77.62801
340	12.94798	77.62809
341	12.94791	77.62817
342	12.94784	77.62823
343	12.94779	77.62831
344	12.94773	77.62838
345	12.94765	77.62845
346	12.94758	77.62851
347	12.94751	77.62858
348	12.94743	77.62864
349	12.94736	77.62870
350	12.94726	77.62876
351	12.94720	77.62882
352	12.94713	77.62889
353	12.94718	77.62887
354	12.94726	77.62883
355	12.94733	77.62879
356	12.94740	77.62876
357	12.94747	77.62873
358	12.94752	77.62871
359	12.94759	77.62867
360	12.94765	77.62864
361	12.94771	77.62862
362	12.94777	77.62858
363	12.94784	77.62854
364	12.94790	77.62851
365	12.94795	77.62849
366	12.94802	77.62845
367	12.94811	77.62840
368	12.94818	77.62836
369	12.94825	77.62832
370	12.94833	77.62828
371	12.94840	77.62823
372	12.94845	77.62821
373	12.94851	77.62817
374	12.94856	77.62814
375	12.94864	77.62810
376	12.94870	77.62808
377	12.94877	77.62803
378	12.94884	77.62800
379	12.94890	77.62797
380	12.94896	77.62793
381	12.94904	77.62791
382	12.94909	77.62787
383	12.94914	77.62785
384	12.94922	77.62781
385	12.94927	77.62779
386	12.94933	77.62777
387	12.94940	77.62775
388	12.94945	77.62772
389	12.94953	77.62768
390	12.94960	77.62764
391	12.94965	77.62761
392	12.94971	77.62759
393	12.94978	77.62755
394	12.94984	77.62752
395	12.94992	77.62747
396	12.94997	77.62745
397	12.95004	77.62743
398	12.95009	77.62740
399	12.95015	77.62738
400	12.95021	77.62733
401	12.95026	77.62729
402	12.95033	77.62725
403	12.95041	77.62723
404	12.95046	77.62722
405	12.95052	77.62720
406	12.95059	77.62717
