Rank	Latitude	Longitude
1	12.94812	77.60853
2	12.94811	77.60859
3	12.94810	77.60866
4	12.94809	77.60875
5	12.94807	77.60881
6	12.94807	77.60887
7	12.94806	77.60895
8	12.94805	77.60903
9	12.94804	77.60908
10	12.94802	77.60914
11	12.94800	77.60921
12	12.94799	77.60927
13	12.94797	77.60933
14	12.94797	77.60939
15	12.94796	77.60945
16	12.94796	77.60951
17	12.94796	77.60957
18	12.94796	77.60963
19	12.94795	77.60971
20	12.94794	77.60977
21	12.94793	77.60984
22	12.94792	77.60990
23	12.94791	77.60996
24	12.94790	77.61004
25	12.94790	77.61010
26	12.94789	77.61016
27	12.94789	77.61021
28	12.94787	77.61028
29	12.94786	77.61034
30	12.94786	77.61041
31	12.94786	77.61048
32	12.94784	77.61053
33	12.94782	77.61059
34	12.94781	77.61065
35	12.94780	77.61071
36	12.94779	77.61077
37	12.94777	77.61082
38	12.94777	77.61089
39	12.94776	77.61095
40	12.94775	77.61102
41	12.94774	77.61109
42	12.94773	77.61117
43	12.94773	77.61122
44	12.94772	77.61130
45	12.94770	77.61137
46	12.94770	77.61143
47	12.94769	77.61149
48	12.94768	77.61156
49	12.94767	77.61163
50	12.94766	77.61169
51	12.94765	77.61177
52	12.94764	77.61185
53	12.94764	77.61190
54	12.94763	77.61196
55	12.94762	77.61202
56	12.94762	77.61210
57	12.94762	77.61216
58	12.94762	77.61223
59	12.94762	77.61229
60	12.94764	77.61236
61	12.94765	77.61241
62	12.94768	77.61248
63	12.94771	77.61255
64	12.94775	77.61262
65	12.94778	77.61268
66	12.94780	77.61274
67	12.94782	77.61280
68	12.94784	77.61287
69	12.94784	77.61294
70	12.94784	77.61302
71	12.94784	77.61307
72	12.94783	77.61314
73	12.94783	77.61320
74	12.94782	77.61328
75	12.94782	77.61334
76	12.94782	77.61341
77	12.94782	77.61346
78	12.94782	77.61354
79	12.94782	77.61362
80	12.94782	77.61369
81	12.94782	77.61376
82	12.94782	77.61383
83	12.94782	77.61391
84	12.94782	77.61399
85	12.94782	77.61407
86	12.94782	77.61413
87	12.94782	77.61421
88	12.94782	77.61428
89	12.94782	77.61434
90	12.94782	77.61440
91	12.94782	77.61446
92	12.94781	77.61454
93	12.94781	77.61461
94	12.94781	77.61467
95	12.94781	77.61473
96	12.94782	77.61479
97	12.94783	77.61485
98	12.94784	77.61493
99	12.94784	77.61499
100	12.94784	77.61508
101	12.94784	77.61515
102	12.94785	77.61521
103	12.94786	77.61528
104	12.94787	77.61533
105	12.94788	77.61539
106	12.94789	77.61547
107	12.94790	77.61553
108	12.94790	77.61560
109	12.94790	77.61568
110	12.94790	77.61575
111	12.94790	77.61583
112	12.94789	77.61589
113	12.94789	77.61596
114	12.94787	77.61603
115	12.94787	77.61609
116	12.94787	77.61615
117	12.94787	77.61622
118	12.94787	77.61629
119	12.94787	77.61636
120	12.94787	77.61642
121	12.94787	77.61649
122	12.94787	77.61656
123	12.94786	77.61662
124	12.94786	77.61668
125	12.94785	77.61674
126	12.94785	77.61682
127	12.94785	77.61688
128	12.94785	77.61697
129	12.94785	77.61704
130	12.94786	77.61710
131	12.94786	77.61716
132	12.94786	77.61723
133	12.94786	77.61731
134	12.94786	77.61738
135	12.94786	77.61745
136	12.94786	77.61752
137	12.94786	77.61759
138	12.94787	77.61765
139	12.94788	77.61772
140	12.94790	77.61777
141	12.94791	77.61783
