Rank	Latitude	Longitude
1	12.96079	77.59570
2	12.96085	77.59576
3	12.96089	77.59581
4	12.96094	77.59588
5	12.96100	77.59594
6	12.96099	77.59600
7	12.96098	77.59606
8	12.96095	77.59613
9	12.96095	77.59618
10	12.96095	77.59624
11	12.96094	77.59631
12	12.96093	77.59637
13	12.96092	77.59643
14	12.96091	77.59650
15	12.96090	77.59656
16	12.96089	77.59661
17	12.96088	77.59668
18	12.96087	77.59675
19	12.96086	77.59681
20	12.96085	77.59688
21	12.96085	77.59694
22	12.96083	77.59702
23	12.96082	77.59707
24	12.96081	77.59713
25	12.96080	77.59719
26	12.96079	77.59726
27	12.96078	77.59732
28	12.96077	77.59739
29	12.96075	77.59746
30	12.96074	77.59752
31	12.96073	77.59759
32	12.96072	77.59766
33	12.96071	77.59773
34	12.96070	77.59780
35	12.96069	77.59786
36	12.96068	77.59793
37	12.96067	77.59800
38	12.96065	77.59807
39	12.96065	77.59813
40	12.96064	77.59820
41	12.96062	77.59825
42	12.96062	77.59832
43	12.96061	77.59839
44	12.96060	77.59844
45	12.96059	77.59850
46	12.96058	77.59856
47	12.96057	77.59862
48	12.96057	77.59868
49	12.96055	77.59875
50	12.96053	77.59880
51	12.96051	77.59887
52	12.96050	77.59893
53	12.96048	77.59900
54	12.96047	77.59906
55	12.96046	77.59914
56	12.96045	77.59921
57	12.96043	77.59931
58	12.96041	77.59940
59	12.96039	77.59947
60	12.96037	77.59953
61	12.96035	77.59960
62	12.96033	77.59966
63	12.96031	77.59973
64	12.96029	77.59979
65	12.96027	77.59986
66	12.96025	77.59993
67	12.96023	77.59998
68	12.96021	77.60006
69	12.96017	77.60013
70	12.96015	77.60019
71	12.96012	77.60025
72	12.96009	77.60031
73	12.96007	77.60038
74	12.96004	77.60043
75	12.96001	77.60049
76	12.95998	77.60056
77	12.95994	77.60064
78	12.95991	77.60073
79	12.95989	77.60079
80	12.95987	77.60084
81	12.95984	77.60091
82	12.95980	77.60100
83	12.95977	77.60106
84	12.95974	77.60113
85	12.95971	77.60119
86	12.95969	77.60124
87	12.95967	77.60129
88	12.95964	77.60136
89	12.95961	77.60141
90	12.95958	77.60147
91	12.95955	77.60153
92	12.95951	77.60159
93	12.95948	77.60165
94	12.95944	77.60171
95	12.95939	77.60178
96	12.95936	77.60184
97	12.95930	77.60193
98	12.95925	77.60200
99	12.95918	77.60206
100	12.95913	77.60211
101	12.95910	77.60217
102	12.95907	77.60223
103	12.95903	77.60229
104	12.95899	77.60234
105	12.95895	77.60240
106	12.95891	77.60246
107	12.95887	77.60252
108	12.95884	77.60257
109	12.95880	77.60262
110	12.95876	77.60268
111	12.95870	77.60276
112	12.95866	77.60282
113	12.95861	77.60290
114	12.95856	77.60298
115	12.95853	77.60304
116	12.95848	77.60312
117	12.95846	77.60319
118	12.95844	77.60325
119	12.95842	77.60330
120	12.95840	77.60336
121	12.95838	77.60342
122	12.95836	77.60349
123	12.95837	77.60356
124	12.95845	77.60358
125	12.95850	77.60361
126	12.95855	77.60363
127	12.95861	77.60364
128	12.95866	77.60366
129	12.95874	77.60369
130	12.95879	77.60371
131	12.95885	77.60372
132	12.95891	77.60376
133	12.95897	77.60378
134	12.95905	77.60380
135	12.95911	77.60383
136	12.95916	77.60385
137	12.95921	77.60386
138	12.95927	77.60387
139	12.95934	77.60390
140	12.95939	77.60391
141	12.95944	77.60392
142	12.95952	77.60395
143	12.95958	77.60396
144	12.95964	77.60398
145	12.95969	77.60399
146	12.95977	77.60402
147	12.95982	77.60395
148	12.95986	77.60389
149	12.95988	77.60384
150	12.95990	77.60378
151	12.95996	77.60371
152	12.96004	77.60373
153	12.96009	77.60374
154	12.96015	77.60376
155	12.96021	77.60378
156	12.96027	77.60380
157	12.96035	77.60383
158	12.96040	77.60385
159	12.96047	77.60387
160	12.96053	77.60388
161	12.96060	77.60391
162	12.96066	77.60392
163	12.96071	77.60394
164	12.96076	77.60395
165	12.96084	77.60398
166	12.96089	77.60399
167	12.96096	77.60401
168	12.96101	77.60402
169	12.96107	77.60403
170	12.96112	77.60405
171	12.96120	77.60407
172	12.96125	77.60408
173	12.96130	77.60410
174	12.96138	77.60413
175	12.96143	77.60422
176	12.96144	77.60430
177	12.96151	77.60433
178	12.96158	77.60436
179	12.96165	77.60438
180	12.96172	77.60440
181	12.96178	77.60442
182	12.96183	77.60443
183	12.96189	77.60445
184	12.96195	77.60446
185	12.96200	77.60448
186	12.96206	77.60450
187	12.96211	77.60452
188	12.96216	77.60454
189	12.96221	77.60455
190	12.96229	77.60458
191	12.96236	77.60461
192	12.96243	77.60465
193	12.96248	77.60467
194	12.96254	77.60469
195	12.96261	77.60472
196	12.96258	77.60478
197	12.96252	77.60485
198	12.96249	77.60493
199	12.96247	77.60498
200	12.96243	77.60504
201	12.96241	77.60511
202	12.96237	77.60519
203	12.96235	77.60525
204	12.96231	77.60531
205	12.96228	77.60537
206	12.96227	77.60542
207	12.96225	77.60548
208	12.96223	77.60553
209	12.96230	77.60556
210	12.96236	77.60557
211	12.96242	77.60558
212	12.96247	77.60559
213	12.96254	77.60562
214	12.96262	77.60564
215	12.96268	77.60565
216	12.96273	77.60566
217	12.96279	77.60567
218	12.96285	77.60568
219	12.96291	77.60569
220	12.96296	77.60570
221	12.96302	77.60571
222	12.96308	77.60572
223	12.96314	77.60574
224	12.96321	77.60574
225	12.96326	77.60575
226	12.96333	77.60576
227	12.96340	77.60576
228	12.96346	77.60577
229	12.96352	77.60577
230	12.96358	77.60577
231	12.96365	77.60577
232	12.96372	77.60578
233	12.96379	77.60579
234	12.96385	77.60579
235	12.96393	77.60579
236	12.96400	77.60579
237	12.96406	77.60579
238	12.96413	77.60579
239	12.96419	77.60579
240	12.96427	77.60579
241	12.96433	77.60579
242	12.96438	77.60580
243	12.96445	77.60580
244	12.96451	77.60581
245	12.96452	77.60588
246	12.96452	77.60594
247	12.96453	77.60600
248	12.96454	77.60606
249	12.96455	77.60611
250	12.96457	77.60618
251	12.96458	77.60625
252	12.96460	77.60631
253	12.96462	77.60639
254	12.96463	77.60645
255	12.96464	77.60652
256	12.96464	77.60658
257	12.96465	77.60663
258	12.96466	77.60669
259	12.96467	77.60676
260	12.96468	77.60682
261	12.96468	77.60690
262	12.96469	77.60697
263	12.96469	77.60702
264	12.96470	77.60710
265	12.96471	77.60717
266	12.96473	77.60725
267	12.96475	77.60731
268	12.96477	77.60738
269	12.96477	77.60744
270	12.96479	77.60751
271	12.96479	77.60757
272	12.96480	77.60763
273	12.96480	77.60771
274	12.96481	77.60778
275	12.96481	77.60784
276	12.96481	77.60791
277	12.96482	77.60797
278	12.96483	77.60805
279	12.96484	77.60811
280	12.96485	77.60817
281	12.96486	77.60822
282	12.96489	77.60830
283	12.96492	77.60837
284	12.96493	77.60843
285	12.96496	77.60850
286	12.96498	77.60856
287	12.96499	77.60862
288	12.96501	77.60868
289	12.96501	77.60874
290	12.96502	77.60879
291	12.96503	77.60886
292	12.96504	77.60891
293	12.96506	77.60897
294	12.96507	77.60904
295	12.96508	77.60910
296	12.96509	77.60916
297	12.96510	77.60921
298	12.96513	77.60929
299	12.96515	77.60937
300	12.96517	77.60944
301	12.96518	77.60949
302	12.96520	77.60956
303	12.96521	77.60962
304	12.96521	77.60967
305	12.96522	77.60972
306	12.96523	77.60978
307	12.96524	77.60984
308	12.96518	77.60991
309	12.96512	77.60994
310	12.96506	77.60998
311	12.96499	77.61003
312	12.96494	77.61007
313	12.96488	77.61011
314	12.96481	77.61017
315	12.96473	77.61023
316	12.96467	77.61027
317	12.96459	77.61033
318	12.96454	77.61036
319	12.96448	77.61040
320	12.96442	77.61045
321	12.96436	77.61049
322	12.96429	77.61055
323	12.96424	77.61059
324	12.96417	77.61063
325	12.96412	77.61067
326	12.96404	77.61074
327	12.96399	77.61078
328	12.96394	77.61082
329	12.96388	77.61086
330	12.96383	77.61090
331	12.96377	77.61093
332	12.96369	77.61099
333	12.96361	77.61106
334	12.96354	77.61113
335	12.96348	77.61117
336	12.96341	77.61123
337	12.96335	77.61126
338	12.96327	77.61131
339	12.96322	77.61134
340	12.96317	77.61138
341	12.96310	77.61144
342	12.96304	77.61148
343	12.96298	77.61152
344	12.96292	77.61155
345	12.96285	77.61160
346	12.96280	77.61164
347	12.96274	77.61168
348	12.96268	77.61172
349	12.96262	77.61175
350	12.96257	77.61179
351	12.96250	77.61184
352	12.96245	77.61189
353	12.96238	77.61195
354	12.96233	77.61198
355	12.96225	77.61205
356	12.96220	77.61209
357	12.96212	77.61215
358	12.96205	77.61220
359	12.96200	77.61225
360	12.96194	77.61230
361	12.96188	77.61235
362	12.96183	77.61239
363	12.96177	77.61243
364	12.96169	77.61249
365	12.96163	77.61254
366	12.96157	77.61258
367	12.96152	77.61263
368	12.96145	77.61270
369	12.96137	77.61276
370	12.96132	77.61280
371	12.96126	77.61287
372	12.96121	77.61291
373	12.96113	77.61298
374	12.96106	77.61304
375	12.96101	77.61308
376	12.96095	77.61314
377	12.96090	77.61318
378	12.96085	77.61322
379	12.96077	77.61328
380	12.96072	77.61332
381	12.96064	77.61339
382	12.96059	77.61343
383	12.96051	77.61349
384	12.96044	77.61355
385	12.96039	77.61359
386	12.96034	77.61362
387	12.96028	77.61363
388	12.96020	77.61363
389	12.96012	77.61362
390	12.96005	77.61362
391	12.95999	77.61361
392	12.95992	77.61361
393	12.95986	77.61360
394	12.95980	77.61360
395	12.95975	77.61358
396	12.95967	77.61356
397	12.95959	77.61354
398	12.95954	77.61352
399	12.95946	77.61350
400	12.95940	77.61349
401	12.95932	77.61348
402	12.95926	77.61348
403	12.95919	77.61348
404	12.95912	77.61348
405	12.95906	77.61346
406	12.95899	77.61345
407	12.95892	77.61344
408	12.95886	77.61341
409	12.95880	77.61340
410	12.95875	77.61339
411	12.95870	77.61338
412	12.95864	77.61338
413	12.95858	77.61337
414	12.95851	77.61336
415	12.95843	77.61335
416	12.95836	77.61334
417	12.95830	77.61334
418	12.95824	77.61332
419	12.95818	77.61332
420	12.95811	77.61331
421	12.95805	77.61330
422	12.95798	77.61329
423	12.95790	77.61328
424	12.95784	77.61327
425	12.95778	77.61327
426	12.95772	77.61327
427	12.95766	77.61327
428	12.95760	77.61326
429	12.95754	77.61325
430	12.95748	77.61325
431	12.95742	77.61324
432	12.95734	77.61323
433	12.95727	77.61323
434	12.95721	77.61323
435	12.95715	77.61323
436	12.95709	77.61322
437	12.95704	77.61322
438	12.95698	77.61318
439	12.95691	77.61317
440	12.95685	77.61316
441	12.95678	77.61315
442	12.95670	77.61315
443	12.95664	77.61314
444	12.95655	77.61314
445	12.95647	77.61313
446	12.95638	77.61312
447	12.95630	77.61311
448	12.95624	77.61310
449	12.95616	77.61309
450	12.95609	77.61307
451	12.95601	77.61305
452	12.95595	77.61303
453	12.95590	77.61302
454	12.95581	77.61302
455	12.95574	77.61302
456	12.95566	77.61302
457	12.95559	77.61302
458	12.95551	77.61302
459	12.95543	77.61301
460	12.95538	77.61299
461	12.95532	77.61298
462	12.95525	77.61297
463	12.95520	77.61296
464	12.95514	77.61296
465	12.95508	77.61296
466	12.95501	77.61295
467	12.95495	77.61294
468	12.95489	77.61292
469	12.95483	77.61291
470	12.95477	77.61290
471	12.95471	77.61289
472	12.95466	77.61288
473	12.95459	77.61287
474	12.95452	77.61286
475	12.95446	77.61284
476	12.95440	77.61280
477	12.95433	77.61277
478	12.95427	77.61274
479	12.95421	77.61271
480	12.95415	77.61268
481	12.95409	77.61265
482	12.95403	77.61262
483	12.95396	77.61258
484	12.95390	77.61256
485	12.95384	77.61254
486	12.95377	77.61252
487	12.95371	77.61250
488	12.95363	77.61247
489	12.95356	77.61245
490	12.95350	77.61244
491	12.95343	77.61243
492	12.95335	77.61243
493	12.95329	77.61242
494	12.95321	77.61243
495	12.95314	77.61245
496	12.95309	77.61249
497	12.95302	77.61255
498	12.95298	77.61260
499	12.95295	77.61266
500	12.95292	77.61272
501	12.95289	77.61278
502	12.95287	77.61285
503	12.95285	77.61290
504	12.95283	77.61296
505	12.95281	77.61303
506	12.95278	77.61309
507	12.95276	77.61315
508	12.95274	77.61321
509	12.95272	77.61326
510	12.95270	77.61332
511	12.95267	77.61338
512	12.95262	77.61345
513	12.95258	77.61351
514	12.95251	77.61354
515	12.95245	77.61358
516	12.95239	77.61360
517	12.95232	77.61361
518	12.95223	77.61361
519	12.95218	77.61360
520	12.95212	77.61358
521	12.95206	77.61357
522	12.95201	77.61354
523	12.95194	77.61351
524	12.95188	77.61347
525	12.95183	77.61345
526	12.95177	77.61342
527	12.95172	77.61340
528	12.95166	77.61338
529	12.95160	77.61336
530	12.95153	77.61334
531	12.95146	77.61331
532	12.95139	77.61329
533	12.95132	77.61327
534	12.95126	77.61325
535	12.95120	77.61322
536	12.95114	77.61321
537	12.95109	77.61319
538	12.95103	77.61317
539	12.95096	77.61314
540	12.95090	77.61312
541	12.95083	77.61306
542	12.95076	77.61303
543	12.95069	77.61300
544	12.95064	77.61295
545	12.95062	77.61288
546	12.95059	77.61282
547	12.95053	77.61275
548	12.95046	77.61268
549	12.95040	77.61263
550	12.95032	77.61256
551	12.95026	77.61252
552	12.95023	77.61246
553	12.95021	77.61240
554	12.95021	77.61233
555	12.95021	77.61226
556	12.95022	77.61220
557	12.95022	77.61214
558	12.95023	77.61208
559	12.95023	77.61202
560	12.95024	77.61194
561	12.95025	77.61188
562	12.95025	77.61181
563	12.95026	77.61175
564	12.95027	77.61168
565	12.95027	77.61161
566	12.95027	77.61155
567	12.95028	77.61149
568	12.95028	77.61143
569	12.95030	77.61136
570	12.95030	77.61130
571	12.95030	77.61124
572	12.95031	77.61117
573	12.95031	77.61110
574	12.95031	77.61104
575	12.95032	77.61099
576	12.95026	77.61096
577	12.95020	77.61095
578	12.95013	77.61094
579	12.95008	77.61093
580	12.95002	77.61093
581	12.94997	77.61092
582	12.94991	77.61091
583	12.94984	77.61090
584	12.94977	77.61089
585	12.94971	77.61087
586	12.94964	77.61087
587	12.94959	77.61085
588	12.94954	77.61084
589	12.94947	77.61082
590	12.94941	77.61081
591	12.94935	77.61079
592	12.94930	77.61078
593	12.94924	77.61077
594	12.94917	77.61075
595	12.94911	77.61074
596	12.94904	77.61073
597	12.94899	77.61071
598	12.94893	77.61068
599	12.94887	77.61067
600	12.94881	77.61066
601	12.94876	77.61065
602	12.94870	77.61063
603	12.94864	77.61061
604	12.94861	77.61056
605	12.94863	77.61051
606	12.94864	77.61045
607	12.94865	77.61040
608	12.94867	77.61035
609	12.94870	77.61029
610	12.94871	77.61024
611	12.94873	77.61019
612	12.94875	77.61013
613	12.94876	77.61008
614	12.94877	77.61003
615	12.94878	77.60997
616	12.94879	77.60991
617	12.94880	77.60986
618	12.94882	77.60980
619	12.94883	77.60975
620	12.94883	77.60968
621	12.94883	77.60963
622	12.94883	77.60957
623	12.94882	77.60952
624	12.94882	77.60945
625	12.94884	77.60939
626	12.94885	77.60934
627	12.94886	77.60929
628	12.94888	77.60923
629	12.94889	77.60917
630	12.94890	77.60912
631	12.94892	77.60907
632	12.94893	77.60901
633	12.94894	77.60895
634	12.94895	77.60890
635	12.94896	77.60884
636	12.94897	77.60877
637	12.94899	77.60872
638	12.94900	77.60866
639	12.94894	77.60863
640	12.94888	77.60863
641	12.94882	77.60862
642	12.94877	77.60862
643	12.94871	77.60861
644	12.94864	77.60859
645	12.94859	77.60858
646	12.94852	77.60857
647	12.94846	77.60856
648	12.94840	77.60855
649	12.94834	77.60855
650	12.94827	77.60855
651	12.94821	77.60854
652	12.94816	77.60854
653	12.94813	77.60849
654	12.94813	77.60843
655	12.94813	77.60838
656	12.94815	77.60830
657	12.94816	77.60823
658	12.94816	77.60818
659	12.94816	77.60812
660	12.94817	77.60807
661	12.94818	77.60799
662	12.94818	77.60792
663	12.94820	77.60786
664	12.94821	77.60779
665	12.94823	77.60773
666	12.94824	77.60766
667	12.94826	77.60759
668	12.94827	77.60752
669	12.94828	77.60744
670	12.94829	77.60736
671	12.94830	77.60728
672	12.94832	77.60719
673	12.94833	77.60714
674	12.94834	77.60707
675	12.94834	77.60702
676	12.94836	77.60696
677	12.94844	77.60693
678	12.94849	77.60691
679	12.94856	77.60688
680	12.94862	77.60686
681	12.94868	77.60684
682	12.94874	77.60680
683	12.94873	77.60674
684	12.94873	77.60667
685	12.94873	77.60660
686	12.94874	77.60653
687	12.94874	77.60647
688	12.94874	77.60640
689	12.94875	77.60634
690	12.94876	77.60627
691	12.94878	77.60620
692	12.94880	77.60613
693	12.94881	77.60607
694	12.94881	77.60600
695	12.94882	77.60592
696	12.94883	77.60586
697	12.94884	77.60580
698	12.94885	77.60573
699	12.94886	77.60568
700	12.94888	77.60561
701	12.94888	77.60554
702	12.94888	77.60547
703	12.94889	77.60540
704	12.94890	77.60534
705	12.94892	77.60528
706	12.94893	77.60521
707	12.94895	77.60513
708	12.94897	77.60508
709	12.94899	77.60503
710	12.94901	77.60495
711	12.94902	77.60489
712	12.94904	77.60482
713	12.94906	77.60476
714	12.94908	77.60470
715	12.94909	77.60463
716	12.94910	77.60457
717	12.94911	77.60451
718	12.94916	77.60453
719	12.94913	77.60443
720	12.94911	77.60435
721	12.94909	77.60430
722	12.94907	77.60423
723	12.94906	77.60418
724	12.94904	77.60410
725	12.94901	77.60404
726	12.94900	77.60399
727	12.94899	77.60392
728	12.94898	77.60386
729	12.94897	77.60380
730	12.94895	77.60374
731	12.94892	77.60367
732	12.94889	77.60362
733	12.94888	77.60355
734	12.94886	77.60348
735	12.94884	77.60342
736	12.94882	77.60336
737	12.94880	77.60330
738	12.94878	77.60324
739	12.94876	77.60317
740	12.94874	77.60312
741	12.94871	77.60304
742	12.94869	77.60298
743	12.94867	77.60292
744	12.94865	77.60287
745	12.94863	77.60280
746	12.94862	77.60272
