Rank	Latitude	Longitude
1	13.02561	77.58089
2	13.02568	77.58085
3	13.02574	77.58083
4	13.02580	77.58079
5	13.02586	77.58077
6	13.02592	77.58073
7	13.02598	77.58067
8	13.02604	77.58064
9	13.02611	77.58062
10	13.02616	77.58060
11	13.02622	77.58057
12	13.02627	77.58055
13	13.02633	77.58051
14	13.02638	77.58049
15	13.02646	77.58046
16	13.02652	77.58043
17	13.02658	77.58041
18	13.02665	77.58039
19	13.02673	77.58034
20	13.02678	77.58031
21	13.02684	77.58028
22	13.02690	77.58027
23	13.02696	77.58025
24	13.02701	77.58023
25	13.02707	77.58020
26	13.02713	77.58017
27	13.02719	77.58014
28	13.02725	77.58012
29	13.02731	77.58010
30	13.02736	77.58009
31	13.02741	77.58007
32	13.02748	77.58005
33	13.02754	77.58002
34	13.02759	77.57999
35	13.02765	77.57996
36	13.02771	77.57993
37	13.02776	77.57989
38	13.02783	77.57983
39	13.02791	77.57977
40	13.02798	77.57971
41	13.02806	77.57965
42	13.02811	77.57961
43	13.02818	77.57955
44	13.02826	77.57949
45	13.02832	77.57945
46	13.02837	77.57941
47	13.02844	77.57935
48	13.02849	77.57931
49	13.02855	77.57924
50	13.02863	77.57918
51	13.02868	77.57914
52	13.02875	77.57907
53	13.02881	77.57899
54	13.02886	77.57894
55	13.02893	77.57889
56	13.02900	77.57883
57	13.02905	77.57879
58	13.02911	77.57876
59	13.02916	77.57872
60	13.02921	77.57869
61	13.02929	77.57867
62	13.02936	77.57864
63	13.02941	77.57862
64	13.02949	77.57858
65	13.02955	77.57855
66	13.02962	77.57852
67	13.02968	77.57848
68	13.02974	77.57844
69	13.02980	77.57841
70	13.02985	77.57838
71	13.02990	77.57834
72	13.02996	77.57830
73	13.03001	77.57827
74	13.03007	77.57822
75	13.03013	77.57819
76	13.03019	77.57815
77	13.03025	77.57812
78	13.03031	77.57809
79	13.03037	77.57806
80	13.03042	77.57803
81	13.03049	77.57800
82	13.03055	77.57797
83	13.03060	77.57793
84	13.03067	77.57788
85	13.03072	77.57784
86	13.03078	77.57781
87	13.03084	77.57777
88	13.03089	77.57775
89	13.03095	77.57771
90	13.03101	77.57768
91	13.03107	77.57764
92	13.03112	77.57762
93	13.03120	77.57760
94	13.03126	77.57757
95	13.03133	77.57754
96	13.03139	77.57751
97	13.03144	77.57748
98	13.03151	77.57745
99	13.03156	77.57742
100	13.03162	77.57739
101	13.03167	77.57736
102	13.03173	77.57733
103	13.03180	77.57731
104	13.03186	77.57727
105	13.03191	77.57724
106	13.03196	77.57722
107	13.03202	77.57719
108	13.03207	77.57716
109	13.03214	77.57713
110	13.03221	77.57709
111	13.03226	77.57706
112	13.03232	77.57703
113	13.03238	77.57700
114	13.03245	77.57696
115	13.03252	77.57693
116	13.03257	77.57690
117	13.03263	77.57687
118	13.03269	77.57684
119	13.03275	77.57681
120	13.03280	77.57679
121	13.03286	77.57675
122	13.03292	77.57672
123	13.03298	77.57668
124	13.03304	77.57665
125	13.03309	77.57661
126	13.03315	77.57658
127	13.03321	77.57655
128	13.03327	77.57651
129	13.03326	77.57646
130	13.03325	77.57641
131	13.03324	77.57635
132	13.03322	77.57629
133	13.03320	77.57624
134	13.03318	77.57619
135	13.03316	77.57611
136	13.03317	77.57604
137	13.03317	77.57597
138	13.03318	77.57590
139	13.03319	77.57583
140	13.03319	77.57576
141	13.03321	77.57570
142	13.03321	77.57563
143	13.03321	77.57557
144	13.03327	77.57553
145	13.03333	77.57550
146	13.03338	77.57548
147	13.03345	77.57545
148	13.03352	77.57543
149	13.03358	77.57540
150	13.03364	77.57538
151	13.03365	77.57532
152	13.03366	77.57525
153	13.03367	77.57520
154	13.03367	77.57513
155	13.03367	77.57507
156	13.03367	77.57500
157	13.03370	77.57495
158	13.03374	77.57490
159	13.03381	77.57483
160	13.03387	77.57476
161	13.03386	77.57468
162	13.03386	77.57461
163	13.03386	77.57455
164	13.03387	77.57448
165	13.03386	77.57443
166	13.03384	77.57435
167	13.03382	77.57429
168	13.03381	77.57423
169	13.03379	77.57418
170	13.03378	77.57413
171	13.03378	77.57407
172	13.03378	77.57400
173	13.03378	77.57392
174	13.03377	77.57386
175	13.03377	77.57380
176	13.03377	77.57373
177	13.03377	77.57367
178	13.03377	77.57360
179	13.03377	77.57354
180	13.03377	77.57348
181	13.03376	77.57342
182	13.03375	77.57336
183	13.03375	77.57329
184	13.03374	77.57323
185	13.03374	77.57316
186	13.03375	77.57311
187	13.03375	77.57304
188	13.03375	77.57297
189	13.03375	77.57290
190	13.03375	77.57284
191	13.03381	77.57282
192	13.03388	77.57281
193	13.03396	77.57280
194	13.03403	77.57279
195	13.03411	77.57278
196	13.03419	77.57277
197	13.03424	77.57277
198	13.03430	77.57276
199	13.03437	77.57274
200	13.03445	77.57273
201	13.03453	77.57273
202	13.03460	77.57273
203	13.03468	77.57272
204	13.03475	77.57271
205	13.03481	77.57271
206	13.03488	77.57271
207	13.03494	77.57271
208	13.03500	77.57271
209	13.03507	77.57271
210	13.03514	77.57271
211	13.03520	77.57272
212	13.03527	77.57273
213	13.03532	77.57274
214	13.03538	77.57273
215	13.03544	77.57272
216	13.03550	77.57272
217	13.03558	77.57272
218	13.03565	77.57273
219	13.03573	77.57274
220	13.03581	77.57274
221	13.03590	77.57274
222	13.03598	77.57274
223	13.03606	77.57273
224	13.03610	77.57278
225	13.03610	77.57285
226	13.03610	77.57292
