Rank	Latitude	Longitude
1	13.04140	77.59730
2	13.04140	77.59736
3	13.04140	77.59743
4	13.04140	77.59749
5	13.04140	77.59756
6	13.04140	77.59763
7	13.04140	77.59770
8	13.04140	77.59777
9	13.04140	77.59784
10	13.04140	77.59789
11	13.04139	77.59797
12	13.04138	77.59802
13	13.04138	77.59809
14	13.04137	77.59814
15	13.04136	77.59821
16	13.04135	77.59832
17	13.04134	77.59838
18	13.04133	77.59844
19	13.04132	77.59850
20	13.04132	77.59856
21	13.04130	77.59864
22	13.04130	77.59870
23	13.04128	77.59878
24	13.04128	77.59884
25	13.04129	77.59891
26	13.04129	77.59898
27	13.04130	77.59907
28	13.04131	77.59912
29	13.04131	77.59919
30	13.04131	77.59925
31	13.04131	77.59932
32	13.04130	77.59938
33	13.04130	77.59944
34	13.04129	77.59951
35	13.04128	77.59958
36	13.04127	77.59964
37	13.04125	77.59971
38	13.04123	77.59978
39	13.04122	77.59984
40	13.04120	77.59990
41	13.04119	77.59995
42	13.04117	77.60003
43	13.04116	77.60010
44	13.04116	77.60017
45	13.04116	77.60024
46	13.04116	77.60029
47	13.04116	77.60035
48	13.04116	77.60041
49	13.04116	77.60047
50	13.04116	77.60054
51	13.04116	77.60059
52	13.04116	77.60065
53	13.04116	77.60072
54	13.04116	77.60078
55	13.04116	77.60084
56	13.04116	77.60090
57	13.04116	77.60097
58	13.04116	77.60103
59	13.04116	77.60109
60	13.04115	77.60116
61	13.04115	77.60122
62	13.04114	77.60131
63	13.04114	77.60137
64	13.04115	77.60144
65	13.04116	77.60150
66	13.04116	77.60156
67	13.04116	77.60163
68	13.04117	77.60171
69	13.04118	77.60179
70	13.04118	77.60190
71	13.04118	77.60197
72	13.04118	77.60202
73	13.04117	77.60208
74	13.04116	77.60215
75	13.04115	77.60221
76	13.04114	77.60228
77	13.04114	77.60234
78	13.04114	77.60242
79	13.04114	77.60250
80	13.04113	77.60256
81	13.04113	77.60262
82	13.04112	77.60270
83	13.04111	77.60277
84	13.04110	77.60284
85	13.04110	77.60290
86	13.04110	77.60296
87	13.04110	77.60302
88	13.04111	77.60310
89	13.04112	77.60317
90	13.04113	77.60322
91	13.04113	77.60330
92	13.04114	77.60338
93	13.04113	77.60344
94	13.04113	77.60351
95	13.04113	77.60358
96	13.04113	77.60363
97	13.04113	77.60371
98	13.04113	77.60377
99	13.04113	77.60384
100	13.04113	77.60391
101	13.04113	77.60398
102	13.04113	77.60406
103	13.04113	77.60415
104	13.04113	77.60422
105	13.04113	77.60428
106	13.04113	77.60435
107	13.04113	77.60442
108	13.04113	77.60448
109	13.04113	77.60455
110	13.04113	77.60463
111	13.04113	77.60470
112	13.04113	77.60478
113	13.04114	77.60485
114	13.04114	77.60492
115	13.04114	77.60499
116	13.04114	77.60507
117	13.04114	77.60513
118	13.04115	77.60519
119	13.04115	77.60525
120	13.04115	77.60532
121	13.04114	77.60539
122	13.04113	77.60545
123	13.04112	77.60551
124	13.04110	77.60558
125	13.04110	77.60565
126	13.04109	77.60573
127	13.04109	77.60578
128	13.04109	77.60583
129	13.04108	77.60590
130	13.04107	77.60597
131	13.04107	77.60603
132	13.04106	77.60608
133	13.04105	77.60616
134	13.04104	77.60622
135	13.04104	77.60629
136	13.04104	77.60636
137	13.04103	77.60642
138	13.04101	77.60648
139	13.04099	77.60654
140	13.04099	77.60661
141	13.04098	77.60667
142	13.04097	77.60672
143	13.04097	77.60678
144	13.04096	77.60683
145	13.04095	77.60689
146	13.04094	77.60696
147	13.04093	77.60701
148	13.04092	77.60707
149	13.04090	77.60712
150	13.04089	77.60719
151	13.04089	77.60724
152	13.04088	77.60731
153	13.04087	77.60737
154	13.04085	77.60744
155	13.04082	77.60750
156	13.04080	77.60756
157	13.04077	77.60763
158	13.04075	77.60771
159	13.04072	77.60776
160	13.04068	77.60784
161	13.04064	77.60793
162	13.04062	77.60799
163	13.04059	77.60805
164	13.04058	77.60811
165	13.04057	77.60816
166	13.04055	77.60822
167	13.04053	77.60827
168	13.04049	77.60833
169	13.04046	77.60839
170	13.04043	77.60845
171	13.04039	77.60851
172	13.04036	77.60858
173	13.04033	77.60863
174	13.04027	77.60871
175	13.04022	77.60880
176	13.04017	77.60886
177	13.04012	77.60893
178	13.04006	77.60897
179	13.04001	77.60902
180	13.03995	77.60908
181	13.03988	77.60915
182	13.03981	77.60921
183	13.03975	77.60928
184	13.03969	77.60935
185	13.03962	77.60941
186	13.03956	77.60945
187	13.03951	77.60949
188	13.03946	77.60954
189	13.03941	77.60958
190	13.03935	77.60962
191	13.03930	77.60966
192	13.03924	77.60971
193	13.03916	77.60977
194	13.03909	77.60983
195	13.03904	77.60986
196	13.03898	77.60991
197	13.03890	77.60995
198	13.03885	77.60999
199	13.03880	77.61000
200	13.03874	77.61003
201	13.03869	77.61007
202	13.03863	77.61009
203	13.03856	77.61013
204	13.03850	77.61014
205	13.03842	77.61016
206	13.03835	77.61018
207	13.03830	77.61020
208	13.03824	77.61022
209	13.03818	77.61020
210	13.03811	77.61019
211	13.03806	77.61018
212	13.03799	77.61016
213	13.03794	77.61015
214	13.03787	77.61012
215	13.03781	77.61011
216	13.03776	77.61009
217	13.03770	77.61007
218	13.03762	77.61004
219	13.03756	77.61001
220	13.03750	77.61000
221	13.03745	77.60998
222	13.03739	77.60997
223	13.03733	77.60995
224	13.03727	77.60994
225	13.03721	77.60994
226	13.03715	77.60991
227	13.03708	77.60990
228	13.03702	77.60989
229	13.03697	77.60988
230	13.03690	77.60986
231	13.03685	77.60983
232	13.03678	77.60982
233	13.03673	77.60980
234	13.03667	77.60979
235	13.03662	77.60977
236	13.03656	77.60975
237	13.03648	77.60973
238	13.03643	77.60971
239	13.03637	77.60968
240	13.03632	77.60967
241	13.03624	77.60964
242	13.03617	77.60962
243	13.03611	77.60960
244	13.03606	77.60958
245	13.03598	77.60956
246	13.03591	77.60952
247	13.03586	77.60951
248	13.03580	77.60950
249	13.03573	77.60948
250	13.03567	77.60945
251	13.03561	77.60944
252	13.03554	77.60944
253	13.03549	77.60943
254	13.03543	77.60942
255	13.03537	77.60942
256	13.03532	77.60941
257	13.03526	77.60939
258	13.03520	77.60938
259	13.03515	77.60937
260	13.03508	77.60935
261	13.03500	77.60932
262	13.03495	77.60931
263	13.03490	77.60929
264	13.03484	77.60928
265	13.03479	77.60926
266	13.03474	77.60924
267	13.03468	77.60923
268	13.03463	77.60921
269	13.03455	77.60919
270	13.03447	77.60916
271	13.03442	77.60915
272	13.03435	77.60912
273	13.03427	77.60909
274	13.03421	77.60908
275	13.03415	77.60906
276	13.03408	77.60904
277	13.03403	77.60902
278	13.03397	77.60901
279	13.03390	77.60898
280	13.03384	77.60896
281	13.03378	77.60894
282	13.03370	77.60892
283	13.03365	77.60891
284	13.03359	77.60889
285	13.03354	77.60887
286	13.03348	77.60885
287	13.03342	77.60883
288	13.03336	77.60882
289	13.03331	77.60880
290	13.03325	77.60879
291	13.03319	77.60877
292	13.03311	77.60876
293	13.03305	77.60875
294	13.03299	77.60873
295	13.03293	77.60873
296	13.03287	77.60872
297	13.03280	77.60870
298	13.03273	77.60868
299	13.03268	77.60867
300	13.03262	77.60866
301	13.03254	77.60865
302	13.03249	77.60864
303	13.03242	77.60863
304	13.03234	77.60861
305	13.03229	77.60859
306	13.03223	77.60857
307	13.03218	77.60856
308	13.03212	77.60854
309	13.03206	77.60852
310	13.03201	77.60850
311	13.03196	77.60849
312	13.03191	77.60848
313	13.03184	77.60845
314	13.03179	77.60843
315	13.03173	77.60841
316	13.03168	77.60839
317	13.03162	77.60838
318	13.03157	77.60836
319	13.03151	77.60835
320	13.03145	77.60835
321	13.03140	77.60834
322	13.03134	77.60833
323	13.03128	77.60833
324	13.03123	77.60831
325	13.03116	77.60830
326	13.03111	77.60829
327	13.03104	77.60828
328	13.03099	77.60827
329	13.03093	77.60826
330	13.03086	77.60824
331	13.03078	77.60821
332	13.03072	77.60818
333	13.03065	77.60816
334	13.03059	77.60814
335	13.03054	77.60812
336	13.03048	77.60811
337	13.03043	77.60809
338	13.03037	77.60806
339	13.03030	77.60803
340	13.03025	77.60802
341	13.03020	77.60800
342	13.03013	77.60797
343	13.03007	77.60794
344	13.03000	77.60790
345	13.02994	77.60787
346	13.02988	77.60784
347	13.02982	77.60781
348	13.02977	77.60779
349	13.02972	77.60775
350	13.02965	77.60772
351	13.02958	77.60768
352	13.02952	77.60764
353	13.02946	77.60760
354	13.02940	77.60755
355	13.02934	77.60751
356	13.02927	77.60747
357	13.02920	77.60744
358	13.02912	77.60740
359	13.02905	77.60737
360	13.02900	77.60736
361	13.02895	77.60734
362	13.02889	77.60732
363	13.02884	77.60731
364	13.02878	77.60729
365	13.02870	77.60726
366	13.02864	77.60722
367	13.02858	77.60720
368	13.02853	77.60714
369	13.02848	77.60712
370	13.02841	77.60709
371	13.02835	77.60705
372	13.02828	77.60702
373	13.02822	77.60699
374	13.02815	77.60696
375	13.02810	77.60694
376	13.02804	77.60693
377	13.02794	77.60689
378	13.02787	77.60687
379	13.02781	77.60685
380	13.02775	77.60681
381	13.02768	77.60678
382	13.02760	77.60674
383	13.02753	77.60671
384	13.02746	77.60667
385	13.02740	77.60663
386	13.02733	77.60658
387	13.02727	77.60654
388	13.02722	77.60652
389	13.02714	77.60652
390	13.02709	77.60652
391	13.02703	77.60651
392	13.02705	77.60644
393	13.02705	77.60638
394	13.02706	77.60632
395	13.02708	77.60624
396	13.02709	77.60619
397	13.02710	77.60612
398	13.02712	77.60606
399	13.02713	77.60601
400	13.02715	77.60595
401	13.02716	77.60589
402	13.02717	77.60582
403	13.02719	77.60576
404	13.02720	77.60570
405	13.02721	77.60564
406	13.02722	77.60558
407	13.02722	77.60552
408	13.02724	77.60546
409	13.02725	77.60540
410	13.02727	77.60533
411	13.02728	77.60527
412	13.02729	77.60520
413	13.02730	77.60514
414	13.02731	77.60507
415	13.02732	77.60501
416	13.02734	77.60495
417	13.02736	77.60489
418	13.02737	77.60482
419	13.02737	77.60477
420	13.02739	77.60470
421	13.02740	77.60464
422	13.02741	77.60456
423	13.02742	77.60448
424	13.02743	77.60442
425	13.02744	77.60435
426	13.02745	77.60429
427	13.02745	77.60422
428	13.02745	77.60417
429	13.02746	77.60410
430	13.02747	77.60404
431	13.02748	77.60398
432	13.02749	77.60392
433	13.02750	77.60387
434	13.02752	77.60382
435	13.02752	77.60376
436	13.02753	77.60369
437	13.02754	77.60361
438	13.02755	77.60355
439	13.02757	77.60349
440	13.02757	77.60342
441	13.02758	77.60337
442	13.02759	77.60331
443	13.02759	77.60325
444	13.02760	77.60318
445	13.02761	77.60312
446	13.02762	77.60305
447	13.02763	77.60297
448	13.02764	77.60290
449	13.02765	77.60284
450	13.02765	77.60279
451	13.02767	77.60268
452	13.02768	77.60260
453	13.02770	77.60254
454	13.02772	77.60247
455	13.02773	77.60241
456	13.02775	77.60235
457	13.02777	77.60227
458	13.02778	77.60221
459	13.02778	77.60214
460	13.02779	77.60207
461	13.02780	77.60199
462	13.02782	77.60191
463	13.02783	77.60186
464	13.02784	77.60179
465	13.02785	77.60173
466	13.02785	77.60168
467	13.02786	77.60161
468	13.02787	77.60153
469	13.02788	77.60146
470	13.02789	77.60139
471	13.02790	77.60133
472	13.02791	77.60126
473	13.02792	77.60118
474	13.02793	77.60111
475	13.02793	77.60105
476	13.02793	77.60097
477	13.02794	77.60090
478	13.02794	77.60084
479	13.02794	77.60077
480	13.02795	77.60070
481	13.02796	77.60063
482	13.02797	77.60057
483	13.02797	77.60049
484	13.02798	77.60043
485	13.02799	77.60037
486	13.02799	77.60030
487	13.02799	77.60025
488	13.02799	77.60018
489	13.02800	77.60012
490	13.02803	77.60005
491	13.02805	77.59997
492	13.02807	77.59991
493	13.02809	77.59985
494	13.02811	77.59979
495	13.02815	77.59972
496	13.02821	77.59967
497	13.02826	77.59964
498	13.02832	77.59963
499	13.02840	77.59963
500	13.02847	77.59962
501	13.02853	77.59961
502	13.02858	77.59958
503	13.02865	77.59955
504	13.02872	77.59953
505	13.02877	77.59951
506	13.02883	77.59949
507	13.02891	77.59948
508	13.02896	77.59947
509	13.02903	77.59946
510	13.02910	77.59946
511	13.02916	77.59947
512	13.02922	77.59949
513	13.02928	77.59949
514	13.02933	77.59950
515	13.02939	77.59951
516	13.02945	77.59952
517	13.02954	77.59952
518	13.02962	77.59954
519	13.02970	77.59955
520	13.02977	77.59955
521	13.02983	77.59956
522	13.02992	77.59957
523	13.03000	77.59960
524	13.03008	77.59962
525	13.03014	77.59965
526	13.03020	77.59969
527	13.03026	77.59972
528	13.03033	77.59975
529	13.03039	77.59977
530	13.03044	77.59979
531	13.03051	77.59982
532	13.03056	77.59984
533	13.03062	77.59987
534	13.03070	77.59992
535	13.03075	77.59995
536	13.03082	77.60000
537	13.03087	77.60004
538	13.03093	77.60008
539	13.03098	77.60010
540	13.03104	77.60014
541	13.03110	77.60016
542	13.03117	77.60016
543	13.03124	77.60016
544	13.03130	77.60016
545	13.03136	77.60016
546	13.03143	77.60016
547	13.03149	77.60016
548	13.03158	77.60016
549	13.03164	77.60017
550	13.03171	77.60017
551	13.03177	77.60017
552	13.03184	77.60017
553	13.03190	77.60017
554	13.03196	77.60016
555	13.03204	77.60015
556	13.03210	77.60014
557	13.03218	77.60014
558	13.03225	77.60014
559	13.03231	77.60013
560	13.03238	77.60013
561	13.03246	77.60013
562	13.03251	77.60014
563	13.03257	77.60015
564	13.03265	77.60017
565	13.03274	77.60018
566	13.03279	77.60020
567	13.03281	77.60025
568	13.03282	77.60031
569	13.03284	77.60038
570	13.03286	77.60045
571	13.03288	77.60051
572	13.03287	77.60057
573	13.03286	77.60063
574	13.03286	77.60069
575	13.03285	77.60075
576	13.03284	77.60082
577	13.03283	77.60088
578	13.03282	77.60094
579	13.03281	77.60102
580	13.03280	77.60108
581	13.03279	77.60115
582	13.03279	77.60122
583	13.03278	77.60128
584	13.03277	77.60134
585	13.03277	77.60141
586	13.03276	77.60147
587	13.03275	77.60155
588	13.03275	77.60163
589	13.03274	77.60169
590	13.03273	77.60178
591	13.03272	77.60184
592	13.03271	77.60190
593	13.03270	77.60196
594	13.03270	77.60203
595	13.03268	77.60209
596	13.03268	77.60216
597	13.03267	77.60223
598	13.03266	77.60229
599	13.03265	77.60237
600	13.03264	77.60243
601	13.03263	77.60250
602	13.03262	77.60258
603	13.03260	77.60265
604	13.03258	77.60271
605	13.03257	77.60279
606	13.03256	77.60285
607	13.03255	77.60291
608	13.03254	77.60296
609	13.03252	77.60302
610	13.03252	77.60308
611	13.03252	77.60314
612	13.03251	77.60319
613	13.03250	77.60325
614	13.03249	77.60331
615	13.03248	77.60337
616	13.03246	77.60343
617	13.03245	77.60348
618	13.03244	77.60354
619	13.03243	77.60362
620	13.03241	77.60367
621	13.03240	77.60373
622	13.03238	77.60380
623	13.03237	77.60385
624	13.03235	77.60391
625	13.03234	77.60396
626	13.03232	77.60403
627	13.03230	77.60408
628	13.03228	77.60415
629	13.03228	77.60422
630	13.03228	77.60428
631	13.03228	77.60435
632	13.03228	77.60442
633	13.03231	77.60450
634	13.03233	77.60456
635	13.03234	77.60463
636	13.03237	77.60470
637	13.03245	77.60476
638	13.03253	77.60479
639	13.03260	77.60478
640	13.03267	77.60478
641	13.03273	77.60477
642	13.03278	77.60482
643	13.03279	77.60489
644	13.03280	77.60496
645	13.03281	77.60502
646	13.03282	77.60509
647	13.03284	77.60517
648	13.03285	77.60523
649	13.03285	77.60528
650	13.03285	77.60536
651	13.03286	77.60543
652	13.03287	77.60548
653	13.03289	77.60554
654	13.03290	77.60560
655	13.03292	77.60567
656	13.03292	77.60573
657	13.03292	77.60582
658	13.03291	77.60588
659	13.03291	77.60594
660	13.03290	77.60601
661	13.03290	77.60606
662	13.03289	77.60613
663	13.03288	77.60619
664	13.03288	77.60624
665	13.03287	77.60632
666	13.03288	77.60639
667	13.03291	77.60645
668	13.03296	77.60649
669	13.03302	77.60649
670	13.03311	77.60649
671	13.03319	77.60649
672	13.03327	77.60648
673	13.03333	77.60647
674	13.03340	77.60646
675	13.03348	77.60645
676	13.03354	77.60642
677	13.03359	77.60641
678	13.03365	77.60637
679	13.03370	77.60634
680	13.03377	77.60631
681	13.03383	77.60628
682	13.03388	77.60627
683	13.03396	77.60627
684	13.03404	77.60629
