Rank	Latitude	Longitude
1	13.02126	77.62332
2	13.02132	77.62332
3	13.02141	77.62331
4	13.02146	77.62330
5	13.02152	77.62330
6	13.02158	77.62329
7	13.02164	77.62328
8	13.02172	77.62327
9	13.02180	77.62325
10	13.02185	77.62323
11	13.02192	77.62322
12	13.02198	77.62320
13	13.02204	77.62318
14	13.02210	77.62316
15	13.02216	77.62315
16	13.02222	77.62313
17	13.02230	77.62310
18	13.02237	77.62307
19	13.02242	77.62306
20	13.02249	77.62304
21	13.02254	77.62302
22	13.02259	77.62301
23	13.02264	77.62299
24	13.02270	77.62296
25	13.02276	77.62294
26	13.02281	77.62291
27	13.02289	77.62287
28	13.02297	77.62283
29	13.02302	77.62281
30	13.02309	77.62277
31	13.02316	77.62274
32	13.02324	77.62271
33	13.02330	77.62269
34	13.02337	77.62265
35	13.02342	77.62263
36	13.02348	77.62260
37	13.02354	77.62257
38	13.02359	77.62254
39	13.02364	77.62251
40	13.02371	77.62248
41	13.02379	77.62244
42	13.02385	77.62241
43	13.02392	77.62237
44	13.02401	77.62233
45	13.02406	77.62231
46	13.02411	77.62227
47	13.02419	77.62223
48	13.02426	77.62219
49	13.02432	77.62215
50	13.02439	77.62211
51	13.02445	77.62206
52	13.02453	77.62201
53	13.02460	77.62195
54	13.02467	77.62190
55	13.02473	77.62186
56	13.02480	77.62183
57	13.02486	77.62180
58	13.02493	77.62176
59	13.02500	77.62171
60	13.02506	77.62166
61	13.02514	77.62160
62	13.02520	77.62154
63	13.02527	77.62149
64	13.02533	77.62145
65	13.02539	77.62139
66	13.02544	77.62133
67	13.02548	77.62128
68	13.02554	77.62121
69	13.02558	77.62115
70	13.02561	77.62109
71	13.02566	77.62102
72	13.02570	77.62096
73	13.02573	77.62090
74	13.02577	77.62084
75	13.02581	77.62079
76	13.02586	77.62072
77	13.02590	77.62066
78	13.02593	77.62061
79	13.02598	77.62056
80	13.02602	77.62050
81	13.02606	77.62042
82	13.02610	77.62035
83	13.02613	77.62029
84	13.02616	77.62022
85	13.02619	77.62016
86	13.02621	77.62010
87	13.02624	77.62003
88	13.02632	77.62005
89	13.02638	77.62008
90	13.02644	77.62009
91	13.02650	77.62011
92	13.02655	77.62013
93	13.02660	77.62014
94	13.02666	77.62016
95	13.02671	77.62018
96	13.02676	77.62020
97	13.02683	77.62023
98	13.02690	77.62026
99	13.02696	77.62028
100	13.02701	77.62029
101	13.02707	77.62031
102	13.02713	77.62033
103	13.02718	77.62035
104	13.02724	77.62036
105	13.02731	77.62039
106	13.02736	77.62041
107	13.02741	77.62042
108	13.02746	77.62044
109	13.02753	77.62048
110	13.02760	77.62050
111	13.02768	77.62052
