Rank	Latitude	Longitude
1	13.01163	77.62721
2	13.01168	77.62724
3	13.01175	77.62727
4	13.01181	77.62730
5	13.01187	77.62733
6	13.01194	77.62737
7	13.01201	77.62741
8	13.01207	77.62744
9	13.01214	77.62748
10	13.01220	77.62752
11	13.01227	77.62755
12	13.01233	77.62759
13	13.01240	77.62762
14	13.01247	77.62767
15	13.01253	77.62770
16	13.01260	77.62775
17	13.01266	77.62779
18	13.01272	77.62784
19	13.01278	77.62790
20	13.01284	77.62794
21	13.01289	77.62802
22	13.01294	77.62807
23	13.01299	77.62813
24	13.01305	77.62816
25	13.01312	77.62820
26	13.01317	77.62824
27	13.01324	77.62830
28	13.01330	77.62834
29	13.01336	77.62839
30	13.01343	77.62844
31	13.01348	77.62847
32	13.01354	77.62850
33	13.01360	77.62855
34	13.01367	77.62858
35	13.01373	77.62862
36	13.01379	77.62863
37	13.01384	77.62865
38	13.01391	77.62867
39	13.01397	77.62868
40	13.01404	77.62870
41	13.01411	77.62873
42	13.01417	77.62874
43	13.01422	77.62875
44	13.01427	77.62877
45	13.01435	77.62878
46	13.01441	77.62879
47	13.01447	77.62879
48	13.01452	77.62881
49	13.01458	77.62883
50	13.01465	77.62885
51	13.01471	77.62887
52	13.01477	77.62888
53	13.01484	77.62889
54	13.01491	77.62889
55	13.01497	77.62890
56	13.01503	77.62891
57	13.01510	77.62893
58	13.01516	77.62893
59	13.01523	77.62894
60	13.01536	77.62896
61	13.01541	77.62899
62	13.01549	77.62900
63	13.01556	77.62901
64	13.01561	77.62902
65	13.01567	77.62903
66	13.01572	77.62904
67	13.01578	77.62905
68	13.01584	77.62906
69	13.01592	77.62907
70	13.01599	77.62908
71	13.01608	77.62910
72	13.01613	77.62911
73	13.01621	77.62914
74	13.01628	77.62915
75	13.01634	77.62916
76	13.01639	77.62917
77	13.01646	77.62918
78	13.01652	77.62919
79	13.01660	77.62920
80	13.01667	77.62922
81	13.01674	77.62923
82	13.01681	77.62924
83	13.01687	77.62925
84	13.01692	77.62926
85	13.01698	77.62927
86	13.01703	77.62928
87	13.01710	77.62929
88	13.01717	77.62929
89	13.01723	77.62929
90	13.01730	77.62929
91	13.01737	77.62930
92	13.01742	77.62932
93	13.01749	77.62933
94	13.01754	77.62935
95	13.01761	77.62938
96	13.01770	77.62940
97	13.01777	77.62941
98	13.01783	77.62943
99	13.01790	77.62945
100	13.01796	77.62946
101	13.01802	77.62947
102	13.01810	77.62948
103	13.01816	77.62948
104	13.01821	77.62950
105	13.01827	77.62951
106	13.01833	77.62952
107	13.01841	77.62954
108	13.01847	77.62954
109	13.01854	77.62954
110	13.01860	77.62954
111	13.01866	77.62955
112	13.01872	77.62956
113	13.01879	77.62958
114	13.01886	77.62960
115	13.01892	77.62962
116	13.01897	77.62962
117	13.01903	77.62963
118	13.01909	77.62964
119	13.01914	77.62965
120	13.01921	77.62966
121	13.01927	77.62966
122	13.01934	77.62966
123	13.01941	77.62968
124	13.01946	77.62969
125	13.01951	77.62971
126	13.01957	77.62972
127	13.01963	77.62974
128	13.01968	77.62977
129	13.01967	77.62984
130	13.01966	77.62989
131	13.01966	77.62996
132	13.01965	77.63003
133	13.01964	77.63010
134	13.01964	77.63016
135	13.01963	77.63023
136	13.01962	77.63028
137	13.01962	77.63034
138	13.01962	77.63040
139	13.01962	77.63047
140	13.01962	77.63054
141	13.01961	77.63060
142	13.01961	77.63068
143	13.01961	77.63073
144	13.01961	77.63079
145	13.01961	77.63086
146	13.01961	77.63092
147	13.01961	77.63098
148	13.01967	77.63099
149	13.01973	77.63098
150	13.01979	77.63097
151	13.01984	77.63097
152	13.01990	77.63097
153	13.01996	77.63097
154	13.02003	77.63097
155	13.02010	77.63096
156	13.02017	77.63096
157	13.02023	77.63096
158	13.02030	77.63096
159	13.02035	77.63097
160	13.02041	77.63098
161	13.02047	77.63099
162	13.02054	77.63100
163	13.02059	77.63101
164	13.02066	77.63102
165	13.02072	77.63107
166	13.02077	77.63112
167	13.02082	77.63118
168	13.02085	77.63125
169	13.02089	77.63132
170	13.02092	77.63139
171	13.02095	77.63146
172	13.02097	77.63152
173	13.02102	77.63159
174	13.02107	77.63165
175	13.02112	77.63171
176	13.02117	77.63178
177	13.02123	77.63182
178	13.02129	77.63186
179	13.02136	77.63190
180	13.02143	77.63194
181	13.02150	77.63198
182	13.02157	77.63202
183	13.02163	77.63205
184	13.02170	77.63209
185	13.02178	77.63212
186	13.02185	77.63217
187	13.02190	77.63219
188	13.02196	77.63220
189	13.02201	77.63221
190	13.02207	77.63222
191	13.02214	77.63222
192	13.02222	77.63222
193	13.02227	77.63223
194	13.02233	77.63224
195	13.02239	77.63225
196	13.02245	77.63226
197	13.02253	77.63228
198	13.02258	77.63229
199	13.02264	77.63230
200	13.02270	77.63232
201	13.02276	77.63234
202	13.02282	77.63235
203	13.02289	77.63237
204	13.02295	77.63238
205	13.02301	77.63240
206	13.02309	77.63240
207	13.02315	77.63241
208	13.02321	77.63242
209	13.02328	77.63243
210	13.02334	77.63244
211	13.02340	77.63245
212	13.02346	77.63246
213	13.02351	77.63248
214	13.02359	77.63250
215	13.02365	77.63252
216	13.02370	77.63253
217	13.02375	77.63255
218	13.02381	77.63256
219	13.02388	77.63261
220	13.02394	77.63263
221	13.02406	77.63269
222	13.02412	77.63271
223	13.02420	77.63275
224	13.02428	77.63278
225	13.02436	77.63279
226	13.02441	77.63282
227	13.02447	77.63283
228	13.02453	77.63285
229	13.02459	77.63287
230	13.02464	77.63289
231	13.02469	77.63291
232	13.02475	77.63292
233	13.02482	77.63294
234	13.02487	77.63297
235	13.02494	77.63300
236	13.02501	77.63304
237	13.02508	77.63307
238	13.02514	77.63310
239	13.02520	77.63314
240	13.02526	77.63317
241	13.02533	77.63320
242	13.02538	77.63323
243	13.02545	77.63327
244	13.02553	77.63330
245	13.02558	77.63333
246	13.02566	77.63337
247	13.02573	77.63342
248	13.02580	77.63345
249	13.02585	77.63348
250	13.02590	77.63350
251	13.02597	77.63355
252	13.02604	77.63359
253	13.02611	77.63363
254	13.02618	77.63367
255	13.02625	77.63371
256	13.02632	77.63375
257	13.02638	77.63379
258	13.02644	77.63384
259	13.02649	77.63388
260	13.02657	77.63393
261	13.02662	77.63397
262	13.02667	77.63402
263	13.02672	77.63406
264	13.02680	77.63412
265	13.02685	77.63417
266	13.02691	77.63422
267	13.02697	77.63427
268	13.02703	77.63433
269	13.02709	77.63437
270	13.02716	77.63442
271	13.02723	77.63448
272	13.02730	77.63456
273	13.02730	77.63464
274	13.02729	77.63471
275	13.02728	77.63477
276	13.02725	77.63485
277	13.02723	77.63490
278	13.02721	77.63497
279	13.02720	77.63503
280	13.02718	77.63508
281	13.02717	77.63516
282	13.02714	77.63523
283	13.02712	77.63529
284	13.02711	77.63535
285	13.02709	77.63540
286	13.02708	77.63545
287	13.02705	77.63553
288	13.02703	77.63558
289	13.02701	77.63566
290	13.02700	77.63571
291	13.02698	77.63578
292	13.02697	77.63584
293	13.02695	77.63589
294	13.02694	77.63595
295	13.02693	77.63601
296	13.02690	77.63609
297	13.02687	77.63616
298	13.02683	77.63623
299	13.02679	77.63637
300	13.02678	77.63643
301	13.02676	77.63648
302	13.02674	77.63654
303	13.02671	77.63660
304	13.02668	77.63667
305	13.02664	77.63674
306	13.02659	77.63681
307	13.02655	77.63688
308	13.02651	77.63695
309	13.02650	77.63703
310	13.02649	77.63709
311	13.02648	77.63716
312	13.02647	77.63722
313	13.02646	77.63728
314	13.02645	77.63734
315	13.02645	77.63740
316	13.02644	77.63746
317	13.02644	77.63751
318	13.02644	77.63757
319	13.02644	77.63764
320	13.02644	77.63769
321	13.02644	77.63776
322	13.02645	77.63783
323	13.02645	77.63788
324	13.02647	77.63794
325	13.02649	77.63802
326	13.02651	77.63808
327	13.02652	77.63814
328	13.02656	77.63820
329	13.02657	77.63826
330	13.02660	77.63832
331	13.02662	77.63838
332	13.02662	77.63844
333	13.02669	77.63849
334	13.02675	77.63851
335	13.02680	77.63852
336	13.02686	77.63853
337	13.02696	77.63854
338	13.02701	77.63856
339	13.02708	77.63857
340	13.02714	77.63858
341	13.02721	77.63860
342	13.02727	77.63862
343	13.02733	77.63864
344	13.02740	77.63866
345	13.02747	77.63868
346	13.02753	77.63870
347	13.02758	77.63872
348	13.02766	77.63874
349	13.02773	77.63876
350	13.02779	77.63878
351	13.02784	77.63880
352	13.02791	77.63881
353	13.02796	77.63883
354	13.02803	77.63884
355	13.02809	77.63886
356	13.02817	77.63887
357	13.02823	77.63888
358	13.02829	77.63889
359	13.02835	77.63889
360	13.02841	77.63891
361	13.02847	77.63893
362	13.02853	77.63895
363	13.02860	77.63897
364	13.02866	77.63899
365	13.02873	77.63901
366	13.02879	77.63905
367	13.02884	77.63909
368	13.02889	77.63913
369	13.02895	77.63917
370	13.02902	77.63924
371	13.02908	77.63931
372	13.02914	77.63938
373	13.02920	77.63946
374	13.02926	77.63954
375	13.02931	77.63960
376	13.02935	77.63965
377	13.02938	77.63971
378	13.02942	77.63977
379	13.02946	77.63983
380	13.02950	77.63989
381	13.02954	77.63994
382	13.02960	77.64000
383	13.02967	77.64007
384	13.02973	77.64014
385	13.02979	77.64019
386	13.02986	77.64025
387	13.02992	77.64032
388	13.02996	77.64037
389	13.03004	77.64044
390	13.03010	77.64047
391	13.03016	77.64051
392	13.03022	77.64054
393	13.03028	77.64057
394	13.03034	77.64059
395	13.03040	77.64063
396	13.03045	77.64066
397	13.03051	77.64069
398	13.03056	77.64073
399	13.03063	77.64075
400	13.03071	77.64077
401	13.03076	77.64078
402	13.03082	77.64080
403	13.03087	77.64081
404	13.03094	77.64084
405	13.03100	77.64087
406	13.03105	77.64089
407	13.03111	77.64093
408	13.03116	77.64094
409	13.03122	77.64097
410	13.03128	77.64101
411	13.03134	77.64106
412	13.03139	77.64110
413	13.03145	77.64114
414	13.03151	77.64117
415	13.03158	77.64122
416	13.03164	77.64125
417	13.03169	77.64128
418	13.03174	77.64131
419	13.03180	77.64135
420	13.03188	77.64141
421	13.03194	77.64148
422	13.03202	77.64154
423	13.03208	77.64161
424	13.03216	77.64168
425	13.03223	77.64174
426	13.03228	77.64177
427	13.03234	77.64180
428	13.03240	77.64184
429	13.03246	77.64187
430	13.03252	77.64188
431	13.03257	77.64191
432	13.03263	77.64194
433	13.03268	77.64197
434	13.03274	77.64201
435	13.03280	77.64203
436	13.03287	77.64208
437	13.03293	77.64213
438	13.03298	77.64220
439	13.03296	77.64225
440	13.03295	77.64231
441	13.03292	77.64238
442	13.03290	77.64243
443	13.03289	77.64249
444	13.03287	77.64254
445	13.03286	77.64260
446	13.03285	77.64265
447	13.03283	77.64271
448	13.03282	77.64278
449	13.03281	77.64285
450	13.03280	77.64290
451	13.03279	77.64297
452	13.03279	77.64304
453	13.03278	77.64310
454	13.03278	77.64316
455	13.03278	77.64323
456	13.03278	77.64330
457	13.03277	77.64337
458	13.03277	77.64344
459	13.03276	77.64351
460	13.03275	77.64357
461	13.03275	77.64363
462	13.03275	77.64371
463	13.03275	77.64378
464	13.03275	77.64385
465	13.03275	77.64393
466	13.03275	77.64398
467	13.03274	77.64405
468	13.03274	77.64412
469	13.03275	77.64420
470	13.03275	77.64426
471	13.03275	77.64433
472	13.03275	77.64440
473	13.03275	77.64445
474	13.03281	77.64446
475	13.03288	77.64442
476	13.03294	77.64440
477	13.03302	77.64439
478	13.03308	77.64438
479	13.03314	77.64437
480	13.03321	77.64436
481	13.03327	77.64435
482	13.03333	77.64435
483	13.03339	77.64434
484	13.03346	77.64434
485	13.03353	77.64433
486	13.03359	77.64433
487	13.03366	77.64433
488	13.03373	77.64434
489	13.03379	77.64435
490	13.03387	77.64434
491	13.03394	77.64432
492	13.03400	77.64430
493	13.03408	77.64429
494	13.03414	77.64429
495	13.03422	77.64430
496	13.03430	77.64431
497	13.03438	77.64431
498	13.03446	77.64431
499	13.03452	77.64434
500	13.03451	77.64439
501	13.03450	77.64445
502	13.03450	77.64452
503	13.03450	77.64459
504	13.03450	77.64465
505	13.03452	77.64471
506	13.03454	77.64478
507	13.03455	77.64484
508	13.03455	77.64491
509	13.03455	77.64497
510	13.03454	77.64504
511	13.03453	77.64509
512	13.03452	77.64515
513	13.03451	77.64521
514	13.03450	77.64527
515	13.03449	77.64533
516	13.03449	77.64539
517	13.03449	77.64545
518	13.03449	77.64551
519	13.03449	77.64558
520	13.03449	77.64565
521	13.03450	77.64573
522	13.03450	77.64579
523	13.03449	77.64586
524	13.03448	77.64592
525	13.03448	77.64598
526	13.03449	77.64604
527	13.03456	77.64604
528	13.03461	77.64601
529	13.03466	77.64598
530	13.03472	77.64590
531	13.03475	77.64584
532	13.03478	77.64578
533	13.03482	77.64572
534	13.03488	77.64564
535	13.03493	77.64559
536	13.03499	77.64552
537	13.03505	77.64549
538	13.03512	77.64547
539	13.03517	77.64544
540	13.03523	77.64542
541	13.03531	77.64540
542	13.03538	77.64537
543	13.03544	77.64536
544	13.03551	77.64535
545	13.03558	77.64534
546	13.03563	77.64534
547	13.03570	77.64533
548	13.03578	77.64532
549	13.03584	77.64531
550	13.03593	77.64530
551	13.03600	77.64529
552	13.03607	77.64529
553	13.03616	77.64529
554	13.03624	77.64528
555	13.03631	77.64528
556	13.03638	77.64527
557	13.03646	77.64525
558	13.03653	77.64522
559	13.03660	77.64520
560	13.03665	77.64519
561	13.03671	77.64517
562	13.03678	77.64515
563	13.03685	77.64513
564	13.03692	77.64511
565	13.03698	77.64507
566	13.03704	77.64504
567	13.03709	77.64501
568	13.03715	77.64499
569	13.03720	77.64498
570	13.03727	77.64495
571	13.03734	77.64492
572	13.03740	77.64489
573	13.03745	77.64488
574	13.03753	77.64488
575	13.03761	77.64488
576	13.03758	77.64480
577	13.03756	77.64475
578	13.03754	77.64469
579	13.03753	77.64463
580	13.03754	77.64456
581	13.03754	77.64450
582	13.03755	77.64443
583	13.03756	77.64437
