Rank	Latitude	Longitude
1	13.01107	77.66337
2	13.01103	77.66330
3	13.01099	77.66324
4	13.01094	77.66317
5	13.01090	77.66310
6	13.01086	77.66303
7	13.01083	77.66296
8	13.01078	77.66290
9	13.01074	77.66285
10	13.01070	77.66278
11	13.01067	77.66271
12	13.01064	77.66264
13	13.01061	77.66258
14	13.01059	77.66253
15	13.01057	77.66248
16	13.01056	77.66242
17	13.01054	77.66235
18	13.01052	77.66229
19	13.01050	77.66223
20	13.01047	77.66216
21	13.01045	77.66209
22	13.01041	77.66201
23	13.01039	77.66195
24	13.01036	77.66190
25	13.01034	77.66184
26	13.01029	77.66178
27	13.01025	77.66171
28	13.01021	77.66163
29	13.01020	77.66158
30	13.01018	77.66152
31	13.01016	77.66146
32	13.01015	77.66140
33	13.01013	77.66134
34	13.01012	77.66128
35	13.01010	77.66123
36	13.01005	77.66116
37	13.01002	77.66110
38	13.00998	77.66103
39	13.00994	77.66096
40	13.00991	77.66089
41	13.00988	77.66082
42	13.00986	77.66076
43	13.00984	77.66068
44	13.00983	77.66062
45	13.00981	77.66056
46	13.00980	77.66050
47	13.00978	77.66045
48	13.00974	77.66038
49	13.00972	77.66032
50	13.00968	77.66025
51	13.00965	77.66020
52	13.00961	77.66013
53	13.00958	77.66006
54	13.00954	77.65998
55	13.00951	77.65991
56	13.00949	77.65985
57	13.00945	77.65978
58	13.00940	77.65971
59	13.00936	77.65963
60	13.00933	77.65956
61	13.00929	77.65949
62	13.00926	77.65942
63	13.00922	77.65936
64	13.00919	77.65931
65	13.00915	77.65924
66	13.00911	77.65917
67	13.00906	77.65910
68	13.00902	77.65904
69	13.00898	77.65899
70	13.00894	77.65893
71	13.00889	77.65888
72	13.00885	77.65882
73	13.00880	77.65876
74	13.00875	77.65870
75	13.00870	77.65863
76	13.00865	77.65856
77	13.00860	77.65850
78	13.00854	77.65844
79	13.00850	77.65838
80	13.00844	77.65831
81	13.00841	77.65825
82	13.00836	77.65819
83	13.00832	77.65813
84	13.00827	77.65807
85	13.00822	77.65800
86	13.00819	77.65794
87	13.00813	77.65786
88	13.00809	77.65780
89	13.00805	77.65774
90	13.00800	77.65767
91	13.00794	77.65760
92	13.00789	77.65754
93	13.00783	77.65746
94	13.00777	77.65740
95	13.00772	77.65734
96	13.00766	77.65727
97	13.00761	77.65722
98	13.00754	77.65717
99	13.00749	77.65711
