Rank	Latitude	Longitude
1	13.00260	77.63741
2	13.00264	77.63748
3	13.00269	77.63754
4	13.00276	77.63759
5	13.00283	77.63764
6	13.00288	77.63769
7	13.00293	77.63776
8	13.00297	77.63782
9	13.00303	77.63788
10	13.00308	77.63794
11	13.00314	77.63799
12	13.00320	77.63804
13	13.00326	77.63810
14	13.00333	77.63814
15	13.00338	77.63819
16	13.00345	77.63825
17	13.00352	77.63830
18	13.00358	77.63834
19	13.00364	77.63839
20	13.00370	77.63844
21	13.00376	77.63850
22	13.00381	77.63856
23	13.00386	77.63862
24	13.00392	77.63869
25	13.00396	77.63875
26	13.00399	77.63880
27	13.00400	77.63886
28	13.00403	77.63893
29	13.00404	77.63900
30	13.00405	77.63906
31	13.00406	77.63912
32	13.00407	77.63919
33	13.00407	77.63926
34	13.00408	77.63931
35	13.00408	77.63938
36	13.00408	77.63945
37	13.00408	77.63953
38	13.00407	77.63961
39	13.00407	77.63971
40	13.00406	77.63978
41	13.00406	77.63983
42	13.00406	77.63990
43	13.00409	77.63996
44	13.00410	77.64002
45	13.00413	77.64009
46	13.00417	77.64015
47	13.00421	77.64022
48	13.00424	77.64029
49	13.00426	77.64034
50	13.00427	77.64039
51	13.00429	77.64045
52	13.00430	77.64051
53	13.00433	77.64059
54	13.00433	77.64067
55	13.00435	77.64072
56	13.00437	77.64077
57	13.00439	77.64085
58	13.00443	77.64092
59	13.00445	77.64099
60	13.00446	77.64105
61	13.00447	77.64113
62	13.00450	77.64120
63	13.00451	77.64126
64	13.00451	77.64132
65	13.00454	77.64139
66	13.00455	77.64144
67	13.00457	77.64152
68	13.00459	77.64157
69	13.00461	77.64164
70	13.00463	77.64170
71	13.00465	77.64176
72	13.00468	77.64181
73	13.00470	77.64190
74	13.00471	77.64197
75	13.00472	77.64202
76	13.00473	77.64208
77	13.00474	77.64216
78	13.00474	77.64221
79	13.00474	77.64227
80	13.00474	77.64233
81	13.00474	77.64240
82	13.00475	77.64246
83	13.00475	77.64253
84	13.00476	77.64261
85	13.00477	77.64267
86	13.00477	77.64273
87	13.00478	77.64279
88	13.00478	77.64286
89	13.00479	77.64292
90	13.00479	77.64299
91	13.00479	77.64305
92	13.00479	77.64312
93	13.00479	77.64318
94	13.00479	77.64325
95	13.00479	77.64332
96	13.00479	77.64338
97	13.00479	77.64344
98	13.00481	77.64349
99	13.00483	77.64355
100	13.00483	77.64361
101	13.00485	77.64367
102	13.00486	77.64372
103	13.00487	77.64378
104	13.00487	77.64384
105	13.00488	77.64390
106	13.00489	77.64397
107	13.00489	77.64403
108	13.00490	77.64409
109	13.00491	77.64415
110	13.00491	77.64422
111	13.00491	77.64429
112	13.00492	77.64435
113	13.00492	77.64443
114	13.00492	77.64449
115	13.00492	77.64456
116	13.00493	77.64461
117	13.00494	77.64468
118	13.00494	77.64475
119	13.00495	77.64482
120	13.00495	77.64490
121	13.00495	77.64497
122	13.00496	77.64504
123	13.00497	77.64510
124	13.00498	77.64518
125	13.00498	77.64525
126	13.00499	77.64531
127	13.00500	77.64538
128	13.00500	77.64544
129	13.00500	77.64551
130	13.00502	77.64556
131	13.00504	77.64563
132	13.00505	77.64569
133	13.00506	77.64577
134	13.00507	77.64585
135	13.00508	77.64593
