Rank	Latitude	Longitude
1	13.00893	77.61727
2	13.00890	77.61734
3	13.00888	77.61742
4	13.00887	77.61747
5	13.00885	77.61753
6	13.00883	77.61758
7	13.00879	77.61766
8	13.00877	77.61771
9	13.00874	77.61778
10	13.00870	77.61786
11	13.00869	77.61791
12	13.00867	77.61799
13	13.00865	77.61805
14	13.00863	77.61812
15	13.00859	77.61820
16	13.00857	77.61825
17	13.00853	77.61832
18	13.00850	77.61840
19	13.00848	77.61845
20	13.00847	77.61851
21	13.00845	77.61857
22	13.00843	77.61863
23	13.00841	77.61868
24	13.00840	77.61873
25	13.00838	77.61879
26	13.00836	77.61886
27	13.00834	77.61891
28	13.00832	77.61899
29	13.00829	77.61906
30	13.00827	77.61911
31	13.00824	77.61919
32	13.00822	77.61924
33	13.00820	77.61930
34	13.00817	77.61938
35	13.00815	77.61944
36	13.00813	77.61951
37	13.00811	77.61956
38	13.00808	77.61963
39	13.00807	77.61968
40	13.00799	77.61972
41	13.00793	77.61975
42	13.00786	77.61978
43	13.00779	77.61982
44	13.00772	77.61987
45	13.00767	77.61992
46	13.00761	77.61997
47	13.00756	77.62003
48	13.00752	77.62010
49	13.00751	77.62017
50	13.00752	77.62024
51	13.00753	77.62029
52	13.00754	77.62036
53	13.00756	77.62042
54	13.00758	77.62049
55	13.00760	77.62055
56	13.00761	77.62062
57	13.00762	77.62068
58	13.00764	77.62074
59	13.00766	77.62081
60	13.00769	77.62087
61	13.00772	77.62093
62	13.00776	77.62099
63	13.00780	77.62107
64	13.00784	77.62115
65	13.00788	77.62121
66	13.00791	77.62126
67	13.00796	77.62133
68	13.00798	77.62139
69	13.00803	77.62146
70	13.00809	77.62153
71	13.00814	77.62160
72	13.00818	77.62166
73	13.00822	77.62172
74	13.00827	77.62178
75	13.00829	77.62184
76	13.00833	77.62189
77	13.00836	77.62194
78	13.00829	77.62198
79	13.00823	77.62202
80	13.00816	77.62206
81	13.00811	77.62210
82	13.00806	77.62213
83	13.00799	77.62217
84	13.00793	77.62221
85	13.00787	77.62227
86	13.00780	77.62233
87	13.00775	77.62239
88	13.00769	77.62245
89	13.00763	77.62251
90	13.00756	77.62259
91	13.00751	77.62264
92	13.00746	77.62270
93	13.00740	77.62277
94	13.00735	77.62284
95	13.00730	77.62291
96	13.00727	77.62296
97	13.00723	77.62303
98	13.00719	77.62310
99	13.00716	77.62316
100	13.00712	77.62323
101	13.00709	77.62330
102	13.00706	77.62335
103	13.00702	77.62342
104	13.00700	77.62348
105	13.00699	77.62353
106	13.00697	77.62359
107	13.00695	77.62365
108	13.00692	77.62370
109	13.00687	77.62377
110	13.00680	77.62366
111	13.00672	77.62357
112	13.00668	77.62351
113	13.00664	77.62346
114	13.00659	77.62341
115	13.00651	77.62331
116	13.00646	77.62327
117	13.00642	77.62321
118	13.00633	77.62312
119	13.00628	77.62307
120	13.00623	77.62304
121	13.00612	77.62296
122	13.00607	77.62292
123	13.00602	77.62288
124	13.00595	77.62284
125	13.00585	77.62275
126	13.00579	77.62271
127	13.00574	77.62267
128	13.00569	77.62262
129	13.00564	77.62259
130	13.00558	77.62255
