Rank	Latitude	Longitude
1	13.00570	77.59321
2	13.00576	77.59326
3	13.00583	77.59330
4	13.00589	77.59334
5	13.00594	77.59339
6	13.00601	77.59343
7	13.00607	77.59348
8	13.00613	77.59352
9	13.00619	77.59356
10	13.00625	77.59360
11	13.00633	77.59364
12	13.00641	77.59368
13	13.00648	77.59371
14	13.00654	77.59375
15	13.00660	77.59379
16	13.00666	77.59383
17	13.00672	77.59386
18	13.00677	77.59388
19	13.00683	77.59389
20	13.00688	77.59391
21	13.00693	77.59393
22	13.00701	77.59395
23	13.00708	77.59397
24	13.00716	77.59399
25	13.00721	77.59401
26	13.00726	77.59403
27	13.00732	77.59404
28	13.00739	77.59405
29	13.00744	77.59406
30	13.00750	77.59408
31	13.00755	77.59410
32	13.00761	77.59412
33	13.00768	77.59413
34	13.00776	77.59415
35	13.00784	77.59418
36	13.00789	77.59420
37	13.00796	77.59423
38	13.00803	77.59427
39	13.00808	77.59428
40	13.00813	77.59429
41	13.00821	77.59432
42	13.00826	77.59434
43	13.00831	77.59436
44	13.00838	77.59439
45	13.00845	77.59441
46	13.00852	77.59444
47	13.00858	77.59447
48	13.00866	77.59449
49	13.00872	77.59451
50	13.00879	77.59453
51	13.00884	77.59454
52	13.00889	77.59456
53	13.00897	77.59459
54	13.00904	77.59463
55	13.00912	77.59466
56	13.00918	77.59469
57	13.00923	77.59477
58	13.00923	77.59484
59	13.00921	77.59490
60	13.00919	77.59496
61	13.00927	77.59500
62	13.00933	77.59501
63	13.00938	77.59502
64	13.00944	77.59504
65	13.00949	77.59506
66	13.00956	77.59509
67	13.00961	77.59510
68	13.00966	77.59512
69	13.00972	77.59514
70	13.00979	77.59516
71	13.00986	77.59519
72	13.00993	77.59522
73	13.01000	77.59525
74	13.01008	77.59528
75	13.01015	77.59530
76	13.01020	77.59531
77	13.01027	77.59534
78	13.01033	77.59536
79	13.01038	77.59539
80	13.01045	77.59543
81	13.01053	77.59547
82	13.01059	77.59550
83	13.01065	77.59552
84	13.01071	77.59555
85	13.01078	77.59558
86	13.01086	77.59561
87	13.01091	77.59564
88	13.01098	77.59568
89	13.01104	77.59571
90	13.01111	77.59574
91	13.01118	77.59578
92	13.01125	77.59581
93	13.01130	77.59584
94	13.01137	77.59588
95	13.01142	77.59590
96	13.01142	77.59597
97	13.01139	77.59604
98	13.01137	77.59609
99	13.01135	77.59614
100	13.01131	77.59620
101	13.01128	77.59626
102	13.01126	77.59631
103	13.01123	77.59636
104	13.01120	77.59644
105	13.01117	77.59650
106	13.01114	77.59656
107	13.01111	77.59662
108	13.01108	77.59668
109	13.01106	77.59674
110	13.01102	77.59682
111	13.01099	77.59688
112	13.01096	77.59693
113	13.01094	77.59699
114	13.01091	77.59705
115	13.01090	77.59712
116	13.01087	77.59718
117	13.01083	77.59726
118	13.01079	77.59732
119	13.01077	77.59739
120	13.01075	77.59746
121	13.01073	77.59752
122	13.01070	77.59759
123	13.01069	77.59766
124	13.01067	77.59773
125	13.01065	77.59779
126	13.01062	77.59786
127	13.01059	77.59792
128	13.01056	77.59798
129	13.01053	77.59805
130	13.01050	77.59812
131	13.01048	77.59818
132	13.01046	77.59824
133	13.01043	77.59830
134	13.01041	77.59836
135	13.01039	77.59842
136	13.01037	77.59848
137	13.01035	77.59854
138	13.01033	77.59860
139	13.01032	77.59865
140	13.01025	77.59872
141	13.01022	77.59878
142	13.01018	77.59883
143	13.01014	77.59889
144	13.01012	77.59896
145	13.01009	77.59902
146	13.01006	77.59909
147	13.01004	77.59914
148	13.00999	77.59922
149	13.00996	77.59929
150	13.00993	77.59935
151	13.00989	77.59941
152	13.00984	77.59948
153	13.00980	77.59953
154	13.00977	77.59959
155	13.00973	77.59965
156	13.00969	77.59972
157	13.00966	77.59979
158	13.00962	77.59984
159	13.00959	77.59991
160	13.00955	77.59996
161	13.00952	77.60002
162	13.00948	77.60008
163	13.00944	77.60016
164	13.00942	77.60022
165	13.00938	77.60029
166	13.00936	77.60035
167	13.00932	77.60043
168	13.00928	77.60050
169	13.00925	77.60056
170	13.00922	77.60061
171	13.00919	77.60067
172	13.00915	77.60074
173	13.00911	77.60081
174	13.00907	77.60088
175	13.00904	77.60093
176	13.00900	77.60101
177	13.00897	77.60107
178	13.00894	77.60114
179	13.00889	77.60120
180	13.00887	77.60126
181	13.00883	77.60132
182	13.00878	77.60139
183	13.00875	77.60144
184	13.00872	77.60150
185	13.00869	77.60157
186	13.00866	77.60163
187	13.00862	77.60171
188	13.00858	77.60179
189	13.00856	77.60185
190	13.00853	77.60192
191	13.00850	77.60199
192	13.00846	77.60206
193	13.00844	77.60212
194	13.00841	77.60217
195	13.00839	77.60223
196	13.00836	77.60230
197	13.00833	77.60236
198	13.00830	77.60242
199	13.00827	77.60247
200	13.00825	77.60253
201	13.00822	77.60260
202	13.00818	77.60266
203	13.00815	77.60274
204	13.00812	77.60279
205	13.00808	77.60287
206	13.00806	77.60293
207	13.00802	77.60299
208	13.00798	77.60306
209	13.00795	77.60313
210	13.00793	77.60319
211	13.00791	77.60326
212	13.00787	77.60332
213	13.00784	77.60339
214	13.00782	77.60346
215	13.00778	77.60353
216	13.00774	77.60361
217	13.00771	77.60369
218	13.00767	77.60376
219	13.00763	77.60384
220	13.00759	77.60392
221	13.00756	77.60398
222	13.00753	77.60405
223	13.00750	77.60411
224	13.00746	77.60416
225	13.00742	77.60424
226	13.00739	77.60430
227	13.00736	77.60436
228	13.00732	77.60443
229	13.00729	77.60449
230	13.00725	77.60456
231	13.00721	77.60461
232	13.00717	77.60468
233	13.00714	77.60474
234	13.00711	77.60481
235	13.00706	77.60487
236	13.00703	77.60495
237	13.00698	77.60501
238	13.00692	77.60508
239	13.00685	77.60514
240	13.00679	77.60518
241	13.00672	77.60521
242	13.00663	77.60521
243	13.00655	77.60521
244	13.00649	77.60519
245	13.00644	77.60516
246	13.00636	77.60512
247	13.00630	77.60510
248	13.00623	77.60509
249	13.00618	77.60507
250	13.00611	77.60504
251	13.00603	77.60503
252	13.00598	77.60501
253	13.00601	77.60494
254	13.00606	77.60488
255	13.00610	77.60482
