Rank	Latitude	Longitude
1	13.00026	77.61315
2	13.00027	77.61321
3	13.00031	77.61328
4	13.00035	77.61336
5	13.00037	77.61343
6	13.00039	77.61349
7	13.00042	77.61356
8	13.00045	77.61363
9	13.00048	77.61371
10	13.00050	77.61378
11	13.00052	77.61386
12	13.00054	77.61393
13	13.00057	77.61401
14	13.00058	77.61407
15	13.00060	77.61413
16	13.00062	77.61419
17	13.00064	77.61424
18	13.00065	77.61431
19	13.00065	77.61439
20	13.00067	77.61446
21	13.00067	77.61451
22	13.00068	77.61457
23	13.00069	77.61462
24	13.00069	77.61469
25	13.00070	77.61475
26	13.00071	77.61481
27	13.00072	77.61487
28	13.00073	77.61494
29	13.00074	77.61501
30	13.00075	77.61507
31	13.00076	77.61513
32	13.00076	77.61520
33	13.00077	77.61527
34	13.00078	77.61535
35	13.00078	77.61541
36	13.00078	77.61548
37	13.00078	77.61555
38	13.00078	77.61563
39	13.00078	77.61570
40	13.00080	77.61579
41	13.00080	77.61586
42	13.00080	77.61593
43	13.00080	77.61601
44	13.00080	77.61607
45	13.00080	77.61615
46	13.00080	77.61621
47	13.00081	77.61629
48	13.00081	77.61635
49	13.00081	77.61642
50	13.00081	77.61649
51	13.00080	77.61654
52	13.00080	77.61660
53	13.00079	77.61666
54	13.00078	77.61671
55	13.00077	77.61676
56	13.00076	77.61683
57	13.00075	77.61688
58	13.00075	77.61694
59	13.00074	77.61701
60	13.00073	77.61707
61	13.00072	77.61713
62	13.00071	77.61720
63	13.00069	77.61726
64	13.00068	77.61732
65	13.00066	77.61740
66	13.00064	77.61747
67	13.00062	77.61752
68	13.00061	77.61758
69	13.00060	77.61764
70	13.00059	77.61769
71	13.00057	77.61776
72	13.00056	77.61783
73	13.00055	77.61789
74	13.00052	77.61794
75	13.00051	77.61800
76	13.00049	77.61806
77	13.00048	77.61812
78	13.00046	77.61820
79	13.00044	77.61825
80	13.00042	77.61831
81	13.00041	77.61836
82	13.00039	77.61842
83	13.00037	77.61849
84	13.00036	77.61854
85	13.00034	77.61860
86	13.00032	77.61865
87	13.00030	77.61872
88	13.00028	77.61879
89	13.00025	77.61887
90	13.00022	77.61892
91	13.00019	77.61898
92	13.00016	77.61903
93	13.00012	77.61909
94	13.00007	77.61916
95	13.00005	77.61922
96	13.00000	77.61929
97	12.99996	77.61938
98	12.99994	77.61943
99	12.99990	77.61950
100	12.99987	77.61955
101	12.99983	77.61961
102	12.99978	77.61967
103	12.99975	77.61974
104	12.99971	77.61979
105	12.99969	77.61984
106	12.99966	77.61992
107	12.99962	77.61998
108	12.99958	77.62004
109	12.99954	77.62009
110	12.99951	77.62014
111	12.99948	77.62020
112	12.99944	77.62025
113	12.99941	77.62032
114	12.99934	77.62039
115	12.99928	77.62047
116	12.99923	77.62054
117	12.99918	77.62060
118	12.99914	77.62065
119	12.99908	77.62070
120	12.99903	77.62075
121	12.99899	77.62080
122	12.99895	77.62086
123	12.99890	77.62091
124	12.99885	77.62097
125	12.99879	77.62104
126	12.99875	77.62109
127	12.99869	77.62118
128	12.99864	77.62123
129	12.99858	77.62128
130	12.99852	77.62122
131	12.99849	77.62117
132	12.99848	77.62112
133	12.99846	77.62107
134	12.99843	77.62101
135	12.99839	77.62095
136	12.99835	77.62090
137	12.99831	77.62084
138	12.99826	77.62079
139	12.99822	77.62074
140	12.99818	77.62069
141	12.99813	77.62063
142	12.99808	77.62057
143	12.99804	77.62052
144	12.99798	77.62047
145	12.99792	77.62043
146	12.99787	77.62039
147	12.99781	77.62035
148	12.99775	77.62031
149	12.99769	77.62027
150	12.99763	77.62024
151	12.99757	77.62021
152	12.99752	77.62017
153	12.99746	77.62013
154	12.99740	77.62009
155	12.99736	77.62004
156	12.99734	77.61999
157	12.99731	77.61993
158	12.99729	77.61987
159	12.99725	77.61981
160	12.99723	77.61975
161	12.99720	77.61969
162	12.99718	77.61964
163	12.99716	77.61958
164	12.99713	77.61953
165	12.99711	77.61948
166	12.99708	77.61941
167	12.99706	77.61936
168	12.99704	77.61931
169	12.99701	77.61925
170	12.99698	77.61919
171	12.99694	77.61914
172	12.99690	77.61908
173	12.99685	77.61903
174	12.99679	77.61899
175	12.99673	77.61894
176	12.99668	77.61890
177	12.99663	77.61887
178	12.99656	77.61884
179	12.99650	77.61880
180	12.99644	77.61877
181	12.99638	77.61874
182	12.99632	77.61871
183	12.99627	77.61868
184	12.99621	77.61866
185	12.99614	77.61862
186	12.99609	77.61860
187	12.99603	77.61856
188	12.99598	77.61853
189	12.99592	77.61851
190	12.99586	77.61847
191	12.99581	77.61843
192	12.99576	77.61840
193	12.99569	77.61837
194	12.99564	77.61834
195	12.99559	77.61831
196	12.99553	77.61828
197	12.99548	77.61826
198	12.99542	77.61825
199	12.99537	77.61823
200	12.99531	77.61821
201	12.99525	77.61819
202	12.99519	77.61818
203	12.99514	77.61816
204	12.99509	77.61815
205	12.99503	77.61813
206	12.99497	77.61811
207	12.99491	77.61810
208	12.99486	77.61809
209	12.99480	77.61808
210	12.99473	77.61808
211	12.99467	77.61807
212	12.99461	77.61806
213	12.99455	77.61806
214	12.99450	77.61807
215	12.99443	77.61807
216	12.99439	77.61801
217	12.99436	77.61796
218	12.99433	77.61789
219	12.99432	77.61784
220	12.99427	77.61789
221	12.99423	77.61794
222	12.99419	77.61799
223	12.99416	77.61805
224	12.99413	77.61811
225	12.99410	77.61817
226	12.99406	77.61823
227	12.99403	77.61829
228	12.99398	77.61835
229	12.99393	77.61840
230	12.99389	77.61845
231	12.99383	77.61851
232	12.99377	77.61856
233	12.99372	77.61860
234	12.99367	77.61864
235	12.99362	77.61868
236	12.99355	77.61873
237	12.99350	77.61877
238	12.99344	77.61881
239	12.99338	77.61884
240	12.99332	77.61887
241	12.99327	77.61890
242	12.99322	77.61893
243	12.99316	77.61896
244	12.99310	77.61899
245	12.99304	77.61904
