Rank	Latitude	Longitude
1	12.98033	77.62411
2	12.98038	77.62404
3	12.98044	77.62399
4	12.98049	77.62397
5	12.98055	77.62394
6	12.98061	77.62392
7	12.98066	77.62391
8	12.98072	77.62390
9	12.98079	77.62389
10	12.98084	77.62388
11	12.98090	77.62387
12	12.98095	77.62385
13	12.98101	77.62383
14	12.98107	77.62381
15	12.98112	77.62381
16	12.98119	77.62380
17	12.98125	77.62379
18	12.98131	77.62378
19	12.98138	77.62377
20	12.98144	77.62376
21	12.98150	77.62374
22	12.98155	77.62373
23	12.98163	77.62370
24	12.98169	77.62369
25	12.98174	77.62367
26	12.98181	77.62366
27	12.98188	77.62366
28	12.98196	77.62366
29	12.98205	77.62365
30	12.98210	77.62365
31	12.98216	77.62364
32	12.98222	77.62362
33	12.98227	77.62361
34	12.98235	77.62361
35	12.98242	77.62359
36	12.98248	77.62359
37	12.98253	77.62358
38	12.98261	77.62357
39	12.98268	77.62356
40	12.98274	77.62355
41	12.98280	77.62354
42	12.98286	77.62354
43	12.98293	77.62352
44	12.98298	77.62353
45	12.98305	77.62353
46	12.98311	77.62353
47	12.98317	77.62353
48	12.98322	77.62351
49	12.98327	77.62351
50	12.98335	77.62350
51	12.98343	77.62350
52	12.98351	77.62350
53	12.98357	77.62350
54	12.98364	77.62350
55	12.98371	77.62350
56	12.98376	77.62351
57	12.98382	77.62351
58	12.98389	77.62352
59	12.98395	77.62353
60	12.98402	77.62355
61	12.98407	77.62356
62	12.98413	77.62357
63	12.98418	77.62358
64	12.98427	77.62359
65	12.98434	77.62359
66	12.98439	77.62360
67	12.98447	77.62360
68	12.98454	77.62360
69	12.98461	77.62360
70	12.98468	77.62360
71	12.98474	77.62360
72	12.98482	77.62360
73	12.98489	77.62360
74	12.98495	77.62360
75	12.98503	77.62360
76	12.98510	77.62360
77	12.98516	77.62360
78	12.98522	77.62361
79	12.98528	77.62361
80	12.98536	77.62361
81	12.98544	77.62362
82	12.98553	77.62363
83	12.98558	77.62365
84	12.98565	77.62365
85	12.98572	77.62365
86	12.98579	77.62365
87	12.98585	77.62364
88	12.98591	77.62363
89	12.98598	77.62360
90	12.98605	77.62356
91	12.98611	77.62352
92	12.98617	77.62347
93	12.98622	77.62340
94	12.98624	77.62335
95	12.98625	77.62329
96	12.98626	77.62323
97	12.98626	77.62317
98	12.98625	77.62311
99	12.98623	77.62305
100	12.98621	77.62299
101	12.98620	77.62293
102	12.98619	77.62286
103	12.98618	77.62279
104	12.98617	77.62273
105	12.98617	77.62266
106	12.98617	77.62258
107	12.98617	77.62251
108	12.98617	77.62245
109	12.98616	77.62239
110	12.98616	77.62232
111	12.98615	77.62226
112	12.98614	77.62220
113	12.98612	77.62215
114	12.98609	77.62208
115	12.98608	77.62201
116	12.98608	77.62195
117	12.98607	77.62188
118	12.98606	77.62181
119	12.98605	77.62176
120	12.98603	77.62169
121	12.98602	77.62164
122	12.98601	77.62157
123	12.98600	77.62151
124	12.98600	77.62144
125	12.98599	77.62137
126	12.98598	77.62131
127	12.98597	77.62124
128	12.98596	77.62118
129	12.98595	77.62111
130	12.98594	77.62104
131	12.98594	77.62098
132	12.98593	77.62091
133	12.98592	77.62085
134	12.98590	77.62079
135	12.98588	77.62073
136	12.98587	77.62066
137	12.98586	77.62060
138	12.98586	77.62053
139	12.98587	77.62047
140	12.98593	77.62047
141	12.98598	77.62046
142	12.98605	77.62046
143	12.98611	77.62046
144	12.98618	77.62046
145	12.98624	77.62047
146	12.98629	77.62048
147	12.98636	77.62048
148	12.98641	77.62050
149	12.98647	77.62051
150	12.98654	77.62052
151	12.98659	77.62052
152	12.98665	77.62053
153	12.98671	77.62054
154	12.98677	77.62054
155	12.98682	77.62056
156	12.98690	77.62058
157	12.98698	77.62060
158	12.98703	77.62062
159	12.98710	77.62063
160	12.98716	77.62064
161	12.98723	77.62064
162	12.98730	77.62064
163	12.98736	77.62064
164	12.98743	77.62064
165	12.98751	77.62064
166	12.98758	77.62064
167	12.98765	77.62064
168	12.98770	77.62065
169	12.98777	77.62065
170	12.98783	77.62065
171	12.98790	77.62065
172	12.98797	77.62065
173	12.98803	77.62064
174	12.98809	77.62063
175	12.98817	77.62062
176	12.98823	77.62062
177	12.98828	77.62061
178	12.98835	77.62060
179	12.98843	77.62059
180	12.98850	77.62058
181	12.98856	77.62058
182	12.98864	77.62057
183	12.98870	77.62057
184	12.98877	77.62057
185	12.98883	77.62057
186	12.98889	77.62057
187	12.98896	77.62057
188	12.98902	77.62057
189	12.98909	77.62057
190	12.98915	77.62055
191	12.98921	77.62055
192	12.98927	77.62054
193	12.98934	77.62054
194	12.98940	77.62054
195	12.98947	77.62054
196	12.98953	77.62054
197	12.98960	77.62054
198	12.98967	77.62053
199	12.98972	77.62052
200	12.98979	77.62051
201	12.98984	77.62050
202	12.98990	77.62049
203	12.98995	77.62047
204	12.99000	77.62046
205	12.99006	77.62044
206	12.99012	77.62043
207	12.99019	77.62040
208	12.99024	77.62039
209	12.99032	77.62036
210	12.99039	77.62033
211	12.99047	77.62030
212	12.99053	77.62026
213	12.99059	77.62024
214	12.99066	77.62021
215	12.99071	77.62019
216	12.99077	77.62017
217	12.99082	77.62015
218	12.99087	77.62013
219	12.99093	77.62011
220	12.99099	77.62008
221	12.99104	77.62006
222	12.99110	77.62002
223	12.99115	77.61999
224	12.99121	77.61997
225	12.99128	77.61994
226	12.99134	77.61992
227	12.99139	77.61990
228	12.99145	77.61987
229	12.99151	77.61983
