Rank	Latitude	Longitude
1	12.97448	77.64789
2	12.97440	77.64790
3	12.97435	77.64791
4	12.97429	77.64792
5	12.97424	77.64793
6	12.97418	77.64794
7	12.97412	77.64794
8	12.97405	77.64794
9	12.97398	77.64794
10	12.97391	77.64794
11	12.97384	77.64794
12	12.97378	77.64795
13	12.97372	77.64795
14	12.97366	77.64797
15	12.97359	77.64798
16	12.97353	77.64798
17	12.97345	77.64799
18	12.97337	77.64800
19	12.97331	77.64801
20	12.97322	77.64803
21	12.97316	77.64804
22	12.97310	77.64805
23	12.97304	77.64805
24	12.97299	77.64805
25	12.97292	77.64805
26	12.97284	77.64805
27	12.97277	77.64805
28	12.97268	77.64804
29	12.97262	77.64802
30	12.97255	77.64801
31	12.97248	77.64800
32	12.97241	77.64800
33	12.97234	77.64801
34	12.97227	77.64802
35	12.97221	77.64802
36	12.97214	77.64802
37	12.97207	77.64802
38	12.97201	77.64803
39	12.97194	77.64805
40	12.97188	77.64805
41	12.97182	77.64806
42	12.97175	77.64806
43	12.97169	77.64807
44	12.97164	77.64807
45	12.97157	77.64807
46	12.97152	77.64808
47	12.97144	77.64808
48	12.97139	77.64808
49	12.97133	77.64809
50	12.97127	77.64809
51	12.97120	77.64809
52	12.97114	77.64809
53	12.97109	77.64809
54	12.97102	77.64809
55	12.97096	77.64809
56	12.97091	77.64809
57	12.97083	77.64811
58	12.97078	77.64811
59	12.97072	77.64812
60	12.97064	77.64814
61	12.97058	77.64815
62	12.97053	77.64817
63	12.97047	77.64819
64	12.97040	77.64821
65	12.97035	77.64822
66	12.97029	77.64824
67	12.97023	77.64825
68	12.97017	77.64826
69	12.97012	77.64828
70	12.97004	77.64830
71	12.96999	77.64832
72	12.96991	77.64834
73	12.96985	77.64835
74	12.96980	77.64836
75	12.96974	77.64837
76	12.96969	77.64838
77	12.96961	77.64841
78	12.96955	77.64842
79	12.96947	77.64844
80	12.96941	77.64844
81	12.96935	77.64845
82	12.96929	77.64846
83	12.96923	77.64847
84	12.96918	77.64848
85	12.96912	77.64849
86	12.96906	77.64851
87	12.96904	77.64844
