Rank	Latitude	Longitude
1	12.96037	77.66111
2	12.96037	77.66117
3	12.96037	77.66123
4	12.96036	77.66130
5	12.96036	77.66136
6	12.96035	77.66143
7	12.96034	77.66150
8	12.96034	77.66157
9	12.96033	77.66165
10	12.96032	77.66171
11	12.96030	77.66179
12	12.96028	77.66186
13	12.96027	77.66192
14	12.96034	77.66197
15	12.96040	77.66197
16	12.96046	77.66199
17	12.96052	77.66202
18	12.96058	77.66203
19	12.96064	77.66205
20	12.96071	77.66207
21	12.96078	77.66209
22	12.96081	77.66215
23	12.96080	77.66221
24	12.96079	77.66228
25	12.96078	77.66235
26	12.96078	77.66241
27	12.96077	77.66249
28	12.96077	77.66255
29	12.96076	77.66262
30	12.96077	77.66268
31	12.96078	77.66273
32	12.96084	77.66275
33	12.96091	77.66278
34	12.96096	77.66280
35	12.96102	77.66282
36	12.96109	77.66284
37	12.96114	77.66285
38	12.96119	77.66287
39	12.96125	77.66289
40	12.96132	77.66291
41	12.96137	77.66293
42	12.96142	77.66294
43	12.96151	77.66295
44	12.96157	77.66296
45	12.96163	77.66297
46	12.96171	77.66298
47	12.96180	77.66298
48	12.96187	77.66299
49	12.96193	77.66300
50	12.96199	77.66301
51	12.96208	77.66301
52	12.96215	77.66302
53	12.96224	77.66303
54	12.96232	77.66304
55	12.96239	77.66304
56	12.96247	77.66304
57	12.96255	77.66304
58	12.96263	77.66304
59	12.96271	77.66302
60	12.96279	77.66301
61	12.96286	77.66299
62	12.96290	77.66292
63	12.96289	77.66287
64	12.96288	77.66280
65	12.96287	77.66274
66	12.96287	77.66268
67	12.96286	77.66262
68	12.96286	77.66256
69	12.96285	77.66250
70	12.96284	77.66245
71	12.96284	77.66239
72	12.96283	77.66233
73	12.96281	77.66227
74	12.96288	77.66222
75	12.96294	77.66220
76	12.96300	77.66218
77	12.96305	77.66217
78	12.96311	77.66214
79	12.96316	77.66212
80	12.96323	77.66209
81	12.96328	77.66206
82	12.96336	77.66203
83	12.96344	77.66201
84	12.96351	77.66198
85	12.96358	77.66196
86	12.96359	77.66188
87	12.96361	77.66182
88	12.96363	77.66176
89	12.96370	77.66181
90	12.96377	77.66183
91	12.96383	77.66185
92	12.96388	77.66187
93	12.96394	77.66189
94	12.96400	77.66191
95	12.96400	77.66199
96	12.96400	77.66205
97	12.96400	77.66212
98	12.96400	77.66219
99	12.96401	77.66225
100	12.96403	77.66232
101	12.96404	77.66237
102	12.96413	77.66240
103	12.96416	77.66246
104	12.96415	77.66253
105	12.96412	77.66261
106	12.96412	77.66268
107	12.96413	77.66274
108	12.96414	77.66282
109	12.96419	77.66283
110	12.96425	77.66286
111	12.96432	77.66289
112	12.96440	77.66290
113	12.96447	77.66291
114	12.96453	77.66292
115	12.96459	77.66294
116	12.96465	77.66297
117	12.96471	77.66301
118	12.96476	77.66305
119	12.96482	77.66311
120	12.96488	77.66310
121	12.96494	77.66307
122	12.96500	77.66304
123	12.96506	77.66300
124	12.96511	77.66298
125	12.96516	77.66295
126	12.96523	77.66292
127	12.96528	77.66288
128	12.96534	77.66284
129	12.96541	77.66276
130	12.96543	77.66271
131	12.96543	77.66264
132	12.96544	77.66258
133	12.96545	77.66251
134	12.96545	77.66246
135	12.96546	77.66238
136	12.96546	77.66231
137	12.96547	77.66224
138	12.96547	77.66216
139	12.96548	77.66209
140	12.96548	77.66202
141	12.96549	77.66195
142	12.96549	77.66189
143	12.96550	77.66182
144	12.96550	77.66175
145	12.96551	77.66169
146	12.96552	77.66160
147	12.96552	77.66154
148	12.96554	77.66147
149	12.96554	77.66140
150	12.96555	77.66132
151	12.96556	77.66124
152	12.96557	77.66118
153	12.96558	77.66111
154	12.96559	77.66105
155	12.96560	77.66098
156	12.96561	77.66091
157	12.96562	77.66084
158	12.96563	77.66077
159	12.96563	77.66070
160	12.96564	77.66063
161	12.96565	77.66056
162	12.96566	77.66050
163	12.96567	77.66042
164	12.96568	77.66036
165	12.96568	77.66030
166	12.96569	77.66023
167	12.96570	77.66016
168	12.96571	77.66010
169	12.96572	77.66004
170	12.96573	77.65997
171	12.96575	77.65991
172	12.96577	77.65985
173	12.96577	77.65978
174	12.96578	77.65973
175	12.96578	77.65966
176	12.96578	77.65960
177	12.96579	77.65953
178	12.96580	77.65946
179	12.96580	77.65940
180	12.96582	77.65933
181	12.96583	77.65925
182	12.96583	77.65917
183	12.96584	77.65911
184	12.96585	77.65904
185	12.96586	77.65897
186	12.96586	77.65891
187	12.96587	77.65886
188	12.96589	77.65879
189	12.96590	77.65872
190	12.96591	77.65867
191	12.96591	77.65859
192	12.96592	77.65853
193	12.96593	77.65848
194	12.96593	77.65843
195	12.96595	77.65836
