Rank	Latitude	Longitude
1	12.98033	77.62411
2	12.98038	77.62404
3	12.98044	77.62399
4	12.98049	77.62397
5	12.98055	77.62394
6	12.98061	77.62392
7	12.98066	77.62391
8	12.98072	77.62390
9	12.98079	77.62389
10	12.98084	77.62388
11	12.98090	77.62387
12	12.98095	77.62385
13	12.98101	77.62383
14	12.98107	77.62381
15	12.98112	77.62381
16	12.98119	77.62380
17	12.98125	77.62379
18	12.98131	77.62378
19	12.98138	77.62377
20	12.98144	77.62376
21	12.98150	77.62374
22	12.98155	77.62373
23	12.98163	77.62370
24	12.98169	77.62369
25	12.98174	77.62367
26	12.98181	77.62366
27	12.98188	77.62366
28	12.98196	77.62366
29	12.98205	77.62365
30	12.98210	77.62365
31	12.98216	77.62364
32	12.98222	77.62362
33	12.98227	77.62361
34	12.98235	77.62361
35	12.98242	77.62359
36	12.98248	77.62359
37	12.98253	77.62358
38	12.98261	77.62357
39	12.98268	77.62356
40	12.98274	77.62355
41	12.98280	77.62354
42	12.98286	77.62354
43	12.98293	77.62352
44	12.98298	77.62353
45	12.98305	77.62353
46	12.98311	77.62353
47	12.98317	77.62353
48	12.98322	77.62351
49	12.98327	77.62351
50	12.98335	77.62350
51	12.98343	77.62350
52	12.98351	77.62350
53	12.98357	77.62350
54	12.98364	77.62350
55	12.98371	77.62350
56	12.98376	77.62351
57	12.98382	77.62351
58	12.98389	77.62352
59	12.98395	77.62353
60	12.98402	77.62355
61	12.98407	77.62356
62	12.98413	77.62357
63	12.98418	77.62358
64	12.98427	77.62359
65	12.98434	77.62359
66	12.98439	77.62360
67	12.98447	77.62360
68	12.98454	77.62360
69	12.98461	77.62360
70	12.98468	77.62360
71	12.98474	77.62360
72	12.98482	77.62360
73	12.98489	77.62360
74	12.98495	77.62360
75	12.98503	77.62360
76	12.98510	77.62360
77	12.98516	77.62360
78	12.98522	77.62361
79	12.98528	77.62361
80	12.98536	77.62361
81	12.98544	77.62362
82	12.98553	77.62363
83	12.98558	77.62365
84	12.98565	77.62365
85	12.98572	77.62365
86	12.98579	77.62365
87	12.98585	77.62364
88	12.98591	77.62363
89	12.98598	77.62360
90	12.98605	77.62356
91	12.98611	77.62352
92	12.98617	77.62347
93	12.98622	77.62340
94	12.98624	77.62335
95	12.98625	77.62329
96	12.98626	77.62323
97	12.98626	77.62317
98	12.98625	77.62311
99	12.98623	77.62305
100	12.98621	77.62299
101	12.98620	77.62293
102	12.98619	77.62286
103	12.98618	77.62279
104	12.98617	77.62273
105	12.98617	77.62266
106	12.98617	77.62258
107	12.98617	77.62251
108	12.98617	77.62245
109	12.98616	77.62239
110	12.98616	77.62232
111	12.98615	77.62226
112	12.98614	77.62220
113	12.98612	77.62215
114	12.98609	77.62208
115	12.98608	77.62201
116	12.98608	77.62195
117	12.98607	77.62188
118	12.98606	77.62181
119	12.98605	77.62176
120	12.98603	77.62169
121	12.98602	77.62164
122	12.98601	77.62157
123	12.98600	77.62151
124	12.98600	77.62144
125	12.98599	77.62137
126	12.98598	77.62131
127	12.98597	77.62124
128	12.98596	77.62118
129	12.98595	77.62111
130	12.98594	77.62104
131	12.98594	77.62098
132	12.98593	77.62091
133	12.98592	77.62085
134	12.98590	77.62079
135	12.98588	77.62073
136	12.98587	77.62066
137	12.98586	77.62060
138	12.98586	77.62053
139	12.98587	77.62047
140	12.98586	77.62042
141	12.98587	77.62034
142	12.98589	77.62027
143	12.98592	77.62021
144	12.98595	77.62014
145	12.98598	77.62008
146	12.98601	77.62001
147	12.98604	77.61995
148	12.98608	77.61988
149	12.98614	77.61980
150	12.98618	77.61975
151	12.98621	77.61969
152	12.98624	77.61963
153	12.98629	77.61956
154	12.98634	77.61948
155	12.98637	77.61943
156	12.98641	77.61937
157	12.98644	77.61931
158	12.98647	77.61925
159	12.98650	77.61919
160	12.98655	77.61912
161	12.98659	77.61907
162	12.98665	77.61899
163	12.98670	77.61891
164	12.98675	77.61886
165	12.98680	77.61880
166	12.98685	77.61874
167	12.98689	77.61868
168	12.98695	77.61860
169	12.98701	77.61853
170	12.98708	77.61846
171	12.98712	77.61841
172	12.98719	77.61835
173	12.98723	77.61830
174	12.98717	77.61825
175	12.98711	77.61821
176	12.98705	77.61817
177	12.98697	77.61813
178	12.98692	77.61810
179	12.98685	77.61806
180	12.98680	77.61804
181	12.98672	77.61800
182	12.98665	77.61796
183	12.98658	77.61791
184	12.98651	77.61786
185	12.98646	77.61782
186	12.98638	77.61777
187	12.98633	77.61773
188	12.98627	77.61769
189	12.98620	77.61764
190	12.98615	77.61760
191	12.98608	77.61755
192	12.98602	77.61751
193	12.98595	77.61746
194	12.98588	77.61742
195	12.98580	77.61737
196	12.98574	77.61732
197	12.98568	77.61728
198	12.98562	77.61723
199	12.98555	77.61718
200	12.98550	77.61714
201	12.98542	77.61708
202	12.98537	77.61704
203	12.98530	77.61699
204	12.98523	77.61694
205	12.98515	77.61689
206	12.98510	77.61686
207	12.98504	77.61682
208	12.98496	77.61677
209	12.98491	77.61673
210	12.98486	77.61668
211	12.98479	77.61662
212	12.98473	77.61658
213	12.98467	77.61654
214	12.98459	77.61650
215	12.98453	77.61646
216	12.98447	77.61644
217	12.98440	77.61640
218	12.98435	77.61637
219	12.98428	77.61633
220	12.98422	77.61628
221	12.98417	77.61624
222	12.98410	77.61618
223	12.98404	77.61613
224	12.98397	77.61608
225	12.98390	77.61602
226	12.98384	77.61597
227	12.98376	77.61592
228	12.98370	77.61587
229	12.98364	77.61582
