Rank	Latitude	Longitude
1	12.94603	77.65054
2	12.94596	77.65062
3	12.94593	77.65067
4	12.94592	77.65073
5	12.94591	77.65080
6	12.94591	77.65085
7	12.94590	77.65092
8	12.94590	77.65098
9	12.94590	77.65106
10	12.94590	77.65111
11	12.94590	77.65117
12	12.94591	77.65123
13	12.94591	77.65129
14	12.94592	77.65135
15	12.94593	77.65141
16	12.94593	77.65148
17	12.94594	77.65153
18	12.94596	77.65160
19	12.94596	77.65166
20	12.94597	77.65171
21	12.94598	77.65178
22	12.94599	77.65183
23	12.94600	77.65190
24	12.94600	77.65196
25	12.94600	77.65204
26	12.94601	77.65211
27	12.94601	77.65220
28	12.94601	77.65227
29	12.94602	77.65233
30	12.94604	77.65241
31	12.94606	77.65246
32	12.94607	77.65251
33	12.94608	77.65259
34	12.94608	77.65266
35	12.94609	77.65271
36	12.94610	77.65279
37	12.94610	77.65285
38	12.94611	77.65291
39	12.94611	77.65299
40	12.94611	77.65305
41	12.94612	77.65313
42	12.94612	77.65320
43	12.94612	77.65328
44	12.94612	77.65334
45	12.94613	77.65340
46	12.94614	77.65346
47	12.94614	77.65351
48	12.94615	77.65358
49	12.94616	77.65363
50	12.94617	77.65369
51	12.94618	77.65375
52	12.94619	77.65382
53	12.94620	77.65389
54	12.94621	77.65394
55	12.94621	77.65401
56	12.94622	77.65408
57	12.94622	77.65413
58	12.94623	77.65419
59	12.94623	77.65427
60	12.94624	77.65435
61	12.94625	77.65444
62	12.94626	77.65450
63	12.94626	77.65456
64	12.94627	77.65463
65	12.94627	77.65469
66	12.94627	77.65476
67	12.94627	77.65483
68	12.94627	77.65489
69	12.94628	77.65494
70	12.94629	77.65500
71	12.94630	77.65506
72	12.94631	77.65512
73	12.94631	77.65517
74	12.94632	77.65523
75	12.94633	77.65531
76	12.94633	77.65536
77	12.94633	77.65544
78	12.94634	77.65550
79	12.94634	77.65556
80	12.94635	77.65562
81	12.94635	77.65569
82	12.94635	77.65578
83	12.94634	77.65585
84	12.94633	77.65591
85	12.94633	77.65596
86	12.94631	77.65604
87	12.94629	77.65610
88	12.94627	77.65616
89	12.94624	77.65623
90	12.94621	77.65630
91	12.94618	77.65637
92	12.94617	77.65643
93	12.94614	77.65651
94	12.94613	77.65658
95	12.94612	77.65665
96	12.94610	77.65670
97	12.94608	77.65676
98	12.94607	77.65684
99	12.94606	77.65690
100	12.94605	77.65696
101	12.94604	77.65705
102	12.94603	77.65710
103	12.94602	77.65716
104	12.94602	77.65721
105	12.94601	77.65728
106	12.94601	77.65735
107	12.94601	77.65741
108	12.94601	77.65748
109	12.94602	77.65755
110	12.94603	77.65762
111	12.94603	77.65770
112	12.94603	77.65776
113	12.94603	77.65783
114	12.94603	77.65789
115	12.94603	77.65795
116	12.94604	77.65801
117	12.94604	77.65807
118	12.94606	77.65813
119	12.94606	77.65820
120	12.94607	77.65826
121	12.94608	77.65831
122	12.94608	77.65837
123	12.94608	77.65843
124	12.94609	77.65849
125	12.94609	77.65856
126	12.94610	77.65865
127	12.94610	77.65873
128	12.94611	77.65878
129	12.94611	77.65885
130	12.94612	77.65892
131	12.94612	77.65900
132	12.94612	77.65908
133	12.94612	77.65913
134	12.94613	77.65922
135	12.94613	77.65929
136	12.94614	77.65935
137	12.94615	77.65940
138	12.94616	77.65946
139	12.94616	77.65953
140	12.94616	77.65960
141	12.94616	77.65966
142	12.94614	77.65973
143	12.94614	77.65978
144	12.94613	77.65985
145	12.94613	77.65991
146	12.94613	77.65996
147	12.94613	77.66001
148	12.94613	77.66009
149	12.94614	77.66015
150	12.94614	77.66020
151	12.94614	77.66028
152	12.94614	77.66034
153	12.94616	77.66041
154	12.94616	77.66046
155	12.94617	77.66052
156	12.94617	77.66057
157	12.94618	77.66064
158	12.94619	77.66071
159	12.94619	77.66077
160	12.94619	77.66085
161	12.94619	77.66092
162	12.94619	77.66100
163	12.94618	77.66108
164	12.94617	77.66115
