Rank	Latitude	Longitude
1	13.02594	77.69548
2	13.02594	77.69541
3	13.02594	77.69534
4	13.02594	77.69526
5	13.02595	77.69519
6	13.02595	77.69512
7	13.02595	77.69505
8	13.02596	77.69498
9	13.02597	77.69491
10	13.02598	77.69482
11	13.02599	77.69476
12	13.02600	77.69469
13	13.02600	77.69462
14	13.02601	77.69454
15	13.02602	77.69448
16	13.02603	77.69442
17	13.02604	77.69435
18	13.02605	77.69427
19	13.02605	77.69420
20	13.02606	77.69413
21	13.02607	77.69408
22	13.02607	77.69400
23	13.02607	77.69394
24	13.02609	77.69388
25	13.02609	77.69381
26	13.02610	77.69374
27	13.02611	77.69367
28	13.02612	77.69360
29	13.02613	77.69353
30	13.02616	77.69346
31	13.02617	77.69341
32	13.02618	77.69335
33	13.02619	77.69329
34	13.02619	77.69322
35	13.02620	77.69316
36	13.02621	77.69309
37	13.02622	77.69303
38	13.02622	77.69296
39	13.02623	77.69291
40	13.02624	77.69284
41	13.02625	77.69276
42	13.02621	77.69270
43	13.02615	77.69263
44	13.02611	77.69257
45	13.02605	77.69251
46	13.02600	77.69247
47	13.02594	77.69243
48	13.02589	77.69240
49	13.02583	77.69236
50	13.02577	77.69232
51	13.02569	77.69228
52	13.02563	77.69224
53	13.02557	77.69222
54	13.02551	77.69218
55	13.02543	77.69213
56	13.02537	77.69209
57	13.02529	77.69203
58	13.02524	77.69198
59	13.02519	77.69194
60	13.02512	77.69189
61	13.02506	77.69184
62	13.02501	77.69180
63	13.02496	77.69176
64	13.02489	77.69171
65	13.02484	77.69167
66	13.02478	77.69161
67	13.02471	77.69155
68	13.02467	77.69149
69	13.02462	77.69145
70	13.02454	77.69137
71	13.02450	77.69132
72	13.02444	77.69126
73	13.02439	77.69122
74	13.02434	77.69117
75	13.02428	77.69110
76	13.02421	77.69104
77	13.02415	77.69100
78	13.02408	77.69094
79	13.02402	77.69088
80	13.02396	77.69083
81	13.02390	77.69078
82	13.02384	77.69073
83	13.02378	77.69067
84	13.02373	77.69063
85	13.02368	77.69058
86	13.02361	77.69052
87	13.02355	77.69048
88	13.02348	77.69041
89	13.02341	77.69034
90	13.02337	77.69029
91	13.02332	77.69022
92	13.02327	77.69017
93	13.02320	77.69011
94	13.02314	77.69005
95	13.02310	77.68999
96	13.02303	77.68992
97	13.02299	77.68986
98	13.02293	77.68979
99	13.02287	77.68972
100	13.02283	77.68966
101	13.02277	77.68960
102	13.02271	77.68955
103	13.02264	77.68948
104	13.02259	77.68943
105	13.02254	77.68938
106	13.02248	77.68932
107	13.02243	77.68927
108	13.02238	77.68923
109	13.02232	77.68918
110	13.02227	77.68913
111	13.02220	77.68906
112	13.02215	77.68901
113	13.02209	77.68896
114	13.02203	77.68888
115	13.02200	77.68881
116	13.02197	77.68875
117	13.02194	77.68869
118	13.02189	77.68862
119	13.02186	77.68855
120	13.02182	77.68850
121	13.02176	77.68842
122	13.02171	77.68837
123	13.02167	77.68831
124	13.02163	77.68826
125	13.02159	77.68821
126	13.02155	77.68815
127	13.02149	77.68810
128	13.02145	77.68804
129	13.02140	77.68799
130	13.02139	77.68794
131	13.02140	77.68788
132	13.02142	77.68781
133	13.02143	77.68775
134	13.02146	77.68767
135	13.02147	77.68762
136	13.02148	77.68754
137	13.02148	77.68747
138	13.02149	77.68740
139	13.02149	77.68733
140	13.02149	77.68727
141	13.02149	77.68720
142	13.02149	77.68712
143	13.02149	77.68705
144	13.02150	77.68698
145	13.02151	77.68692
146	13.02151	77.68684
147	13.02151	77.68678
148	13.02151	77.68673
149	13.02151	77.68667
150	13.02151	77.68659
151	13.02151	77.68652
152	13.02151	77.68645
153	13.02151	77.68635
154	13.02151	77.68628
155	13.02151	77.68620
156	13.02151	77.68613
157	13.02151	77.68605
158	13.02152	77.68598
159	13.02152	77.68591
160	13.02153	77.68583
161	13.02153	77.68578
162	13.02153	77.68569
163	13.02153	77.68563
164	13.02153	77.68557
165	13.02153	77.68550
166	13.02153	77.68543
167	13.02153	77.68537
168	13.02153	77.68530
169	13.02153	77.68523
170	13.02153	77.68516
171	13.02153	77.68508
172	13.02152	77.68501
173	13.02151	77.68492
174	13.02151	77.68486
175	13.02150	77.68480
176	13.02149	77.68474
177	13.02149	77.68469
178	13.02149	77.68463
179	13.02148	77.68457
180	13.02147	77.68452
181	13.02146	77.68446
182	13.02145	77.68438
183	13.02145	77.68431
184	13.02144	77.68426
185	13.02143	77.68420
