Rank	Latitude	Longitude
1	13.02752	77.71214
2	13.02747	77.71217
3	13.02741	77.71219
4	13.02735	77.71222
5	13.02729	77.71224
6	13.02723	77.71226
7	13.02717	77.71229
8	13.02711	77.71232
9	13.02705	77.71235
10	13.02700	77.71237
11	13.02694	77.71240
12	13.02688	77.71243
13	13.02683	77.71247
14	13.02678	77.71249
15	13.02671	77.71251
16	13.02666	77.71253
17	13.02661	77.71255
18	13.02656	77.71256
19	13.02651	77.71258
20	13.02645	77.71259
21	13.02639	77.71258
22	13.02633	77.71258
23	13.02629	77.71264
24	13.02626	77.71271
25	13.02620	77.71273
26	13.02613	77.71273
27	13.02607	77.71274
28	13.02601	77.71275
29	13.02596	77.71276
30	13.02590	77.71277
31	13.02584	77.71278
32	13.02578	77.71278
33	13.02572	77.71279
34	13.02565	77.71279
35	13.02559	77.71279
36	13.02552	77.71279
37	13.02545	77.71279
38	13.02540	77.71280
39	13.02535	77.71282
40	13.02530	77.71283
41	13.02523	77.71284
42	13.02516	77.71284
43	13.02510	77.71284
44	13.02503	77.71284
45	13.02497	77.71285
46	13.02491	77.71287
47	13.02485	77.71288
48	13.02479	77.71289
49	13.02473	77.71290
50	13.02467	77.71290
51	13.02461	77.71290
52	13.02454	77.71290
53	13.02449	77.71289
54	13.02442	77.71291
55	13.02435	77.71293
56	13.02430	77.71294
57	13.02424	77.71297
58	13.02419	77.71297
59	13.02411	77.71298
60	13.02406	77.71299
61	13.02399	77.71300
62	13.02394	77.71301
63	13.02386	77.71302
64	13.02381	77.71303
65	13.02375	77.71304
66	13.02368	77.71306
67	13.02363	77.71307
68	13.02357	77.71307
69	13.02350	77.71310
70	13.02343	77.71310
71	13.02337	77.71310
72	13.02331	77.71312
73	13.02325	77.71313
74	13.02320	77.71313
75	13.02314	77.71315
76	13.02309	77.71316
77	13.02303	77.71316
78	13.02297	77.71314
79	13.02291	77.71314
80	13.02285	77.71316
81	13.02280	77.71320
82	13.02274	77.71324
83	13.02269	77.71328
84	13.02263	77.71332
85	13.02258	77.71336
86	13.02252	77.71341
87	13.02247	77.71345
88	13.02242	77.71350
89	13.02236	77.71355
90	13.02232	77.71361
91	13.02227	77.71366
92	13.02221	77.71371
93	13.02216	77.71376
94	13.02211	77.71381
95	13.02204	77.71386
96	13.02199	77.71390
97	13.02193	77.71395
98	13.02188	77.71398
99	13.02182	77.71400
100	13.02176	77.71403
101	13.02170	77.71406
102	13.02165	77.71408
103	13.02159	77.71411
104	13.02153	77.71414
105	13.02146	77.71417
106	13.02141	77.71420
107	13.02135	77.71422
108	13.02130	77.71425
