Rank	Latitude	Longitude
1	13.03701	77.72290
2	13.03701	77.72296
3	13.03701	77.72284
4	13.03701	77.72278
5	13.03700	77.72302
6	13.03700	77.72272
7	13.03699	77.72308
8	13.03699	77.72313
9	13.03698	77.72267
10	13.03697	77.72319
11	13.03695	77.72261
12	13.03694	77.72325
13	13.03692	77.72256
14	13.03692	77.72331
15	13.03689	77.72336
16	13.03688	77.72251
17	13.03686	77.72342
18	13.03683	77.72347
19	13.03683	77.72244
20	13.03681	77.72353
21	13.03678	77.72239
22	13.03676	77.72358
23	13.03673	77.72233
24	13.03670	77.72362
25	13.03668	77.72228
26	13.03664	77.72366
27	13.03663	77.72222
28	13.03658	77.72216
29	13.03658	77.72369
30	13.03653	77.72210
31	13.03652	77.72373
32	13.03649	77.72205
33	13.03646	77.72376
34	13.03646	77.72198
35	13.03642	77.72192
36	13.03640	77.72381
37	13.03638	77.72186
38	13.03635	77.72384
39	13.03633	77.72181
40	13.03629	77.72387
41	13.03628	77.72175
42	13.03624	77.72390
43	13.03623	77.72169
44	13.03619	77.72163
45	13.03618	77.72392
46	13.03615	77.72158
47	13.03612	77.72394
48	13.03610	77.72152
49	13.03607	77.72397
50	13.03605	77.72147
51	13.03602	77.72141
52	13.03602	77.72400
53	13.03598	77.72136
54	13.03596	77.72404
55	13.03594	77.72131
56	13.03591	77.72408
57	13.03590	77.72125
58	13.03586	77.72119
59	13.03584	77.72412
60	13.03583	77.72113
61	13.03580	77.72106
62	13.03578	77.72415
63	13.03576	77.72100
64	13.03574	77.72095
65	13.03572	77.72417
66	13.03571	77.72089
67	13.03568	77.72083
68	13.03567	77.72419
69	13.03564	77.72078
70	13.03561	77.72421
71	13.03560	77.72072
72	13.03558	77.72067
73	13.03556	77.72425
74	13.03555	77.72061
75	13.03552	77.72056
76	13.03550	77.72428
77	13.03550	77.72051
78	13.03547	77.72045
79	13.03545	77.72430
80	13.03543	77.72039
81	13.03540	77.72433
82	13.03539	77.72034
83	13.03537	77.72029
84	13.03535	77.72023
85	13.03534	77.72435
86	13.03532	77.72018
87	13.03529	77.72012
88	13.03528	77.72438
89	13.03526	77.72006
90	13.03522	77.72000
91	13.03522	77.72441
92	13.03519	77.71994
93	13.03516	77.72443
94	13.03516	77.71989
95	13.03514	77.71983
96	13.03510	77.72446
97	13.03508	77.71978
98	13.03505	77.72449
99	13.03503	77.71974
100	13.03499	77.72450
101	13.03498	77.71969
102	13.03494	77.71964
103	13.03493	77.72452
104	13.03489	77.71958
105	13.03488	77.72454
106	13.03485	77.71953
107	13.03481	77.72456
108	13.03480	77.71948
109	13.03475	77.72458
110	13.03474	77.71944
111	13.03470	77.72460
112	13.03468	77.71938
113	13.03463	77.72463
114	13.03462	77.71933
115	13.03458	77.71927
116	13.03457	77.72465
117	13.03453	77.71922
118	13.03452	77.72467
119	13.03449	77.71916
120	13.03446	77.72470
121	13.03444	77.71911
122	13.03440	77.72473
123	13.03440	77.71906
124	13.03435	77.71901
125	13.03435	77.72475
126	13.03431	77.71894
127	13.03430	77.72478
128	13.03427	77.71889
129	13.03424	77.72481
130	13.03423	77.71883
131	13.03419	77.71878
132	13.03418	77.72484
133	13.03415	77.71872
134	13.03413	77.72486
135	13.03412	77.71866
136	13.03409	77.71860
137	13.03407	77.72489
138	13.03406	77.71855
139	13.03402	77.71850
140	13.03400	77.72491
141	13.03397	77.71844
142	13.03395	77.71838
143	13.03395	77.72493
144	13.03392	77.71831
145	13.03389	77.72497
146	13.03388	77.71826
147	13.03386	77.71820
148	13.03384	77.71815
149	13.03383	77.71810
150	13.03382	77.72502
151	13.03380	77.71805
152	13.03378	77.71798
153	13.03377	77.72506
154	13.03375	77.71793
155	13.03373	77.71788
156	13.03370	77.71783
157	13.03370	77.72511
158	13.03368	77.71777
159	13.03365	77.71772
160	13.03365	77.72515
161	13.03363	77.71766
162	13.03361	77.71760
163	13.03360	77.71755
164	13.03359	77.72518
165	13.03359	77.71749
166	13.03356	77.71743
167	13.03354	77.71737
168	13.03353	77.72521
169	13.03352	77.71731
170	13.03350	77.71726
171	13.03348	77.71720
172	13.03347	77.72524
173	13.03345	77.71714
174	13.03343	77.71709
175	13.03341	77.72527
176	13.03340	77.71702
177	13.03338	77.71697
178	13.03336	77.72529
179	13.03335	77.71691
180	13.03332	77.71686
181	13.03330	77.72530
182	13.03329	77.71681
183	13.03327	77.71675
184	13.03326	77.71669
185	13.03325	77.72530
186	13.03323	77.71663
187	13.03321	77.71657
188	13.03319	77.72531
189	13.03318	77.71652
190	13.03315	77.71646
191	13.03314	77.72531
192	13.03313	77.71640
193	13.03311	77.71635
194	13.03310	77.71629
195	13.03308	77.71623
196	13.03308	77.71617
197	13.03308	77.72531
198	13.03307	77.71611
199	13.03305	77.71606
200	13.03303	77.71600
201	13.03302	77.71594
202	13.03302	77.72530
203	13.03301	77.71588
204	13.03300	77.71583
205	13.03298	77.71577
206	13.03297	77.71572
207	13.03296	77.72530
208	13.03295	77.71566
209	13.03293	77.71561
210	13.03292	77.71556
211	13.03290	77.71550
212	13.03290	77.72530
213	13.03288	77.71544
214	13.03287	77.71539
215	13.03286	77.71533
216	13.03284	77.71528
217	13.03284	77.71522
218	13.03283	77.72530
219	13.03283	77.71516
220	13.03282	77.71510
221	13.03281	77.71503
222	13.03280	77.71497
223	13.03278	77.71491
224	13.03278	77.71485
225	13.03278	77.71479
226	13.03277	77.71472
227	13.03276	77.72530
228	13.03276	77.71466
229	13.03275	77.71460
230	13.03273	77.71455
231	13.03271	77.71449
232	13.03270	77.72528
233	13.03268	77.71444
234	13.03266	77.71439
235	13.03264	77.71434
236	13.03263	77.72527
237	13.03262	77.71429
238	13.03260	77.71423
239	13.03257	77.72527
240	13.03256	77.71417
241	13.03254	77.71412
242	13.03252	77.71406
243	13.03252	77.72526
244	13.03250	77.71400
245	13.03248	77.71395
246	13.03246	77.71390
247	13.03246	77.72526
248	13.03245	77.71384
249	13.03242	77.71378
250	13.03241	77.71373
251	13.03240	77.72525
252	13.03239	77.71368
253	13.03238	77.71361
254	13.03237	77.71356
255	13.03235	77.71350
256	13.03234	77.71345
257	13.03233	77.72524
258	13.03232	77.71340
259	13.03231	77.71335
260	13.03228	77.71329
261	13.03226	77.72524
262	13.03223	77.71323
263	13.03221	77.72523
264	13.03217	77.71320
265	13.03215	77.72522
266	13.03212	77.71317
267	13.03209	77.72521
268	13.03206	77.71314
269	13.03203	77.72520
270	13.03201	77.71311
271	13.03197	77.72519
272	13.03195	77.71309
273	13.03191	77.72519
274	13.03190	77.71306
275	13.03185	77.72518
276	13.03184	77.71303
277	13.03180	77.72517
278	13.03178	77.71301
279	13.03173	77.71298
280	13.03173	77.72518
281	13.03167	77.72518
282	13.03167	77.71295
283	13.03161	77.71291
284	13.03161	77.72518
285	13.03155	77.72518
286	13.03155	77.71288
287	13.03150	77.71284
288	13.03149	77.72518
289	13.03144	77.71280
290	13.03142	77.72518
291	13.03139	77.71276
292	13.03136	77.72518
293	13.03132	77.71273
294	13.03130	77.72519
295	13.03126	77.71269
296	13.03124	77.72520
297	13.03120	77.71265
298	13.03117	77.72520
299	13.03114	77.71262
300	13.03111	77.72520
301	13.03108	77.71259
302	13.03105	77.72520
303	13.03103	77.71256
304	13.03099	77.72521
305	13.03097	77.71251
306	13.03094	77.72521
307	13.03091	77.71246
308	13.03087	77.72522
309	13.03085	77.71242
310	13.03081	77.72522
311	13.03080	77.71238
312	13.03075	77.72522
313	13.03074	77.71235
314	13.03069	77.72522
315	13.03069	77.71231
316	13.03063	77.71227
317	13.03063	77.72522
318	13.03057	77.71223
319	13.03056	77.72522
320	13.03052	77.71219
321	13.03050	77.72522
322	13.03046	77.71215
323	13.03044	77.72521
324	13.03041	77.71211
325	13.03039	77.72520
326	13.03035	77.71208
327	13.03032	77.72520
328	13.03030	77.71205
329	13.03026	77.72520
330	13.03024	77.71202
331	13.03020	77.72521
332	13.03018	77.71199
333	13.03015	77.72520
334	13.03012	77.71194
335	13.03009	77.72520
336	13.03007	77.71190
337	13.03003	77.72518
338	13.03001	77.71187
339	13.02997	77.72518
340	13.02996	77.71183
341	13.02992	77.72517
342	13.02990	77.71181
343	13.02985	77.72517
344	13.02984	77.71175
345	13.02979	77.72516
346	13.02979	77.71171
347	13.02973	77.72516
348	13.02973	77.71167
349	13.02967	77.71162
350	13.02967	77.72516
351	13.02962	77.71157
352	13.02961	77.72515
353	13.02956	77.71152
354	13.02955	77.72514
355	13.02950	77.71146
356	13.02949	77.72514
357	13.02944	77.71142
358	13.02943	77.72513
359	13.02939	77.71137
360	13.02938	77.72513
361	13.02933	77.71131
362	13.02932	77.72513
363	13.02928	77.71128
364	13.02927	77.72514
365	13.02922	77.71123
366	13.02921	77.72515
367	13.02917	77.71118
368	13.02915	77.72516
369	13.02911	77.71115
370	13.02909	77.72516
371	13.02906	77.71112
372	13.02903	77.72516
373	13.02900	77.71107
374	13.02897	77.72516
375	13.02892	77.71102
376	13.02889	77.72515
377	13.02886	77.71105
378	13.02884	77.72513
379	13.02881	77.71108
380	13.02878	77.72511
381	13.02875	77.71110
382	13.02872	77.72510
383	13.02869	77.71112
384	13.02867	77.72508
385	13.02863	77.71115
386	13.02861	77.72506
387	13.02857	77.71117
388	13.02855	77.72505
389	13.02851	77.71120
390	13.02849	77.72504
391	13.02845	77.71123
392	13.02843	77.72503
393	13.02839	77.71125
394	13.02837	77.72502
395	13.02833	77.71128
396	13.02831	77.72501
397	13.02828	77.71132
398	13.02825	77.72501
399	13.02823	77.71136
400	13.02818	77.72501
401	13.02817	77.71137
402	13.02813	77.72502
403	13.02811	77.71140
404	13.02807	77.72503
405	13.02806	77.71141
406	13.02802	77.72503
407	13.02801	77.71144
408	13.02797	77.72503
409	13.02795	77.71145
410	13.02790	77.72505
411	13.02790	77.71146
412	13.02784	77.71147
413	13.02784	77.72507
414	13.02779	77.71147
415	13.02778	77.72507
416	13.02772	77.71147
417	13.02772	77.72508
418	13.02769	77.71153
419	13.02766	77.72509
420	13.02765	77.71160
421	13.02759	77.72510
422	13.02759	77.71162
423	13.02753	77.72511
424	13.02753	77.71162
425	13.02747	77.72513
426	13.02747	77.71162
427	13.02741	77.72514
428	13.02741	77.71163
429	13.02736	77.71164
430	13.02735	77.72515
431	13.02730	77.71165
432	13.02730	77.72516
433	13.02724	77.71166
434	13.02724	77.72517
435	13.02718	77.71167
436	13.02717	77.72518
437	13.02712	77.72520
438	13.02712	77.71168
439	13.02706	77.72521
440	13.02705	77.71168
441	13.02701	77.72522
442	13.02699	77.71168
