Rank	Latitude	Longitude
1	12.98352	77.73762
2	12.98352	77.73767
3	12.98352	77.73680
4	12.98352	77.73674
5	12.98352	77.73668
6	12.98352	77.73662
7	12.98352	77.73657
8	12.98353	77.73756
9	12.98353	77.73772
10	12.98353	77.73750
11	12.98353	77.73553
12	12.98353	77.73547
13	12.98353	77.73744
14	12.98353	77.73709
15	12.98353	77.73703
16	12.98353	77.73697
17	12.98353	77.73691
18	12.98353	77.73685
19	12.98353	77.73651
20	12.98353	77.73559
21	12.98354	77.73848
22	12.98354	77.73843
23	12.98354	77.73837
24	12.98354	77.73739
25	12.98354	77.73733
26	12.98354	77.73727
27	12.98354	77.73721
28	12.98354	77.73715
29	12.98354	77.73646
30	12.98354	77.73640
31	12.98354	77.73542
32	12.98354	77.73536
33	12.98354	77.73901
34	12.98354	77.73634
35	12.98354	77.73895
36	12.98354	77.73778
37	12.98354	77.73582
38	12.98354	77.73577
39	12.98354	77.73906
40	12.98354	77.73854
41	12.98354	77.73628
42	12.98354	77.73622
43	12.98354	77.73616
44	12.98354	77.73611
45	12.98354	77.73605
46	12.98354	77.73565
47	12.98354	77.73531
48	12.98354	77.73525
49	12.98354	77.73520
50	12.98355	77.73889
51	12.98355	77.73808
52	12.98355	77.73801
53	12.98355	77.73796
54	12.98355	77.73790
55	12.98355	77.73784
56	12.98355	77.73571
57	12.98355	77.73513
58	12.98355	77.73507
59	12.98355	77.73588
60	12.98355	77.73883
61	12.98355	77.73878
62	12.98355	77.73872
63	12.98355	77.73867
64	12.98355	77.73861
65	12.98355	77.73830
66	12.98355	77.73501
67	12.98355	77.73825
68	12.98355	77.73819
69	12.98355	77.73814
70	12.98356	77.73599
71	12.98356	77.73594
72	12.98356	77.73911
73	12.98356	77.73496
74	12.98357	77.73918
75	12.98358	77.73924
76	12.98359	77.73929
77	12.98360	77.73940
78	12.98360	77.73935
79	12.98360	77.73946
80	12.98360	77.73957
81	12.98360	77.73951
82	12.98360	77.73489
83	12.98361	77.73968
84	12.98361	77.73963
85	12.98361	77.73974
86	12.98362	77.73980
87	12.98364	77.73986
88	12.98364	77.73991
89	12.98366	77.73489
90	12.98370	77.73992
91	12.98372	77.73489
92	12.98376	77.73991
93	12.98377	77.73489
94	12.98382	77.73991
95	12.98383	77.73489
96	12.98388	77.73992
97	12.98389	77.73488
98	12.98394	77.73488
99	12.98394	77.73992
100	12.98399	77.73992
101	12.98400	77.73487
102	12.98405	77.73487
103	12.98406	77.73991
104	12.98411	77.73991
105	12.98411	77.73486
106	12.98416	77.73466
107	12.98416	77.73461
108	12.98416	77.73471
109	12.98417	77.73455
110	12.98417	77.73477
111	12.98417	77.73991
112	12.98417	77.73484
113	12.98417	77.73450
114	12.98418	77.73421
115	12.98418	77.73416
116	12.98418	77.73411
117	12.98418	77.73406
118	12.98418	77.73445
119	12.98418	77.73439
120	12.98418	77.73434
121	12.98418	77.73428
122	12.98420	77.73399
123	12.98420	77.73394
124	12.98421	77.73389
125	12.98421	77.73382
126	12.98421	77.73377
127	12.98423	77.73372
128	12.98423	77.73991
129	12.98424	77.73366
130	12.98429	77.73991
131	12.98430	77.73362
132	12.98434	77.73356
133	12.98435	77.73991
134	12.98439	77.73351
135	12.98440	77.73991
136	12.98445	77.73347
137	12.98446	77.73991
138	12.98451	77.73991
139	12.98452	77.73344
140	12.98457	77.73990
141	12.98458	77.73341
142	12.98463	77.73989
143	12.98464	77.73338
144	12.98469	77.73989
145	12.98471	77.73335
146	12.98474	77.73989
147	12.98477	77.73331
148	12.98480	77.73989
149	12.98482	77.73327
150	12.98486	77.73988
151	12.98488	77.73321
152	12.98492	77.73988
153	12.98494	77.73315
154	12.98498	77.73992
155	12.98499	77.73311
156	12.98504	77.73997
157	12.98505	77.73306
158	12.98507	77.74002
159	12.98510	77.74009
160	12.98511	77.73302
161	12.98512	77.74015
162	12.98516	77.74021
163	12.98518	77.73300
164	12.98518	77.74026
165	12.98521	77.74032
166	12.98523	77.73299
167	12.98524	77.74038
168	12.98526	77.74044
169	12.98527	77.74049
170	12.98530	77.74055
171	12.98530	77.73298
172	12.98531	77.74060
173	12.98532	77.74066
174	12.98535	77.74071
175	12.98536	77.74077
176	12.98536	77.73297
177	12.98537	77.74082
178	12.98540	77.74087
