Rank	Latitude	Longitude
1	13.02594	77.69548
2	13.02600	77.69546
3	13.02605	77.69544
4	13.02612	77.69542
5	13.02618	77.69540
6	13.02623	77.69537
7	13.02630	77.69533
8	13.02638	77.69528
9	13.02644	77.69523
10	13.02651	77.69517
11	13.02656	77.69514
12	13.02663	77.69508
13	13.02671	77.69503
14	13.02678	77.69499
15	13.02683	77.69494
16	13.02690	77.69489
17	13.02697	77.69484
18	13.02705	77.69478
19	13.02712	77.69473
20	13.02718	77.69470
21	13.02724	77.69465
22	13.02730	77.69462
23	13.02736	77.69456
24	13.02743	77.69452
25	13.02750	77.69447
26	13.02757	77.69443
27	13.02764	77.69439
28	13.02771	77.69436
29	13.02778	77.69433
30	13.02785	77.69429
31	13.02791	77.69425
32	13.02797	77.69420
33	13.02804	77.69417
34	13.02810	77.69415
35	13.02815	77.69413
36	13.02821	77.69410
37	13.02827	77.69407
38	13.02832	77.69405
39	13.02838	77.69403
40	13.02845	77.69401
41	13.02851	77.69399
42	13.02856	77.69397
43	13.02863	77.69395
44	13.02868	77.69392
45	13.02874	77.69389
46	13.02881	77.69384
47	13.02887	77.69378
48	13.02893	77.69375
49	13.02899	77.69369
50	13.02905	77.69365
51	13.02911	77.69360
52	13.02917	77.69355
53	13.02923	77.69350
54	13.02928	77.69345
55	13.02935	77.69339
56	13.02943	77.69333
57	13.02949	77.69328
58	13.02956	77.69322
59	13.02962	77.69319
60	13.02967	77.69316
61	13.02972	77.69312
62	13.02980	77.69308
63	13.02987	77.69304
64	13.02992	77.69300
65	13.02999	77.69294
66	13.03005	77.69289
67	13.03012	77.69284
68	13.03018	77.69279
69	13.03025	77.69274
70	13.03031	77.69269
71	13.03037	77.69263
72	13.03043	77.69259
73	13.03049	77.69253
74	13.03057	77.69247
75	13.03065	77.69240
76	13.03070	77.69235
77	13.03076	77.69229
78	13.03083	77.69222
79	13.03088	77.69215
80	13.03095	77.69209
81	13.03100	77.69203
82	13.03106	77.69198
83	13.03110	77.69192
84	13.03116	77.69186
85	13.03122	77.69179
86	13.03129	77.69173
87	13.03137	77.69167
88	13.03144	77.69161
89	13.03149	77.69155
90	13.03155	77.69149
91	13.03163	77.69142
92	13.03170	77.69135
93	13.03178	77.69129
94	13.03183	77.69124
95	13.03189	77.69118
96	13.03196	77.69113
97	13.03202	77.69108
98	13.03208	77.69103
99	13.03215	77.69097
100	13.03222	77.69092
101	13.03227	77.69088
102	13.03232	77.69084
103	13.03238	77.69079
104	13.03243	77.69075
105	13.03249	77.69070
106	13.03255	77.69066
107	13.03261	77.69060
108	13.03268	77.69056
109	13.03274	77.69050
110	13.03279	77.69044
111	13.03287	77.69038
112	13.03292	77.69035
113	13.03298	77.69031
114	13.03300	77.69025
115	13.03302	77.69018
116	13.03304	77.69013
117	13.03306	77.69005
118	13.03309	77.68999
119	13.03311	77.68993
120	13.03312	77.68987
121	13.03315	77.68981
122	13.03316	77.68976
123	13.03318	77.68969
124	13.03319	77.68963
125	13.03320	77.68957
126	13.03321	77.68951
127	13.03322	77.68944
128	13.03324	77.68937
129	13.03326	77.68931
130	13.03328	77.68924
131	13.03330	77.68917
132	13.03332	77.68910
133	13.03333	77.68905
