Rank	Latitude	Longitude
1	13.00696	77.69690
2	13.00693	77.69695
3	13.00686	77.69700
4	13.00684	77.69706
5	13.00681	77.69712
6	13.00679	77.69719
7	13.00678	77.69724
8	13.00676	77.69730
9	13.00674	77.69735
10	13.00673	77.69741
11	13.00672	77.69747
12	13.00670	77.69752
13	13.00669	77.69758
14	13.00667	77.69764
15	13.00665	77.69770
16	13.00664	77.69775
17	13.00661	77.69781
18	13.00657	77.69787
19	13.00654	77.69793
20	13.00650	77.69798
21	13.00646	77.69804
22	13.00643	77.69809
23	13.00640	77.69814
24	13.00636	77.69820
25	13.00632	77.69826
26	13.00628	77.69832
27	13.00624	77.69837
28	13.00621	77.69842
29	13.00618	77.69847
30	13.00615	77.69852
31	13.00611	77.69858
32	13.00608	77.69864
33	13.00604	77.69870
34	13.00600	77.69877
35	13.00597	77.69882
36	13.00594	77.69887
37	13.00590	77.69893
38	13.00587	77.69898
39	13.00584	77.69904
40	13.00581	77.69911
41	13.00578	77.69917
42	13.00575	77.69923
43	13.00573	77.69929
44	13.00570	77.69935
45	13.00567	77.69940
46	13.00564	77.69946
47	13.00560	77.69952
48	13.00557	77.69958
49	13.00554	77.69963
50	13.00550	77.69969
51	13.00546	77.69975
52	13.00542	77.69980
53	13.00539	77.69985
54	13.00535	77.69991
55	13.00531	77.69996
56	13.00529	77.70002
57	13.00526	77.70007
58	13.00524	77.70012
59	13.00520	77.70018
60	13.00518	77.70024
61	13.00515	77.70029
62	13.00514	77.70035
63	13.00511	77.70041
64	13.00509	77.70047
65	13.00508	77.70053
66	13.00506	77.70058
67	13.00504	77.70064
68	13.00502	77.70070
69	13.00500	77.70075
70	13.00498	77.70081
71	13.00497	77.70086
72	13.00495	77.70092
73	13.00493	77.70099
74	13.00491	77.70105
75	13.00488	77.70111
76	13.00485	77.70117
77	13.00484	77.70122
78	13.00482	77.70128
79	13.00476	77.70126
80	13.00470	77.70124
81	13.00464	77.70122
82	13.00458	77.70121
83	13.00452	77.70119
84	13.00446	77.70117
85	13.00441	77.70115
86	13.00434	77.70112
87	13.00428	77.70109
88	13.00423	77.70108
89	13.00417	77.70107
90	13.00411	77.70107
91	13.00406	77.70108
92	13.00400	77.70111
93	13.00394	77.70112
94	13.00388	77.70113
95	13.00382	77.70114
96	13.00377	77.70114
97	13.00371	77.70114
98	13.00365	77.70114
99	13.00360	77.70113
100	13.00354	77.70113
101	13.00348	77.70112
102	13.00342	77.70112
103	13.00336	77.70112
104	13.00331	77.70112
105	13.00324	77.70111
106	13.00319	77.70110
107	13.00313	77.70109
108	13.00307	77.70108
109	13.00302	77.70107
110	13.00295	77.70106
111	13.00290	77.70106
112	13.00284	77.70105
113	13.00278	77.70104
114	13.00272	77.70104
115	13.00267	77.70103
116	13.00261	77.70102
117	13.00256	77.70101
118	13.00249	77.70100
119	13.00243	77.70100
120	13.00237	77.70099
121	13.00231	77.70097
122	13.00224	77.70095
123	13.00218	77.70093
124	13.00212	77.70092
125	13.00206	77.70090
126	13.00200	77.70089
127	13.00194	77.70089
128	13.00188	77.70088
129	13.00182	77.70088
130	13.00177	77.70088
131	13.00171	77.70087
132	13.00166	77.70087
133	13.00160	77.70086
134	13.00155	77.70086
135	13.00149	77.70085
136	13.00144	77.70085
137	13.00138	77.70084
138	13.00133	77.70083
139	13.00126	77.70083
140	13.00121	77.70082
141	13.00115	77.70081
142	13.00108	77.70080
143	13.00101	77.70079
144	13.00096	77.70079
145	13.00089	77.70078
146	13.00084	77.70077
147	13.00079	77.70077
148	13.00073	77.70076
149	13.00066	77.70075
150	13.00061	77.70074
151	13.00055	77.70074
152	13.00049	77.70072
153	13.00044	77.70072
154	13.00038	77.70070
155	13.00033	77.70069
156	13.00027	77.70067
157	13.00022	77.70066
158	13.00015	77.70066
159	13.00009	77.70065
160	13.00003	77.70064
161	12.99997	77.70062
162	12.99990	77.70060
163	12.99985	77.70059
164	12.99979	77.70057
165	12.99973	77.70056
166	12.99966	77.70054
167	12.99961	77.70053
168	12.99954	77.70051
169	12.99949	77.70050
170	12.99943	77.70049
171	12.99938	77.70049
172	12.99932	77.70049
173	12.99925	77.70049
174	12.99920	77.70049
175	12.99914	77.70048
176	12.99908	77.70047
177	12.99903	77.70048
178	12.99897	77.70048
179	12.99890	77.70047
180	12.99884	77.70045
181	12.99878	77.70045
182	12.99871	77.70045
183	12.99866	77.70044
184	12.99859	77.70044
185	12.99853	77.70043
186	12.99847	77.70042
187	12.99841	77.70042
188	12.99841	77.70047
189	12.99841	77.70052
190	12.99840	77.70058
191	12.99839	77.70063
192	12.99837	77.70070
193	12.99837	77.70076
194	12.99837	77.70081
195	12.99837	77.70086
196	12.99837	77.70092
197	12.99836	77.70097
198	12.99836	77.70102
199	12.99836	77.70108
200	12.99837	77.70115
201	12.99837	77.70121
202	12.99837	77.70127
203	12.99837	77.70134
204	12.99837	77.70140
205	12.99836	77.70146
206	12.99836	77.70151
207	12.99835	77.70157
208	12.99835	77.70164
209	12.99835	77.70169
210	12.99835	77.70175
211	12.99835	77.70180
212	12.99834	77.70185
213	12.99833	77.70191
214	12.99833	77.70196
215	12.99833	77.70203
216	12.99833	77.70208
217	12.99833	77.70214
218	12.99833	77.70219
219	12.99833	77.70225
220	12.99832	77.70230
221	12.99832	77.70235
222	12.99831	77.70242
223	12.99830	77.70248
224	12.99830	77.70254
225	12.99830	77.70259
226	12.99831	77.70264
227	12.99831	77.70270
228	12.99831	77.70276
229	12.99831	77.70282
230	12.99831	77.70287
231	12.99831	77.70294
232	12.99831	77.70301
233	12.99831	77.70306
234	12.99831	77.70312
235	12.99831	77.70318
236	12.99830	77.70323
237	12.99830	77.70328
238	12.99829	77.70334
239	12.99828	77.70339
240	12.99827	77.70345
241	12.99827	77.70350
242	12.99827	77.70355
243	12.99827	77.70362
244	12.99827	77.70369
245	12.99827	77.70374
246	12.99827	77.70380
247	12.99827	77.70386
248	12.99827	77.70392
249	12.99827	77.70398
250	12.99825	77.70403
251	12.99824	77.70409
252	12.99824	77.70415
253	12.99822	77.70420
254	12.99821	77.70426
255	12.99821	77.70431
256	12.99821	77.70437
257	12.99821	77.70443
258	12.99820	77.70448
259	12.99820	77.70453
260	12.99820	77.70460
261	12.99820	77.70465
262	12.99820	77.70470
263	12.99820	77.70475
264	12.99820	77.70481
265	12.99819	77.70488
266	12.99819	77.70493
267	12.99818	77.70499
268	12.99818	77.70504
269	12.99818	77.70509
270	12.99818	77.70516
271	12.99818	77.70523
272	12.99817	77.70528
273	12.99811	77.70531
274	12.99806	77.70532
275	12.99801	77.70532
276	12.99795	77.70532
277	12.99790	77.70530
278	12.99784	77.70530
279	12.99777	77.70529
280	12.99772	77.70528
281	12.99766	77.70527
282	12.99761	77.70526
283	12.99755	77.70525
284	12.99749	77.70523
285	12.99743	77.70522
286	12.99738	77.70521
287	12.99732	77.70521
288	12.99726	77.70520
289	12.99720	77.70520
290	12.99713	77.70521
291	12.99708	77.70520
292	12.99702	77.70517
293	12.99696	77.70515
294	12.99691	77.70511
295	12.99685	77.70507
296	12.99680	77.70504
297	12.99674	77.70500
298	12.99669	77.70495
299	12.99663	77.70492
300	12.99657	77.70489
301	12.99652	77.70485
302	12.99647	77.70481
303	12.99641	77.70478
304	12.99635	77.70475
305	12.99629	77.70470
306	12.99623	77.70465
307	12.99617	77.70459
308	12.99611	77.70454
309	12.99605	77.70449
310	12.99600	77.70444
311	12.99594	77.70440
312	12.99591	77.70434
313	12.99586	77.70429
314	12.99582	77.70423
315	12.99575	77.70417
316	12.99570	77.70412
317	12.99564	77.70407
318	12.99559	77.70400
319	12.99554	77.70394
320	12.99550	77.70389
321	12.99546	77.70383
322	12.99542	77.70378
323	12.99539	77.70373
324	12.99534	77.70367
325	12.99531	77.70361
326	12.99529	77.70356
327	12.99526	77.70351
328	12.99523	77.70345
329	12.99520	77.70340
330	12.99518	77.70334
331	12.99515	77.70327
332	12.99514	77.70321
333	12.99512	77.70316
334	12.99511	77.70310
335	12.99509	77.70305
336	12.99508	77.70299
337	12.99506	77.70294
338	12.99504	77.70288
339	12.99502	77.70283
340	12.99501	77.70278
341	12.99499	77.70271
342	12.99498	77.70265
343	12.99497	77.70260
344	12.99491	77.70258
345	12.99486	77.70257
346	12.99479	77.70256
347	12.99472	77.70255
348	12.99466	77.70254
349	12.99460	77.70254
350	12.99454	77.70253
351	12.99447	77.70252
352	12.99442	77.70251
353	12.99437	77.70250
354	12.99430	77.70250
355	12.99425	77.70250
356	12.99419	77.70250
357	12.99413	77.70250
358	12.99407	77.70249
359	12.99401	77.70249
360	12.99395	77.70249
361	12.99390	77.70248
362	12.99383	77.70247
363	12.99377	77.70245
364	12.99371	77.70244
365	12.99365	77.70244
366	12.99359	77.70245
367	12.99354	77.70245
368	12.99347	77.70244
369	12.99341	77.70244
370	12.99336	77.70243
371	12.99330	77.70243
372	12.99325	77.70242
373	12.99319	77.70241
374	12.99314	77.70240
375	12.99308	77.70240
376	12.99303	77.70239
377	12.99297	77.70239
378	12.99291	77.70238
379	12.99286	77.70238
380	12.99280	77.70238
381	12.99275	77.70238
382	12.99269	77.70236
383	12.99269	77.70231
384	12.99269	77.70224
385	12.99270	77.70218
386	12.99271	77.70213
387	12.99273	77.70208
388	12.99274	77.70202
389	12.99277	77.70196
390	12.99279	77.70190
