Rank	Latitude	Longitude
1	13.00080	77.67626
2	13.00080	77.67621
3	13.00080	77.67615
4	13.00080	77.67610
5	13.00080	77.67604
6	13.00079	77.67638
7	13.00079	77.67633
8	13.00079	77.67643
9	13.00079	77.67597
10	13.00079	77.67719
11	13.00079	77.67713
12	13.00079	77.67707
13	13.00079	77.67702
14	13.00078	77.67696
15	13.00078	77.67649
16	13.00078	77.67590
17	13.00078	77.67585
18	13.00078	77.67753
19	13.00078	77.67741
20	13.00078	77.67725
21	13.00078	77.67690
22	13.00078	77.67661
23	13.00078	77.67655
24	13.00077	77.67747
25	13.00077	77.67735
26	13.00077	77.67730
27	13.00077	77.67579
28	13.00077	77.67684
29	13.00077	77.67679
30	13.00077	77.67667
31	13.00077	77.67673
32	13.00077	77.67574
33	13.00076	77.67568
34	13.00075	77.67562
35	13.00075	77.67556
36	13.00075	77.67550
37	13.00075	77.67544
38	13.00075	77.67538
39	13.00075	77.67533
40	13.00075	77.67527
41	13.00075	77.67522
42	13.00075	77.67517
43	13.00075	77.67511
44	13.00074	77.67506
45	13.00073	77.67500
46	13.00072	77.67494
47	13.00072	77.67489
48	13.00072	77.67743
49	13.00072	77.67470
50	13.00071	77.67482
51	13.00071	77.67476
52	13.00071	77.67464
53	13.00071	77.67458
54	13.00069	77.67452
55	13.00069	77.67447
56	13.00069	77.67442
57	13.00069	77.67437
58	13.00069	77.67736
59	13.00069	77.67430
60	13.00068	77.67425
61	13.00067	77.67420
62	13.00067	77.67414
63	13.00066	77.67408
64	13.00066	77.67403
65	13.00065	77.67731
66	13.00065	77.67397
67	13.00064	77.67391
68	13.00064	77.67386
69	13.00064	77.67379
70	13.00064	77.67374
71	13.00064	77.67368
72	13.00062	77.67363
73	13.00062	77.67725
74	13.00061	77.67357
75	13.00060	77.67350
76	13.00060	77.67345
77	13.00060	77.67339
78	13.00059	77.67334
79	13.00059	77.67719
80	13.00058	77.67328
81	13.00057	77.67321
82	13.00057	77.67316
83	13.00056	77.67310
84	13.00056	77.67305
85	13.00056	77.67714
86	13.00056	77.67299
87	13.00055	77.67294
88	13.00055	77.67288
89	13.00054	77.67282
90	13.00053	77.67276
91	13.00052	77.67708
92	13.00052	77.67270
93	13.00051	77.67264
94	13.00050	77.67258
95	13.00050	77.67253
96	13.00050	77.67248
97	13.00049	77.67242
98	13.00049	77.67703
99	13.00049	77.67236
100	13.00048	77.67231
101	13.00047	77.67225
102	13.00046	77.67219
103	13.00046	77.67206
104	13.00046	77.67213
105	13.00045	77.67200
106	13.00044	77.67695
107	13.00044	77.68061
108	13.00044	77.68054
109	13.00044	77.68048
110	13.00044	77.68040
111	13.00044	77.68034
112	13.00043	77.67194
113	13.00043	77.68080
114	13.00043	77.68073
115	13.00043	77.68067
116	13.00043	77.68028
117	13.00042	77.68086
118	13.00042	77.68023
119	13.00042	77.68017
120	13.00042	77.68010
121	13.00042	77.68004
122	13.00042	77.67996
123	13.00042	77.67188
124	13.00041	77.67990
125	13.00040	77.67689
126	13.00040	77.67182
127	13.00040	77.68093
128	13.00040	77.67983
129	13.00039	77.67978
130	13.00039	77.67971
131	13.00039	77.67965
132	13.00039	77.67856
133	13.00039	77.67849
134	13.00039	77.67843
135	13.00039	77.67836
136	13.00039	77.67830
137	13.00039	77.67823
138	13.00039	77.67817
139	13.00039	77.67811
140	13.00039	77.67804
141	13.00039	77.67798
142	13.00038	77.67177
143	13.00037	77.68099
144	13.00037	77.67959
145	13.00037	77.67952
146	13.00037	77.67946
147	13.00037	77.67792
148	13.00037	77.67786
149	13.00037	77.67683
150	13.00037	77.67171
151	13.00037	77.67165
152	13.00036	77.67940
153	13.00036	77.67934
154	13.00036	77.67927
155	13.00036	77.67921
156	13.00036	77.67915
157	13.00036	77.67908
158	13.00036	77.67902
159	13.00036	77.67895
160	13.00036	77.67889
161	13.00036	77.67882
162	13.00036	77.67876
163	13.00036	77.67870
164	13.00036	77.67862
165	13.00036	77.67160
166	13.00035	77.68106
167	13.00035	77.67780
168	13.00035	77.67774
169	13.00035	77.67768
170	13.00035	77.67761
171	13.00035	77.67154
172	13.00034	77.67756
173	13.00034	77.67749
174	13.00034	77.67743
175	13.00034	77.67736
176	13.00034	77.67677
177	13.00034	77.67149
178	13.00033	77.68113
179	13.00033	77.67730
180	13.00033	77.67143
181	13.00032	77.67137
182	13.00032	77.67725
183	13.00032	77.67718
184	13.00032	77.67132
185	13.00031	77.67669
186	13.00031	77.67712
187	13.00031	77.67126
188	13.00030	77.67121
189	13.00030	77.67706
190	13.00030	77.67700
191	13.00030	77.67694
192	13.00029	77.67688
193	13.00029	77.67682
194	13.00029	77.67115
195	13.00029	77.68119
196	13.00028	77.67664
197	13.00028	77.67676
198	13.00028	77.67109
199	13.00026	77.67103
200	13.00026	77.67098
201	13.00024	77.67092
202	13.00023	77.67087
203	13.00023	77.67080
204	13.00022	77.67075
205	13.00020	77.67070
206	13.00020	77.67063
207	13.00019	77.68124
208	13.00019	77.67057
209	13.00017	77.67052
210	13.00016	77.67047
211	13.00016	77.67041
212	13.00015	77.67036
213	13.00014	77.67030
214	13.00014	77.68130
215	13.00013	77.67024
216	13.00013	77.67018
217	13.00012	77.67012
218	13.00010	77.67007
219	13.00010	77.67002
220	13.00009	77.66997
221	13.00008	77.68132
222	13.00007	77.66991
223	13.00005	77.66985
224	13.00004	77.66979
225	13.00003	77.68135
226	13.00002	77.66973
227	13.00001	77.66967
228	12.99999	77.66962
229	12.99998	77.66956
230	12.99997	77.66951
231	12.99996	77.68138
232	12.99996	77.66946
233	12.99994	77.66940
234	12.99991	77.66934
235	12.99991	77.68142
236	12.99990	77.66928
237	12.99989	77.66923
238	12.99986	77.66917
239	12.99986	77.68145
240	12.99985	77.66911
241	12.99983	77.66906
242	12.99981	77.66901
243	12.99979	77.68148
244	12.99979	77.66895
245	12.99977	77.66890
246	12.99974	77.66884
247	12.99973	77.68152
248	12.99973	77.66879
249	12.99970	77.66872
250	12.99968	77.66867
251	12.99967	77.66862
252	12.99967	77.68155
253	12.99966	77.66857
254	12.99964	77.66852
255	12.99962	77.66846
256	12.99960	77.66840
257	12.99960	77.68159
258	12.99959	77.66834
259	12.99956	77.66829
260	12.99954	77.68161
261	12.99954	77.66824
262	12.99951	77.66818
263	12.99950	77.66811
264	12.99949	77.66806
265	12.99948	77.68164
266	12.99947	77.66801
267	12.99945	77.66795
268	12.99944	77.66790
269	12.99942	77.66785
270	12.99941	77.68168
271	12.99940	77.66779
272	12.99938	77.66773
273	12.99936	77.68173
274	12.99935	77.66768
275	12.99934	77.66761
276	12.99932	77.66756
277	12.99931	77.68177
278	12.99930	77.66751
279	12.99928	77.66745
280	12.99925	77.66740
281	12.99925	77.68181
282	12.99923	77.66734
283	12.99920	77.66728
284	12.99919	77.68185
285	12.99918	77.66722
286	12.99915	77.66717
287	12.99913	77.68189
288	12.99913	77.66711
289	12.99911	77.66706
290	12.99909	77.66700
291	12.99908	77.68192
292	12.99908	77.66695
293	12.99905	77.66689
294	12.99903	77.66684
295	12.99902	77.68195
296	12.99900	77.66678
297	12.99898	77.66672
298	12.99895	77.68199
299	12.99895	77.66666
300	12.99892	77.66661
301	12.99890	77.68203
302	12.99889	77.66655
303	12.99887	77.66650
304	12.99885	77.66645
305	12.99885	77.68206
306	12.99882	77.66640
307	12.99879	77.66634
308	12.99879	77.68209
309	12.99877	77.66628
310	12.99874	77.66623
311	12.99874	77.68212
312	12.99870	77.66617
313	12.99869	77.68216
314	12.99868	77.66612
315	12.99866	77.66606
316	12.99864	77.68220
317	12.99863	77.66600
318	12.99860	77.66595
319	12.99857	77.66589
320	12.99857	77.68224
321	12.99854	77.66584
322	12.99851	77.66577
323	12.99848	77.66571
324	12.99848	77.68231
325	12.99845	77.66566
326	12.99843	77.68234
327	12.99842	77.66561
328	12.99840	77.66555
329	12.99837	77.68237
330	12.99837	77.66550
331	12.99834	77.66544
332	12.99832	77.68240
333	12.99831	77.66538
334	12.99828	77.66533
335	12.99826	77.66528
336	12.99823	77.66522
337	12.99823	77.68245
338	12.99820	77.66516
339	12.99817	77.68249
340	12.99817	77.66510
341	12.99813	77.66504
342	12.99811	77.68253
343	12.99809	77.66499
344	12.99806	77.66493
345	12.99806	77.68256
346	12.99803	77.66487
347	12.99801	77.68261
348	12.99800	77.66482
349	12.99796	77.66477
350	12.99794	77.68265
351	12.99793	77.66470
352	12.99791	77.66465
353	12.99789	77.68268
354	12.99788	77.66460
355	12.99785	77.66454
356	12.99784	77.68272
357	12.99782	77.66448
358	12.99779	77.66443
359	12.99778	77.68276
360	12.99776	77.66437
361	12.99772	77.68279
362	12.99772	77.66432
363	12.99769	77.66426
364	12.99765	77.66420
365	12.99765	77.68284
366	12.99761	77.66415
367	12.99757	77.66409
368	12.99754	77.66404
369	12.99754	77.68292
370	12.99751	77.66398
371	12.99749	77.68295
372	12.99747	77.66393
373	12.99744	77.66387
374	12.99743	77.68298
375	12.99741	77.66382
376	12.99738	77.66376
377	12.99736	77.68301
378	12.99735	77.66371
379	12.99732	77.66365
380	12.99730	77.68305
381	12.99730	77.66360
382	12.99726	77.66354
383	12.99723	77.66349
384	12.99721	77.68312
385	12.99719	77.66343
386	12.99716	77.66337
387	12.99713	77.68317
388	12.99712	77.66332
389	12.99709	77.66326
390	12.99708	77.68322
391	12.99706	77.66320
392	12.99703	77.66315
393	12.99702	77.68325
394	12.99699	77.66310
395	12.99696	77.66304
396	12.99695	77.68329
397	12.99693	77.66299
398	12.99690	77.66293
399	12.99690	77.68334
400	12.99687	77.66287
401	12.99684	77.66282
402	12.99684	77.68336
403	12.99681	77.66276
404	12.99678	77.68339
405	12.99675	77.66277
406	12.99670	77.66280
407	12.99668	77.68341
408	12.99663	77.66284
409	12.99658	77.68349
410	12.99658	77.66287
411	12.99653	77.68352
412	12.99652	77.66292
413	12.99647	77.66295
414	12.99645	77.68357
415	12.99641	77.66298
416	12.99639	77.68352
417	12.99635	77.66302
418	12.99634	77.68348
419	12.99630	77.66305
420	12.99627	77.68345
421	12.99624	77.66310
422	12.99622	77.68341
423	12.99618	77.66314
424	12.99616	77.68339
425	12.99612	77.66318
426	12.99610	77.68337
427	12.99606	77.66322
428	12.99604	77.68334
429	12.99600	77.66326
430	12.99597	77.68331
431	12.99595	77.66329
432	12.99591	77.68328
433	12.99590	77.66332
434	12.99585	77.68326
435	12.99584	77.66336
436	12.99579	77.68325
437	12.99579	77.66338
438	12.99574	77.66342
439	12.99573	77.68323
440	12.99568	77.66345
441	12.99567	77.68321
442	12.99562	77.66348
443	12.99561	77.68320
444	12.99557	77.66351
445	12.99555	77.68319
446	12.99551	77.66355
447	12.99550	77.68319
448	12.99545	77.66358
449	12.99544	77.68318
450	12.99540	77.66361
451	12.99539	77.68318
452	12.99534	77.68318
453	12.99533	77.66365
454	12.99528	77.68317
455	12.99527	77.66369
456	12.99523	77.68317
457	12.99522	77.66372
458	12.99517	77.68315
459	12.99517	77.66375
460	12.99511	77.68312
461	12.99511	77.66379
462	12.99509	77.68306
463	12.99507	77.68301
464	12.99506	77.68296
465	12.99505	77.66382
466	12.99505	77.68291
467	12.99504	77.68284
468	12.99503	77.68278
469	12.99503	77.68271
470	12.99502	77.68266
471	12.99502	77.67710
472	12.99501	77.68259
473	12.99499	77.68253
474	12.99499	77.66386
475	12.99499	77.67704
476	12.99499	77.67717
477	12.99495	77.67723
478	12.99494	77.68251
479	12.99494	77.66390
480	12.99493	77.67701
481	12.99493	77.67736
482	12.99493	77.67743
483	12.99493	77.67753
484	12.99493	77.67760
485	12.99493	77.67766
486	12.99493	77.67773
487	12.99493	77.67779
488	12.99492	77.67730
489	12.99492	77.67786
490	12.99492	77.67792
491	12.99491	77.67797
492	12.99491	77.68195
493	12.99491	77.68202
494	12.99490	77.67803
495	12.99490	77.68207
496	12.99489	77.68251
497	12.99489	77.67809
498	12.99489	77.67816
499	12.99489	77.68190
500	12.99488	77.66393
501	12.99488	77.67821
502	12.99488	77.67697
503	12.99486	77.67826
504	12.99486	77.67833
505	12.99486	77.67839
506	12.99486	77.68184
507	12.99485	77.67846
508	12.99485	77.68126
509	12.99485	77.68132
510	12.99485	77.68139
511	12.99485	77.68145
512	12.99485	77.68151
513	12.99485	77.68158
514	12.99485	77.68164
515	12.99485	77.68171
516	12.99485	77.68177
517	12.99484	77.68113
518	12.99484	77.68119
519	12.99484	77.68230
520	12.99484	77.68245
521	12.99484	77.68235
522	12.99483	77.68240
523	12.99483	77.67856
524	12.99483	77.68106
525	12.99483	77.68208
526	12.99483	77.66397
527	12.99482	77.67862
528	12.99482	77.68093
529	12.99482	77.68100
530	12.99482	77.68214
531	12.99482	77.68220
532	12.99482	77.67694
533	12.99481	77.67867
534	12.99481	77.68081
535	12.99481	77.68087
536	12.99480	77.67872
537	12.99480	77.68073
538	12.99479	77.67878
539	12.99479	77.68054
540	12.99479	77.68060
541	12.99479	77.68067
542	12.99478	77.67883
543	12.99478	77.67959
544	12.99478	77.67966
545	12.99478	77.67973
546	12.99478	77.67980
547	12.99478	77.67986
548	12.99478	77.67993
549	12.99478	77.68034
550	12.99478	77.68041
551	12.99478	77.68047
552	12.99477	77.67890
553	12.99477	77.67896
554	12.99477	77.67903
555	12.99477	77.67909
556	12.99477	77.67953
557	12.99477	77.68028
558	12.99476	77.67690
559	12.99476	77.66400
560	12.99476	77.67947
561	12.99476	77.68002
562	12.99476	77.68015
563	12.99476	77.68022
564	12.99475	77.67914
565	12.99475	77.67921
566	12.99475	77.67927
567	12.99475	77.67934
568	12.99475	77.67940
569	12.99471	77.66403
570	12.99471	77.67686
571	12.99466	77.66406
572	12.99465	77.67683
573	12.99460	77.67679
574	12.99460	77.66409
575	12.99455	77.67675
576	12.99454	77.66412
577	12.99449	77.67671
578	12.99448	77.66415
579	12.99443	77.67668
580	12.99443	77.66418
581	12.99438	77.67664
582	12.99437	77.66421
583	12.99433	77.67661
584	12.99431	77.66425
585	12.99426	77.67654
586	12.99425	77.66430
587	12.99419	77.66433
588	12.99419	77.67647
589	12.99414	77.66436
590	12.99414	77.67642
591	12.99409	77.66439
592	12.99408	77.67636
593	12.99403	77.66443
594	12.99400	77.67629
595	12.99398	77.66447
596	12.99395	77.67625
597	12.99392	77.66451
598	12.99389	77.67618
599	12.99386	77.66453
600	12.99382	77.67612
601	12.99380	77.66456
602	12.99375	77.67605
603	12.99375	77.66460
604	12.99369	77.67598
605	12.99369	77.66463
606	12.99364	77.66466
607	12.99363	77.67592
608	12.99358	77.66469
609	12.99358	77.67588
610	12.99353	77.66472
611	12.99352	77.67586
612	12.99348	77.66475
613	12.99347	77.67585
614	12.99342	77.66479
615	12.99340	77.67582
616	12.99336	77.66482
617	12.99335	77.67581
618	12.99330	77.66485
619	12.99328	77.67579
620	12.99325	77.66488
621	12.99322	77.67579
622	12.99319	77.66491
623	12.99316	77.67580
624	12.99313	77.66496
625	12.99309	77.67581
626	12.99308	77.66499
627	12.99303	77.67582
628	12.99303	77.66503
629	12.99298	77.67583
630	12.99298	77.66506
631	12.99292	77.66509
632	12.99291	77.67586
633	12.99286	77.66513
634	12.99284	77.67587
635	12.99281	77.66518
636	12.99276	77.67587
637	12.99276	77.66521
638	12.99270	77.66524
639	12.99270	77.67590
640	12.99269	77.67596
641	12.99268	77.67603
642	12.99268	77.67616
643	12.99268	77.67609
644	12.99267	77.67629
645	12.99267	77.67622
646	12.99265	77.67635
647	12.99264	77.66528
648	12.99264	77.67641
649	12.99262	77.67648
650	12.99260	77.67653
651	12.99259	77.67660
652	12.99259	77.66533
653	12.99257	77.67665
654	12.99253	77.66537
655	12.99251	77.67664
656	12.99248	77.66543
657	12.99243	77.67664
658	12.99242	77.66547
659	12.99236	77.67662
660	12.99236	77.66551
661	12.99230	77.66555
662	12.99229	77.67659
663	12.99225	77.66559
664	12.99224	77.67657
665	12.99219	77.66564
666	12.99218	77.67655
667	12.99214	77.66569
668	12.99211	77.67653
669	12.99208	77.66574
670	12.99204	77.66580
671	12.99204	77.67651
672	12.99198	77.67650
673	12.99198	77.66585
674	12.99193	77.67649
675	12.99192	77.66589
676	12.99187	77.67647
677	12.99186	77.66594
678	12.99181	77.67646
679	12.99181	77.66598
680	12.99176	77.66603
681	12.99174	77.67644
682	12.99172	77.66608
683	12.99168	77.67642
684	12.99168	77.66613
685	12.99163	77.66618
686	12.99161	77.67640
687	12.99160	77.66623
688	12.99155	77.66629
689	12.99154	77.67638
690	12.99152	77.67555
691	12.99151	77.67561
692	12.99150	77.66635
693	12.99150	77.67566
694	12.99148	77.67572
695	12.99147	77.67577
696	12.99147	77.67636
697	12.99146	77.67583
698	12.99146	77.66640
699	12.99144	77.67553
700	12.99144	77.67588
701	12.99142	77.67593
702	12.99141	77.67634
703	12.99141	77.66646
704	12.99141	77.67601
705	12.99137	77.67551
706	12.99137	77.67608
707	12.99137	77.66652
708	12.99136	77.67614
709	12.99135	77.67620
710	12.99134	77.67631
711	12.99134	77.67626
712	12.99132	77.66657
713	12.99130	77.67550
714	12.99127	77.66662
715	12.99124	77.67555
716	12.99123	77.66669
717	12.99122	77.67561
718	12.99121	77.67567
719	12.99119	77.67574
720	12.99118	77.66674
721	12.99118	77.67580
722	12.99113	77.66680
723	12.99112	77.67583
724	12.99108	77.66685
725	12.99106	77.67582
726	12.99104	77.66691
727	12.99101	77.66697
728	12.99100	77.67581
729	12.99098	77.66702
730	12.99095	77.66707
731	12.99093	77.67580
732	12.99092	77.66713
733	12.99088	77.66719
734	12.99085	77.67578
735	12.99085	77.66724
736	12.99081	77.66729
737	12.99080	77.67576
738	12.99076	77.66734
739	12.99072	77.66739
740	12.99072	77.67575
741	12.99067	77.66745
742	12.99064	77.67574
743	12.99063	77.66750
744	12.99060	77.66756
745	12.99057	77.66761
746	12.99057	77.67572
747	12.99053	77.66767
748	12.99051	77.67571
749	12.99049	77.66773
750	12.99046	77.66779
751	12.99043	77.67571
752	12.99043	77.66785
753	12.99039	77.66791
754	12.99036	77.66797
755	12.99035	77.67570
756	12.99034	77.66802
757	12.99030	77.66808
758	12.99028	77.66813
759	12.99027	77.67570
760	12.99025	77.66819
761	12.99022	77.66824
762	12.99021	77.67569
763	12.99021	77.66830
764	12.99016	77.66835
765	12.99013	77.67569
766	12.99011	77.66832
767	12.99011	77.67577
768	12.99007	77.67583
769	12.99005	77.66827
770	12.99000	77.67585
771	12.98999	77.66822
772	12.98992	77.66816
773	12.98991	77.67585
774	12.98987	77.66812
775	12.98983	77.67585
