Rank	Latitude	Longitude
1	12.94834	77.60699
2	12.94834	77.60705
3	12.94833	77.60712
4	12.94832	77.60719
5	12.94830	77.60728
6	12.94830	77.60733
7	12.94828	77.60740
8	12.94827	77.60748
9	12.94826	77.60756
10	12.94825	77.60762
11	12.94824	77.60768
12	12.94822	77.60775
13	12.94821	77.60781
14	12.94819	77.60788
15	12.94818	77.60795
16	12.94817	77.60802
17	12.94816	77.60810
18	12.94816	77.60818
19	12.94816	77.60823
20	12.94815	77.60830
21	12.94814	77.60836
22	12.94813	77.60843
23	12.94813	77.60849
24	12.94811	77.60857
25	12.94811	77.60863
26	12.94809	77.60871
27	12.94808	77.60878
28	12.94807	77.60883
29	12.94806	77.60892
30	12.94805	77.60899
31	12.94804	77.60905
32	12.94803	77.60910
33	12.94800	77.60917
34	12.94799	77.60923
35	12.94799	77.60930
36	12.94797	77.60935
37	12.94797	77.60942
38	12.94796	77.60951
39	12.94796	77.60957
40	12.94796	77.60963
41	12.94795	77.60971
42	12.94794	77.60977
43	12.94793	77.60984
44	12.94792	77.60990
45	12.94791	77.60996
46	12.94790	77.61004
47	12.94790	77.61010
48	12.94789	77.61016
49	12.94789	77.61021
50	12.94787	77.61028
51	12.94786	77.61034
52	12.94786	77.61041
53	12.94786	77.61048
54	12.94784	77.61053
55	12.94782	77.61059
56	12.94781	77.61065
57	12.94780	77.61071
58	12.94779	77.61077
59	12.94777	77.61082
60	12.94777	77.61089
61	12.94776	77.61095
62	12.94775	77.61102
63	12.94774	77.61109
64	12.94773	77.61117
65	12.94773	77.61122
66	12.94772	77.61130
67	12.94770	77.61137
68	12.94770	77.61143
69	12.94769	77.61149
70	12.94768	77.61156
71	12.94767	77.61163
72	12.94766	77.61169
73	12.94765	77.61177
74	12.94764	77.61185
75	12.94764	77.61190
76	12.94763	77.61196
77	12.94762	77.61202
78	12.94762	77.61210
79	12.94762	77.61216
80	12.94762	77.61223
81	12.94762	77.61229
82	12.94764	77.61236
83	12.94765	77.61241
84	12.94768	77.61248
85	12.94771	77.61255
86	12.94775	77.61262
87	12.94778	77.61268
88	12.94780	77.61274
89	12.94782	77.61280
90	12.94784	77.61287
91	12.94784	77.61294
92	12.94784	77.61302
93	12.94784	77.61307
