Rank	Latitude	Longitude
1	12.92926	77.63502
2	12.92933	77.63506
3	12.92941	77.63510
4	12.92948	77.63510
5	12.92953	77.63511
6	12.92959	77.63511
7	12.92965	77.63512
8	12.92970	77.63510
9	12.92976	77.63501
10	12.92982	77.63495
11	12.92990	77.63488
12	12.92997	77.63482
13	12.93005	77.63477
14	12.93010	77.63469
15	12.93015	77.63462
16	12.93024	77.63454
17	12.93032	77.63448
18	12.93042	77.63446
19	12.93048	77.63449
20	12.93053	77.63451
21	12.93058	77.63453
22	12.93065	77.63455
23	12.93070	77.63456
24	12.93076	77.63456
25	12.93087	77.63459
26	12.93093	77.63461
27	12.93098	77.63462
28	12.93104	77.63463
29	12.93109	77.63464
30	12.93118	77.63466
31	12.93124	77.63468
32	12.93130	77.63470
33	12.93135	77.63472
34	12.93140	77.63473
35	12.93146	77.63475
36	12.93151	77.63477
37	12.93156	77.63478
38	12.93161	77.63480
39	12.93167	77.63481
40	12.93172	77.63483
41	12.93178	77.63485
42	12.93189	77.63490
43	12.93198	77.63493
44	12.93205	77.63496
45	12.93210	77.63498
46	12.93215	77.63500
47	12.93222	77.63506
48	12.93229	77.63508
49	12.93235	77.63509
50	12.93245	77.63512
51	12.93250	77.63514
52	12.93255	77.63515
53	12.93260	77.63519
54	12.93266	77.63522
55	12.93271	77.63523
56	12.93276	77.63525
57	12.93285	77.63530
58	12.93293	77.63536
59	12.93301	77.63543
60	12.93309	77.63550
61	12.93316	77.63556
62	12.93321	77.63564
63	12.93325	77.63569
64	12.93327	77.63574
65	12.93330	77.63580
66	12.93331	77.63585
67	12.93334	77.63591
68	12.93335	77.63597
69	12.93338	77.63608
70	12.93340	77.63613
71	12.93345	77.63622
72	12.93348	77.63631
73	12.93355	77.63631
74	12.93361	77.63631
75	12.93367	77.63630
76	12.93372	77.63629
77	12.93378	77.63628
78	12.93386	77.63627
79	12.93392	77.63627
80	12.93398	77.63626
81	12.93409	77.63623
82	12.93414	77.63622
83	12.93420	77.63622
84	12.93431	77.63620
85	12.93437	77.63612
86	12.93443	77.63603
87	12.93451	77.63597
88	12.93457	77.63590
89	12.93465	77.63583
90	12.93472	77.63576
91	12.93479	77.63570
92	12.93485	77.63567
93	12.93492	77.63560
94	12.93500	77.63554
95	12.93508	77.63547
96	12.93515	77.63541
97	12.93521	77.63535
98	12.93528	77.63526
99	12.93535	77.63519
100	12.93542	77.63511
101	12.93549	77.63503
102	12.93556	77.63497
103	12.93563	77.63490
104	12.93571	77.63482
105	12.93579	77.63475
106	12.93584	77.63467
107	12.93591	77.63458
108	12.93599	77.63451
109	12.93608	77.63446
110	12.93616	77.63438
111	12.93623	77.63432
112	12.93629	77.63429
113	12.93637	77.63424
114	12.93647	77.63419
115	12.93656	77.63413
116	12.93661	77.63411
117	12.93667	77.63409
118	12.93676	77.63404
119	12.93681	77.63402
120	12.93687	77.63398
121	12.93695	77.63394
122	12.93703	77.63390
123	12.93711	77.63385
124	12.93717	77.63385
125	12.93726	77.63381
126	12.93735	77.63376
127	12.93740	77.63373
128	12.93747	77.63372
129	12.93752	77.63368
130	12.93761	77.63365
131	12.93771	77.63360
132	12.93776	77.63356
133	12.93785	77.63351
134	12.93791	77.63348
135	12.93799	77.63344
136	12.93808	77.63339
137	12.93816	77.63333
138	12.93824	77.63329
139	12.93834	77.63323
140	12.93839	77.63321
141	12.93849	77.63318
142	12.93858	77.63314
143	12.93867	77.63308
144	12.93875	77.63302
145	12.93880	77.63300
146	12.93885	77.63297
147	12.93895	77.63292
148	12.93900	77.63291
149	12.93908	77.63290
150	12.93914	77.63290
151	12.93923	77.63288
152	12.93929	77.63288
153	12.93938	77.63286
154	12.93943	77.63284
155	12.93949	77.63281
156	12.93954	77.63279
157	12.93962	77.63274
158	12.93972	77.63268
159	12.93980	77.63263
160	12.93989	77.63259
161	12.93995	77.63256
162	12.94003	77.63251
163	12.94012	77.63246
164	12.94017	77.63244
165	12.94025	77.63240
166	12.94031	77.63236
167	12.94037	77.63235
168	12.94043	77.63234
169	12.94053	77.63230
170	12.94061	77.63226
171	12.94066	77.63223
172	12.94072	77.63220
173	12.94077	77.63218
174	12.94088	77.63214
175	12.94096	77.63212
176	12.94101	77.63211
177	12.94106	77.63209
178	12.94112	77.63208
179	12.94117	77.63207
180	12.94122	77.63205
181	12.94129	77.63203
182	12.94137	77.63198
183	12.94145	77.63192
184	12.94156	77.63186
185	12.94165	77.63182
186	12.94171	77.63178
187	12.94180	77.63174
188	12.94185	77.63172
189	12.94195	77.63168
190	12.94204	77.63163
191	12.94210	77.63162
192	12.94216	77.63158
193	12.94221	77.63156
194	12.94226	77.63153
195	12.94232	77.63149
196	12.94240	77.63146
197	12.94246	77.63143
198	12.94256	77.63138
199	12.94265	77.63132
200	12.94272	77.63129
201	12.94281	77.63124
202	12.94291	77.63119
203	12.94296	77.63117
204	12.94305	77.63112
205	12.94315	77.63108
206	12.94320	77.63103
207	12.94325	77.63101
208	12.94334	77.63096
209	12.94343	77.63091
210	12.94349	77.63089
211	12.94357	77.63085
212	12.94365	77.63081
213	12.94371	77.63078
214	12.94380	77.63074
215	12.94385	77.63071
216	12.94396	77.63067
217	12.94402	77.63064
218	12.94410	77.63060
219	12.94416	77.63057
220	12.94421	77.63055
221	12.94431	77.63050
222	12.94439	77.63045
223	12.94449	77.63041
224	12.94457	77.63034
225	12.94462	77.63030
226	12.94467	77.63027
227	12.94478	77.63023
228	12.94483	77.63020
229	12.94488	77.63017
230	12.94498	77.63013
231	12.94503	77.63011
232	12.94512	77.63007
233	12.94520	77.63001
234	12.94525	77.63000
235	12.94535	77.62996
236	12.94543	77.62991
237	12.94548	77.62990
238	12.94557	77.62982
239	12.94566	77.62977
240	12.94572	77.62974
241	12.94580	77.62970
