Rank	Latitude	Longitude
1	12.95881	77.61340
2	12.95886	77.61341
3	12.95892	77.61344
4	12.95899	77.61345
5	12.95906	77.61346
6	12.95912	77.61348
7	12.95919	77.61348
8	12.95926	77.61348
9	12.95932	77.61348
10	12.95940	77.61349
11	12.95946	77.61350
12	12.95951	77.61351
13	12.95957	77.61353
14	12.95962	77.61354
15	12.95970	77.61357
16	12.95978	77.61359
17	12.95983	77.61360
18	12.95989	77.61361
19	12.95996	77.61361
20	12.96002	77.61362
21	12.96008	77.61362
22	12.96016	77.61363
23	12.96024	77.61363
24	12.96031	77.61364
25	12.96036	77.61360
26	12.96042	77.61357
27	12.96049	77.61351
28	12.96056	77.61345
29	12.96062	77.61342
30	12.96067	77.61337
31	12.96074	77.61330
32	12.96080	77.61327
33	12.96087	77.61320
34	12.96093	77.61316
35	12.96099	77.61310
36	12.96104	77.61306
37	12.96111	77.61300
38	12.96119	77.61293
39	12.96126	77.61287
40	12.96132	77.61280
41	12.96137	77.61276
42	12.96143	77.61272
43	12.96150	77.61265
44	12.96157	77.61258
45	12.96163	77.61254
46	12.96169	77.61249
47	12.96174	77.61245
48	12.96180	77.61241
49	12.96185	77.61238
50	12.96192	77.61232
51	12.96197	77.61227
52	12.96203	77.61223
53	12.96208	77.61218
54	12.96215	77.61213
55	12.96223	77.61207
56	12.96228	77.61203
57	12.96235	77.61197
58	12.96242	77.61191
59	12.96247	77.61187
60	12.96253	77.61183
61	12.96260	77.61177
62	12.96265	77.61174
63	12.96272	77.61170
64	12.96277	77.61167
65	12.96283	77.61162
66	12.96289	77.61157
67	12.96295	77.61153
68	12.96301	77.61150
69	12.96307	77.61146
70	12.96312	77.61141
71	12.96320	77.61136
72	12.96325	77.61132
73	12.96331	77.61129
74	12.96338	77.61125
75	12.96344	77.61121
76	12.96351	77.61115
77	12.96356	77.61110
78	12.96365	77.61103
79	12.96372	77.61097
80	12.96379	77.61091
81	12.96386	77.61088
82	12.96391	77.61084
83	12.96397	77.61080
84	12.96404	77.61074
85	12.96412	77.61067
86	12.96417	77.61063
87	12.96424	77.61059
88	12.96429	77.61055
89	12.96436	77.61049
90	12.96442	77.61045
