Rank	Latitude	Longitude
1	12.97362	77.62643
2	12.97357	77.62646
3	12.97351	77.62649
4	12.97344	77.62653
5	12.97339	77.62657
6	12.97332	77.62662
7	12.97326	77.62666
8	12.97321	77.62669
9	12.97315	77.62672
10	12.97309	77.62677
11	12.97303	77.62682
12	12.97298	77.62686
13	12.97292	77.62690
14	12.97285	77.62694
15	12.97280	77.62698
16	12.97272	77.62705
17	12.97267	77.62708
18	12.97261	77.62712
19	12.97255	77.62716
20	12.97250	77.62720
21	12.97243	77.62723
22	12.97237	77.62726
23	12.97229	77.62731
24	12.97222	77.62736
25	12.97217	77.62739
26	12.97211	77.62742
27	12.97205	77.62746
28	12.97198	77.62752
29	12.97192	77.62755
30	12.97186	77.62757
31	12.97180	77.62760
32	12.97174	77.62763
33	12.97166	77.62768
34	12.97160	77.62771
35	12.97153	77.62777
36	12.97145	77.62781
37	12.97140	77.62784
38	12.97134	77.62787
39	12.97129	77.62790
40	12.97122	77.62796
41	12.97114	77.62803
42	12.97107	77.62807
43	12.97102	77.62810
44	12.97096	77.62814
45	12.97091	77.62817
46	12.97086	77.62821
47	12.97080	77.62824
48	12.97074	77.62828
49	12.97068	77.62832
50	12.97061	77.62838
51	12.97055	77.62841
52	12.97049	77.62845
53	12.97043	77.62849
54	12.97038	77.62853
55	12.97033	77.62855
56	12.97028	77.62860
57	12.97022	77.62864
58	12.97016	77.62867
59	12.97009	77.62870
60	12.97003	77.62874
61	12.96996	77.62880
62	12.96991	77.62883
63	12.96985	77.62885
64	12.96979	77.62888
65	12.96970	77.62892
66	12.96964	77.62895
67	12.96958	77.62898
68	12.96952	77.62900
69	12.96947	77.62903
70	12.96941	77.62906
71	12.96934	77.62912
72	12.96928	77.62914
73	12.96921	77.62918
74	12.96915	77.62922
75	12.96910	77.62926
76	12.96903	77.62929
77	12.96898	77.62932
78	12.96892	77.62935
79	12.96887	77.62938
80	12.96882	77.62942
81	12.96876	77.62945
82	12.96870	77.62949
83	12.96862	77.62954
84	12.96857	77.62958
85	12.96851	77.62962
86	12.96846	77.62966
87	12.96841	77.62970
88	12.96834	77.62975
89	12.96829	77.62978
90	12.96821	77.62983
91	12.96813	77.62988
92	12.96807	77.62993
93	12.96799	77.62999
94	12.96793	77.63002
95	12.96787	77.63006
96	12.96782	77.63009
97	12.96774	77.63013
98	12.96765	77.63013
99	12.96757	77.63013
100	12.96751	77.63011
101	12.96744	77.63011
102	12.96737	77.63011
103	12.96729	77.63009
104	12.96721	77.63008
105	12.96715	77.63007
106	12.96706	77.63006
107	12.96700	77.63005
108	12.96694	77.63003
109	12.96687	77.63003
110	12.96680	77.63003
111	12.96672	77.63002
112	12.96669	77.63008
113	12.96670	77.63015
114	12.96671	77.63022
115	12.96671	77.63028
116	12.96671	77.63035
117	12.96671	77.63043
118	12.96671	77.63050
119	12.96671	77.63055
120	12.96671	77.63062
121	12.96671	77.63069
122	12.96670	77.63076
123	12.96670	77.63085
124	12.96670	77.63092
125	12.96670	77.63099
126	12.96670	77.63105
127	12.96672	77.63111
128	12.96672	77.63117
129	12.96673	77.63123
130	12.96674	77.63129
131	12.96674	77.63138
132	12.96675	77.63143
133	12.96675	77.63150
134	12.96676	77.63155
135	12.96676	77.63162
136	12.96677	77.63168
137	12.96678	77.63173
138	12.96678	77.63181
139	12.96679	77.63189
140	12.96680	77.63194
141	12.96680	77.63203
142	12.96680	77.63209
143	12.96681	77.63215
144	12.96681	77.63222
145	12.96681	77.63228
146	12.96682	77.63235
147	12.96683	77.63241
148	12.96684	77.63249
149	12.96685	77.63255
150	12.96686	77.63261
151	12.96687	77.63266
152	12.96688	77.63273
153	12.96689	77.63279
154	12.96691	77.63285
155	12.96693	77.63290
156	12.96695	77.63297
157	12.96696	77.63303
158	12.96697	77.63310
159	12.96699	77.63317
160	12.96700	77.63324
161	12.96701	77.63332
162	12.96702	77.63338
163	12.96703	77.63345
164	12.96704	77.63352
165	12.96705	77.63357
166	12.96707	77.63364
167	12.96709	77.63371
168	12.96710	77.63377
169	12.96711	77.63383
170	12.96712	77.63389
171	12.96713	77.63394
172	12.96714	77.63400
173	12.96709	77.63406
174	12.96704	77.63410
175	12.96697	77.63413
176	12.96691	77.63415
177	12.96684	77.63418
178	12.96677	77.63420
179	12.96671	77.63422
180	12.96665	77.63423
181	12.96659	77.63426
182	12.96654	77.63428
183	12.96648	77.63429
184	12.96643	77.63431
185	12.96634	77.63430
186	12.96628	77.63429
187	12.96622	77.63429
188	12.96614	77.63432
189	12.96607	77.63436
190	12.96601	77.63438
