Rank	Latitude	Longitude
1	13.04599	77.57698
2	13.04592	77.57696
3	13.04586	77.57694
4	13.04580	77.57691
5	13.04574	77.57689
6	13.04568	77.57685
7	13.04562	77.57682
8	13.04556	77.57678
9	13.04551	77.57675
10	13.04543	77.57671
11	13.04538	77.57668
12	13.04532	77.57665
13	13.04526	77.57661
14	13.04520	77.57658
15	13.04513	77.57654
16	13.04507	77.57651
17	13.04501	77.57649
18	13.04495	77.57646
19	13.04488	77.57644
20	13.04481	77.57642
21	13.04475	77.57641
22	13.04469	77.57639
23	13.04463	77.57636
24	13.04457	77.57633
25	13.04450	77.57630
26	13.04442	77.57629
27	13.04437	77.57627
28	13.04430	77.57625
29	13.04424	77.57622
30	13.04419	77.57620
31	13.04412	77.57616
32	13.04404	77.57611
33	13.04398	77.57608
34	13.04392	77.57605
35	13.04386	77.57602
36	13.04380	77.57599
37	13.04373	77.57595
38	13.04367	77.57594
39	13.04360	77.57591
40	13.04355	77.57590
41	13.04347	77.57586
42	13.04341	77.57584
43	13.04334	77.57581
44	13.04328	77.57578
45	13.04322	77.57576
46	13.04316	77.57572
47	13.04310	77.57568
48	13.04304	77.57565
49	13.04298	77.57561
50	13.04293	77.57557
51	13.04289	77.57550
52	13.04283	77.57555
53	13.04280	77.57561
54	13.04277	77.57567
55	13.04274	77.57573
56	13.04272	77.57578
57	13.04268	77.57585
58	13.04266	77.57591
59	13.04264	77.57598
60	13.04262	77.57604
61	13.04260	77.57611
62	13.04259	77.57616
63	13.04257	77.57623
64	13.04256	77.57628
65	13.04254	77.57634
66	13.04251	77.57640
67	13.04248	77.57646
68	13.04247	77.57653
69	13.04246	77.57659
70	13.04238	77.57659
71	13.04230	77.57658
72	13.04222	77.57658
73	13.04216	77.57657
74	13.04209	77.57657
75	13.04203	77.57654
76	13.04196	77.57652
77	13.04191	77.57651
78	13.04188	77.57645
79	13.04191	77.57638
80	13.04192	77.57632
81	13.04194	77.57626
82	13.04195	77.57618
83	13.04192	77.57613
84	13.04186	77.57612
85	13.04179	77.57609
86	13.04173	77.57607
87	13.04168	77.57606
88	13.04161	77.57603
89	13.04155	77.57601
90	13.04148	77.57599
91	13.04142	77.57597
92	13.04135	77.57593
93	13.04130	77.57592
94	13.04123	77.57590
95	13.04117	77.57588
96	13.04110	77.57586
97	13.04104	77.57583
98	13.04104	77.57577
99	13.04105	77.57571
100	13.04106	77.57565
101	13.04107	77.57559
102	13.04108	77.57554
103	13.04109	77.57547
104	13.04110	77.57541
105	13.04110	77.57535
106	13.04111	77.57528
107	13.04112	77.57522
108	13.04112	77.57517
109	13.04114	77.57509
110	13.04114	77.57503
111	13.04115	77.57497
112	13.04116	77.57491
113	13.04116	77.57484
114	13.04116	77.57476
115	13.04116	77.57469
116	13.04117	77.57463
117	13.04117	77.57457
118	13.04117	77.57449
119	13.04116	77.57443
120	13.04113	77.57435
121	13.04108	77.57428
122	13.04101	77.57421
123	13.04093	77.57416
124	13.04087	77.57413
125	13.04082	77.57409
126	13.04077	77.57404
127	13.04071	77.57401
128	13.04065	77.57398
129	13.04060	77.57396
130	13.04053	77.57394
131	13.04047	77.57392
132	13.04042	77.57391
133	13.04035	77.57388
134	13.04030	77.57385
135	13.04024	77.57381
136	13.04019	77.57379
137	13.04013	77.57376
138	13.04006	77.57373
139	13.03999	77.57369
140	13.03992	77.57365
141	13.03985	77.57361
142	13.03978	77.57358
143	13.03972	77.57356
144	13.03965	77.57354
145	13.03959	77.57352
146	13.03953	77.57349
147	13.03948	77.57347
148	13.03941	77.57344
149	13.03934	77.57343
150	13.03928	77.57341
151	13.03921	77.57338
152	13.03914	77.57335
153	13.03909	77.57333
154	13.03903	77.57330
155	13.03898	77.57328
156	13.03892	77.57326
157	13.03885	77.57323
158	13.03879	77.57320
159	13.03878	77.57327
160	13.03878	77.57333
161	13.03878	77.57340
162	13.03878	77.57346
163	13.03878	77.57351
164	13.03878	77.57358
165	13.03877	77.57364
166	13.03877	77.57371
167	13.03871	77.57372
168	13.03864	77.57371
169	13.03857	77.57371
170	13.03849	77.57370
171	13.03841	77.57369
172	13.03832	77.57369
173	13.03824	77.57369
174	13.03817	77.57369
175	13.03811	77.57368
176	13.03804	77.57365
177	13.03797	77.57364
178	13.03790	77.57363
179	13.03782	77.57363
180	13.03775	77.57363
181	13.03769	77.57362
182	13.03761	77.57360
183	13.03754	77.57359
184	13.03747	77.57358
185	13.03740	77.57357
186	13.03734	77.57356
187	13.03727	77.57354
188	13.03720	77.57353
