Rank	Latitude	Longitude
1	13.02565	77.58086
2	13.02571	77.58084
3	13.02577	77.58081
4	13.02583	77.58078
5	13.02589	77.58075
6	13.02594	77.58071
7	13.02601	77.58066
8	13.02607	77.58063
9	13.02613	77.58061
10	13.02619	77.58058
11	13.02625	77.58055
12	13.02630	77.58053
13	13.02636	77.58050
14	13.02643	77.58047
15	13.02649	77.58044
16	13.02655	77.58042
17	13.02662	77.58040
18	13.02667	77.58038
19	13.02673	77.58034
20	13.02678	77.58031
21	13.02684	77.58028
22	13.02690	77.58027
23	13.02696	77.58025
24	13.02701	77.58023
25	13.02707	77.58020
26	13.02713	77.58017
27	13.02719	77.58014
28	13.02725	77.58012
29	13.02731	77.58010
30	13.02736	77.58009
31	13.02741	77.58007
32	13.02748	77.58005
33	13.02754	77.58002
34	13.02759	77.57999
35	13.02765	77.57996
36	13.02771	77.57993
37	13.02776	77.57989
38	13.02783	77.57983
39	13.02791	77.57977
40	13.02798	77.57971
41	13.02806	77.57965
42	13.02811	77.57961
43	13.02818	77.57955
44	13.02826	77.57949
45	13.02832	77.57945
46	13.02837	77.57941
47	13.02844	77.57935
48	13.02849	77.57931
49	13.02853	77.57938
50	13.02853	77.57944
51	13.02853	77.57951
52	13.02852	77.57957
53	13.02850	77.57963
54	13.02848	77.57970
55	13.02847	77.57976
56	13.02846	77.57982
57	13.02846	77.57987
58	13.02845	77.57992
59	13.02845	77.57999
60	13.02844	77.58005
61	13.02843	77.58012
62	13.02838	77.58014
63	13.02832	77.58017
64	13.02826	77.58020
65	13.02827	77.58026
66	13.02827	77.58032
67	13.02827	77.58039
68	13.02828	77.58045
69	13.02829	77.58051
70	13.02830	77.58056
71	13.02830	77.58063
72	13.02830	77.58069
73	13.02830	77.58076
74	13.02831	77.58082
75	13.02831	77.58088
76	13.02831	77.58094
77	13.02831	77.58101
78	13.02832	77.58106
79	13.02833	77.58112
80	13.02833	77.58119
81	13.02833	77.58126
82	13.02833	77.58132
83	13.02833	77.58139
84	13.02833	77.58145
85	13.02833	77.58150
86	13.02833	77.58157
87	13.02833	77.58163
88	13.02826	77.58166
89	13.02820	77.58167
90	13.02813	77.58168
91	13.02808	77.58170
92	13.02807	77.58176
93	13.02807	77.58182
94	13.02807	77.58189
95	13.02807	77.58195
96	13.02807	77.58202
97	13.02812	77.58208
98	13.02817	77.58209
99	13.02823	77.58209
100	13.02830	77.58209
101	13.02837	77.58209
102	13.02842	77.58209
103	13.02848	77.58210
104	13.02854	77.58210
105	13.02861	77.58211
106	13.02868	77.58211
107	13.02874	77.58211
108	13.02881	77.58211
109	13.02887	77.58211
110	13.02893	77.58211
111	13.02899	77.58211
112	13.02905	77.58211
113	13.02910	77.58211
114	13.02916	77.58211
115	13.02923	77.58212
116	13.02929	77.58212
117	13.02936	77.58212
118	13.02943	77.58212
119	13.02949	77.58211
120	13.02955	77.58210
121	13.02961	77.58210
122	13.02967	77.58210
123	13.02973	77.58210
124	13.02980	77.58210
125	13.02987	77.58209
126	13.02994	77.58209
127	13.03000	77.58209
128	13.03006	77.58212
129	13.03007	77.58219
130	13.03008	77.58224
131	13.03015	77.58229
132	13.03021	77.58231
133	13.03028	77.58232
134	13.03034	77.58232
135	13.03041	77.58234
136	13.03050	77.58235
137	13.03055	77.58236
138	13.03061	77.58237
139	13.03067	77.58238
140	13.03073	77.58239
141	13.03078	77.58240
142	13.03083	77.58240
143	13.03090	77.58241
144	13.03096	77.58242
145	13.03103	77.58243
146	13.03109	77.58243
147	13.03116	77.58243
148	13.03123	77.58243
149	13.03130	77.58243
150	13.03136	77.58243
151	13.03143	77.58243
152	13.03149	77.58244
153	13.03156	77.58244
154	13.03163	77.58242
155	13.03168	77.58241
156	13.03174	77.58240
157	13.03179	77.58238
158	13.03185	77.58237
159	13.03190	77.58235
160	13.03195	77.58234
161	13.03204	77.58231
162	13.03211	77.58229
163	13.03217	77.58227
164	13.03223	77.58226
165	13.03231	77.58224
166	13.03237	77.58225
167	13.03242	77.58225
168	13.03247	77.58225
169	13.03254	77.58225
170	13.03259	77.58224
171	13.03265	77.58223
172	13.03271	77.58221
173	13.03276	77.58219
174	13.03284	77.58217
175	13.03289	77.58216
176	13.03295	77.58216
177	13.03301	77.58215
178	13.03307	77.58214
179	13.03313	77.58213
180	13.03320	77.58212
181	13.03326	77.58210
182	13.03333	77.58208
183	13.03338	77.58206
184	13.03344	77.58205
185	13.03352	77.58203
186	13.03359	77.58201
187	13.03365	77.58200
188	13.03372	77.58196
189	13.03373	77.58191
190	13.03373	77.58183
191	13.03373	77.58177
192	13.03374	77.58171
193	13.03377	77.58164
194	13.03382	77.58157
195	13.03385	77.58150
196	13.03386	77.58144
197	13.03388	77.58138
198	13.03388	77.58131
199	13.03388	77.58124
200	13.03387	77.58116
201	13.03387	77.58109
202	13.03387	77.58103
203	13.03388	77.58097
204	13.03394	77.58098
205	13.03399	77.58098
206	13.03407	77.58095
207	13.03412	77.58093
208	13.03419	77.58092
209	13.03426	77.58091
210	13.03432	77.58091
211	13.03438	77.58091
212	13.03445	77.58091
213	13.03446	77.58085
214	13.03447	77.58078
215	13.03447	77.58072
216	13.03447	77.58065
217	13.03446	77.58060
218	13.03445	77.58053
219	13.03445	77.58047
220	13.03444	77.58041
221	13.03443	77.58034
222	13.03443	77.58027
223	13.03442	77.58020
224	13.03442	77.58013
225	13.03449	77.58010
226	13.03456	77.58009
227	13.03463	77.58008
228	13.03468	77.58006
229	13.03474	77.58006
230	13.03480	77.58005
231	13.03486	77.58005
232	13.03493	77.58005
233	13.03499	77.58005
234	13.03506	77.58005
235	13.03513	77.58005
236	13.03519	77.58004
237	13.03526	77.58004
238	13.03531	77.58003
239	13.03538	77.58002
240	13.03544	77.58002
241	13.03549	77.58003
242	13.03551	77.58008
243	13.03551	77.58014
244	13.03551	77.58021
245	13.03551	77.58029
246	13.03550	77.58036
247	13.03549	77.58043
248	13.03548	77.58049
249	13.03547	77.58056
250	13.03547	77.58063
251	13.03546	77.58069
252	13.03545	77.58076
253	13.03545	77.58082
254	13.03544	77.58087
255	13.03543	77.58093
256	13.03542	77.58101
257	13.03541	77.58109
258	13.03540	77.58117
259	13.03539	77.58123
260	13.03538	77.58130
261	13.03538	77.58136
262	13.03537	77.58142
263	13.03536	77.58149
264	13.03535	77.58157
265	13.03534	77.58163
266	13.03535	77.58170
267	13.03535	77.58176
268	13.03535	77.58182
269	13.03536	77.58189
270	13.03536	77.58195
271	13.03536	77.58201
272	13.03537	77.58208
273	13.03537	77.58213
274	13.03538	77.58222
275	13.03538	77.58229
276	13.03538	77.58237
277	13.03538	77.58243
278	13.03538	77.58251
279	13.03538	77.58256
280	13.03538	77.58263
281	13.03538	77.58270
282	13.03538	77.58275
283	13.03538	77.58283
284	13.03538	77.58290
285	13.03539	77.58297
286	13.03540	77.58303
287	13.03540	77.58310
288	13.03540	77.58316
289	13.03546	77.58319
290	13.03552	77.58320
291	13.03558	77.58321
292	13.03565	77.58322
293	13.03571	77.58323
294	13.03578	77.58324
295	13.03584	77.58325
296	13.03589	77.58326
297	13.03597	77.58327
298	13.03604	77.58328
299	13.03611	77.58329
300	13.03617	77.58330
301	13.03623	77.58331
302	13.03630	77.58331
303	13.03637	77.58330
304	13.03642	77.58330
305	13.03648	77.58331
306	13.03653	77.58333
307	13.03660	77.58336
308	13.03665	77.58339
309	13.03671	77.58342
310	13.03677	77.58343
311	13.03683	77.58344
312	13.03690	77.58345
313	13.03698	77.58346
314	13.03704	77.58347
315	13.03710	77.58349
316	13.03718	77.58351
317	13.03724	77.58352
318	13.03732	77.58354
319	13.03738	77.58354
320	13.03743	77.58355
321	13.03752	77.58356
322	13.03758	77.58357
323	13.03765	77.58357
324	13.03772	77.58357
325	13.03779	77.58357
326	13.03788	77.58358
327	13.03794	77.58358
328	13.03801	77.58358
329	13.03808	77.58359
330	13.03813	77.58359
331	13.03819	77.58360
332	13.03826	77.58361
333	13.03832	77.58362
334	13.03838	77.58362
335	13.03843	77.58363
336	13.03851	77.58364
337	13.03857	77.58365
338	13.03862	77.58366
339	13.03869	77.58366
340	13.03875	77.58368
341	13.03882	77.58369
342	13.03888	77.58370
343	13.03894	77.58370
344	13.03901	77.58371
345	13.03908	77.58372
346	13.03913	77.58373
347	13.03920	77.58374
348	13.03926	77.58374
349	13.03933	77.58376
350	13.03941	77.58378
351	13.03948	77.58379
352	13.03954	77.58380
353	13.03960	77.58380
354	13.03966	77.58381
355	13.03973	77.58383
356	13.03980	77.58384
357	13.03986	77.58385
358	13.03992	77.58385
359	13.03998	77.58386
360	13.04005	77.58387
361	13.04013	77.58387
362	13.04020	77.58387
363	13.04027	77.58387
364	13.04034	77.58387
365	13.04039	77.58387
366	13.04044	77.58388
367	13.04051	77.58391
