Rank	Latitude	Longitude
1	13.02702	77.59647
2	13.02701	77.59653
3	13.02700	77.59659
4	13.02700	77.59665
5	13.02699	77.59670
6	13.02698	77.59678
7	13.02696	77.59683
8	13.02696	77.59689
9	13.02694	77.59696
10	13.02701	77.59701
11	13.02706	77.59703
12	13.02712	77.59704
13	13.02718	77.59704
14	13.02724	77.59705
15	13.02731	77.59706
16	13.02737	77.59707
17	13.02743	77.59707
18	13.02750	77.59707
19	13.02755	77.59707
20	13.02762	77.59707
21	13.02769	77.59707
22	13.02775	77.59707
23	13.02781	77.59707
24	13.02786	77.59707
25	13.02793	77.59707
26	13.02799	77.59707
27	13.02805	77.59707
28	13.02812	77.59707
29	13.02819	77.59710
30	13.02824	77.59711
31	13.02830	77.59714
32	13.02836	77.59714
33	13.02843	77.59714
34	13.02849	77.59715
35	13.02857	77.59716
36	13.02864	77.59717
37	13.02869	77.59717
38	13.02875	77.59721
39	13.02873	77.59728
40	13.02872	77.59734
41	13.02868	77.59742
42	13.02875	77.59746
43	13.02881	77.59747
44	13.02887	77.59747
45	13.02894	77.59748
46	13.02899	77.59748
47	13.02905	77.59749
48	13.02912	77.59746
49	13.02912	77.59740
50	13.02912	77.59733
51	13.02913	77.59727
52	13.02913	77.59720
53	13.02913	77.59714
54	13.02912	77.59707
55	13.02910	77.59701
56	13.02908	77.59694
57	13.02907	77.59688
58	13.02907	77.59680
59	13.02907	77.59673
60	13.02913	77.59668
61	13.02921	77.59665
62	13.02926	77.59663
63	13.02933	77.59665
64	13.02939	77.59667
65	13.02945	77.59668
66	13.02952	77.59670
67	13.02958	77.59670
68	13.02965	77.59670
69	13.02971	77.59670
70	13.02978	77.59670
71	13.02986	77.59670
72	13.02993	77.59670
73	13.03000	77.59668
74	13.03007	77.59667
75	13.03013	77.59667
76	13.03019	77.59666
77	13.03025	77.59665
78	13.03034	77.59664
79	13.03039	77.59663
80	13.03045	77.59663
81	13.03051	77.59663
82	13.03057	77.59662
83	13.03064	77.59662
84	13.03071	77.59662
85	13.03075	77.59667
86	13.03078	77.59674
87	13.03081	77.59681
88	13.03085	77.59687
89	13.03089	77.59694
90	13.03092	77.59700
91	13.03096	77.59707
92	13.03098	77.59712
93	13.03099	77.59718
94	13.03100	77.59723
95	13.03102	77.59729
96	13.03104	77.59734
97	13.03105	77.59740
98	13.03106	77.59746
99	13.03108	77.59752
100	13.03109	77.59759
101	13.03110	77.59764
102	13.03113	77.59772
103	13.03114	77.59778
104	13.03116	77.59785
105	13.03117	77.59791
106	13.03118	77.59797
107	13.03119	77.59805
108	13.03119	77.59812
109	13.03120	77.59821
110	13.03120	77.59827
