Rank	Latitude	Longitude
1	13.01264	77.64042
2	13.01258	77.64042
3	13.01252	77.64042
4	13.01246	77.64043
5	13.01240	77.64044
6	13.01235	77.64045
7	13.01228	77.64046
8	13.01222	77.64046
9	13.01217	77.64048
10	13.01212	77.64050
11	13.01206	77.64050
12	13.01199	77.64051
13	13.01193	77.64052
14	13.01187	77.64053
15	13.01182	77.64053
16	13.01176	77.64054
17	13.01170	77.64055
18	13.01164	77.64056
19	13.01158	77.64057
20	13.01151	77.64058
21	13.01146	77.64059
22	13.01140	77.64060
23	13.01135	77.64061
24	13.01129	77.64062
25	13.01123	77.64062
26	13.01116	77.64062
27	13.01110	77.64063
28	13.01103	77.64063
29	13.01097	77.64063
30	13.01091	77.64063
31	13.01086	77.64063
32	13.01079	77.64063
33	13.01073	77.64063
34	13.01067	77.64064
35	13.01062	77.64065
36	13.01054	77.64066
37	13.01047	77.64067
38	13.01042	77.64067
39	13.01036	77.64068
40	13.01029	77.64068
41	13.01023	77.64068
42	13.01016	77.64068
43	13.01013	77.64073
44	13.01013	77.64080
45	13.01012	77.64086
46	13.01012	77.64093
47	13.01012	77.64099
48	13.01011	77.64106
49	13.01009	77.64114
50	13.01008	77.64122
51	13.01007	77.64128
52	13.01008	77.64135
53	13.01009	77.64142
54	13.01012	77.64148
55	13.01013	77.64155
56	13.01013	77.64161
57	13.01013	77.64168
58	13.01014	77.64175
59	13.01016	77.64181
60	13.01017	77.64186
61	13.01018	77.64194
62	13.01019	77.64200
63	13.01019	77.64207
64	13.01021	77.64214
65	13.01023	77.64219
66	13.01024	77.64227
67	13.01025	77.64233
68	13.01026	77.64239
69	13.01027	77.64245
70	13.01028	77.64252
71	13.01030	77.64259
72	13.01033	77.64266
73	13.01034	77.64272
74	13.01036	77.64279
75	13.01038	77.64286
76	13.01042	77.64293
77	13.01044	77.64299
78	13.01045	77.64305
79	13.01039	77.64306
80	13.01034	77.64307
81	13.01028	77.64308
82	13.01022	77.64309
83	13.01016	77.64310
84	13.01010	77.64311
85	13.01005	77.64312
86	13.00999	77.64313
87	13.00992	77.64313
88	13.00986	77.64313
89	13.00978	77.64316
90	13.00972	77.64317
91	13.00966	77.64317
92	13.00959	77.64317
93	13.00953	77.64317
94	13.00947	77.64316
95	13.00941	77.64316
96	13.00935	77.64316
97	13.00929	77.64316
98	13.00923	77.64315
99	13.00917	77.64314
100	13.00912	77.64311
101	13.00906	77.64310
102	13.00899	77.64309
103	13.00892	77.64307
104	13.00886	77.64306
105	13.00880	77.64304
106	13.00872	77.64306
107	13.00865	77.64306
108	13.00860	77.64304
109	13.00854	77.64303
110	13.00848	77.64303
111	13.00842	77.64303
112	13.00834	77.64303
113	13.00826	77.64303
114	13.00819	77.64303
115	13.00813	77.64303
116	13.00807	77.64303
117	13.00801	77.64303
118	13.00795	77.64303
119	13.00789	77.64302
120	13.00782	77.64302
121	13.00776	77.64302
122	13.00770	77.64301
123	13.00764	77.64301
124	13.00758	77.64300
125	13.00752	77.64300
126	13.00746	77.64300
127	13.00740	77.64300
128	13.00734	77.64299
129	13.00727	77.64299
130	13.00722	77.64299
131	13.00716	77.64298
132	13.00709	77.64297
133	13.00701	77.64296
134	13.00695	77.64295
135	13.00689	77.64295
136	13.00684	77.64294
137	13.00678	77.64288
138	13.00673	77.64282
139	13.00670	77.64275
140	13.00666	77.64268
141	13.00663	77.64263
142	13.00660	77.64256
143	13.00655	77.64250
144	13.00650	77.64242
145	13.00646	77.64236
146	13.00642	77.64229
147	13.00636	77.64223
148	13.00632	77.64217
149	13.00627	77.64211
150	13.00623	77.64205
151	13.00621	77.64199
152	13.00617	77.64192
153	13.00613	77.64186
154	13.00608	77.64180
155	13.00604	77.64175
156	13.00599	77.64169
157	13.00593	77.64163
158	13.00589	77.64157
159	13.00585	77.64152
160	13.00579	77.64146
161	13.00574	77.64140
162	13.00569	77.64133
163	13.00564	77.64126
164	13.00559	77.64120
165	13.00553	77.64113
166	13.00549	77.64106
167	13.00543	77.64101
168	13.00538	77.64096
169	13.00532	77.64090
170	13.00527	77.64085
171	13.00521	77.64079
172	13.00517	77.64074
173	13.00512	77.64068
174	13.00507	77.64062
175	13.00502	77.64055
176	13.00497	77.64050
177	13.00492	77.64043
178	13.00488	77.64036
179	13.00484	77.64030
180	13.00480	77.64022
181	13.00475	77.64016
182	13.00471	77.64009
183	13.00466	77.64003
184	13.00461	77.63996
185	13.00457	77.63989
186	13.00453	77.63983
187	13.00449	77.63976
188	13.00444	77.63969
189	13.00440	77.63962
190	13.00437	77.63955
191	13.00432	77.63948
192	13.00428	77.63940
193	13.00425	77.63934
194	13.00422	77.63927
195	13.00418	77.63920
196	13.00416	77.63915
197	13.00412	77.63907
198	13.00409	77.63900
199	13.00404	77.63893
200	13.00403	77.63888
201	13.00401	77.63882
202	13.00397	77.63877
203	13.00393	77.63871
204	13.00388	77.63864
205	13.00383	77.63858
206	13.00377	77.63851
207	13.00372	77.63846
208	13.00367	77.63841
209	13.00360	77.63836
210	13.00354	77.63832
211	13.00348	77.63827
212	13.00343	77.63823
213	13.00336	77.63818
214	13.00330	77.63813
215	13.00324	77.63809
216	13.00318	77.63802
217	13.00312	77.63797
218	13.00307	77.63792
219	13.00301	77.63785
220	13.00296	77.63780
221	13.00292	77.63774
222	13.00286	77.63767
223	13.00279	77.63761
224	13.00272	77.63756
225	13.00266	77.63751
226	13.00261	77.63744
227	13.00256	77.63737
228	13.00249	77.63731
229	13.00243	77.63726
230	13.00236	77.63719
231	13.00232	77.63712
232	13.00228	77.63706
233	13.00223	77.63700
234	13.00219	77.63695
235	13.00213	77.63688
236	13.00209	77.63683
237	13.00202	77.63677
238	13.00196	77.63671
239	13.00190	77.63663
240	13.00186	77.63657
241	13.00181	77.63650
242	13.00176	77.63645
243	13.00173	77.63640
244	13.00167	77.63632
245	13.00160	77.63625
246	13.00155	77.63618
247	13.00149	77.63611
248	13.00145	77.63606
249	13.00141	77.63600
250	13.00137	77.63594
251	13.00132	77.63586
252	13.00127	77.63580
253	13.00123	77.63574
254	13.00120	77.63568
255	13.00117	77.63562
256	13.00113	77.63555
257	13.00110	77.63548
