Rank	Latitude	Longitude
1	13.02434	77.64102
2	13.02437	77.64095
3	13.02438	77.64089
4	13.02440	77.64083
5	13.02443	77.64078
6	13.02445	77.64071
7	13.02447	77.64065
8	13.02448	77.64059
9	13.02450	77.64051
10	13.02452	77.64046
11	13.02455	77.64038
12	13.02456	77.64033
13	13.02458	77.64027
14	13.02459	77.64020
15	13.02461	77.64013
16	13.02462	77.64006
17	13.02465	77.64001
18	13.02466	77.63994
19	13.02469	77.63986
20	13.02471	77.63980
21	13.02472	77.63975
22	13.02473	77.63968
23	13.02476	77.63963
24	13.02477	77.63955
25	13.02479	77.63950
26	13.02480	77.63944
27	13.02481	77.63939
28	13.02483	77.63933
29	13.02485	77.63925
30	13.02486	77.63918
31	13.02487	77.63913
32	13.02489	77.63906
33	13.02491	77.63900
34	13.02493	77.63892
35	13.02495	77.63886
36	13.02496	77.63879
37	13.02498	77.63871
38	13.02501	77.63863
39	13.02502	77.63857
40	13.02504	77.63851
41	13.02506	77.63846
42	13.02507	77.63841
43	13.02509	77.63833
44	13.02511	77.63828
45	13.02513	77.63820
46	13.02516	77.63813
47	13.02517	77.63807
48	13.02519	77.63798
49	13.02521	77.63790
50	13.02523	77.63783
51	13.02524	77.63777
52	13.02526	77.63770
53	13.02528	77.63763
54	13.02529	77.63757
55	13.02530	77.63749
56	13.02530	77.63741
57	13.02532	77.63732
58	13.02534	77.63726
59	13.02536	77.63718
60	13.02538	77.63711
61	13.02540	77.63705
62	13.02542	77.63700
63	13.02543	77.63694
64	13.02546	77.63686
65	13.02547	77.63679
66	13.02549	77.63672
67	13.02550	77.63664
68	13.02552	77.63658
69	13.02554	77.63652
70	13.02556	77.63645
71	13.02557	77.63639
72	13.02559	77.63632
73	13.02561	77.63625
74	13.02563	77.63619
75	13.02564	77.63614
76	13.02567	77.63606
77	13.02568	77.63600
78	13.02571	77.63591
79	13.02572	77.63585
80	13.02573	77.63579
81	13.02574	77.63574
82	13.02577	77.63568
83	13.02578	77.63561
84	13.02580	77.63555
85	13.02581	77.63549
86	13.02584	77.63540
87	13.02586	77.63532
88	13.02588	77.63525
89	13.02591	77.63519
90	13.02593	77.63513
