Rank	Latitude	Longitude
1	13.01985	77.62442
2	13.01979	77.62442
3	13.01974	77.62442
4	13.01968	77.62442
5	13.01963	77.62443
6	13.01958	77.62445
7	13.01952	77.62446
8	13.01946	77.62448
9	13.01941	77.62449
10	13.01934	77.62451
11	13.01928	77.62452
12	13.01922	77.62453
13	13.01915	77.62454
14	13.01909	77.62454
15	13.01902	77.62456
16	13.01895	77.62456
17	13.01888	77.62457
18	13.01880	77.62457
19	13.01873	77.62457
20	13.01864	77.62457
21	13.01857	77.62457
22	13.01850	77.62457
23	13.01842	77.62457
24	13.01835	77.62457
25	13.01829	77.62457
26	13.01821	77.62457
27	13.01814	77.62457
28	13.01807	77.62457
29	13.01800	77.62457
30	13.01795	77.62457
31	13.01788	77.62455
32	13.01782	77.62455
33	13.01774	77.62454
34	13.01767	77.62454
35	13.01761	77.62453
36	13.01756	77.62453
37	13.01749	77.62451
38	13.01742	77.62451
39	13.01737	77.62450
40	13.01729	77.62449
41	13.01722	77.62448
42	13.01716	77.62447
43	13.01708	77.62447
44	13.01702	77.62447
45	13.01697	77.62447
46	13.01690	77.62447
47	13.01683	77.62446
48	13.01677	77.62445
49	13.01671	77.62443
50	13.01665	77.62443
51	13.01657	77.62442
52	13.01651	77.62441
53	13.01645	77.62440
54	13.01638	77.62440
55	13.01631	77.62438
56	13.01626	77.62436
57	13.01619	77.62434
58	13.01611	77.62432
59	13.01605	77.62431
60	13.01600	77.62429
61	13.01594	77.62427
62	13.01588	77.62426
63	13.01580	77.62423
64	13.01575	77.62421
65	13.01567	77.62418
66	13.01562	77.62416
67	13.01557	77.62414
68	13.01551	77.62412
69	13.01544	77.62409
70	13.01538	77.62407
71	13.01533	77.62406
72	13.01527	77.62404
73	13.01520	77.62403
74	13.01515	77.62401
75	13.01508	77.62397
76	13.01503	77.62394
77	13.01496	77.62390
78	13.01489	77.62387
79	13.01483	77.62385
80	13.01478	77.62382
81	13.01473	77.62379
82	13.01466	77.62376
83	13.01459	77.62372
84	13.01451	77.62370
85	13.01446	77.62368
86	13.01439	77.62366
87	13.01433	77.62364
88	13.01427	77.62362
89	13.01422	77.62359
90	13.01415	77.62356
91	13.01410	77.62353
92	13.01405	77.62351
93	13.01398	77.62348
94	13.01390	77.62344
95	13.01385	77.62341
96	13.01379	77.62339
97	13.01373	77.62336
98	13.01366	77.62334
99	13.01361	77.62332
100	13.01355	77.62330
101	13.01349	77.62328
102	13.01342	77.62325
103	13.01337	77.62322
104	13.01329	77.62319
105	13.01323	77.62316
106	13.01317	77.62313
107	13.01310	77.62310
108	13.01305	77.62308
109	13.01299	77.62305
110	13.01293	77.62302
111	13.01287	77.62299
112	13.01280	77.62295
113	13.01275	77.62293
114	13.01268	77.62289
115	13.01261	77.62287
116	13.01256	77.62285
117	13.01251	77.62284
118	13.01245	77.62281
119	13.01238	77.62278
120	13.01233	77.62276
121	13.01228	77.62273
122	13.01223	77.62270
123	13.01217	77.62269
124	13.01212	77.62266
125	13.01206	77.62264
126	13.01199	77.62260
127	13.01194	77.62257
128	13.01188	77.62255
129	13.01181	77.62250
130	13.01174	77.62248
131	13.01167	77.62245
132	13.01161	77.62242
133	13.01154	77.62240
134	13.01146	77.62237
135	13.01140	77.62234
136	13.01132	77.62230
137	13.01125	77.62227
138	13.01117	77.62222
139	13.01112	77.62220
140	13.01104	77.62216
141	13.01098	77.62213
142	13.01091	77.62210
143	13.01083	77.62208
144	13.01076	77.62206
145	13.01070	77.62203
146	13.01064	77.62201
147	13.01058	77.62199
148	13.01053	77.62196
149	13.01047	77.62194
150	13.01040	77.62191
151	13.01033	77.62187
152	13.01027	77.62185
153	13.01022	77.62183
154	13.01016	77.62182
155	13.01010	77.62180
156	13.01005	77.62178
157	13.01000	77.62176
158	13.00992	77.62175
159	13.00987	77.62174
160	13.00982	77.62173
161	13.00976	77.62173
162	13.00971	77.62172
163	13.00964	77.62172
164	13.00958	77.62171
165	13.00953	77.62170
166	13.00947	77.62169
167	13.00941	77.62169
168	13.00934	77.62168
169	13.00928	77.62167
170	13.00921	77.62167
171	13.00915	77.62167
172	13.00909	77.62169
173	13.00904	77.62170
174	13.00899	77.62171
175	13.00893	77.62173
176	13.00887	77.62175
177	13.00880	77.62176
178	13.00874	77.62178
179	13.00868	77.62179
180	13.00863	77.62182
181	13.00857	77.62184
182	13.00851	77.62186
183	13.00843	77.62190
184	13.00836	77.62194
185	13.00831	77.62187
186	13.00828	77.62181
187	13.00824	77.62175
188	13.00820	77.62169
189	13.00817	77.62163
190	13.00810	77.62155
191	13.00806	77.62148
192	13.00800	77.62142
193	13.00798	77.62136
194	13.00793	77.62130
195	13.00790	77.62124
196	13.00786	77.62118
197	13.00782	77.62111
198	13.00778	77.62103
199	13.00773	77.62095
200	13.00770	77.62090
201	13.00768	77.62084
202	13.00765	77.62078
203	13.00763	77.62071
204	13.00762	77.62065
205	13.00760	77.62058
206	13.00759	77.62052
207	13.00757	77.62046
208	13.00755	77.62039
209	13.00753	77.62033
210	13.00752	77.62027
211	13.00752	77.62021
212	13.00751	77.62014
213	13.00753	77.62007
214	13.00758	77.62001
215	13.00763	77.61996
216	13.00769	77.61990
217	13.00774	77.61985
218	13.00782	77.61981
219	13.00788	77.61977
220	13.00796	77.61973
221	13.00802	77.61972
222	13.00808	77.61966
223	13.00810	77.61959
224	13.00812	77.61953
225	13.00814	77.61948
226	13.00816	77.61941
227	13.00818	77.61935
228	13.00821	77.61927
229	13.00823	77.61921
230	13.00826	77.61914
231	13.00829	77.61906
232	13.00832	77.61899
233	13.00834	77.61891
234	13.00836	77.61886
235	13.00838	77.61879
236	13.00840	77.61873
237	13.00841	77.61868
238	13.00843	77.61863
239	13.00845	77.61857
240	13.00847	77.61851
241	13.00848	77.61845
242	13.00850	77.61840
243	13.00852	77.61835
244	13.00855	77.61828
245	13.00858	77.61822
246	13.00861	77.61817
247	13.00863	77.61809
248	13.00865	77.61802
249	13.00867	77.61796
250	13.00870	77.61788
251	13.00872	77.61783
252	13.00875	77.61776
253	13.00878	77.61769
254	13.00880	77.61763
255	13.00884	77.61755
256	13.00885	77.61750
257	13.00887	77.61744
258	13.00890	77.61737
259	13.00892	77.61730
260	13.00894	77.61725
261	13.00898	77.61718
262	13.00900	77.61710
263	13.00901	77.61705
264	13.00904	77.61697
265	13.00908	77.61691
266	13.00910	77.61685
267	13.00914	77.61678
268	13.00918	77.61673
269	13.00921	77.61667
270	13.00926	77.61660
271	13.00930	77.61653
272	13.00933	77.61647
273	13.00940	77.61643
274	13.00946	77.61645
275	13.00952	77.61646
276	13.00958	77.61650
277	13.00964	77.61655
278	13.00970	77.61659
279	13.00976	77.61662
280	13.00983	77.61666
281	13.00990	77.61671
282	13.00997	77.61676
283	13.01004	77.61681
284	13.01010	77.61685
285	13.01016	77.61690
286	13.01023	77.61695
287	13.01030	77.61699
288	13.01036	77.61703
289	13.01043	77.61708
290	13.01049	77.61712
291	13.01054	77.61717
292	13.01061	77.61720
293	13.01066	77.61722
294	13.01073	77.61726
295	13.01079	77.61729
296	13.01085	77.61732
297	13.01090	77.61734
298	13.01097	77.61738
299	13.01104	77.61741
300	13.01110	77.61743
301	13.01115	77.61745
302	13.01123	77.61749
303	13.01128	77.61750
304	13.01133	77.61752
305	13.01140	77.61754
306	13.01145	77.61755
307	13.01152	77.61757
308	13.01157	77.61759
309	13.01162	77.61761
310	13.01167	77.61763
311	13.01175	77.61766
312	13.01181	77.61768
313	13.01186	77.61770
314	13.01193	77.61773
315	13.01198	77.61776
316	13.01205	77.61779
317	13.01213	77.61783
318	13.01220	77.61787
319	13.01225	77.61788
320	13.01232	77.61790
321	13.01238	77.61792
322	13.01243	77.61794
323	13.01249	77.61796
324	13.01254	77.61798
