Rank	Latitude	Longitude
1	13.00851	77.61321
2	13.00857	77.61320
3	13.00862	77.61321
4	13.00868	77.61322
5	13.00876	77.61323
6	13.00883	77.61323
7	13.00888	77.61324
8	13.00895	77.61324
9	13.00902	77.61325
10	13.00908	77.61326
11	13.00915	77.61327
12	13.00921	77.61327
13	13.00928	77.61328
14	13.00936	77.61329
15	13.00942	77.61330
16	13.00950	77.61331
17	13.00957	77.61332
18	13.00965	77.61333
19	13.00970	77.61334
20	13.00978	77.61336
21	13.00985	77.61337
22	13.00993	77.61338
23	13.00998	77.61339
24	13.01005	77.61339
25	13.01011	77.61339
26	13.01017	77.61340
27	13.01023	77.61340
28	13.01030	77.61341
29	13.01037	77.61341
30	13.01043	77.61342
31	13.01048	77.61342
32	13.01054	77.61343
33	13.01060	77.61344
34	13.01067	77.61344
35	13.01072	77.61345
36	13.01079	77.61346
37	13.01086	77.61346
38	13.01091	77.61345
39	13.01098	77.61345
40	13.01107	77.61344
41	13.01115	77.61344
42	13.01124	77.61344
43	13.01132	77.61344
44	13.01140	77.61344
45	13.01148	77.61343
46	13.01155	77.61342
47	13.01164	77.61342
48	13.01172	77.61342
49	13.01180	77.61342
50	13.01186	77.61341
51	13.01195	77.61341
52	13.01201	77.61341
53	13.01209	77.61340
54	13.01215	77.61340
55	13.01223	77.61339
56	13.01231	77.61340
57	13.01239	77.61340
58	13.01248	77.61340
59	13.01255	77.61339
60	13.01263	77.61339
61	13.01271	77.61338
62	13.01279	77.61337
63	13.01287	77.61337
64	13.01295	77.61336
65	13.01302	77.61336
66	13.01310	77.61336
67	13.01318	77.61335
68	13.01326	77.61335
69	13.01333	77.61334
70	13.01341	77.61334
71	13.01349	77.61335
72	13.01357	77.61335
73	13.01364	77.61336
74	13.01372	77.61336
75	13.01380	77.61337
76	13.01389	77.61337
77	13.01397	77.61336
78	13.01404	77.61335
79	13.01411	77.61334
80	13.01419	77.61334
81	13.01427	77.61333
82	13.01432	77.61333
83	13.01439	77.61332
84	13.01445	77.61332
85	13.01451	77.61330
86	13.01459	77.61329
87	13.01465	77.61328
88	13.01472	77.61327
89	13.01479	77.61326
90	13.01484	77.61325
91	13.01492	77.61325
92	13.01500	77.61324
93	13.01508	77.61322
94	13.01514	77.61322
95	13.01519	77.61322
96	13.01526	77.61322
97	13.01532	77.61322
98	13.01539	77.61322
99	13.01545	77.61322
100	13.01551	77.61322
101	13.01560	77.61320
102	13.01565	77.61320
103	13.01574	77.61319
104	13.01581	77.61318
105	13.01588	77.61318
106	13.01595	77.61318
107	13.01602	77.61318
108	13.01610	77.61317
109	13.01616	77.61317
110	13.01623	77.61316
111	13.01629	77.61315
112	13.01635	77.61314
113	13.01643	77.61313
114	13.01649	77.61312
115	13.01655	77.61309
116	13.01660	77.61307
117	13.01666	77.61306
118	13.01674	77.61305
119	13.01680	77.61304
120	13.01686	77.61302
121	13.01694	77.61300
122	13.01700	77.61298
123	13.01705	77.61297
124	13.01710	77.61295
125	13.01716	77.61292
126	13.01722	77.61291
127	13.01728	77.61289
128	13.01733	77.61286
129	13.01739	77.61282
130	13.01743	77.61277
131	13.01746	77.61271
132	13.01750	77.61265
133	13.01755	77.61256
134	13.01757	77.61251
135	13.01761	77.61245
136	13.01763	77.61240
137	13.01765	77.61233
138	13.01767	77.61227
139	13.01769	77.61222
140	13.01772	77.61215
141	13.01773	77.61210
142	13.01775	77.61203
143	13.01776	77.61197
144	13.01778	77.61190
145	13.01781	77.61184
146	13.01784	77.61176
147	13.01785	77.61171
148	13.01787	77.61163
149	13.01789	77.61156
150	13.01793	77.61150
151	13.01795	77.61143
152	13.01797	77.61137
153	13.01799	77.61131
154	13.01801	77.61125
155	13.01803	77.61119
156	13.01805	77.61113
157	13.01807	77.61107
158	13.01809	77.61100
159	13.01812	77.61094
160	13.01815	77.61089
161	13.01820	77.61085
162	13.01826	77.61083
163	13.01832	77.61081
164	13.01838	77.61079
165	13.01843	77.61070
166	13.01845	77.61065
167	13.01848	77.61059
168	13.01851	77.61052
169	13.01853	77.61047
170	13.01857	77.61039
171	13.01860	77.61032
172	13.01863	77.61027
173	13.01866	77.61021
174	13.01869	77.61016
175	13.01872	77.61009
176	13.01878	77.61009
177	13.01884	77.61015
178	13.01889	77.61020
179	13.01895	77.61026
180	13.01899	77.61031
181	13.01904	77.61037
182	13.01908	77.61043
183	13.01913	77.61050
184	13.01917	77.61055
185	13.01923	77.61062
186	13.01928	77.61068
187	13.01934	77.61073
188	13.01941	77.61078
189	13.01947	77.61083
190	13.01953	77.61088
191	13.01958	77.61094
192	13.01964	77.61099
193	13.01969	77.61103
194	13.01976	77.61110
195	13.01980	77.61116
196	13.01986	77.61122
197	13.01990	77.61128
198	13.01995	77.61133
199	13.02000	77.61138
200	13.02005	77.61144
201	13.02010	77.61148
202	13.02016	77.61153
203	13.02022	77.61157
204	13.02027	77.61159
205	13.02034	77.61162
206	13.02041	77.61166
207	13.02046	77.61168
208	13.02054	77.61171
209	13.02059	77.61174
210	13.02065	77.61175
211	13.02073	77.61177
212	13.02078	77.61179
213	13.02085	77.61183
214	13.02092	77.61186
215	13.02098	77.61188
216	13.02105	77.61191
217	13.02111	77.61195
218	13.02117	77.61197
219	13.02122	77.61199
220	13.02129	77.61203
221	13.02136	77.61206
222	13.02142	77.61210
223	13.02146	77.61218
224	13.02147	77.61223
225	13.02148	77.61229
226	13.02149	77.61235
227	13.02149	77.61242
228	13.02149	77.61248
229	13.02148	77.61256
230	13.02148	77.61262
231	13.02147	77.61269
232	13.02148	77.61275
233	13.02140	77.61278
234	13.02132	77.61279
235	13.02126	77.61279
236	13.02120	77.61280
237	13.02114	77.61282
238	13.02108	77.61283
239	13.02100	77.61283
240	13.02094	77.61284
241	13.02088	77.61284
242	13.02082	77.61284
243	13.02075	77.61286
244	13.02067	77.61286
245	13.02061	77.61287
246	13.02055	77.61287
247	13.02049	77.61289
248	13.02049	77.61294
249	13.02047	77.61300
250	13.02045	77.61307
251	13.02042	77.61313
252	13.02040	77.61320
253	13.02037	77.61325
254	13.02034	77.61331
255	13.02031	77.61338
256	13.02028	77.61344
257	13.02027	77.61350
258	13.02027	77.61355
259	13.02027	77.61362
260	13.02026	77.61367
261	13.02025	77.61374
262	13.02024	77.61380
263	13.02024	77.61387
264	13.02029	77.61389
265	13.02035	77.61391
266	13.02041	77.61395
267	13.02047	77.61399
268	13.02054	77.61403
269	13.02060	77.61408
