Rank	Latitude	Longitude
1	13.02318	77.60081
2	13.02312	77.60087
3	13.02304	77.60092
4	13.02299	77.60096
5	13.02295	77.60102
6	13.02294	77.60108
7	13.02292	77.60114
8	13.02289	77.60119
9	13.02288	77.60125
10	13.02284	77.60130
11	13.02277	77.60136
12	13.02272	77.60140
13	13.02264	77.60147
14	13.02263	77.60154
15	13.02260	77.60159
16	13.02257	77.60166
17	13.02253	77.60173
18	13.02249	77.60178
19	13.02245	77.60184
20	13.02241	77.60191
21	13.02239	77.60196
22	13.02237	77.60201
23	13.02233	77.60209
24	13.02230	77.60214
25	13.02227	77.60222
26	13.02226	77.60228
27	13.02223	77.60233
28	13.02222	77.60239
29	13.02220	77.60245
30	13.02219	77.60251
31	13.02216	77.60258
32	13.02214	77.60266
33	13.02213	77.60272
34	13.02210	77.60280
35	13.02209	77.60285
36	13.02207	77.60291
37	13.02204	77.60298
38	13.02203	77.60304
39	13.02201	77.60310
40	13.02198	77.60317
41	13.02193	77.60324
42	13.02191	77.60330
43	13.02189	77.60336
44	13.02186	77.60343
45	13.02183	77.60349
46	13.02181	77.60357
47	13.02180	77.60364
48	13.02178	77.60371
49	13.02175	77.60377
50	13.02172	77.60383
51	13.02169	77.60394
52	13.02167	77.60399
53	13.02166	77.60406
54	13.02164	77.60411
55	13.02162	77.60419
56	13.02162	77.60426
57	13.02160	77.60431
58	13.02159	77.60437
59	13.02158	77.60443
60	13.02157	77.60449
61	13.02155	77.60456
62	13.02155	77.60461
63	13.02153	77.60468
64	13.02152	77.60476
65	13.02152	77.60483
66	13.02150	77.60489
67	13.02149	77.60496
68	13.02148	77.60501
69	13.02148	77.60508
70	13.02146	77.60516
71	13.02145	77.60522
72	13.02144	77.60529
73	13.02143	77.60535
74	13.02143	77.60542
75	13.02141	77.60549
76	13.02141	77.60556
77	13.02140	77.60561
78	13.02140	77.60568
79	13.02139	77.60575
80	13.02139	77.60580
81	13.02138	77.60586
82	13.02138	77.60595
83	13.02137	77.60600
84	13.02137	77.60606
85	13.02137	77.60613
86	13.02137	77.60620
87	13.02137	77.60626
88	13.02137	77.60632
89	13.02137	77.60639
90	13.02131	77.60643
91	13.02125	77.60644
92	13.02119	77.60642
93	13.02113	77.60639
94	13.02106	77.60636
95	13.02099	77.60634
96	13.02092	77.60631
97	13.02086	77.60627
98	13.02079	77.60625
99	13.02074	77.60623
100	13.02067	77.60622
101	13.02061	77.60620
102	13.02055	77.60617
103	13.02049	77.60614
104	13.02042	77.60611
105	13.02037	77.60608
106	13.02031	77.60606
107	13.02025	77.60604
108	13.02019	77.60601
109	13.02014	77.60599
110	13.02009	77.60597
111	13.02003	77.60596
112	13.01998	77.60595
113	13.01993	77.60593
114	13.01987	77.60591
115	13.01982	77.60590
116	13.01977	77.60596
117	13.01977	77.60601
118	13.01976	77.60608
119	13.01976	77.60614
120	13.01976	77.60620
121	13.01977	77.60627
122	13.01977	77.60632
123	13.01977	77.60638
124	13.01977	77.60646
125	13.01977	77.60651
126	13.01977	77.60657
127	13.01977	77.60664
128	13.01978	77.60671
129	13.01978	77.60679
130	13.01979	77.60684
131	13.01979	77.60691
132	13.01979	77.60697
133	13.01979	77.60703
134	13.01980	77.60709
135	13.01981	77.60715
136	13.01981	77.60723
137	13.01981	77.60730
138	13.01984	77.60737
139	13.01985	77.60746
140	13.01985	77.60754
141	13.01984	77.60759
142	13.01978	77.60763
143	13.01973	77.60767
144	13.01966	77.60774
145	13.01962	77.60779
146	13.01956	77.60787
147	13.01953	77.60792
148	13.01950	77.60799
149	13.01950	77.60806
150	13.01949	77.60812
151	13.01947	77.60818
152	13.01945	77.60824
153	13.01942	77.60829
154	13.01939	77.60836
155	13.01936	77.60842
156	13.01934	77.60848
157	13.01933	77.60854
158	13.01930	77.60861
159	13.01928	77.60867
160	13.01926	77.60874
161	13.01925	77.60879
162	13.01923	77.60885
163	13.01920	77.60891
164	13.01917	77.60897
165	13.01916	77.60903
166	13.01914	77.60911
167	13.01913	77.60917
168	13.01910	77.60923
169	13.01909	77.60930
170	13.01906	77.60935
171	13.01904	77.60941
172	13.01902	77.60949
173	13.01898	77.60956
174	13.01897	77.60961
175	13.01894	77.60968
176	13.01890	77.60974
177	13.01886	77.60979
178	13.01883	77.60985
179	13.01880	77.60993
180	13.01877	77.60998
181	13.01875	77.61003
182	13.01878	77.61009
183	13.01884	77.61015
184	13.01889	77.61020
185	13.01895	77.61026
186	13.01899	77.61031
187	13.01904	77.61037
188	13.01908	77.61043
189	13.01913	77.61050
190	13.01917	77.61055
191	13.01923	77.61062
192	13.01928	77.61068
193	13.01934	77.61073
194	13.01941	77.61078
195	13.01947	77.61083
196	13.01953	77.61088
197	13.01958	77.61094
198	13.01964	77.61099
199	13.01969	77.61103
200	13.01976	77.61110
201	13.01980	77.61116
202	13.01986	77.61122
203	13.01990	77.61128
204	13.01995	77.61133
205	13.02000	77.61138
206	13.02005	77.61144
207	13.02010	77.61148
208	13.02016	77.61153
209	13.02022	77.61157
210	13.02027	77.61159
211	13.02034	77.61162
212	13.02041	77.61166
213	13.02046	77.61168
214	13.02054	77.61171
215	13.02059	77.61174
216	13.02065	77.61175
217	13.02073	77.61177
218	13.02078	77.61179
219	13.02085	77.61183
220	13.02092	77.61186
221	13.02098	77.61188
222	13.02105	77.61191
223	13.02111	77.61195
224	13.02117	77.61197
225	13.02122	77.61199
226	13.02129	77.61203
227	13.02136	77.61206
228	13.02142	77.61210
229	13.02146	77.61218
