Rank	Latitude	Longitude
1	13.01364	77.59361
2	13.01370	77.59366
3	13.01377	77.59370
4	13.01385	77.59373
5	13.01391	77.59374
6	13.01396	77.59376
7	13.01402	77.59378
8	13.01409	77.59381
9	13.01416	77.59384
10	13.01422	77.59385
11	13.01429	77.59388
12	13.01434	77.59389
13	13.01442	77.59392
14	13.01445	77.59398
15	13.01445	77.59405
16	13.01445	77.59410
17	13.01445	77.59416
18	13.01445	77.59422
19	13.01445	77.59427
20	13.01445	77.59434
21	13.01443	77.59440
22	13.01442	77.59446
23	13.01442	77.59452
24	13.01441	77.59459
25	13.01440	77.59466
26	13.01440	77.59472
27	13.01439	77.59479
28	13.01437	77.59487
29	13.01437	77.59494
30	13.01436	77.59501
31	13.01436	77.59506
32	13.01436	77.59514
33	13.01436	77.59520
34	13.01436	77.59527
35	13.01436	77.59532
36	13.01436	77.59539
37	13.01437	77.59545
38	13.01437	77.59551
39	13.01439	77.59557
40	13.01440	77.59563
41	13.01440	77.59568
42	13.01440	77.59574
43	13.01446	77.59579
44	13.01452	77.59580
45	13.01459	77.59582
46	13.01464	77.59583
47	13.01471	77.59586
48	13.01477	77.59586
49	13.01482	77.59587
50	13.01488	77.59588
51	13.01494	77.59589
52	13.01501	77.59590
53	13.01507	77.59591
54	13.01513	77.59591
55	13.01518	77.59598
56	13.01523	77.59604
57	13.01528	77.59609
58	13.01535	77.59612
59	13.01541	77.59614
60	13.01546	77.59614
61	13.01552	77.59615
62	13.01558	77.59616
63	13.01564	77.59618
64	13.01569	77.59619
65	13.01575	77.59619
66	13.01581	77.59620
67	13.01587	77.59620
68	13.01594	77.59620
69	13.01599	77.59620
70	13.01603	77.59615
71	13.01607	77.59608
72	13.01610	77.59601
73	13.01614	77.59594
74	13.01618	77.59587
75	13.01621	77.59580
76	13.01624	77.59573
77	13.01627	77.59567
78	13.01634	77.59569
79	13.01639	77.59570
80	13.01646	77.59570
81	13.01653	77.59570
82	13.01658	77.59571
83	13.01664	77.59572
84	13.01669	77.59572
85	13.01675	77.59573
86	13.01682	77.59573
87	13.01689	77.59574
88	13.01695	77.59575
89	13.01701	77.59576
90	13.01707	77.59576
91	13.01713	77.59578
92	13.01718	77.59575
93	13.01722	77.59569
94	13.01727	77.59563
95	13.01730	77.59557
96	13.01735	77.59550
97	13.01738	77.59543
98	13.01742	77.59537
99	13.01743	77.59531
100	13.01745	77.59526
101	13.01746	77.59521
102	13.01753	77.59516
103	13.01758	77.59517
104	13.01764	77.59517
105	13.01770	77.59519
106	13.01776	77.59519
107	13.01781	77.59520
108	13.01787	77.59521
109	13.01793	77.59522
110	13.01799	77.59523
111	13.01805	77.59523
112	13.01811	77.59524
113	13.01817	77.59525
114	13.01823	77.59526
115	13.01828	77.59527
116	13.01834	77.59528
117	13.01839	77.59529
118	13.01847	77.59530
119	13.01852	77.59531
120	13.01857	77.59532
121	13.01863	77.59534
122	13.01868	77.59535
123	13.01876	77.59536
124	13.01881	77.59537
125	13.01887	77.59538
126	13.01892	77.59539
127	13.01898	77.59536
128	13.01902	77.59530
129	13.01904	77.59524
130	13.01907	77.59518
131	13.01909	77.59513
132	13.01911	77.59505
133	13.01912	77.59500
134	13.01914	77.59494
135	13.01915	77.59489
136	13.01917	77.59483
137	13.01918	77.59477
138	13.01920	77.59472
139	13.01927	77.59473
140	13.01934	77.59476
141	13.01940	77.59478
142	13.01945	77.59481
143	13.01950	77.59483
144	13.01956	77.59485
145	13.01962	77.59486
146	13.01967	77.59487
147	13.01974	77.59489
148	13.01980	77.59491
149	13.01986	77.59492
150	13.01992	77.59494
151	13.01998	77.59495
152	13.02005	77.59497
153	13.02012	77.59500
154	13.02018	77.59501
155	13.02024	77.59503
156	13.02031	77.59505
157	13.02039	77.59507
158	13.02044	77.59509
159	13.02050	77.59510
160	13.02056	77.59512
161	13.02064	77.59514
162	13.02071	77.59515
