Rank	Latitude	Longitude
1	13.02310	77.58452
2	13.02318	77.58454
3	13.02324	77.58454
4	13.02330	77.58456
5	13.02330	77.58462
6	13.02329	77.58469
7	13.02327	77.58475
8	13.02324	77.58481
9	13.02322	77.58487
10	13.02321	77.58493
11	13.02319	77.58499
12	13.02317	77.58506
13	13.02317	77.58512
14	13.02315	77.58519
15	13.02310	77.58522
16	13.02304	77.58523
17	13.02302	77.58530
18	13.02299	77.58537
19	13.02297	77.58543
20	13.02295	77.58549
21	13.02292	77.58556
22	13.02291	77.58562
23	13.02289	77.58567
24	13.02287	77.58574
25	13.02285	77.58580
26	13.02284	77.58585
27	13.02282	77.58592
28	13.02280	77.58599
29	13.02279	77.58604
30	13.02278	77.58610
31	13.02276	77.58616
32	13.02275	77.58622
33	13.02274	77.58628
34	13.02273	77.58633
35	13.02271	77.58639
36	13.02270	77.58646
37	13.02269	77.58653
38	13.02267	77.58659
39	13.02266	77.58665
40	13.02265	77.58670
41	13.02262	77.58676
42	13.02261	77.58682
43	13.02260	77.58688
44	13.02266	77.58694
45	13.02274	77.58697
46	13.02279	77.58699
47	13.02280	77.58705
48	13.02280	77.58712
49	13.02280	77.58720
50	13.02280	77.58725
51	13.02280	77.58730
52	13.02280	77.58737
53	13.02280	77.58744
54	13.02283	77.58750
55	13.02289	77.58752
56	13.02295	77.58756
57	13.02301	77.58759
58	13.02308	77.58763
59	13.02316	77.58766
60	13.02322	77.58769
61	13.02329	77.58772
62	13.02336	77.58776
63	13.02343	77.58779
64	13.02350	77.58783
65	13.02357	77.58786
66	13.02362	77.58788
67	13.02369	77.58791
68	13.02374	77.58792
69	13.02380	77.58795
70	13.02385	77.58798
71	13.02392	77.58800
72	13.02398	77.58802
73	13.02398	77.58809
74	13.02394	77.58815
75	13.02392	77.58821
76	13.02389	77.58827
77	13.02387	77.58833
78	13.02384	77.58839
79	13.02381	77.58845
80	13.02376	77.58853
81	13.02373	77.58858
82	13.02370	77.58865
83	13.02366	77.58872
84	13.02363	77.58879
85	13.02360	77.58885
86	13.02357	77.58890
87	13.02353	77.58896
88	13.02348	77.58898
89	13.02341	77.58897
90	13.02336	77.58902
91	13.02334	77.58909
92	13.02333	77.58914
93	13.02332	77.58920
94	13.02330	77.58927
95	13.02329	77.58934
96	13.02328	77.58939
97	13.02327	77.58945
98	13.02326	77.58951
99	13.02320	77.58955
100	13.02314	77.58954
101	13.02308	77.58953
102	13.02303	77.58951
103	13.02298	77.58950
104	13.02291	77.58949
105	13.02285	77.58948
106	13.02278	77.58946
107	13.02271	77.58946
108	13.02266	77.58945
109	13.02259	77.58944
110	13.02254	77.58943
111	13.02251	77.58951
112	13.02252	77.58959
113	13.02254	77.58965
114	13.02254	77.58971
115	13.02254	77.58977
116	13.02255	77.58983
117	13.02255	77.58989
118	13.02255	77.58995
119	13.02256	77.59001
120	13.02257	77.59007
121	13.02258	77.59013
122	13.02258	77.59019
123	13.02258	77.59026
124	13.02260	77.59034
125	13.02261	77.59039
126	13.02266	77.59040
127	13.02271	77.59039
128	13.02279	77.59036
129	13.02285	77.59035
130	13.02290	77.59033
131	13.02296	77.59031
132	13.02302	77.59031
133	13.02308	77.59031
134	13.02315	77.59031
135	13.02321	77.59031
136	13.02327	77.59031
137	13.02332	77.59033
138	13.02338	77.59034
139	13.02346	77.59036
140	13.02353	77.59039
141	13.02359	77.59041
142	13.02364	77.59042
143	13.02369	77.59044
144	13.02374	77.59045
145	13.02380	77.59046
146	13.02380	77.59051
147	13.02378	77.59058
148	13.02376	77.59064
149	13.02374	77.59070
150	13.02372	77.59076
151	13.02370	77.59082
152	13.02368	77.59089
153	13.02368	77.59096
154	13.02368	77.59103
155	13.02367	77.59109
156	13.02367	77.59116
157	13.02366	77.59123
158	13.02365	77.59130
159	13.02373	77.59134
160	13.02380	77.59131
161	13.02384	77.59138
162	13.02388	77.59145
163	13.02391	77.59151
164	13.02394	77.59159
165	13.02397	77.59166
166	13.02401	77.59173
167	13.02402	77.59178
168	13.02407	77.59182
169	13.02413	77.59184
170	13.02420	77.59187
171	13.02428	77.59189
172	13.02434	77.59190
173	13.02442	77.59193
174	13.02447	77.59194
175	13.02456	77.59196
176	13.02462	77.59197
177	13.02467	77.59198
178	13.02474	77.59199
179	13.02480	77.59200
180	13.02487	77.59200
181	13.02493	77.59201
182	13.02498	77.59202
183	13.02504	77.59202
184	13.02510	77.59203
185	13.02513	77.59209
186	13.02513	77.59216
187	13.02512	77.59221
188	13.02510	77.59228
189	13.02508	77.59234
190	13.02506	77.59240
191	13.02505	77.59246
192	13.02503	77.59253
193	13.02501	77.59259
194	13.02499	77.59265
195	13.02497	77.59273
