Rank	Latitude	Longitude
1	13.01002	77.59062
2	13.00997	77.59066
3	13.00990	77.59070
4	13.00982	77.59074
5	13.00976	77.59078
6	13.00968	77.59082
7	13.00962	77.59086
8	13.00956	77.59090
9	13.00949	77.59095
10	13.00942	77.59098
11	13.00937	77.59101
12	13.00930	77.59106
13	13.00924	77.59112
14	13.00917	77.59117
15	13.00912	77.59120
16	13.00906	77.59124
17	13.00898	77.59129
18	13.00892	77.59133
19	13.00885	77.59138
20	13.00878	77.59143
21	13.00873	77.59147
22	13.00866	77.59154
23	13.00860	77.59157
24	13.00853	77.59161
25	13.00846	77.59165
26	13.00841	77.59168
27	13.00835	77.59170
28	13.00828	77.59174
29	13.00822	77.59178
30	13.00817	77.59183
31	13.00810	77.59187
32	13.00804	77.59191
33	13.00796	77.59195
34	13.00790	77.59199
35	13.00784	77.59204
36	13.00777	77.59208
37	13.00770	77.59212
38	13.00765	77.59215
39	13.00759	77.59217
40	13.00752	77.59221
41	13.00746	77.59224
42	13.00740	77.59227
43	13.00733	77.59231
44	13.00726	77.59234
45	13.00721	77.59237
46	13.00714	77.59240
47	13.00708	77.59245
48	13.00701	77.59250
49	13.00694	77.59255
50	13.00688	77.59259
51	13.00681	77.59262
52	13.00675	77.59266
53	13.00668	77.59270
54	13.00662	77.59273
55	13.00657	77.59275
56	13.00652	77.59278
57	13.00644	77.59282
58	13.00637	77.59286
59	13.00630	77.59289
60	13.00624	77.59293
61	13.00617	77.59297
62	13.00612	77.59298
63	13.00607	77.59300
64	13.00599	77.59303
65	13.00594	77.59305
66	13.00586	77.59308
67	13.00581	77.59311
68	13.00574	77.59315
69	13.00568	77.59317
70	13.00574	77.59324
71	13.00581	77.59329
72	13.00587	77.59333
73	13.00593	77.59337
74	13.00599	77.59341
75	13.00605	77.59346
76	13.00611	77.59351
77	13.00617	77.59355
78	13.00623	77.59359
79	13.00630	77.59362
80	13.00636	77.59365
81	13.00643	77.59369
82	13.00650	77.59371
83	13.00656	77.59376
84	13.00662	77.59381
85	13.00668	77.59384
86	13.00675	77.59387
87	13.00683	77.59389
88	13.00688	77.59391
89	13.00693	77.59393
90	13.00701	77.59395
91	13.00708	77.59397
92	13.00716	77.59399
93	13.00721	77.59401
94	13.00726	77.59403
95	13.00732	77.59404
96	13.00739	77.59405
97	13.00744	77.59406
98	13.00750	77.59408
99	13.00755	77.59410
100	13.00761	77.59412
101	13.00768	77.59413
102	13.00776	77.59415
103	13.00784	77.59418
104	13.00789	77.59420
105	13.00796	77.59423
106	13.00803	77.59427
107	13.00808	77.59428
108	13.00813	77.59429
109	13.00821	77.59432
110	13.00826	77.59434
111	13.00831	77.59436
112	13.00838	77.59439
113	13.00845	77.59441
114	13.00852	77.59444
115	13.00858	77.59447
116	13.00866	77.59449
117	13.00872	77.59451
118	13.00879	77.59453
119	13.00884	77.59454
120	13.00889	77.59456
121	13.00897	77.59459
122	13.00904	77.59463
123	13.00912	77.59466
124	13.00918	77.59469
125	13.00923	77.59477
126	13.00923	77.59484
127	13.00921	77.59490
128	13.00919	77.59496
129	13.00927	77.59500
130	13.00933	77.59501
131	13.00938	77.59502
132	13.00944	77.59504
133	13.00949	77.59506
134	13.00956	77.59509
135	13.00961	77.59510
136	13.00966	77.59512
137	13.00972	77.59514
138	13.00979	77.59516
139	13.00986	77.59519
140	13.00993	77.59522
141	13.01000	77.59525
142	13.01008	77.59528
143	13.01015	77.59530
144	13.01020	77.59531
145	13.01027	77.59534
146	13.01033	77.59536
147	13.01038	77.59539
148	13.01045	77.59543
149	13.01053	77.59547
150	13.01059	77.59550
151	13.01065	77.59552
152	13.01071	77.59555
153	13.01078	77.59558
154	13.01086	77.59561
155	13.01091	77.59564
156	13.01098	77.59568
157	13.01104	77.59571
158	13.01111	77.59574
159	13.01118	77.59578
160	13.01125	77.59581
161	13.01130	77.59584
162	13.01137	77.59588
163	13.01142	77.59590
164	13.01148	77.59588
165	13.01155	77.59584
166	13.01160	77.59579
167	13.01166	77.59571
168	13.01170	77.59565
169	13.01175	77.59559
170	13.01180	77.59556
171	13.01185	77.59555
172	13.01191	77.59556
173	13.01197	77.59561
174	13.01204	77.59564
175	13.01211	77.59567
176	13.01217	77.59569
177	13.01222	77.59570
