Rank	Latitude	Longitude
1	13.01146	77.59589
2	13.01152	77.59585
3	13.01158	77.59581
4	13.01163	77.59576
5	13.01167	77.59569
6	13.01171	77.59562
7	13.01177	77.59557
8	13.01182	77.59555
9	13.01188	77.59555
10	13.01195	77.59559
11	13.01202	77.59563
12	13.01208	77.59566
13	13.01215	77.59568
14	13.01220	77.59569
15	13.01227	77.59571
16	13.01234	77.59573
17	13.01240	77.59574
18	13.01246	77.59574
19	13.01252	77.59575
20	13.01259	77.59576
21	13.01267	77.59580
22	13.01272	77.59582
23	13.01277	77.59584
24	13.01283	77.59585
25	13.01290	77.59589
26	13.01296	77.59590
27	13.01301	77.59593
28	13.01307	77.59596
29	13.01312	77.59598
30	13.01319	77.59603
31	13.01324	77.59605
32	13.01329	77.59606
33	13.01336	77.59609
34	13.01342	77.59612
35	13.01349	77.59616
36	13.01355	77.59619
37	13.01362	77.59621
38	13.01368	77.59625
39	13.01375	77.59629
40	13.01381	77.59635
41	13.01388	77.59640
42	13.01394	77.59644
43	13.01400	77.59650
44	13.01407	77.59655
45	13.01412	77.59660
46	13.01417	77.59666
47	13.01422	77.59672
48	13.01429	77.59677
49	13.01434	77.59680
50	13.01441	77.59684
51	13.01450	77.59689
52	13.01455	77.59692
53	13.01460	77.59694
54	13.01467	77.59698
55	13.01472	77.59700
56	13.01478	77.59704
57	13.01484	77.59708
58	13.01491	77.59711
59	13.01498	77.59715
60	13.01503	77.59718
61	13.01510	77.59723
62	13.01516	77.59726
63	13.01523	77.59729
64	13.01530	77.59732
65	13.01537	77.59736
66	13.01544	77.59739
67	13.01552	77.59743
68	13.01558	77.59746
69	13.01565	77.59750
70	13.01571	77.59753
71	13.01577	77.59755
72	13.01584	77.59757
73	13.01592	77.59759
74	13.01598	77.59760
75	13.01604	77.59761
76	13.01612	77.59761
77	13.01619	77.59762
78	13.01625	77.59763
79	13.01632	77.59763
80	13.01637	77.59764
81	13.01643	77.59767
82	13.01649	77.59772
83	13.01655	77.59776
84	13.01661	77.59781
85	13.01667	77.59785
86	13.01673	77.59789
87	13.01681	77.59793
88	13.01687	77.59797
89	13.01694	77.59800
90	13.01702	77.59803
91	13.01709	77.59806
92	13.01714	77.59809
93	13.01722	77.59813
94	13.01729	77.59816
95	13.01735	77.59816
96	13.01741	77.59817
97	13.01748	77.59820
98	13.01753	77.59823
99	13.01760	77.59826
100	13.01766	77.59831
101	13.01772	77.59833
102	13.01779	77.59837
103	13.01786	77.59840
104	13.01793	77.59842
105	13.01798	77.59844
106	13.01804	77.59845
107	13.01812	77.59848
108	13.01817	77.59849
109	13.01824	77.59852
110	13.01831	77.59855
111	13.01837	77.59860
112	13.01843	77.59865
113	13.01849	77.59870
114	13.01855	77.59875
115	13.01861	77.59881
116	13.01866	77.59886
117	13.01871	77.59892
118	13.01876	77.59899
119	13.01881	77.59904
120	13.01889	77.59910
121	13.01895	77.59915
122	13.01901	77.59920
123	13.01907	77.59924
124	13.01914	77.59927
125	13.01919	77.59930
126	13.01926	77.59934
127	13.01932	77.59937
128	13.01937	77.59939
129	13.01944	77.59942
130	13.01949	77.59945
131	13.01956	77.59949
132	13.01962	77.59952
133	13.01969	77.59956
134	13.01975	77.59958
135	13.01982	77.59962
136	13.01989	77.59966
137	13.01994	77.59967
138	13.02002	77.59970
139	13.02008	77.59970
140	13.02013	77.59970
141	13.02020	77.59972
142	13.02026	77.59973
143	13.02031	77.59975
144	13.02037	77.59980
145	13.02044	77.59985
146	13.02049	77.59990
147	13.02056	77.59993
148	13.02062	77.59996
149	13.02069	77.60000
150	13.02075	77.60002
151	13.02081	77.60006
152	13.02088	77.60010
153	13.02095	77.60013
154	13.02100	77.60015
155	13.02105	77.60016
156	13.02112	77.60018
157	13.02120	77.60021
158	13.02125	77.60022
159	13.02131	77.60023
160	13.02137	77.60023
161	13.02143	77.60024
162	13.02149	77.60026
163	13.02156	77.60029
164	13.02162	77.60030
165	13.02168	77.60032
166	13.02173	77.60034
167	13.02180	77.60037
168	13.02187	77.60040
169	13.02194	77.60043
170	13.02199	77.60044
171	13.02204	77.60046
172	13.02210	77.60047
173	13.02217	77.60050
174	13.02222	77.60052
175	13.02229	77.60055
176	13.02235	77.60056
177	13.02242	77.60059
178	13.02249	77.60061
179	13.02254	77.60062
180	13.02259	77.60064
181	13.02267	77.60066
182	13.02272	77.60068
183	13.02277	77.60069
184	13.02282	77.60070
185	13.02289	77.60071
186	13.02296	77.60074
187	13.02301	77.60076
188	13.02309	77.60078
189	13.02314	77.60080
190	13.02312	77.60087
191	13.02304	77.60092
