Rank	Latitude	Longitude
1	13.00318	77.63290
2	13.00323	77.63291
3	13.00330	77.63290
4	13.00339	77.63290
5	13.00347	77.63290
6	13.00355	77.63290
7	13.00361	77.63290
8	13.00366	77.63291
9	13.00372	77.63292
10	13.00378	77.63292
11	13.00384	77.63293
12	13.00389	77.63294
13	13.00396	77.63295
14	13.00402	77.63297
15	13.00408	77.63297
16	13.00414	77.63298
17	13.00421	77.63300
18	13.00426	77.63301
19	13.00433	77.63302
20	13.00438	77.63304
21	13.00446	77.63307
22	13.00453	77.63308
23	13.00460	77.63308
24	13.00465	77.63307
25	13.00471	77.63303
26	13.00476	77.63300
27	13.00482	77.63297
28	13.00488	77.63292
29	13.00493	77.63289
30	13.00498	77.63285
31	13.00505	77.63282
32	13.00510	77.63279
33	13.00516	77.63276
34	13.00522	77.63272
35	13.00529	77.63269
36	13.00535	77.63265
37	13.00540	77.63262
38	13.00546	77.63259
39	13.00551	77.63255
40	13.00557	77.63250
41	13.00562	77.63246
42	13.00568	77.63242
43	13.00573	77.63239
44	13.00580	77.63235
45	13.00587	77.63235
46	13.00593	77.63236
47	13.00601	77.63237
48	13.00608	77.63238
49	13.00614	77.63241
50	13.00620	77.63244
51	13.00625	77.63251
52	13.00629	77.63256
53	13.00633	77.63262
54	13.00637	77.63267
55	13.00640	77.63273
56	13.00643	77.63279
57	13.00648	77.63285
58	13.00652	77.63291
59	13.00654	77.63297
60	13.00658	77.63304
61	13.00662	77.63309
62	13.00665	77.63315
63	13.00669	77.63321
64	13.00673	77.63327
65	13.00680	77.63333
66	13.00687	77.63339
67	13.00692	77.63343
68	13.00697	77.63346
69	13.00702	77.63349
70	13.00708	77.63350
71	13.00715	77.63351
72	13.00722	77.63351
73	13.00728	77.63351
74	13.00733	77.63352
75	13.00739	77.63352
76	13.00744	77.63353
77	13.00752	77.63354
78	13.00758	77.63355
79	13.00764	77.63356
80	13.00770	77.63356
81	13.00777	77.63358
82	13.00784	77.63360
83	13.00790	77.63361
84	13.00798	77.63364
85	13.00805	77.63365
86	13.00812	77.63366
87	13.00820	77.63367
88	13.00828	77.63367
89	13.00836	77.63367
90	13.00843	77.63366
91	13.00850	77.63366
92	13.00857	77.63365
93	13.00865	77.63363
94	13.00872	77.63361
95	13.00880	77.63360
96	13.00887	77.63359
97	13.00894	77.63358
98	13.00901	77.63357
99	13.00910	77.63357
100	13.00919	77.63357
101	13.00925	77.63355
102	13.00931	77.63354
103	13.00937	77.63353
104	13.00943	77.63352
105	13.00949	77.63353
106	13.00954	77.63353
107	13.00962	77.63351
108	13.00970	77.63350
109	13.00977	77.63349
110	13.00984	77.63348
111	13.00991	77.63348
112	13.00996	77.63346
113	13.01004	77.63345
114	13.01011	77.63344
115	13.01017	77.63344
116	13.01025	77.63343
117	13.01031	77.63342
118	13.01038	77.63341
119	13.01045	77.63341
120	13.01053	77.63342
121	13.01058	77.63350
122	13.01063	77.63351
123	13.01068	77.63352
124	13.01074	77.63353
125	13.01082	77.63353
126	13.01090	77.63354
127	13.01097	77.63354
128	13.01105	77.63354
129	13.01114	77.63354
130	13.01122	77.63354
131	13.01130	77.63355
132	13.01138	77.63356
133	13.01146	77.63356
134	13.01153	77.63358
135	13.01157	77.63350
136	13.01158	77.63344
137	13.01159	77.63336
138	13.01160	77.63330
139	13.01161	77.63323
140	13.01161	77.63317
141	13.01161	77.63311
142	13.01160	77.63304
143	13.01158	77.63297
144	13.01158	77.63291
145	13.01158	77.63284
146	13.01159	77.63278
147	13.01159	77.63272
148	13.01159	77.63266
149	13.01159	77.63259
150	13.01159	77.63252
151	13.01159	77.63246
152	13.01158	77.63240
153	13.01158	77.63233
154	13.01158	77.63226
155	13.01158	77.63220
156	13.01158	77.63213
157	13.01158	77.63206
158	13.01158	77.63200
159	13.01157	77.63194
160	13.01157	77.63187
161	13.01157	77.63181
162	13.01156	77.63174
163	13.01156	77.63167
164	13.01156	77.63160
165	13.01155	77.63153
166	13.01154	77.63146
167	13.01154	77.63140
168	13.01154	77.63133
169	13.01153	77.63128
170	13.01153	77.63121
171	13.01153	77.63114
172	13.01152	77.63108
173	13.01149	77.63099
174	13.01148	77.63093
175	13.01148	77.63086
176	13.01147	77.63080
177	13.01147	77.63073
178	13.01145	77.63067
179	13.01145	77.63062
180	13.01144	77.63054
181	13.01144	77.63048
182	13.01143	77.63041
183	13.01141	77.63034
184	13.01140	77.63026
185	13.01139	77.63019
186	13.01137	77.63012
187	13.01135	77.63006
188	13.01132	77.62999
189	13.01129	77.62993
190	13.01126	77.62987
191	13.01125	77.62981
192	13.01123	77.62975
193	13.01122	77.62968
194	13.01121	77.62961
195	13.01119	77.62955
196	13.01118	77.62948
197	13.01118	77.62941
198	13.01118	77.62934
199	13.01118	77.62928
200	13.01118	77.62921
201	13.01118	77.62915
202	13.01118	77.62907
203	13.01117	77.62901
204	13.01117	77.62894
205	13.01117	77.62888
206	13.01118	77.62882
207	13.01118	77.62876
208	13.01121	77.62868
209	13.01122	77.62861
210	13.01123	77.62856
211	13.01124	77.62850
212	13.01125	77.62843
213	13.01127	77.62835
214	13.01129	77.62829
215	13.01131	77.62822
216	13.01133	77.62816
217	13.01135	77.62810
218	13.01137	77.62802
219	13.01139	77.62795
220	13.01142	77.62787
221	13.01143	77.62781
222	13.01146	77.62774
223	13.01147	77.62766
224	13.01149	77.62760
225	13.01152	77.62752
226	13.01154	77.62743
227	13.01156	77.62738
228	13.01157	77.62732
229	13.01159	77.62726
230	13.01161	77.62721
231	13.01155	77.62716
232	13.01148	77.62713
233	13.01142	77.62710
234	13.01137	77.62707
235	13.01131	77.62704
236	13.01123	77.62697
237	13.01118	77.62691
238	13.01122	77.62683
239	13.01126	77.62676
240	13.01129	77.62670
241	13.01131	77.62664
242	13.01133	77.62659
243	13.01136	77.62653
244	13.01139	77.62646
245	13.01141	77.62641
246	13.01146	77.62633
247	13.01149	77.62627
248	13.01152	77.62621
249	13.01156	77.62615
250	13.01160	77.62608
251	13.01164	77.62602
252	13.01171	77.62605
253	13.01178	77.62608
254	13.01185	77.62611
255	13.01191	77.62615
256	13.01198	77.62616
257	13.01203	77.62609
258	13.01205	77.62604
259	13.01209	77.62597
260	13.01213	77.62591
261	13.01217	77.62584
262	13.01221	77.62576
263	13.01226	77.62570
264	13.01230	77.62565
265	13.01233	77.62558
266	13.01236	77.62552
267	13.01240	77.62545
268	13.01245	77.62539
269	13.01250	77.62532
270	13.01253	77.62526
271	13.01255	77.62518
272	13.01257	77.62513
273	13.01259	77.62507
274	13.01260	77.62501
275	13.01262	77.62494
276	13.01264	77.62489
277	13.01266	77.62481
278	13.01268	77.62474
279	13.01270	77.62469
280	13.01271	77.62463
281	13.01274	77.62455
282	13.01275	77.62449
283	13.01277	77.62444
284	13.01279	77.62438
285	13.01281	77.62433
286	13.01282	77.62427
287	13.01284	77.62422
288	13.01286	77.62414
289	13.01288	77.62408
290	13.01289	77.62403
291	13.01291	77.62396
292	13.01294	77.62389
293	13.01295	77.62383
294	13.01297	77.62378
295	13.01300	77.62370
296	13.01302	77.62365
297	13.01305	77.62358
298	13.01309	77.62351
299	13.01311	77.62344
300	13.01312	77.62338
301	13.01315	77.62331
302	13.01317	77.62325
303	13.01320	77.62319
304	13.01317	77.62313
305	13.01310	77.62310
306	13.01305	77.62308
307	13.01299	77.62305
308	13.01293	77.62302
309	13.01287	77.62299
310	13.01280	77.62295
311	13.01275	77.62293
312	13.01268	77.62289
313	13.01261	77.62287
314	13.01256	77.62285
315	13.01251	77.62284
316	13.01245	77.62281
317	13.01238	77.62278
318	13.01233	77.62276
319	13.01228	77.62273
320	13.01223	77.62270
321	13.01217	77.62269
322	13.01212	77.62266
323	13.01206	77.62264
324	13.01199	77.62260
325	13.01194	77.62257
326	13.01188	77.62255
327	13.01181	77.62250
328	13.01174	77.62248
329	13.01167	77.62245
330	13.01161	77.62242
331	13.01154	77.62240
332	13.01146	77.62237
333	13.01140	77.62234
334	13.01132	77.62230
335	13.01125	77.62227
336	13.01117	77.62222
337	13.01112	77.62220
338	13.01104	77.62216
339	13.01098	77.62213
340	13.01091	77.62210
341	13.01083	77.62208
342	13.01076	77.62206
343	13.01070	77.62203
344	13.01064	77.62201
345	13.01058	77.62199
346	13.01053	77.62196
347	13.01047	77.62194
348	13.01040	77.62191
349	13.01033	77.62187
350	13.01027	77.62185
351	13.01022	77.62183
352	13.01016	77.62182
353	13.01010	77.62180
354	13.01005	77.62178
355	13.01000	77.62176
356	13.00992	77.62175
357	13.00987	77.62174
358	13.00982	77.62173
359	13.00976	77.62173
360	13.00971	77.62172
361	13.00964	77.62172
362	13.00958	77.62171
363	13.00953	77.62170
364	13.00947	77.62169
365	13.00941	77.62169
366	13.00934	77.62168
367	13.00928	77.62167
368	13.00921	77.62167
369	13.00915	77.62167
370	13.00909	77.62169
371	13.00904	77.62170
372	13.00899	77.62171
373	13.00893	77.62173
374	13.00887	77.62175
375	13.00880	77.62176
376	13.00874	77.62178
377	13.00868	77.62179
378	13.00863	77.62182
379	13.00857	77.62184
380	13.00851	77.62186
381	13.00843	77.62190
382	13.00836	77.62194
383	13.00829	77.62198
384	13.00823	77.62202
385	13.00816	77.62206
386	13.00811	77.62210
387	13.00806	77.62213
388	13.00799	77.62217
389	13.00793	77.62221
390	13.00787	77.62227
391	13.00780	77.62233
392	13.00775	77.62239
393	13.00769	77.62245
394	13.00763	77.62251
395	13.00756	77.62259
396	13.00751	77.62264
397	13.00746	77.62270
398	13.00740	77.62277
399	13.00735	77.62284
400	13.00730	77.62291
401	13.00727	77.62296
402	13.00723	77.62303
403	13.00719	77.62310
404	13.00716	77.62316
405	13.00712	77.62323
406	13.00709	77.62330
407	13.00706	77.62335
408	13.00702	77.62342
409	13.00700	77.62348
410	13.00699	77.62353
411	13.00697	77.62359
412	13.00695	77.62365
413	13.00692	77.62370
414	13.00687	77.62377
415	13.00684	77.62383
416	13.00682	77.62389
417	13.00679	77.62394
418	13.00678	77.62400
419	13.00675	77.62406
420	13.00671	77.62414
421	13.00669	77.62419
422	13.00665	77.62427
423	13.00661	77.62435
424	13.00658	77.62441
425	13.00655	77.62449
426	13.00652	77.62454
427	13.00649	77.62460
428	13.00647	77.62465
429	13.00643	77.62473
430	13.00640	77.62480
431	13.00639	77.62486
432	13.00637	77.62491
433	13.00635	77.62497
434	13.00633	77.62502
435	13.00630	77.62510
436	13.00628	77.62516
437	13.00624	77.62524
438	13.00619	77.62532
439	13.00616	77.62539
440	13.00614	77.62547
441	13.00610	77.62554
442	13.00608	77.62561
443	13.00605	77.62568
444	13.00602	77.62575
445	13.00599	77.62581
446	13.00597	77.62586
447	13.00595	77.62593
448	13.00593	77.62598
449	13.00590	77.62605
450	13.00588	77.62610
451	13.00585	77.62615
452	13.00582	77.62622
453	13.00578	77.62629
454	13.00577	77.62635
455	13.00575	77.62640
456	13.00574	77.62645
457	13.00571	77.62651
458	13.00568	77.62658
459	13.00566	77.62664
460	13.00563	77.62671
461	13.00561	77.62677
462	13.00559	77.62682
463	13.00557	77.62689
464	13.00554	77.62695
465	13.00551	77.62702
466	13.00547	77.62709
467	13.00543	77.62718
468	13.00541	77.62726
469	13.00539	77.62732
470	13.00536	77.62739
471	13.00533	77.62746
472	13.00532	77.62751
473	13.00529	77.62757
474	13.00527	77.62762
475	13.00524	77.62770
476	13.00522	77.62776
477	13.00518	77.62783
478	13.00515	77.62789
479	13.00514	77.62795
480	13.00512	77.62801
481	13.00509	77.62808
482	13.00506	77.62814
483	13.00503	77.62821
484	13.00500	77.62829
485	13.00496	77.62836
486	13.00494	77.62842
487	13.00491	77.62850
488	13.00488	77.62857
489	13.00485	77.62864
490	13.00483	77.62870
491	13.00481	77.62876
492	13.00478	77.62883
493	13.00477	77.62888
494	13.00474	77.62896
495	13.00472	77.62903
496	13.00470	77.62911
497	13.00466	77.62917
498	13.00463	77.62925
499	13.00460	77.62931
500	13.00457	77.62939
501	13.00455	77.62946
502	13.00453	77.62951
503	13.00448	77.62958
504	13.00445	77.62964
505	13.00442	77.62971
506	13.00440	77.62976
507	13.00437	77.62982
508	13.00435	77.62987
509	13.00433	77.62993
510	13.00432	77.62998
511	13.00431	77.63004
512	13.00428	77.63010
513	13.00426	77.63015
514	13.00423	77.63022
515	13.00420	77.63029
516	13.00416	77.63035
517	13.00414	77.63041
518	13.00411	77.63048
519	13.00408	77.63055
520	13.00405	77.63061
521	13.00403	77.63068
522	13.00399	77.63075
523	13.00396	77.63080
524	13.00394	77.63085
525	13.00391	77.63093
526	13.00389	77.63101
527	13.00386	77.63108
528	13.00385	77.63113
529	13.00383	77.63121
530	13.00382	77.63128
531	13.00381	77.63134
532	13.00379	77.63140
533	13.00377	77.63145
534	13.00373	77.63153
535	13.00370	77.63160
536	13.00367	77.63166
537	13.00365	77.63172
538	13.00363	77.63177
539	13.00361	77.63184
540	13.00357	77.63191
541	13.00353	77.63199
542	13.00352	77.63205
543	13.00350	77.63211
544	13.00348	77.63216
545	13.00346	77.63222
546	13.00345	77.63227
547	13.00342	77.63235
548	13.00340	77.63240
549	13.00337	77.63246
550	13.00333	77.63253
551	13.00331	77.63258
552	13.00328	77.63266
553	13.00325	77.63273
554	13.00321	77.63280
