Rank	Latitude	Longitude
1	12.97390	77.67027
2	12.97388	77.67032
3	12.97386	77.67038
4	12.97384	77.67044
5	12.97383	77.67049
6	12.97381	77.67055
7	12.97379	77.67060
8	12.97378	77.67066
9	12.97376	77.67072
10	12.97373	77.67078
11	12.97371	77.67084
12	12.97368	77.67090
13	12.97366	77.67095
14	12.97363	77.67101
15	12.97361	77.67106
16	12.97359	77.67111
17	12.97357	77.67116
18	12.97355	77.67123
19	12.97353	77.67129
20	12.97351	77.67134
21	12.97350	77.67139
22	12.97348	77.67146
23	12.97346	77.67152
24	12.97345	77.67158
25	12.97343	77.67163
26	12.97342	77.67169
27	12.97340	77.67174
28	12.97338	77.67180
29	12.97336	77.67185
30	12.97333	77.67192
31	12.97331	77.67197
32	12.97329	77.67203
33	12.97327	77.67208
34	12.97325	77.67213
35	12.97323	77.67218
36	12.97322	77.67224
37	12.97320	77.67230
38	12.97318	77.67236
39	12.97317	77.67241
40	12.97314	77.67247
41	12.97312	77.67252
42	12.97309	77.67257
43	12.97306	77.67263
44	12.97305	77.67268
45	12.97303	77.67274
46	12.97302	77.67280
47	12.97300	77.67286
48	12.97297	77.67291
49	12.97295	77.67297
50	12.97293	77.67303
51	12.97291	77.67309
52	12.97289	77.67314
53	12.97288	77.67319
54	12.97287	77.67325
55	12.97285	77.67331
56	12.97284	77.67336
57	12.97282	77.67343
58	12.97280	77.67349
59	12.97279	77.67355
60	12.97277	77.67361
61	12.97275	77.67367
62	12.97274	77.67373
63	12.97271	77.67379
64	12.97269	77.67384
65	12.97267	77.67391
66	12.97265	77.67397
67	12.97263	77.67403
68	12.97262	77.67409
69	12.97260	77.67414
70	12.97258	77.67420
71	12.97257	77.67425
72	12.97255	77.67432
73	12.97253	77.67438
74	12.97251	77.67443
75	12.97248	77.67449
76	12.97246	77.67454
77	12.97244	77.67460
78	12.97243	77.67466
79	12.97241	77.67472
80	12.97239	77.67477
81	12.97237	77.67483
82	12.97236	77.67489
83	12.97234	77.67495
84	12.97232	77.67500
85	12.97230	77.67506
86	12.97227	77.67512
87	12.97224	77.67518
88	12.97222	77.67523
89	12.97220	77.67528
90	12.97218	77.67535
91	12.97216	77.67540
92	12.97214	77.67546
93	12.97213	77.67551
94	12.97211	77.67557
95	12.97210	77.67562
96	12.97208	77.67568
97	12.97206	77.67575
98	12.97203	77.67580
99	12.97200	77.67586
100	12.97198	77.67592
101	12.97197	77.67597
102	12.97196	77.67602
103	12.97194	77.67608
104	12.97193	77.67613
105	12.97192	77.67619
106	12.97191	77.67624
107	12.97189	77.67629
108	12.97188	77.67635
109	12.97186	77.67641
110	12.97185	77.67648
111	12.97185	77.67653
112	12.97184	77.67659
113	12.97183	77.67665
114	12.97182	77.67670
115	12.97181	77.67676
116	12.97180	77.67682
117	12.97178	77.67687
118	12.97177	77.67693
119	12.97175	77.67700
120	12.97174	77.67706
121	12.97173	77.67712
122	12.97172	77.67719
123	12.97171	77.67724
124	12.97170	77.67731
125	12.97169	77.67737
126	12.97168	77.67742
127	12.97166	77.67748
128	12.97165	77.67753
129	12.97164	77.67760
130	12.97163	77.67765
131	12.97161	77.67770
132	12.97159	77.67776
133	12.97158	77.67782
134	12.97157	77.67788
135	12.97156	77.67793
136	12.97154	77.67798
137	12.97153	77.67804
138	12.97152	77.67811
139	12.97150	77.67816
140	12.97148	77.67822
141	12.97147	77.67828
142	12.97146	77.67834
143	12.97145	77.67840
144	12.97143	77.67845
145	12.97143	77.67850
146	12.97142	77.67856
147	12.97141	77.67861
148	12.97141	77.67867
149	12.97139	77.67873
150	12.97139	77.67880
151	12.97137	77.67887
152	12.97137	77.67892
153	12.97136	77.67898
154	12.97135	77.67903
155	12.97134	77.67908
156	12.97132	77.67913
157	12.97133	77.67918
158	12.97139	77.67921
159	12.97146	77.67922
160	12.97152	77.67924
161	12.97157	77.67925
162	12.97163	77.67926
163	12.97170	77.67927
164	12.97175	77.67928
165	12.97181	77.67929
166	12.97187	77.67931
167	12.97192	77.67933
168	12.97198	77.67934
169	12.97203	77.67936
170	12.97210	77.67937
171	12.97217	77.67939
172	12.97222	77.67940
173	12.97227	77.67941
174	12.97233	77.67943
175	12.97239	77.67946
176	12.97245	77.67947
177	12.97250	77.67950
178	12.97256	77.67954
179	12.97261	77.67957
180	12.97268	77.67960
181	12.97273	77.67961
182	12.97278	77.67962
183	12.97284	77.67963
184	12.97289	77.67964
185	12.97295	77.67966
186	12.97301	77.67968
187	12.97308	77.67970
188	12.97314	77.67972
189	12.97319	77.67975
190	12.97325	77.67977
191	12.97330	77.67978
192	12.97336	77.67980
193	12.97341	77.67982
194	12.97346	77.67983
195	12.97351	77.67985
196	12.97358	77.67987
197	12.97363	77.67989
198	12.97370	77.67991
199	12.97377	77.67993
200	12.97383	77.67994
201	12.97389	77.67997
202	12.97395	77.67998
203	12.97401	77.68000
204	12.97407	77.68003
205	12.97413	77.68005
206	12.97419	77.68008
207	12.97425	77.68013
208	12.97430	77.68016
209	12.97436	77.68019
210	12.97441	77.68020
211	12.97446	77.68023
212	12.97452	77.68027
213	12.97458	77.68031
214	12.97463	77.68034
215	12.97468	77.68037
216	12.97474	77.68040
217	12.97479	77.68042
218	12.97485	77.68044
219	12.97491	77.68046
220	12.97497	77.68048
221	12.97502	77.68049
222	12.97509	77.68050
223	12.97514	77.68051
224	12.97520	77.68052
225	12.97526	77.68052
226	12.97531	77.68052
227	12.97537	77.68051
228	12.97542	77.68049
229	12.97548	77.68047
230	12.97554	77.68046
231	12.97560	77.68044
232	12.97565	77.68043
233	12.97571	77.68042
234	12.97577	77.68042
235	12.97583	77.68041
236	12.97589	77.68041
237	12.97595	77.68039
238	12.97601	77.68039
239	12.97607	77.68038
240	12.97612	77.68037
241	12.97619	77.68037
242	12.97624	77.68037
243	12.97630	77.68036
244	12.97637	77.68036
245	12.97643	77.68036
246	12.97649	77.68036
247	12.97655	77.68036
248	12.97661	77.68037
249	12.97666	77.68039
250	12.97672	77.68041
251	12.97677	77.68042
252	12.97683	77.68044
253	12.97690	77.68046
254	12.97696	77.68047
255	12.97701	77.68049
256	12.97706	77.68050
257	12.97712	77.68052
258	12.97718	77.68055
259	12.97725	77.68056
260	12.97731	77.68057
261	12.97737	77.68057
262	12.97744	77.68058
263	12.97750	77.68060
264	12.97756	77.68062
265	12.97762	77.68062
266	12.97767	77.68063
267	12.97772	77.68065
268	12.97778	77.68066
269	12.97783	77.68067
270	12.97790	77.68068
271	12.97796	77.68069
272	12.97801	77.68071
273	12.97807	77.68072
274	12.97813	77.68073
275	12.97819	77.68075
276	12.97824	77.68076
277	12.97830	77.68078
278	12.97836	77.68079
279	12.97842	77.68081
280	12.97848	77.68082
281	12.97855	77.68083
282	12.97860	77.68084
283	12.97866	77.68085
284	12.97872	77.68086
285	12.97878	77.68087
286	12.97883	77.68089
287	12.97888	77.68089
288	12.97895	77.68090
289	12.97901	77.68091
290	12.97906	77.68093
291	12.97912	77.68095
292	12.97917	77.68096
293	12.97923	77.68098
294	12.97928	77.68100
295	12.97934	77.68101
296	12.97940	77.68100
297	12.97946	77.68100
298	12.97951	77.68101
299	12.97957	77.68103
300	12.97963	77.68106
