Rank	Latitude	Longitude
1	12.96577	77.65987
2	12.96582	77.65987
3	12.96588	77.65983
4	12.96595	77.65979
5	12.96601	77.65976
6	12.96607	77.65973
7	12.96613	77.65969
8	12.96620	77.65965
9	12.96627	77.65960
10	12.96634	77.65955
11	12.96639	77.65951
12	12.96646	77.65946
13	12.96651	77.65941
14	12.96658	77.65937
15	12.96665	77.65931
16	12.96671	77.65925
17	12.96677	77.65923
18	12.96685	77.65917
19	12.96691	77.65913
20	12.96698	77.65907
21	12.96703	77.65904
22	12.96708	77.65900
23	12.96714	77.65895
24	12.96720	77.65891
25	12.96726	77.65886
26	12.96732	77.65882
27	12.96738	77.65878
28	12.96745	77.65873
29	12.96750	77.65870
30	12.96756	77.65867
31	12.96762	77.65864
32	12.96768	77.65861
33	12.96773	77.65858
34	12.96779	77.65863
35	12.96785	77.65865
36	12.96792	77.65868
37	12.96799	77.65871
38	12.96806	77.65872
39	12.96812	77.65874
40	12.96817	77.65876
41	12.96822	77.65878
42	12.96830	77.65880
43	12.96837	77.65881
44	12.96844	77.65882
45	12.96851	77.65882
46	12.96856	77.65882
47	12.96863	77.65884
48	12.96870	77.65884
49	12.96876	77.65885
50	12.96882	77.65885
51	12.96888	77.65886
52	12.96896	77.65888
53	12.96901	77.65889
54	12.96908	77.65892
55	12.96915	77.65893
56	12.96922	77.65894
57	12.96929	77.65896
58	12.96936	77.65899
59	12.96941	77.65900
60	12.96946	77.65901
61	12.96953	77.65903
62	12.96959	77.65908
63	12.96958	77.65914
64	12.96959	77.65920
65	12.96960	77.65929
66	12.96961	77.65936
67	12.96963	77.65942
68	12.96966	77.65949
69	12.96970	77.65955
70	12.96975	77.65961
71	12.96978	77.65968
72	12.96982	77.65975
73	12.96987	77.65983
74	12.96991	77.65988
75	12.96998	77.65989
76	12.97003	77.65987
77	12.97008	77.65985
78	12.97011	77.65991
79	12.97011	77.65997
80	12.97011	77.66004
81	12.97011	77.66012
82	12.97011	77.66019
83	12.97011	77.66028
84	12.97011	77.66036
85	12.97011	77.66042
86	12.97011	77.66051
87	12.97011	77.66058
88	12.97011	77.66063
89	12.97011	77.66070
90	12.97012	77.66076
91	12.97013	77.66084
92	12.97014	77.66090
93	12.97015	77.66097
94	12.97015	77.66105
95	12.97015	77.66114
96	12.97015	77.66121
97	12.97015	77.66127
98	12.97016	77.66132
99	12.97016	77.66139
100	12.97016	77.66146
101	12.97016	77.66154
102	12.97016	77.66162
103	12.97016	77.66168
104	12.97017	77.66174
105	12.97018	77.66180
106	12.97019	77.66188
107	12.97019	77.66195
108	12.97020	77.66201
109	12.97021	77.66207
110	12.97021	77.66215
111	12.97021	77.66222
112	12.97021	77.66227
113	12.97022	77.66233
114	12.97023	77.66239
115	12.97024	77.66245
116	12.97026	77.66251
117	12.97028	77.66258
118	12.97032	77.66265
119	12.97034	77.66270
120	12.97042	77.66275
121	12.97049	77.66272
122	12.97057	77.66269
123	12.97057	77.66277
124	12.97054	77.66282
125	12.97051	77.66288
126	12.97048	77.66293
127	12.97044	77.66299
128	12.97042	77.66305
129	12.97040	77.66311
130	12.97038	77.66317
131	12.97036	77.66323
132	12.97035	77.66330
133	12.97033	77.66338
134	12.97032	77.66344
135	12.97031	77.66352
136	12.97029	77.66357
137	12.97027	77.66364
138	12.97026	77.66369
139	12.97024	77.66377
140	12.97022	77.66383
141	12.97020	77.66389
142	12.97019	77.66395
143	12.97017	77.66401
144	12.97016	77.66409
145	12.97016	77.66414
146	12.97015	77.66421
147	12.97015	77.66427
148	12.97015	77.66432
149	12.97016	77.66439
150	12.97017	77.66445
151	12.97018	77.66453
152	12.97018	77.66460
153	12.97019	77.66468
154	12.97020	77.66474
155	12.97021	77.66482
156	12.97023	77.66488
157	12.97024	77.66494
158	12.97025	77.66500
159	12.97026	77.66506
160	12.97026	77.66512
161	12.97027	77.66517
162	12.97028	77.66523
163	12.97029	77.66530
164	12.97031	77.66535
165	12.97032	77.66541
166	12.97033	77.66547
167	12.97034	77.66553
168	12.97035	77.66558
169	12.97036	77.66564
170	12.97036	77.66571
171	12.97036	77.66577
172	12.97036	77.66586
173	12.97036	77.66592
174	12.97036	77.66599
175	12.97036	77.66607
176	12.97036	77.66614
177	12.97037	77.66622
178	12.97036	77.66630
179	12.97034	77.66637
180	12.97032	77.66645
181	12.97030	77.66652
182	12.97027	77.66661
183	12.97024	77.66669
184	12.97022	77.66677
185	12.97020	77.66684
186	12.97018	77.66690
187	12.97013	77.66697
188	12.97012	77.66704
189	12.97011	77.66710
190	12.97008	77.66716
191	12.97007	77.66725
192	12.97009	77.66731
193	12.97015	77.66734
194	12.97020	77.66739
195	12.97025	77.66744
196	12.97031	77.66749
197	12.97036	77.66753
198	12.97042	77.66757
199	12.97047	77.66762
200	12.97053	77.66766
201	12.97059	77.66770
202	12.97064	77.66772
203	12.97071	77.66773
204	12.97077	77.66774
205	12.97082	77.66774
206	12.97089	77.66774
207	12.97094	77.66774
208	12.97100	77.66775
209	12.97106	77.66776
210	12.97111	77.66780
211	12.97114	77.66785
212	12.97117	77.66792
213	12.97120	77.66797
214	12.97123	77.66803
215	12.97126	77.66808
216	12.97131	77.66811
217	12.97137	77.66811
218	12.97143	77.66809
219	12.97147	77.66804
220	12.97153	77.66799
221	12.97159	77.66794
222	12.97166	77.66789
223	12.97171	77.66788
224	12.97177	77.66788
225	12.97182	77.66788
226	12.97188	77.66789
227	12.97193	77.66790
228	12.97199	77.66791
229	12.97205	77.66792
230	12.97211	77.66792
231	12.97217	77.66792
232	12.97223	77.66792
233	12.97229	77.66793
234	12.97235	77.66795
235	12.97241	77.66797
236	12.97247	77.66799
237	12.97253	77.66801
238	12.97259	77.66803
239	12.97265	77.66805
240	12.97271	77.66807
241	12.97276	77.66807
242	12.97282	77.66808
243	12.97288	77.66808
244	12.97294	77.66807
245	12.97300	77.66806
246	12.97305	77.66802
247	12.97307	77.66797
248	12.97309	77.66791
249	12.97310	77.66785
250	12.97316	77.66780
251	12.97322	77.66776
252	12.97327	77.66775
253	12.97332	77.66775
254	12.97339	77.66775
255	12.97344	77.66775
256	12.97350	77.66774
257	12.97356	77.66774
258	12.97362	77.66773
259	12.97368	77.66772
260	12.97374	77.66772
261	12.97380	77.66771
262	12.97386	77.66770
263	12.97392	77.66770
264	12.97398	77.66768
265	12.97401	77.66774
266	12.97403	77.66780
267	12.97405	77.66786
268	12.97409	77.66792
269	12.97411	77.66798
270	12.97414	77.66804
271	12.97415	77.66810
272	12.97415	77.66816
273	12.97416	77.66822
274	12.97416	77.66828
275	12.97416	77.66834
276	12.97416	77.66840
277	12.97415	77.66846
278	12.97415	77.66852
279	12.97414	77.66857
280	12.97413	77.66863
281	12.97413	77.66868
282	12.97412	77.66873
283	12.97411	77.66879
284	12.97411	77.66886
285	12.97411	77.66892
286	12.97411	77.66897
287	12.97411	77.66902
288	12.97410	77.66908
289	12.97410	77.66914
290	12.97409	77.66920
291	12.97409	77.66925
292	12.97408	77.66930
293	12.97407	77.66937
294	12.97406	77.66942
295	12.97406	77.66948
296	12.97406	77.66953
297	12.97405	77.66959
298	12.97404	77.66964
299	12.97403	77.66970
300	12.97402	77.66977
301	12.97401	77.66983
302	12.97400	77.66988
303	12.97398	77.66994
304	12.97396	77.66999
305	12.97395	77.67005
306	12.97394	77.67011
307	12.97393	77.67017
308	12.97391	77.67023
309	12.97395	77.67028
310	12.97401	77.67030
311	12.97408	77.67032
312	12.97415	77.67035
313	12.97421	77.67037
314	12.97427	77.67039
315	12.97433	77.67041
316	12.97439	77.67044
317	12.97446	77.67047
318	12.97452	77.67050
319	12.97458	77.67053
320	12.97465	77.67055
321	12.97470	77.67056
322	12.97476	77.67058
323	12.97482	77.67060
324	12.97491	77.67063
325	12.97498	77.67065
326	12.97506	77.67068
327	12.97511	77.67070
328	12.97517	77.67071
329	12.97522	77.67074
330	12.97528	77.67077
331	12.97535	77.67080
332	12.97541	77.67084
333	12.97547	77.67085
334	12.97554	77.67087
335	12.97560	77.67089
336	12.97567	77.67092
337	12.97572	77.67094
338	12.97578	77.67096
339	12.97583	77.67100
340	12.97589	77.67103
341	12.97595	77.67106
342	12.97601	77.67109
343	12.97608	77.67112
344	12.97613	77.67115
