Rank	Latitude	Longitude
1	13.00258	77.63739
2	13.00251	77.63732
3	13.00246	77.63729
4	13.00239	77.63722
5	13.00234	77.63715
6	13.00229	77.63709
7	13.00225	77.63703
8	13.00221	77.63698
9	13.00216	77.63692
10	13.00211	77.63686
11	13.00204	77.63679
12	13.00199	77.63673
13	13.00193	77.63666
14	13.00188	77.63661
15	13.00184	77.63655
16	13.00179	77.63648
17	13.00174	77.63642
18	13.00171	77.63637
19	13.00164	77.63629
20	13.00158	77.63622
21	13.00154	77.63616
22	13.00148	77.63610
23	13.00143	77.63603
24	13.00139	77.63598
25	13.00135	77.63592
26	13.00132	77.63586
27	13.00127	77.63580
28	13.00123	77.63574
29	13.00120	77.63568
30	13.00117	77.63562
31	13.00113	77.63555
32	13.00110	77.63548
33	13.00106	77.63541
34	13.00102	77.63535
35	13.00099	77.63529
36	13.00096	77.63523
37	13.00093	77.63515
38	13.00092	77.63509
39	13.00089	77.63502
40	13.00087	77.63495
41	13.00085	77.63489
42	13.00084	77.63484
43	13.00082	77.63478
44	13.00081	77.63472
45	13.00079	77.63465
46	13.00077	77.63459
47	13.00075	77.63452
48	13.00073	77.63447
49	13.00071	77.63441
50	13.00070	77.63435
51	13.00068	77.63429
52	13.00067	77.63423
53	13.00065	77.63415
54	13.00063	77.63407
55	13.00061	77.63400
56	13.00059	77.63394
57	13.00058	77.63386
58	13.00056	77.63380
59	13.00053	77.63372
60	13.00052	77.63364
61	13.00050	77.63359
62	13.00049	77.63352
63	13.00047	77.63345
64	13.00046	77.63338
65	13.00044	77.63331
66	13.00042	77.63325
67	13.00041	77.63317
68	13.00041	77.63312
69	13.00040	77.63305
70	13.00039	77.63298
71	13.00039	77.63292
72	13.00038	77.63287
73	13.00037	77.63280
74	13.00036	77.63273
75	13.00035	77.63267
76	13.00034	77.63260
77	13.00033	77.63254
78	13.00032	77.63247
79	13.00031	77.63242
80	13.00030	77.63236
81	13.00028	77.63229
82	13.00027	77.63223
83	13.00026	77.63217
84	13.00024	77.63210
85	13.00023	77.63204
86	13.00023	77.63198
87	13.00022	77.63191
88	13.00021	77.63185
89	13.00020	77.63179
90	13.00020	77.63174
91	13.00019	77.63167
92	13.00018	77.63162
93	13.00018	77.63155
94	13.00026	77.63153
95	13.00031	77.63152
96	13.00038	77.63150
97	13.00043	77.63149
98	13.00049	77.63148
99	13.00057	77.63147
100	13.00062	77.63145
101	13.00069	77.63144
102	13.00074	77.63143
103	13.00080	77.63142
104	13.00085	77.63141
105	13.00091	77.63140
106	13.00097	77.63140
107	13.00103	77.63138
108	13.00109	77.63137
109	13.00115	77.63137
110	13.00120	77.63136
111	13.00128	77.63135
112	13.00133	77.63134
113	13.00140	77.63134
114	13.00146	77.63134
115	13.00151	77.63133
116	13.00156	77.63133
