Rank	Latitude	Longitude
1	12.99925	77.60881
2	12.99918	77.60875
3	12.99911	77.60869
4	12.99906	77.60866
5	12.99903	77.60860
6	12.99907	77.60853
7	12.99910	77.60846
8	12.99912	77.60839
9	12.99915	77.60833
10	12.99916	77.60828
11	12.99917	77.60822
12	12.99919	77.60817
13	12.99921	77.60812
14	12.99922	77.60806
15	12.99924	77.60801
16	12.99927	77.60793
17	12.99928	77.60787
18	12.99930	77.60780
19	12.99931	77.60775
20	12.99934	77.60767
21	12.99936	77.60761
22	12.99938	77.60755
23	12.99939	77.60749
24	12.99941	77.60743
25	12.99942	77.60738
26	12.99944	77.60730
27	12.99946	77.60725
28	12.99947	77.60719
29	12.99949	77.60713
30	12.99951	77.60707
31	12.99953	77.60701
32	12.99954	77.60695
33	12.99956	77.60689
34	12.99958	77.60682
35	12.99959	77.60676
36	12.99952	77.60675
37	12.99946	77.60674
38	12.99939	77.60672
39	12.99933	77.60671
40	12.99927	77.60669
41	12.99918	77.60667
42	12.99911	77.60666
43	12.99902	77.60666
44	12.99895	77.60665
45	12.99888	77.60665
46	12.99881	77.60664
47	12.99874	77.60664
48	12.99866	77.60662
49	12.99860	77.60661
50	12.99855	77.60661
51	12.99849	77.60659
52	12.99840	77.60657
53	12.99835	77.60655
54	12.99829	77.60654
55	12.99823	77.60653
56	12.99818	77.60652
57	12.99813	77.60651
58	12.99805	77.60650
59	12.99799	77.60648
60	12.99792	77.60646
61	12.99786	77.60643
62	12.99783	77.60638
63	12.99781	77.60631
64	12.99780	77.60625
65	12.99779	77.60618
66	12.99779	77.60612
67	12.99780	77.60604
68	12.99780	77.60598
69	12.99781	77.60592
70	12.99781	77.60586
71	12.99781	77.60579
72	12.99781	77.60572
73	12.99781	77.60565
74	12.99781	77.60559
75	12.99782	77.60554
76	12.99783	77.60548
77	12.99784	77.60542
78	12.99784	77.60535
79	12.99784	77.60528
80	12.99785	77.60521
81	12.99785	77.60514
82	12.99784	77.60507
83	12.99787	77.60501
84	12.99795	77.60497
85	12.99801	77.60493
86	12.99808	77.60490
87	12.99814	77.60487
88	12.99821	77.60484
89	12.99829	77.60482
90	12.99834	77.60480
91	12.99839	77.60478
92	12.99846	77.60476
93	12.99852	77.60474
