Rank	Latitude	Longitude
1	12.99762	77.60973
2	12.99764	77.60968
3	12.99768	77.60962
4	12.99771	77.60954
5	12.99774	77.60946
6	12.99775	77.60941
7	12.99777	77.60935
8	12.99779	77.60927
9	12.99781	77.60922
10	12.99783	77.60917
11	12.99784	77.60911
12	12.99787	77.60904
13	12.99788	77.60898
14	12.99790	77.60891
15	12.99792	77.60885
16	12.99794	77.60877
17	12.99796	77.60871
18	12.99798	77.60865
19	12.99799	77.60859
20	12.99801	77.60854
21	12.99803	77.60848
22	12.99805	77.60840
23	12.99806	77.60835
24	12.99807	77.60830
25	12.99809	77.60823
26	12.99811	77.60817
27	12.99813	77.60811
28	12.99814	77.60805
29	12.99816	77.60800
30	12.99818	77.60792
31	12.99819	77.60787
32	12.99812	77.60785
33	12.99806	77.60785
34	12.99799	77.60782
35	12.99794	77.60781
36	12.99787	77.60779
37	12.99778	77.60778
38	12.99771	77.60776
39	12.99763	77.60776
40	12.99755	77.60775
41	12.99748	77.60775
42	12.99741	77.60774
43	12.99734	77.60774
44	12.99726	77.60773
45	12.99720	77.60772
46	12.99715	77.60771
47	12.99709	77.60770
48	12.99700	77.60767
49	12.99695	77.60766
50	12.99689	77.60765
51	12.99684	77.60764
52	12.99678	77.60763
53	12.99673	77.60761
54	12.99665	77.60760
55	12.99659	77.60758
56	12.99653	77.60756
57	12.99646	77.60753
58	12.99643	77.60748
59	12.99641	77.60742
60	12.99641	77.60735
61	12.99639	77.60729
62	12.99639	77.60722
63	12.99640	77.60714
64	12.99641	77.60708
65	12.99641	77.60702
66	12.99641	77.60696
67	12.99641	77.60690
68	12.99641	77.60682
69	12.99642	77.60675
70	12.99642	77.60670
71	12.99643	77.60664
72	12.99643	77.60658
73	12.99644	77.60652
74	12.99644	77.60646
75	12.99644	77.60638
76	12.99645	77.60632
77	12.99645	77.60625
78	12.99644	77.60618
79	12.99647	77.60611
80	12.99655	77.60607
81	12.99662	77.60604
82	12.99668	77.60600
83	12.99674	77.60597
84	12.99681	77.60595
85	12.99689	77.60592
86	12.99694	77.60590
87	12.99699	77.60589
88	12.99706	77.60586
89	12.99712	77.60584
90	12.99717	77.60583
91	12.99723	77.60580
92	12.99725	77.60574
93	12.99729	77.60568
94	12.99733	77.60560
95	12.99736	77.60553
96	12.99739	77.60545
97	12.99741	77.60538
98	12.99744	77.60530
99	12.99746	77.60524
100	12.99747	77.60518
101	12.99749	77.60513
102	12.99752	77.60506
103	12.99756	77.60499
104	12.99760	77.60492
105	12.99762	77.60486
106	12.99766	77.60480
107	12.99769	77.60472
108	12.99772	77.60467
109	12.99774	77.60462
110	12.99776	77.60456
111	12.99777	77.60450
112	12.99779	77.60445
113	12.99782	77.60439
114	12.99786	77.60431
115	12.99787	77.60425
116	12.99789	77.60420
117	12.99790	77.60414
118	12.99793	77.60407
119	12.99795	77.60399
120	12.99797	77.60394
121	12.99801	77.60387
122	12.99803	77.60382
123	12.99806	77.60376
124	12.99809	77.60371
125	12.99813	77.60364
126	12.99816	77.60359
127	12.99820	77.60352
128	12.99824	77.60346
129	12.99826	77.60340
130	12.99829	77.60334
131	12.99831	77.60328
132	12.99834	77.60321
133	12.99837	77.60313
134	12.99840	77.60308
135	12.99846	77.60303
136	12.99852	77.60302
137	12.99857	77.60300
138	12.99863	77.60297
139	12.99871	77.60294
140	12.99879	77.60290
141	12.99887	77.60285
142	12.99893	77.60283
143	12.99899	77.60281
144	12.99904	77.60280
145	12.99910	77.60278
146	12.99915	77.60275
147	12.99917	77.60269
148	12.99925	77.60266
149	12.99931	77.60266
150	12.99937	77.60265
151	12.99944	77.60264
152	12.99950	77.60263
153	12.99956	77.60262
154	12.99962	77.60261
155	12.99968	77.60261
156	12.99974	77.60259
157	12.99981	77.60259
158	12.99986	77.60259
159	12.99993	77.60259
160	12.99999	77.60258
161	13.00004	77.60257
162	13.00009	77.60252
163	13.00011	77.60244
164	13.00011	77.60238
165	13.00011	77.60231
166	13.00012	77.60225
167	13.00012	77.60219
168	13.00012	77.60212
169	13.00011	77.60204
170	13.00011	77.60197
171	13.00010	77.60191
172	13.00009	77.60185
173	13.00007	77.60179
174	13.00005	77.60174
175	13.00003	77.60166
176	13.00001	77.60158
177	12.99998	77.60152
178	12.99997	77.60144
179	12.99995	77.60138
180	12.99993	77.60132
181	12.99993	77.60126
182	12.99992	77.60119
183	12.99991	77.60112
184	12.99990	77.60105
185	12.99989	77.60099
186	12.99987	77.60091
187	12.99987	77.60084
188	12.99986	77.60078
189	12.99984	77.60071
190	12.99984	77.60065
191	12.99984	77.60059
192	12.99991	77.60055
193	12.99997	77.60051
194	13.00003	77.60046
195	13.00009	77.60041
196	13.00014	77.60036
197	13.00021	77.60030
198	13.00026	77.60025
199	13.00033	77.60020
200	13.00039	77.60014
201	13.00044	77.60008
202	13.00047	77.60001
203	13.00051	77.59994
204	13.00054	77.59988
205	13.00058	77.59981
206	13.00061	77.59975
207	13.00064	77.59969
208	13.00068	77.59963
209	13.00073	77.59957
210	13.00078	77.59951
211	13.00083	77.59944
212	13.00087	77.59938
213	13.00092	77.59933
214	13.00097	77.59927
215	13.00101	77.59920
216	13.00105	77.59915
217	13.00110	77.59908
218	13.00113	77.59901
219	13.00117	77.59894
220	13.00121	77.59887
221	13.00124	77.59879
222	13.00127	77.59874
223	13.00130	77.59867
224	13.00133	77.59862
225	13.00137	77.59855
226	13.00141	77.59847
227	13.00144	77.59839
228	13.00147	77.59832
229	13.00150	77.59825
230	13.00153	77.59818
231	13.00155	77.59812
232	13.00159	77.59805
233	13.00162	77.59799
234	13.00166	77.59793
235	13.00171	77.59786
236	13.00176	77.59780
237	13.00180	77.59773
238	13.00184	77.59766
239	13.00187	77.59758
240	13.00192	77.59750
241	13.00195	77.59743
242	13.00198	77.59736
243	13.00201	77.59730
244	13.00204	77.59725
245	13.00208	77.59718
246	13.00212	77.59712
247	13.00215	77.59707
248	13.00219	77.59700
249	13.00221	77.59694
250	13.00226	77.59688
251	13.00231	77.59681
252	13.00235	77.59675
253	13.00239	77.59669
254	13.00245	77.59662
255	13.00251	77.59656
256	13.00257	77.59651
257	13.00263	77.59645
258	13.00269	77.59640
259	13.00275	77.59634
260	13.00280	77.59628
261	13.00286	77.59623
262	13.00287	77.59618
263	13.00290	77.59610
264	13.00293	77.59605
265	13.00298	77.59598
266	13.00303	77.59592
267	13.00310	77.59587
268	13.00315	77.59581
269	13.00320	77.59575
270	13.00325	77.59567
271	13.00330	77.59561
272	13.00335	77.59554
273	13.00339	77.59547
274	13.00344	77.59540
275	13.00347	77.59533
276	13.00353	77.59527
277	13.00358	77.59520
278	13.00364	77.59512
279	13.00369	77.59506
280	13.00374	77.59500
281	13.00380	77.59495
282	13.00385	77.59489
283	13.00390	77.59483
284	13.00395	77.59477
285	13.00399	77.59471
286	13.00404	77.59465
287	13.00408	77.59459
288	13.00413	77.59452
289	13.00418	77.59445
290	13.00421	77.59440
291	13.00425	77.59434
292	13.00420	77.59432
293	13.00413	77.59433
294	13.00408	77.59435
295	13.00401	77.59437
296	13.00395	77.59439
297	13.00390	77.59440
298	13.00382	77.59443
299	13.00375	77.59444
300	13.00370	77.59446
301	13.00362	77.59449
