Rank	Latitude	Longitude
1	12.97126	77.64224
2	12.97132	77.64223
3	12.97140	77.64221
4	12.97148	77.64220
5	12.97156	77.64219
6	12.97162	77.64219
7	12.97168	77.64219
8	12.97174	77.64219
9	12.97180	77.64219
10	12.97185	77.64219
11	12.97192	77.64219
12	12.97199	77.64220
13	12.97204	77.64221
14	12.97210	77.64222
15	12.97216	77.64222
16	12.97222	77.64222
17	12.97229	77.64222
18	12.97235	77.64222
19	12.97241	77.64221
20	12.97247	77.64221
21	12.97253	77.64221
22	12.97258	77.64221
23	12.97264	77.64221
24	12.97271	77.64221
25	12.97277	77.64221
26	12.97284	77.64221
27	12.97289	77.64221
28	12.97297	77.64221
29	12.97304	77.64221
30	12.97309	77.64220
31	12.97315	77.64220
32	12.97320	77.64220
33	12.97327	77.64219
34	12.97333	77.64219
35	12.97341	77.64218
36	12.97347	77.64217
37	12.97353	77.64216
38	12.97360	77.64215
39	12.97368	77.64215
40	12.97374	77.64215
41	12.97379	77.64215
42	12.97387	77.64215
43	12.97393	77.64215
44	12.97400	77.64215
45	12.97406	77.64214
46	12.97411	77.64213
47	12.97416	77.64213
48	12.97422	77.64213
49	12.97429	77.64213
50	12.97435	77.64212
51	12.97441	77.64211
52	12.97446	77.64211
53	12.97456	77.64209
54	12.97465	77.64209
55	12.97468	77.64201
56	12.97468	77.64194
57	12.97468	77.64189
58	12.97469	77.64181
59	12.97469	77.64174
60	12.97469	77.64165
61	12.97469	77.64158
62	12.97469	77.64151
63	12.97468	77.64144
64	12.97468	77.64137
65	12.97468	77.64130
66	12.97468	77.64122
67	12.97468	77.64114
68	12.97468	77.64105
69	12.97468	77.64099
70	12.97467	77.64094
71	12.97467	77.64086
72	12.97466	77.64079
73	12.97464	77.64073
74	12.97463	77.64065
75	12.97462	77.64058
76	12.97462	77.64051
77	12.97462	77.64044
78	12.97462	77.64037
79	12.97462	77.64028
80	12.97462	77.64021
81	12.97462	77.64013
82	12.97463	77.64008
83	12.97463	77.64001
84	12.97463	77.63993
85	12.97463	77.63986
86	12.97463	77.63979
87	12.97463	77.63973
88	12.97463	77.63965
89	12.97463	77.63958
90	12.97462	77.63951
91	12.97462	77.63945
92	12.97462	77.63939
93	12.97461	77.63932
94	12.97460	77.63926
95	12.97460	77.63918
96	12.97460	77.63911
97	12.97460	77.63904
98	12.97460	77.63896
99	12.97460	77.63890
100	12.97460	77.63883
101	12.97460	77.63874
102	12.97460	77.63867
103	12.97460	77.63860
104	12.97460	77.63852
105	12.97460	77.63846
106	12.97459	77.63839
107	12.97459	77.63832
108	12.97459	77.63825
109	12.97459	77.63819
110	12.97459	77.63813
111	12.97459	77.63806
112	12.97459	77.63800
113	12.97458	77.63792
114	12.97457	77.63786
115	12.97457	77.63779
116	12.97457	77.63772
117	12.97458	77.63766
118	12.97458	77.63759
119	12.97458	77.63751
120	12.97458	77.63744
121	12.97458	77.63737
122	12.97458	77.63730
123	12.97458	77.63722
124	12.97458	77.63715
125	12.97459	77.63709
126	12.97459	77.63701
127	12.97459	77.63694
128	12.97459	77.63688
129	12.97460	77.63682
130	12.97454	77.63678
131	12.97448	77.63677
132	12.97442	77.63677
133	12.97434	77.63676
134	12.97428	77.63675
135	12.97420	77.63674
136	12.97415	77.63672
137	12.97409	77.63671
138	12.97403	77.63671
139	12.97402	77.63664
140	12.97404	77.63658
141	12.97406	77.63652
142	12.97408	77.63646
143	12.97408	77.63641
144	12.97408	77.63634
145	12.97408	77.63628
146	12.97409	77.63622
147	12.97410	77.63616
148	12.97412	77.63609
149	12.97413	77.63602
150	12.97414	77.63595
151	12.97416	77.63588
152	12.97417	77.63581
153	12.97418	77.63574
154	12.97420	77.63567
155	12.97421	77.63562
156	12.97423	77.63555
157	12.97423	77.63550
158	12.97424	77.63542
159	12.97425	77.63535
160	12.97426	77.63529
161	12.97428	77.63523
162	12.97429	77.63516
163	12.97431	77.63511
164	12.97433	77.63504
165	12.97435	77.63497
166	12.97437	77.63491
167	12.97439	77.63484
168	12.97440	77.63477
169	12.97443	77.63471
170	12.97445	77.63466
171	12.97447	77.63459
172	12.97448	77.63453
173	12.97443	77.63452
174	12.97437	77.63453
175	12.97431	77.63454
176	12.97425	77.63454
177	12.97417	77.63456
178	12.97411	77.63457
179	12.97405	77.63458
180	12.97399	77.63459
181	12.97393	77.63459
182	12.97388	77.63461
183	12.97382	77.63461
184	12.97376	77.63462
185	12.97370	77.63463
186	12.97363	77.63465
187	12.97356	77.63465
188	12.97349	77.63462
189	12.97342	77.63458
190	12.97337	77.63457
191	12.97331	77.63454
192	12.97325	77.63451
193	12.97319	77.63447
194	12.97313	77.63444
195	12.97307	77.63441
196	12.97302	77.63438
197	12.97295	77.63434
198	12.97290	77.63432
199	12.97285	77.63429
200	12.97278	77.63425
201	12.97272	77.63422
202	12.97264	77.63418
203	12.97259	77.63415
204	12.97253	77.63411
205	12.97247	77.63406
206	12.97252	77.63405
207	12.97258	77.63404
208	12.97264	77.63403
209	12.97271	77.63401
210	12.97277	77.63399
211	12.97282	77.63398
212	12.97288	77.63396
213	12.97295	77.63394
214	12.97302	77.63392
215	12.97310	77.63390
216	12.97317	77.63388
217	12.97322	77.63386
218	12.97328	77.63385
219	12.97334	77.63384
220	12.97339	77.63382
