Rank	Latitude	Longitude
1	12.98319	77.60277
2	12.98318	77.60282
3	12.98316	77.60287
4	12.98316	77.60293
5	12.98314	77.60298
6	12.98313	77.60303
7	12.98310	77.60310
8	12.98308	77.60315
9	12.98306	77.60322
10	12.98304	77.60330
11	12.98302	77.60336
12	12.98301	77.60341
13	12.98299	77.60348
14	12.98295	77.60357
15	12.98294	77.60362
16	12.98292	77.60367
17	12.98290	77.60374
18	12.98288	77.60380
19	12.98286	77.60385
20	12.98284	77.60393
21	12.98282	77.60398
22	12.98281	77.60406
23	12.98280	77.60412
24	12.98278	77.60419
25	12.98276	77.60424
26	12.98274	77.60431
27	12.98271	77.60438
28	12.98267	77.60445
29	12.98267	77.60450
30	12.98267	77.60457
31	12.98269	77.60463
32	12.98272	77.60469
33	12.98272	77.60477
34	12.98272	77.60483
35	12.98272	77.60490
36	12.98272	77.60496
37	12.98272	77.60502
38	12.98273	77.60509
39	12.98273	77.60515
40	12.98274	77.60521
41	12.98275	77.60527
42	12.98275	77.60532
43	12.98275	77.60537
44	12.98275	77.60544
45	12.98275	77.60551
46	12.98275	77.60558
47	12.98275	77.60564
48	12.98275	77.60570
49	12.98274	77.60575
50	12.98273	77.60581
51	12.98273	77.60588
52	12.98272	77.60594
53	12.98271	77.60602
54	12.98270	77.60608
55	12.98269	77.60616
56	12.98268	77.60623
57	12.98267	77.60629
58	12.98266	77.60634
59	12.98265	77.60641
60	12.98263	77.60649
61	12.98262	77.60654
62	12.98260	77.60660
63	12.98259	77.60665
64	12.98257	77.60673
65	12.98255	77.60678
66	12.98255	77.60684
67	12.98254	77.60692
68	12.98253	77.60698
69	12.98251	77.60704
70	12.98251	77.60710
71	12.98250	77.60715
72	12.98250	77.60722
73	12.98246	77.60732
74	12.98245	77.60737
75	12.98244	77.60742
76	12.98240	77.60751
77	12.98238	77.60756
78	12.98237	77.60762
79	12.98235	77.60768
80	12.98234	77.60773
81	12.98239	77.60780
82	12.98244	77.60783
83	12.98251	77.60785
84	12.98256	77.60788
85	12.98262	77.60792
86	12.98270	77.60793
87	12.98276	77.60795
88	12.98281	77.60798
89	12.98279	77.60803
90	12.98279	77.60810
91	12.98278	77.60815
92	12.98277	77.60822
93	12.98276	77.60827
94	12.98275	77.60838
95	12.98275	77.60844
96	12.98272	77.60852
97	12.98271	77.60859
98	12.98269	77.60864
99	12.98268	77.60869
100	12.98266	77.60875
101	12.98265	77.60881
102	12.98264	77.60886
103	12.98262	77.60891
104	12.98261	77.60897
105	12.98257	77.60906
106	12.98253	77.60913
107	12.98250	77.60921
108	12.98248	77.60928
109	12.98246	77.60935
110	12.98244	77.60941
111	12.98241	77.60947
112	12.98237	77.60954
113	12.98236	77.60960
114	12.98234	77.60967
115	12.98232	77.60974
116	12.98230	77.60982
117	12.98228	77.60987
118	12.98225	77.60994
119	12.98223	77.60999
120	12.98221	77.61005
121	12.98220	77.61011
122	12.98217	77.61018
123	12.98216	77.61023
124	12.98214	77.61029
125	12.98212	77.61036
126	12.98209	77.61043
127	12.98207	77.61048
128	12.98203	77.61055
129	12.98200	77.61061
130	12.98197	77.61067
131	12.98194	77.61074
132	12.98192	77.61080
133	12.98191	77.61085
134	12.98189	77.61090
135	12.98187	77.61096
136	12.98186	77.61103
137	12.98184	77.61108
138	12.98182	77.61115
139	12.98179	77.61122
140	12.98176	77.61129
141	12.98175	77.61136
142	12.98173	77.61142
143	12.98170	77.61149
144	12.98168	77.61157
145	12.98165	77.61162
146	12.98164	77.61169
147	12.98163	77.61175
148	12.98169	77.61177
149	12.98175	77.61180
150	12.98181	77.61182
151	12.98187	77.61185
152	12.98194	77.61188
153	12.98200	77.61191
154	12.98206	77.61196
155	12.98212	77.61201
156	12.98219	77.61207
157	12.98225	77.61212
158	12.98222	77.61219
159	12.98219	77.61226
160	12.98216	77.61233
161	12.98214	77.61241
162	12.98213	77.61246
163	12.98210	77.61252
164	12.98206	77.61259
165	12.98203	77.61266
166	12.98202	77.61272
167	12.98199	77.61279
168	12.98196	77.61285
169	12.98192	77.61292
170	12.98189	77.61298
171	12.98187	77.61304
172	12.98185	77.61312
173	12.98183	77.61317
174	12.98181	77.61324
175	12.98178	77.61332
176	12.98176	77.61339
177	12.98173	77.61346
178	12.98168	77.61351
