Rank	Latitude	Longitude
1	12.99135	77.61079
2	12.99141	77.61073
3	12.99144	77.61068
4	12.99148	77.61062
5	12.99154	77.61055
6	12.99157	77.61050
7	12.99160	77.61044
8	12.99164	77.61038
9	12.99167	77.61032
10	12.99170	77.61026
11	12.99175	77.61018
12	12.99181	77.61011
13	12.99185	77.61006
14	12.99190	77.60998
15	12.99194	77.60993
16	12.99197	77.60987
17	12.99199	77.60981
18	12.99203	77.60974
19	12.99204	77.60968
20	12.99205	77.60962
21	12.99205	77.60955
22	12.99206	77.60948
23	12.99206	77.60942
24	12.99207	77.60935
25	12.99208	77.60928
26	12.99208	77.60921
27	12.99208	77.60913
28	12.99208	77.60904
29	12.99208	77.60897
30	12.99209	77.60890
31	12.99209	77.60884
32	12.99210	77.60877
33	12.99212	77.60869
34	12.99212	77.60864
35	12.99213	77.60856
36	12.99215	77.60849
37	12.99215	77.60842
38	12.99214	77.60836
39	12.99207	77.60835
40	12.99202	77.60834
41	12.99195	77.60834
42	12.99189	77.60833
43	12.99184	77.60833
44	12.99176	77.60833
45	12.99169	77.60832
46	12.99163	77.60832
47	12.99157	77.60831
48	12.99150	77.60831
49	12.99145	77.60830
50	12.99138	77.60829
51	12.99132	77.60828
52	12.99125	77.60828
53	12.99119	77.60828
54	12.99110	77.60828
55	12.99103	77.60828
56	12.99095	77.60828
57	12.99089	77.60828
58	12.99083	77.60828
59	12.99078	77.60828
60	12.99072	77.60827
61	12.99066	77.60827
62	12.99059	77.60827
63	12.99052	77.60826
64	12.99045	77.60826
65	12.99039	77.60826
66	12.99033	77.60826
67	12.99026	77.60826
68	12.99021	77.60825
69	12.99013	77.60824
70	12.99008	77.60824
71	12.99002	77.60824
72	12.98995	77.60824
73	12.98989	77.60824
74	12.98983	77.60824
75	12.98976	77.60824
76	12.98970	77.60824
77	12.98964	77.60824
78	12.98957	77.60824
79	12.98951	77.60824
80	12.98945	77.60824
81	12.98940	77.60823
82	12.98934	77.60822
83	12.98928	77.60822
84	12.98923	77.60820
85	12.98917	77.60820
86	12.98911	77.60820
87	12.98905	77.60820
88	12.98898	77.60820
89	12.98897	77.60813
90	12.98895	77.60808
91	12.98894	77.60801
92	12.98893	77.60795
93	12.98890	77.60788
94	12.98887	77.60782
95	12.98885	77.60775
96	12.98884	77.60769
97	12.98883	77.60763
98	12.98881	77.60756
99	12.98880	77.60751
100	12.98878	77.60744
101	12.98878	77.60737
102	12.98879	77.60729
103	12.98879	77.60721
104	12.98878	77.60714
105	12.98878	77.60708
106	12.98877	77.60702
107	12.98876	77.60696
108	12.98876	77.60690
109	12.98877	77.60683
110	12.98877	77.60676
111	12.98878	77.60670
112	12.98878	77.60664
113	12.98878	77.60658
114	12.98880	77.60651
115	12.98881	77.60644
116	12.98882	77.60639
117	12.98881	77.60633
118	12.98880	77.60626
119	12.98879	77.60620
120	12.98879	77.60614
121	12.98879	77.60607
122	12.98879	77.60601
123	12.98878	77.60595
124	12.98877	77.60588
125	12.98876	77.60583
126	12.98876	77.60578
127	12.98875	77.60572
128	12.98873	77.60565
129	12.98873	77.60559
130	12.98873	77.60552
131	12.98873	77.60545
132	12.98873	77.60539
133	12.98872	77.60532
134	12.98871	77.60526
135	12.98871	77.60518
136	12.98871	77.60513
137	12.98870	77.60506
138	12.98870	77.60498
139	12.98868	77.60491
140	12.98867	77.60484
141	12.98866	77.60477
142	12.98865	77.60471
143	12.98864	77.60464
144	12.98863	77.60456
145	12.98863	77.60448
146	12.98863	77.60442
147	12.98862	77.60435
148	12.98861	77.60429
149	12.98860	77.60423
150	12.98859	77.60416
151	12.98858	77.60410
152	12.98857	77.60403
153	12.98856	77.60397
154	12.98848	77.60395
155	12.98840	77.60395
156	12.98833	77.60393
157	12.98827	77.60391
158	12.98820	77.60390
159	12.98815	77.60392
160	12.98813	77.60399
161	12.98811	77.60405
162	12.98810	77.60412
163	12.98809	77.60418
164	12.98808	77.60425
165	12.98801	77.60429
166	12.98792	77.60429
167	12.98785	77.60431
168	12.98776	77.60431
169	12.98768	77.60431
170	12.98760	77.60431
171	12.98754	77.60432
172	12.98746	77.60432
173	12.98739	77.60431
174	12.98732	77.60431
175	12.98723	77.60431
176	12.98717	77.60429
177	12.98710	77.60428
178	12.98703	77.60427
179	12.98695	77.60421
180	12.98688	77.60413
181	12.98687	77.60407
182	12.98693	77.60403
183	12.98700	77.60398
184	12.98706	77.60392
185	12.98712	77.60387
186	12.98717	77.60382
187	12.98724	77.60376
188	12.98730	77.60369
189	12.98734	77.60364
190	12.98739	77.60358
191	12.98745	77.60353
192	12.98751	77.60348
193	12.98756	77.60343
194	12.98762	77.60338
195	12.98767	77.60333
196	12.98773	77.60328
197	12.98765	77.60324
198	12.98759	77.60324
199	12.98752	77.60323
200	12.98744	77.60321
201	12.98738	77.60321
202	12.98732	77.60320
203	12.98726	77.60319
204	12.98720	77.60319
205	12.98714	77.60319
206	12.98707	77.60319
207	12.98701	77.60319
208	12.98695	77.60319
209	12.98688	77.60317
210	12.98682	77.60315
211	12.98677	77.60314
212	12.98671	77.60314
213	12.98666	77.60313
214	12.98659	77.60313
215	12.98652	77.60311
216	12.98645	77.60311
217	12.98639	77.60310
218	12.98632	77.60309
219	12.98625	77.60307
220	12.98617	77.60307
221	12.98609	77.60306
222	12.98603	77.60306
223	12.98597	77.60305
224	12.98589	77.60304
225	12.98583	77.60304
226	12.98574	77.60304
227	12.98566	77.60304
228	12.98558	77.60303
229	12.98550	77.60302
230	12.98545	77.60301
231	12.98536	77.60301
232	12.98530	77.60300
233	12.98524	77.60299
234	12.98516	77.60298
235	12.98510	77.60298
236	12.98504	77.60297
237	12.98496	77.60296
238	12.98490	77.60295
239	12.98482	77.60295
240	12.98473	77.60295
241	12.98464	77.60295
242	12.98457	77.60294
243	12.98450	77.60294
244	12.98444	77.60293
245	12.98436	77.60292
246	12.98430	77.60292
247	12.98424	77.60291
248	12.98418	77.60291
249	12.98412	77.60291
250	12.98405	77.60291
251	12.98399	77.60291
252	12.98393	77.60290
253	12.98387	77.60290
254	12.98382	77.60289
255	12.98375	77.60289
256	12.98369	77.60289
257	12.98361	77.60288
258	12.98355	77.60288
259	12.98350	77.60287
260	12.98344	77.60287
261	12.98336	77.60285
262	12.98331	77.60283
263	12.98325	77.60281
264	12.98330	77.60290
265	12.98333	77.60295
266	12.98336	77.60302
267	12.98338	77.60308
268	12.98340	77.60316
269	12.98342	77.60324
270	12.98344	77.60331
271	12.98346	77.60336
272	12.98348	77.60342
273	12.98349	77.60348
274	12.98351	77.60353
275	12.98352	77.60359
276	12.98354	77.60365
277	12.98356	77.60371
278	12.98358	77.60378
279	12.98359	77.60384
280	12.98360	77.60390
281	12.98361	77.60397
282	12.98362	77.60402
283	12.98362	77.60407
284	12.98363	77.60414
285	12.98365	77.60419
286	12.98365	77.60427
287	12.98366	77.60433
288	12.98367	77.60440
289	12.98369	77.60447
290	12.98370	77.60454
291	12.98372	77.60461
292	12.98373	77.60467
293	12.98375	77.60474
294	12.98377	77.60481
295	12.98378	77.60488
296	12.98379	77.60495
297	12.98381	77.60500
298	12.98383	77.60508
299	12.98385	77.60514
300	12.98386	77.60520
301	12.98388	77.60527
302	12.98390	77.60533
303	12.98392	77.60539
304	12.98393	77.60546
305	12.98395	77.60551
306	12.98397	77.60557
307	12.98400	77.60563
308	12.98402	77.60569
309	12.98403	77.60575
310	12.98405	77.60582
311	12.98406	77.60589
312	12.98406	77.60595
313	12.98408	77.60600
314	12.98409	77.60606
315	12.98410	77.60612
316	12.98411	77.60619
317	12.98412	77.60625
318	12.98413	77.60632
319	12.98413	77.60638
320	12.98413	77.60645
321	12.98415	77.60652
322	12.98416	77.60657
323	12.98418	77.60663
324	12.98423	77.60670
325	12.98431	77.60676
326	12.98436	77.60679
327	12.98443	77.60682
328	12.98449	77.60684
329	12.98456	77.60686
330	12.98463	77.60688
331	12.98469	77.60690
332	12.98475	77.60692
333	12.98481	77.60695
334	12.98488	77.60697
335	12.98494	77.60700
336	12.98500	77.60703
337	12.98507	77.60705
338	12.98514	77.60707
339	12.98520	77.60709
340	12.98526	77.60712
341	12.98532	77.60715
342	12.98538	77.60718
343	12.98539	77.60725
344	12.98540	77.60731
345	12.98540	77.60738
346	12.98540	77.60745
347	12.98540	77.60752
348	12.98540	77.60758
349	12.98540	77.60766
350	12.98540	77.60773
351	12.98541	77.60780
352	12.98541	77.60787
353	12.98541	77.60794
354	12.98541	77.60801
355	12.98540	77.60807
356	12.98540	77.60813
357	12.98539	77.60820
358	12.98537	77.60827
359	12.98536	77.60832
360	12.98534	77.60838
361	12.98533	77.60844
362	12.98531	77.60851
363	12.98531	77.60858
364	12.98529	77.60864
365	12.98528	77.60869
366	12.98525	77.60877
367	12.98523	77.60882
368	12.98521	77.60888
369	12.98520	77.60893
370	12.98519	77.60898
371	12.98517	77.60904
372	12.98516	77.60910
373	12.98514	77.60915
374	12.98512	77.60923
375	12.98509	77.60930
376	12.98508	77.60936
377	12.98504	77.60943
378	12.98510	77.60949
379	12.98516	77.60952
380	12.98522	77.60955
381	12.98529	77.60958
382	12.98536	77.60959
383	12.98543	77.60962
384	12.98550	77.60963
385	12.98557	77.60964
386	12.98565	77.60965
387	12.98572	77.60966
388	12.98579	77.60968
389	12.98585	77.60970
390	12.98593	77.60970
391	12.98600	77.60972
392	12.98607	77.60974
393	12.98612	77.60975
394	12.98618	77.60977
395	12.98627	77.60979
396	12.98635	77.60979
397	12.98643	77.60979
398	12.98652	77.60979
399	12.98659	77.60980
400	12.98667	77.60983
401	12.98672	77.60984
402	12.98679	77.60985
403	12.98685	77.60986
404	12.98692	77.60987
405	12.98698	77.60988
406	12.98704	77.60990
407	12.98711	77.60992
408	12.98717	77.60994
409	12.98724	77.60996
410	12.98731	77.60998
411	12.98736	77.60999
412	12.98741	77.61000
413	12.98748	77.61001
414	12.98754	77.61002
415	12.98761	77.61005
416	12.98769	77.61007
417	12.98776	77.61009
418	12.98782	77.61010
419	12.98791	77.61011
420	12.98798	77.61012
421	12.98806	77.61013
422	12.98813	77.61015
423	12.98819	77.61016
424	12.98825	77.61018
425	12.98831	77.61021
426	12.98837	77.61022
427	12.98843	77.61023
428	12.98849	77.61025
429	12.98859	77.61027
430	12.98866	77.61028
431	12.98874	77.61029
432	12.98880	77.61030
433	12.98887	77.61031
434	12.98894	77.61032
435	12.98899	77.61034
436	12.98905	77.61036
437	12.98911	77.61037
438	12.98918	77.61041
439	12.98925	77.61043
440	12.98930	77.61044
441	12.98936	77.61045
442	12.98942	77.61046
443	12.98948	77.61047
444	12.98954	77.61047
445	12.98961	77.61048
446	12.98966	77.61049
447	12.98973	77.61049
448	12.98980	77.61050
449	12.98985	77.61050
450	12.98992	77.61051
451	12.98997	77.61052
452	12.99003	77.61053
453	12.99011	77.61055
454	12.99018	77.61056
455	12.99025	77.61057
456	12.99032	77.61058
457	12.99039	77.61059
458	12.99045	77.61060
459	12.99052	77.61060
460	12.99058	77.61061
461	12.99065	77.61062
462	12.99071	77.61064
463	12.99076	77.61066
464	12.99084	77.61067
465	12.99091	77.61068
466	12.99099	77.61070
467	12.99104	77.61070
468	12.99112	77.61071
469	12.99119	77.61073
470	12.99125	77.61075
