Rank	Latitude	Longitude
1	12.99401	77.59289
2	12.99394	77.59291
3	12.99389	77.59291
4	12.99386	77.59298
5	12.99385	77.59305
6	12.99384	77.59311
7	12.99382	77.59316
8	12.99382	77.59322
9	12.99380	77.59328
10	12.99378	77.59335
11	12.99376	77.59341
12	12.99374	77.59348
13	12.99372	77.59354
14	12.99370	77.59360
15	12.99367	77.59366
16	12.99365	77.59373
17	12.99362	77.59380
18	12.99360	77.59386
19	12.99358	77.59392
20	12.99356	77.59397
21	12.99355	77.59402
22	12.99354	77.59410
23	12.99353	77.59415
24	12.99350	77.59422
25	12.99348	77.59428
26	12.99345	77.59435
27	12.99343	77.59441
28	12.99341	77.59447
29	12.99339	77.59453
30	12.99335	77.59459
31	12.99332	77.59465
32	12.99330	77.59471
33	12.99326	77.59478
34	12.99324	77.59484
35	12.99321	77.59490
36	12.99318	77.59497
37	12.99315	77.59504
38	12.99312	77.59510
39	12.99309	77.59517
40	12.99305	77.59523
41	12.99303	77.59528
42	12.99299	77.59536
43	12.99296	77.59542
44	12.99292	77.59549
45	12.99289	77.59555
46	12.99286	77.59561
47	12.99283	77.59566
48	12.99280	77.59572
49	12.99275	77.59579
50	12.99271	77.59585
51	12.99268	77.59591
52	12.99265	77.59596
53	12.99262	77.59603
54	12.99258	77.59609
55	12.99255	77.59614
56	12.99252	77.59620
57	12.99248	77.59628
58	12.99245	77.59633
59	12.99242	77.59639
60	12.99239	77.59645
61	12.99235	77.59654
62	12.99232	77.59660
63	12.99227	77.59666
64	12.99224	77.59673
65	12.99221	77.59678
66	12.99215	77.59685
67	12.99209	77.59693
68	12.99202	77.59698
69	12.99197	77.59702
70	12.99189	77.59708
71	12.99182	77.59715
72	12.99174	77.59721
73	12.99169	77.59726
74	12.99164	77.59731
75	12.99159	77.59735
76	12.99152	77.59740
77	12.99145	77.59746
78	12.99139	77.59751
79	12.99134	77.59756
80	12.99129	77.59760
81	12.99123	77.59764
82	12.99118	77.59769
83	12.99112	77.59772
84	12.99104	77.59778
85	12.99099	77.59782
86	12.99091	77.59786
87	12.99084	77.59790
88	12.99079	77.59794
89	12.99073	77.59798
90	12.99068	77.59801
91	12.99062	77.59806
92	12.99056	77.59810
93	12.99050	77.59814
94	12.99045	77.59818
95	12.99037	77.59824
96	12.99030	77.59830
97	12.99024	77.59835
98	12.99020	77.59841
99	12.99013	77.59847
100	12.99008	77.59850
101	12.99002	77.59855
102	12.98997	77.59860
103	12.98992	77.59866
104	12.98989	77.59873
105	12.98987	77.59880
106	12.98984	77.59885
107	12.98982	77.59891
108	12.98980	77.59897
109	12.98978	77.59904
110	12.98976	77.59910
111	12.98973	77.59917
112	12.98971	77.59922
113	12.98968	77.59928
114	12.98966	77.59934
115	12.98963	77.59939
