Rank	Latitude	Longitude
1	12.95530	77.70577
2	12.95524	77.70579
3	12.95518	77.70580
4	12.95512	77.70581
5	12.95507	77.70583
6	12.95502	77.70584
7	12.95495	77.70585
8	12.95489	77.70586
9	12.95483	77.70586
10	12.95477	77.70587
11	12.95471	77.70588
12	12.95465	77.70588
13	12.95460	77.70588
14	12.95454	77.70589
15	12.95449	77.70590
16	12.95443	77.70591
17	12.95437	77.70591
18	12.95431	77.70592
19	12.95424	77.70593
20	12.95419	77.70594
21	12.95412	77.70594
22	12.95405	77.70594
23	12.95399	77.70595
24	12.95393	77.70596
25	12.95385	77.70598
26	12.95379	77.70598
27	12.95373	77.70598
28	12.95367	77.70598
29	12.95360	77.70597
30	12.95355	77.70597
31	12.95349	77.70597
32	12.95343	77.70597
33	12.95336	77.70598
34	12.95331	77.70599
35	12.95324	77.70602
36	12.95318	77.70603
37	12.95313	77.70604
38	12.95307	77.70605
39	12.95301	77.70605
40	12.95296	77.70606
41	12.95290	77.70607
42	12.95285	77.70608
43	12.95279	77.70608
44	12.95274	77.70610
45	12.95268	77.70610
46	12.95263	77.70611
47	12.95258	77.70611
48	12.95252	77.70612
49	12.95246	77.70613
50	12.95240	77.70614
51	12.95233	77.70615
52	12.95227	77.70616
53	12.95221	77.70616
54	12.95216	77.70617
55	12.95210	77.70619
56	12.95204	77.70620
57	12.95197	77.70623
58	12.95192	77.70624
59	12.95186	77.70625
60	12.95179	77.70626
61	12.95174	77.70627
62	12.95166	77.70627
63	12.95160	77.70627
64	12.95154	77.70627
65	12.95148	77.70627
66	12.95142	77.70628
67	12.95137	77.70628
68	12.95132	77.70629
69	12.95126	77.70629
70	12.95120	77.70630
71	12.95114	77.70631
72	12.95109	77.70632
73	12.95104	77.70632
74	12.95098	77.70633
75	12.95093	77.70634
76	12.95087	77.70635
77	12.95082	77.70635
78	12.95076	77.70636
79	12.95069	77.70638
80	12.95063	77.70638
81	12.95058	77.70639
82	12.95053	77.70640
