Rank	Latitude	Longitude
1	13.01188	77.66338
2	13.01188	77.66344
3	13.01188	77.66351
4	13.01187	77.66357
5	13.01185	77.66363
6	13.01184	77.66368
7	13.01182	77.66374
8	13.01181	77.66379
9	13.01180	77.66385
10	13.01179	77.66391
11	13.01177	77.66397
12	13.01176	77.66403
13	13.01175	77.66408
14	13.01173	77.66415
15	13.01171	77.66421
16	13.01170	77.66427
17	13.01169	77.66433
18	13.01167	77.66438
19	13.01166	77.66444
20	13.01164	77.66450
21	13.01162	77.66457
22	13.01161	77.66463
23	13.01159	77.66468
24	13.01157	77.66473
25	13.01155	77.66480
26	13.01153	77.66486
27	13.01151	77.66492
28	13.01149	77.66498
29	13.01147	77.66504
30	13.01146	77.66510
31	13.01145	77.66516
32	13.01143	77.66521
33	13.01141	77.66527
34	13.01140	77.66532
35	13.01138	77.66538
36	13.01136	77.66543
37	13.01135	77.66549
38	13.01133	77.66555
39	13.01131	77.66561
40	13.01129	77.66566
41	13.01127	77.66573
42	13.01125	77.66579
43	13.01124	77.66584
44	13.01123	77.66590
45	13.01121	77.66595
46	13.01120	77.66601
47	13.01118	77.66606
48	13.01117	77.66612
49	13.01115	77.66617
50	13.01113	77.66623
51	13.01111	77.66629
52	13.01110	77.66634
53	13.01109	77.66639
54	13.01107	77.66645
55	13.01105	77.66651
56	13.01103	77.66657
57	13.01101	77.66664
58	13.01099	77.66670
59	13.01098	77.66676
60	13.01096	77.66681
61	13.01095	77.66686
62	13.01093	77.66692
63	13.01091	77.66698
64	13.01090	77.66704
65	13.01088	77.66710
66	13.01086	77.66717
67	13.01084	77.66723
68	13.01083	77.66728
69	13.01082	77.66734
70	13.01081	77.66740
71	13.01080	77.66746
72	13.01080	77.66752
73	13.01079	77.66757
74	13.01079	77.66763
75	13.01078	77.66769
76	13.01077	77.66775
77	13.01076	77.66781
78	13.01075	77.66786
79	13.01074	77.66793
80	13.01073	77.66800
81	13.01072	77.66805
82	13.01072	77.66810
83	13.01071	77.66815
84	13.01070	77.66821
85	13.01070	77.66826
86	13.01069	77.66831
87	13.01068	77.66837
88	13.01068	77.66850
89	13.01068	77.66863
90	13.01066	77.66876
91	13.01064	77.66889
92	13.01064	77.66901
93	13.01064	77.66914
94	13.01064	77.66927
95	13.01061	77.66940
96	13.01061	77.66953
97	13.01059	77.66966
98	13.01057	77.66979
99	13.01057	77.66992
100	13.01057	77.67005
101	13.01055	77.67020
102	13.01055	77.67028
103	13.01055	77.67041
104	13.01055	77.67054
105	13.01055	77.67069
106	13.01053	77.67084
107	13.01053	77.67097
108	13.01049	77.67112
109	13.01047	77.67125
110	13.01047	77.67133
111	13.01045	77.67148
112	13.01043	77.67161
113	13.01043	77.67174
114	13.01040	77.67187
115	13.01040	77.67200
116	13.01040	77.67213
117	13.01040	77.67226
118	13.01038	77.67238
119	13.01036	77.67251
120	13.01036	77.67264
121	13.01036	77.67277
122	13.01034	77.67290
123	13.01032	77.67299
124	13.01032	77.67311
125	13.01030	77.67320
126	13.01028	77.67333
127	13.01028	77.67346
128	13.01026	77.67354
129	13.01024	77.67363
130	13.01024	77.67376
131	13.01024	77.67389
132	13.01024	77.67402
133	13.01024	77.67414
134	13.01024	77.67427
135	13.01024	77.67440
136	13.01024	77.67453
137	13.01024	77.67466
138	13.01024	77.67479
139	13.01022	77.67492
140	13.01019	77.67505
141	13.01019	77.67517
142	13.01019	77.67530
143	13.01019	77.67543
144	13.01019	77.67556
145	13.01019	77.67565
146	13.01019	77.67573
147	13.01019	77.67586
148	13.01019	77.67595
149	13.01019	77.67610
150	13.01019	77.67625
151	13.01019	77.67638
152	13.01019	77.67650
153	13.01019	77.67665
154	13.01017	77.67674
155	13.01015	77.67687
156	13.01015	77.67696
157	13.01013	77.67708
158	13.01011	77.67721
159	13.01011	77.67734
160	13.01011	77.67747
161	13.01011	77.67756
162	13.01011	77.67768
163	13.01009	77.67774
164	13.01015	77.67776
165	13.01023	77.67778
166	13.01029	77.67779
167	13.01036	77.67782
168	13.01043	77.67783
169	13.01049	77.67786
170	13.01056	77.67790
171	13.01062	77.67792
172	13.01068	77.67794
173	13.01076	77.67799
174	13.01082	77.67803
175	13.01089	77.67806
176	13.01096	77.67809
