Rank	Latitude	Longitude
1	13.00965	77.68180
2	13.00958	77.68180
3	13.00949	77.68180
4	13.00942	77.68181
5	13.00934	77.68182
6	13.00928	77.68183
7	13.00921	77.68185
8	13.00913	77.68185
9	13.00906	77.68186
10	13.00898	77.68187
11	13.00890	77.68187
12	13.00882	77.68187
13	13.00878	77.68181
14	13.00876	77.68175
15	13.00872	77.68170
16	13.00866	77.68161
17	13.00862	77.68156
18	13.00858	77.68150
19	13.00855	77.68144
20	13.00850	77.68138
21	13.00847	77.68133
22	13.00843	77.68127
23	13.00839	77.68120
24	13.00837	77.68114
25	13.00835	77.68108
26	13.00833	77.68102
27	13.00830	77.68097
28	13.00826	77.68089
29	13.00823	77.68084
30	13.00816	77.68082
31	13.00810	77.68078
32	13.00805	77.68075
33	13.00799	77.68070
34	13.00797	77.68064
35	13.00797	77.68058
36	13.00798	77.68053
37	13.00800	77.68047
38	13.00801	77.68041
39	13.00803	77.68035
40	13.00805	77.68030
41	13.00808	77.68024
42	13.00810	77.68018
43	13.00813	77.68013
44	13.00812	77.68007
45	13.00811	77.68001
46	13.00809	77.67995
47	13.00807	77.67988
48	13.00805	77.67982
49	13.00803	77.67976
50	13.00801	77.67970
51	13.00799	77.67964
52	13.00797	77.67959
53	13.00796	77.67954
54	13.00795	77.67948
55	13.00794	77.67943
56	13.00792	77.67936
57	13.00791	77.67930
58	13.00789	77.67924
59	13.00788	77.67919
60	13.00786	77.67912
61	13.00785	77.67906
62	13.00782	77.67900
63	13.00778	77.67895
64	13.00773	77.67889
65	13.00769	77.67884
66	13.00766	77.67878
67	13.00763	77.67873
68	13.00761	77.67866
69	13.00760	77.67861
70	13.00760	77.67854
71	13.00760	77.67848
72	13.00762	77.67843
73	13.00765	77.67837
74	13.00768	77.67830
75	13.00773	77.67825
76	13.00779	77.67822
77	13.00785	77.67820
78	13.00790	77.67818
79	13.00795	77.67817
80	13.00801	77.67816
81	13.00806	77.67814
82	13.00812	77.67813
83	13.00817	77.67812
84	13.00823	77.67811
85	13.00828	77.67810
86	13.00834	77.67809
87	13.00839	77.67807
88	13.00845	77.67806
89	13.00850	77.67805
90	13.00855	77.67803
91	13.00862	77.67801
92	13.00868	77.67800
93	13.00873	77.67799
94	13.00880	77.67799
95	13.00886	77.67799
96	13.00893	77.67799
97	13.00899	77.67798
98	13.00904	77.67798
99	13.00910	77.67797
100	13.00917	77.67796
101	13.00922	77.67795
102	13.00928	77.67796
103	13.00933	77.67796
104	13.00939	77.67795
105	13.00944	77.67791
106	13.00949	77.67788
107	13.00954	77.67783
108	13.00951	77.67777
109	13.00945	77.67777
110	13.00939	77.67776
111	13.00934	77.67774
112	13.00929	77.67773
113	13.00923	77.67771
114	13.00918	77.67770
115	13.00913	77.67769
116	13.00908	77.67768
117	13.00902	77.67768
118	13.00896	77.67767
119	13.00891	77.67766
120	13.00885	77.67764
121	13.00879	77.67764
122	13.00874	77.67762
123	13.00868	77.67761
124	13.00862	77.67759
125	13.00856	77.67758
126	13.00850	77.67757
127	13.00844	77.67756
128	13.00838	77.67754
129	13.00832	77.67752
130	13.00826	77.67750
131	13.00819	77.67748
132	13.00813	77.67746
133	13.00807	77.67744
134	13.00801	77.67742
135	13.00795	77.67740
136	13.00790	77.67738
137	13.00783	77.67735
138	13.00777	77.67732
139	13.00770	77.67730
140	13.00764	77.67728
141	13.00758	77.67727
142	13.00752	77.67725
143	13.00746	77.67723
144	13.00739	77.67723
145	13.00732	77.67723
146	13.00727	77.67724
147	13.00721	77.67725
148	13.00716	77.67725
149	13.00710	77.67725
150	13.00704	77.67724
151	13.00697	77.67722
152	13.00691	77.67719
153	13.00685	77.67716
154	13.00679	77.67713
155	13.00674	77.67708
156	13.00671	77.67703
157	13.00673	77.67697
158	13.00676	77.67691
159	13.00679	77.67686
160	13.00682	77.67680
161	13.00685	77.67675
162	13.00688	77.67669
