Rank	Latitude	Longitude
1	13.08110	77.64972
2	13.08102	77.64972
3	13.08096	77.64973
4	13.08091	77.64974
5	13.08086	77.64975
6	13.08077	77.64975
7	13.08072	77.64977
8	13.08065	77.64979
9	13.08057	77.64980
10	13.08051	77.64981
11	13.08045	77.64982
12	13.08037	77.64984
13	13.08031	77.64986
14	13.08025	77.64987
15	13.08020	77.64987
16	13.08010	77.64990
17	13.08004	77.64990
18	13.07996	77.64992
19	13.07990	77.64993
20	13.07984	77.64993
21	13.07979	77.64994
22	13.07972	77.64995
23	13.07966	77.64996
24	13.07960	77.64997
25	13.07953	77.64998
26	13.07946	77.65001
27	13.07939	77.65003
28	13.07933	77.65004
29	13.07927	77.65006
30	13.07921	77.65008
31	13.07913	77.65010
32	13.07907	77.65012
33	13.07900	77.65013
34	13.07894	77.65015
35	13.07889	77.65018
36	13.07883	77.65021
37	13.07877	77.65024
38	13.07869	77.65027
39	13.07863	77.65030
40	13.07854	77.65032
41	13.07847	77.65035
42	13.07840	77.65037
43	13.07834	77.65039
44	13.07829	77.65040
45	13.07823	77.65042
46	13.07816	77.65044
47	13.07810	77.65046
48	13.07802	77.65049
49	13.07796	77.65051
50	13.07788	77.65053
51	13.07782	77.65054
52	13.07777	77.65055
53	13.07772	77.65056
54	13.07766	77.65057
55	13.07759	77.65058
56	13.07752	77.65059
57	13.07747	77.65060
58	13.07741	77.65061
59	13.07736	77.65061
60	13.07729	77.65063
61	13.07723	77.65063
62	13.07715	77.65064
63	13.07709	77.65066
64	13.07704	77.65066
65	13.07698	77.65067
66	13.07691	77.65067
67	13.07684	77.65069
68	13.07677	77.65071
69	13.07671	77.65072
70	13.07664	77.65073
71	13.07658	77.65074
72	13.07652	77.65076
73	13.07644	77.65078
74	13.07636	77.65080
75	13.07628	77.65082
76	13.07623	77.65083
77	13.07616	77.65086
78	13.07610	77.65089
79	13.07604	77.65092
80	13.07599	77.65095
81	13.07594	77.65098
82	13.07588	77.65101
83	13.07583	77.65104
84	13.07576	77.65106
85	13.07571	77.65107
86	13.07566	77.65110
87	13.07559	77.65112
88	13.07553	77.65115
89	13.07547	77.65118
90	13.07539	77.65120
91	13.07533	77.65123
92	13.07526	77.65126
93	13.07521	77.65128
94	13.07516	77.65129
