Rank	Latitude	Longitude
1	12.96084	77.69019
2	12.96090	77.69018
3	12.96096	77.69017
4	12.96102	77.69016
5	12.96109	77.69015
6	12.96115	77.69015
7	12.96122	77.69014
8	12.96127	77.69013
9	12.96133	77.69012
10	12.96138	77.69012
11	12.96143	77.69011
12	12.96149	77.69010
13	12.96155	77.69010
14	12.96161	77.69009
15	12.96167	77.69008
16	12.96173	77.69008
17	12.96179	77.69008
18	12.96185	77.69007
19	12.96191	77.69006
20	12.96197	77.69005
21	12.96203	77.69003
22	12.96208	77.69003
23	12.96214	77.69001
24	12.96220	77.69001
25	12.96226	77.69000
26	12.96232	77.69000
27	12.96237	77.68999
28	12.96245	77.68998
29	12.96251	77.68997
30	12.96258	77.68996
31	12.96265	77.68995
32	12.96271	77.68994
33	12.96276	77.68994
34	12.96282	77.68993
35	12.96287	77.68992
36	12.96294	77.68991
37	12.96301	77.68990
38	12.96307	77.68989
39	12.96313	77.68988
40	12.96318	77.68986
41	12.96324	77.68985
42	12.96329	77.68985
43	12.96334	77.68984
44	12.96340	77.68983
45	12.96346	77.68983
46	12.96352	77.68983
47	12.96357	77.68983
48	12.96364	77.68982
49	12.96370	77.68982
50	12.96376	77.68982
51	12.96382	77.68982
52	12.96388	77.68982
53	12.96393	77.68983
54	12.96400	77.68983
55	12.96406	77.68983
56	12.96412	77.68983
57	12.96418	77.68982
58	12.96424	77.68982
59	12.96430	77.68981
60	12.96436	77.68981
61	12.96443	77.68981
62	12.96450	77.68981
63	12.96455	77.68981
64	12.96460	77.68980
65	12.96466	77.68980
66	12.96472	77.68979
67	12.96478	77.68979
68	12.96484	77.68979
69	12.96492	77.68979
70	12.96497	77.68978
71	12.96502	77.68977
72	12.96508	77.68976
73	12.96514	77.68973
74	12.96519	77.68969
75	12.96525	77.68965
76	12.96530	77.68962
77	12.96535	77.68959
78	12.96541	77.68957
79	12.96547	77.68952
80	12.96553	77.68946
81	12.96558	77.68942
82	12.96564	77.68937
83	12.96570	77.68933
84	12.96577	77.68930
85	12.96582	77.68928
86	12.96589	77.68926
87	12.96595	77.68925
88	12.96600	77.68924
89	12.96605	77.68924
90	12.96611	77.68923
91	12.96618	77.68922
92	12.96624	77.68921
93	12.96630	77.68920
94	12.96635	77.68920
95	12.96643	77.68920
96	12.96649	77.68920
97	12.96655	77.68920
98	12.96661	77.68921
99	12.96667	77.68922
100	12.96674	77.68922
101	12.96679	77.68922
102	12.96685	77.68922
103	12.96691	77.68922
104	12.96697	77.68921
105	12.96703	77.68920
106	12.96708	77.68919
107	12.96714	77.68918
108	12.96721	77.68918
109	12.96727	77.68917
110	12.96732	77.68916
111	12.96738	77.68917
112	12.96743	77.68916
113	12.96746	77.68911
114	12.96748	77.68904
115	12.96749	77.68899
116	12.96755	77.68894
117	12.96762	77.68894
118	12.96768	77.68894
119	12.96774	77.68894
120	12.96774	77.68888
121	12.96775	77.68882
122	12.96776	77.68876
123	12.96777	77.68870
124	12.96778	77.68864
125	12.96780	77.68858
126	12.96781	77.68852
127	12.96783	77.68846
128	12.96784	77.68841
129	12.96785	77.68835
130	12.96785	77.68829
131	12.96786	77.68822
132	12.96789	77.68816
133	12.96790	77.68810
134	12.96792	77.68805
135	12.96793	77.68799
136	12.96795	77.68794
137	12.96797	77.68789
138	12.96799	77.68783
139	12.96802	77.68777
140	12.96804	77.68772
141	12.96807	77.68766
142	12.96811	77.68760
143	12.96814	77.68755
144	12.96819	77.68749
145	12.96824	77.68745
146	12.96830	77.68745
147	12.96836	77.68747
148	12.96842	77.68749
149	12.96845	77.68743
150	12.96847	77.68737
151	12.96850	77.68732
152	12.96856	77.68728
153	12.96862	77.68725
154	12.96867	77.68725
155	12.96873	77.68723
156	12.96879	77.68723
157	12.96884	77.68724
158	12.96890	77.68725
159	12.96896	77.68727
160	12.96901	77.68729
161	12.96908	77.68731
162	12.96913	77.68733
163	12.96918	77.68735
164	12.96924	77.68736
165	12.96929	77.68738
166	12.96935	77.68739
167	12.96941	77.68741
168	12.96946	77.68743
169	12.96953	77.68745
170	12.96958	77.68747
171	12.96964	77.68749
172	12.96970	77.68751
173	12.96977	77.68753
174	12.96982	77.68756
175	12.96987	77.68758
176	12.96993	77.68761
177	12.96999	77.68762
178	12.97006	77.68765
179	12.97011	77.68767
180	12.97018	77.68770
181	12.97024	77.68772
182	12.97029	77.68773
183	12.97036	77.68776
184	12.97041	77.68778
185	12.97047	77.68780
186	12.97052	77.68782
187	12.97057	77.68784
188	12.97063	77.68784
189	12.97069	77.68785
190	12.97075	77.68786
191	12.97081	77.68786
192	12.97087	77.68789
193	12.97093	77.68792
194	12.97098	77.68792
195	12.97104	77.68793
196	12.97110	77.68793
197	12.97116	77.68794
198	12.97122	77.68794
199	12.97128	77.68794
200	12.97135	77.68794
201	12.97141	77.68795
202	12.97148	77.68795
203	12.97153	77.68795
204	12.97159	77.68795
205	12.97165	77.68795
206	12.97172	77.68795
207	12.97178	77.68796
208	12.97183	77.68797
209	12.97189	77.68794
210	12.97195	77.68788
211	12.97199	77.68782
212	12.97203	77.68776
213	12.97207	77.68770
214	12.97210	77.68765
215	12.97214	77.68759
216	12.97217	77.68753
217	12.97220	77.68747
218	12.97224	77.68741
219	12.97229	77.68736
220	12.97234	77.68729
221	12.97238	77.68724
222	12.97243	77.68719
223	12.97248	77.68714
224	12.97253	77.68710
225	12.97259	77.68706
226	12.97265	77.68702
227	12.97271	77.68699
228	12.97277	77.68696
229	12.97282	77.68693
230	12.97288	77.68690
231	12.97294	77.68686
232	12.97301	77.68680
233	12.97307	77.68675
234	12.97312	77.68670
235	12.97318	77.68664
236	12.97323	77.68660
237	12.97328	77.68657
238	12.97334	77.68652
239	12.97339	77.68645
240	12.97344	77.68640
241	12.97348	77.68633
242	12.97350	77.68628
243	12.97353	77.68623
244	12.97356	77.68617
245	12.97360	77.68612
246	12.97364	77.68606
247	12.97367	77.68601
248	12.97372	77.68595
249	12.97375	77.68590
250	12.97377	77.68585
251	12.97379	77.68578
252	12.97380	77.68571
253	12.97384	77.68566
254	12.97389	77.68561
255	12.97395	77.68556
256	12.97400	77.68553
257	12.97406	77.68550
258	12.97412	77.68549
259	12.97418	77.68547
260	12.97424	77.68545
261	12.97430	77.68544
262	12.97435	77.68543
263	12.97441	77.68542
264	12.97447	77.68542
265	12.97454	77.68541
266	12.97460	77.68540
267	12.97466	77.68539
268	12.97471	77.68539
269	12.97477	77.68538
270	12.97483	77.68538
271	12.97489	77.68538
272	12.97494	77.68536
273	12.97500	77.68536
274	12.97506	77.68537
275	12.97511	77.68538
276	12.97516	77.68539
277	12.97523	77.68541
278	12.97530	77.68541
279	12.97535	77.68542
280	12.97541	77.68545
281	12.97548	77.68548
282	12.97554	77.68549
283	12.97560	77.68550
284	12.97566	77.68551
285	12.97572	77.68553
286	12.97578	77.68554
287	12.97583	77.68556
288	12.97588	77.68557
289	12.97594	77.68559
290	12.97601	77.68561
291	12.97606	77.68563
292	12.97611	77.68564
293	12.97616	77.68568
294	12.97622	77.68574
295	12.97626	77.68579
296	12.97631	77.68586
297	12.97637	77.68592
298	12.97641	77.68597
299	12.97645	77.68603
300	12.97650	77.68609
301	12.97654	77.68614
302	12.97659	77.68619
303	12.97665	77.68625
304	12.97669	77.68630
305	12.97675	77.68637
306	12.97679	77.68642
307	12.97684	77.68648
308	12.97689	77.68654
309	12.97694	77.68660
310	12.97698	77.68665
311	12.97704	77.68672
312	12.97709	77.68677
313	12.97713	77.68683
314	12.97719	77.68689
315	12.97723	77.68695
316	12.97728	77.68700
317	12.97732	77.68705
318	12.97737	77.68710
319	12.97741	77.68715
320	12.97745	77.68722
321	12.97749	77.68727
322	12.97753	77.68733
323	12.97756	77.68738
324	12.97759	77.68744
325	12.97763	77.68749
326	12.97766	77.68754
327	12.97768	77.68759
328	12.97771	77.68765
329	12.97775	77.68770
330	12.97779	77.68776
331	12.97783	77.68781
332	12.97787	77.68787
333	12.97791	77.68794
334	12.97794	77.68799
335	12.97797	77.68804
336	12.97802	77.68810
337	12.97806	77.68816
338	12.97808	77.68821
339	12.97805	77.68827
340	12.97802	77.68833
341	12.97799	77.68839
342	12.97796	77.68845
343	12.97793	77.68850
344	12.97790	77.68856
345	12.97787	77.68862
346	12.97784	77.68868
347	12.97781	77.68873
348	12.97778	77.68879
349	12.97776	77.68885
350	12.97772	77.68891
351	12.97769	77.68897
352	12.97766	77.68902
353	12.97763	77.68907
354	12.97759	77.68914
355	12.97756	77.68919
356	12.97753	77.68924
357	12.97750	77.68930
358	12.97746	77.68936
359	12.97742	77.68941
360	12.97739	77.68947
361	12.97736	77.68953
362	12.97733	77.68958
363	12.97729	77.68965
364	12.97727	77.68971
365	12.97733	77.68975
366	12.97738	77.68978
367	12.97745	77.68982
368	12.97751	77.68985
369	12.97757	77.68988
370	12.97763	77.68991
371	12.97769	77.68995
372	12.97776	77.68998
373	12.97781	77.69001
374	12.97787	77.69005
375	12.97793	77.69007
376	12.97799	77.69010
377	12.97805	77.69013
378	12.97810	77.69016
379	12.97816	77.69019
380	12.97823	77.69022
381	12.97829	77.69025
382	12.97835	77.69029
383	12.97841	77.69032
384	12.97847	77.69035
385	12.97852	77.69038
386	12.97858	77.69042
387	12.97864	77.69045
388	12.97870	77.69048
389	12.97876	77.69052
390	12.97882	77.69055
391	12.97887	77.69058
392	12.97894	77.69061
393	12.97900	77.69064
394	12.97905	77.69066
395	12.97911	77.69068
396	12.97917	77.69071
397	12.97923	77.69074
398	12.97930	77.69077
399	12.97935	77.69078
400	12.97941	77.69080
401	12.97947	77.69082
402	12.97953	77.69083
403	12.97958	77.69085
404	12.97964	77.69086
405	12.97970	77.69088
406	12.97976	77.69089
407	12.97983	77.69091
408	12.97990	77.69093
409	12.97996	77.69095
410	12.98002	77.69097
411	12.98008	77.69099
412	12.98013	77.69100
413	12.98018	77.69102
414	12.98024	77.69104
415	12.98030	77.69106
416	12.98037	77.69110
417	12.98043	77.69115
418	12.98047	77.69120
419	12.98049	77.69126
420	12.98049	77.69131
421	12.98049	77.69137
422	12.98048	77.69143
423	12.98046	77.69148
424	12.98045	77.69154
425	12.98045	77.69159
426	12.98043	77.69165
427	12.98043	77.69171
428	12.98041	77.69176
429	12.98040	77.69183
430	12.98039	77.69190
431	12.98039	77.69196
432	12.98037	77.69201
433	12.98036	77.69206
434	12.98035	77.69212
435	12.98035	77.69217
436	12.98035	77.69223
437	12.98035	77.69228
438	12.98038	77.69234
439	12.98041	77.69240
440	12.98044	77.69246
441	12.98047	77.69252
442	12.98049	77.69258
443	12.98050	77.69264
444	12.98049	77.69270
445	12.98048	77.69276
446	12.98047	77.69281
447	12.98045	77.69287
448	12.98044	77.69293
449	12.98043	77.69298
450	12.98043	77.69305
451	12.98043	77.69311
452	12.98043	77.69317
453	12.98044	77.69322
454	12.98046	77.69328
455	12.98048	77.69334
456	12.98049	77.69340
457	12.98050	77.69346
458	12.98051	77.69353
459	12.98051	77.69360
460	12.98051	77.69365
461	12.98052	77.69371
462	12.98052	77.69376
463	12.98053	77.69383
464	12.98054	77.69389
465	12.98054	77.69395
466	12.98054	77.69402
467	12.98054	77.69407
468	12.98054	77.69413
469	12.98054	77.69419
470	12.98053	77.69424
471	12.98052	77.69430
472	12.98046	77.69433
473	12.98041	77.69436
474	12.98035	77.69440
475	12.98029	77.69444
476	12.98023	77.69448
477	12.98017	77.69453
478	12.98011	77.69457
479	12.98005	77.69461
480	12.98009	77.69467
481	12.98011	77.69473
482	12.98015	77.69479
483	12.98016	77.69485
484	12.98016	77.69490
485	12.98016	77.69496
486	12.98016	77.69503
487	12.98016	77.69508
488	12.98016	77.69514
489	12.98017	77.69519
490	12.98018	77.69525
491	12.98018	77.69530
492	12.98018	77.69536
493	12.98017	77.69542
494	12.98011	77.69548
495	12.98005	77.69553
496	12.98002	77.69559
497	12.98001	77.69564
498	12.98000	77.69570
499	12.98000	77.69577
500	12.98000	77.69582
501	12.97999	77.69588
502	12.97999	77.69595
503	12.97998	77.69601
504	12.97998	77.69606
505	12.97998	77.69612
506	12.97997	77.69617
507	12.97997	77.69623
508	12.97997	77.69628
509	12.97998	77.69634
510	12.98004	77.69635
511	12.98010	77.69636
512	12.98015	77.69637
513	12.98022	77.69639
514	12.98028	77.69640
515	12.98034	77.69642
516	12.98040	77.69644
517	12.98046	77.69648
518	12.98052	77.69651
519	12.98058	77.69654
520	12.98065	77.69657
521	12.98071	77.69660
522	12.98077	77.69663
523	12.98083	77.69667
524	12.98089	77.69670
525	12.98095	77.69672
526	12.98100	77.69675
527	12.98107	77.69677
528	12.98112	77.69677
529	12.98118	77.69678
530	12.98125	77.69679
531	12.98130	77.69680
532	12.98136	77.69682
533	12.98141	77.69683
534	12.98147	77.69684
535	12.98152	77.69685
536	12.98159	77.69685
537	12.98164	77.69686
538	12.98169	77.69687
539	12.98176	77.69687
540	12.98182	77.69687
541	12.98188	77.69688
542	12.98193	77.69688
543	12.98199	77.69688
544	12.98204	77.69688
545	12.98210	77.69689
546	12.98216	77.69690
547	12.98221	77.69690
548	12.98227	77.69690
549	12.98233	77.69690
550	12.98238	77.69690
551	12.98243	77.69691
552	12.98248	77.69692
553	12.98254	77.69692
554	12.98261	77.69693
555	12.98267	77.69694
556	12.98273	77.69695
557	12.98278	77.69696
558	12.98285	77.69696
559	12.98291	77.69696
560	12.98296	77.69696
561	12.98302	77.69695
562	12.98307	77.69695
563	12.98313	77.69695
564	12.98319	77.69694
565	12.98325	77.69694
566	12.98330	77.69695
567	12.98336	77.69695
568	12.98342	77.69695
569	12.98348	77.69696
570	12.98353	77.69696
571	12.98359	77.69697
572	12.98366	77.69697
573	12.98372	77.69698
574	12.98378	77.69698
575	12.98384	77.69699
576	12.98389	77.69699
577	12.98396	77.69699
578	12.98401	77.69699
579	12.98406	77.69699
580	12.98413	77.69699
581	12.98419	77.69700
582	12.98425	77.69701
583	12.98431	77.69701
584	12.98437	77.69702
585	12.98443	77.69702
586	12.98448	77.69702
587	12.98454	77.69702
588	12.98461	77.69702
589	12.98466	77.69701
590	12.98472	77.69701
591	12.98478	77.69701
592	12.98484	77.69702
593	12.98489	77.69702
594	12.98495	77.69701
595	12.98500	77.69700
596	12.98506	77.69699
597	12.98512	77.69698
598	12.98519	77.69697
599	12.98524	77.69697
600	12.98529	77.69696
601	12.98535	77.69696
602	12.98540	77.69696
603	12.98547	77.69696
604	12.98553	77.69696
605	12.98559	77.69695
606	12.98565	77.69695
607	12.98570	77.69694
608	12.98576	77.69693
609	12.98581	77.69692
610	12.98587	77.69692
611	12.98593	77.69691
612	12.98599	77.69691
613	12.98604	77.69691
614	12.98610	77.69691
615	12.98615	77.69691
616	12.98621	77.69690
617	12.98627	77.69689
618	12.98633	77.69689
619	12.98639	77.69688
620	12.98645	77.69687
621	12.98651	77.69687
622	12.98656	77.69687
623	12.98663	77.69686
624	12.98668	77.69685
625	12.98673	77.69684
626	12.98679	77.69684
627	12.98686	77.69684
628	12.98692	77.69684
629	12.98699	77.69684
630	12.98705	77.69684
631	12.98710	77.69684
632	12.98716	77.69683
633	12.98722	77.69682
634	12.98728	77.69680
635	12.98734	77.69679
636	12.98741	77.69678
637	12.98747	77.69677
638	12.98753	77.69676
639	12.98759	77.69676
640	12.98764	77.69675
641	12.98769	77.69676
642	12.98775	77.69675
643	12.98781	77.69674
644	12.98786	77.69674
645	12.98792	77.69673
646	12.98799	77.69673
647	12.98805	77.69673
648	12.98811	77.69672
649	12.98817	77.69672
650	12.98822	77.69672
651	12.98828	77.69672
652	12.98835	77.69672
653	12.98841	77.69672
654	12.98846	77.69672
655	12.98852	77.69671
656	12.98857	77.69670
657	12.98863	77.69670
658	12.98869	77.69670
659	12.98875	77.69670
660	12.98881	77.69669
661	12.98888	77.69669
662	12.98893	77.69663
663	12.98894	77.69658
664	12.98895	77.69652
665	12.98896	77.69647
666	12.98897	77.69642
667	12.98897	77.69636
668	12.98898	77.69631
669	12.98898	77.69626
670	12.98897	77.69619
671	12.98897	77.69614
672	12.98897	77.69608
673	12.98896	77.69603
674	12.98896	77.69597
675	12.98896	77.69592
676	12.98895	77.69586
677	12.98895	77.69581
678	12.98894	77.69576
679	12.98893	77.69570
680	12.98893	77.69564
681	12.98893	77.69558
682	12.98894	77.69553
683	12.98894	77.69547
684	12.98895	77.69542
685	12.98896	77.69536
686	12.98896	77.69530
687	12.98896	77.69524
688	12.98896	77.69518
689	12.98896	77.69513
690	12.98896	77.69508
691	12.98896	77.69502
692	12.98896	77.69496
693	12.98896	77.69491
694	12.98897	77.69485
695	12.98900	77.69479
696	12.98902	77.69474
697	12.98904	77.69469
698	12.98906	77.69464
699	12.98908	77.69457
700	12.98911	77.69451
701	12.98913	77.69445
702	12.98916	77.69439
703	12.98919	77.69432
704	12.98921	77.69427
705	12.98924	77.69421
706	12.98927	77.69415
707	12.98929	77.69410
708	12.98932	77.69405
709	12.98935	77.69398
710	12.98937	77.69393
711	12.98940	77.69388
712	12.98943	77.69383
713	12.98946	77.69377
714	12.98949	77.69371
715	12.98952	77.69365
716	12.98954	77.69360
717	12.98957	77.69355
718	12.98959	77.69349
719	12.98962	77.69343
720	12.98965	77.69336
721	12.98967	77.69331
722	12.98969	77.69325
723	12.98972	77.69319
724	12.98975	77.69313
725	12.98978	77.69306
726	12.98982	77.69300
727	12.98985	77.69295
728	12.98987	77.69289
729	12.98990	77.69283
730	12.98992	77.69277
731	12.98994	77.69272
732	12.98996	77.69265
733	12.98998	77.69259
734	12.98999	77.69253
735	12.99002	77.69247
736	12.99004	77.69241
737	12.99007	77.69235
738	12.99010	77.69229
739	12.99012	77.69224
740	12.99013	77.69218
741	12.99015	77.69212
742	12.99017	77.69205
743	12.99019	77.69199
744	12.99022	77.69193
745	12.99025	77.69187
746	12.99027	77.69182
747	12.99028	77.69177
748	12.99028	77.69171
749	12.99028	77.69165
750	12.99028	77.69160
751	12.99027	77.69155
752	12.99027	77.69150
753	12.99027	77.69144
