Rank	Latitude	Longitude
1	12.99068	77.68962
2	12.99073	77.68967
3	12.99080	77.68971
4	12.99086	77.68974
5	12.99092	77.68977
6	12.99098	77.68980
7	12.99104	77.68983
8	12.99110	77.68988
9	12.99116	77.68991
10	12.99121	77.68993
11	12.99127	77.68996
12	12.99132	77.68998
13	12.99138	77.69000
14	12.99144	77.69002
15	12.99150	77.69005
16	12.99156	77.69007
17	12.99162	77.69009
18	12.99167	77.69009
19	12.99175	77.69010
20	12.99181	77.69011
21	12.99187	77.69012
22	12.99193	77.69014
23	12.99199	77.69016
24	12.99205	77.69017
25	12.99211	77.69020
26	12.99216	77.69022
27	12.99222	77.69024
28	12.99229	77.69028
29	12.99234	77.69031
30	12.99241	77.69034
31	12.99248	77.69035
32	12.99255	77.69038
33	12.99261	77.69040
34	12.99268	77.69043
35	12.99274	77.69045
36	12.99280	77.69048
37	12.99286	77.69050
38	12.99292	77.69052
39	12.99298	77.69054
40	12.99303	77.69057
41	12.99310	77.69060
42	12.99316	77.69063
43	12.99322	77.69066
44	12.99327	77.69067
45	12.99334	77.69070
46	12.99340	77.69072
47	12.99347	77.69075
48	12.99353	77.69077
49	12.99359	77.69078
50	12.99364	77.69081
51	12.99370	77.69084
52	12.99376	77.69087
53	12.99383	77.69090
54	12.99388	77.69091
55	12.99394	77.69093
56	12.99399	77.69094
57	12.99405	77.69097
58	12.99411	77.69099
59	12.99417	77.69102
60	12.99423	77.69105
61	12.99429	77.69109
62	12.99435	77.69112
63	12.99440	77.69115
64	12.99446	77.69119
65	12.99453	77.69122
66	12.99459	77.69125
67	12.99464	77.69129
68	12.99470	77.69133
69	12.99476	77.69136
70	12.99481	77.69140
71	12.99486	77.69143
72	12.99492	77.69146
73	12.99498	77.69149
74	12.99504	77.69152
75	12.99509	77.69154
76	12.99515	77.69156
77	12.99520	77.69158
78	12.99526	77.69160
79	12.99532	77.69162
80	12.99537	77.69165
81	12.99542	77.69166
82	12.99549	77.69168
83	12.99556	77.69170
84	12.99562	77.69173
85	12.99569	77.69174
86	12.99574	77.69177
87	12.99581	77.69179
88	12.99586	77.69180
89	12.99588	77.69185
90	12.99586	77.69191
91	12.99583	77.69197
92	12.99581	77.69203
93	12.99579	77.69208
94	12.99576	77.69214
95	12.99574	77.69219
96	12.99571	77.69224
97	12.99567	77.69230
98	12.99564	77.69237
99	12.99562	77.69243
100	12.99561	77.69248
101	12.99559	77.69255
102	12.99557	77.69261
103	12.99555	77.69267
104	12.99554	77.69272
105	12.99552	77.69278
106	12.99549	77.69283
107	12.99549	77.69288
108	12.99547	77.69294
109	12.99545	77.69299
110	12.99542	77.69305
111	12.99539	77.69311
112	12.99537	77.69316
113	12.99534	77.69321
114	12.99531	77.69326
115	12.99528	77.69332
116	12.99526	77.69338
117	12.99525	77.69343
118	12.99523	77.69349
119	12.99520	77.69354
120	12.99518	77.69360
121	12.99516	77.69365
122	12.99513	77.69371
123	12.99511	77.69376
124	12.99509	77.69382
125	12.99508	77.69388
126	12.99506	77.69393
127	12.99504	77.69399
128	12.99503	77.69405
129	12.99500	77.69410
130	12.99498	77.69416
131	12.99496	77.69421
132	12.99495	77.69427
133	12.99493	77.69432
134	12.99491	77.69438
135	12.99490	77.69444
136	12.99488	77.69450
137	12.99486	77.69456
138	12.99484	77.69461
139	12.99481	77.69467
140	12.99478	77.69473
141	12.99475	77.69480
142	12.99473	77.69485
143	12.99471	77.69491
144	12.99469	77.69496
145	12.99468	77.69501
146	12.99465	77.69507
147	12.99462	77.69513
148	12.99459	77.69519
149	12.99457	77.69524
150	12.99455	77.69529
151	12.99453	77.69535
152	12.99450	77.69541
153	12.99447	77.69547
154	12.99444	77.69553
155	12.99441	77.69559
156	12.99438	77.69564
157	12.99436	77.69571
158	12.99434	77.69576
159	12.99431	77.69582
160	12.99428	77.69588
161	12.99426	77.69594
162	12.99424	77.69600
163	12.99421	77.69605
164	12.99420	77.69611
165	12.99418	77.69616
166	12.99417	77.69622
167	12.99416	77.69628
168	12.99414	77.69633
169	12.99414	77.69639
170	12.99412	77.69644
171	12.99411	77.69650
172	12.99409	77.69656
173	12.99408	77.69662
174	12.99406	77.69667
175	12.99404	77.69672
176	12.99403	77.69679
177	12.99401	77.69685
178	12.99400	77.69691
179	12.99399	77.69698
180	12.99397	77.69704
181	12.99395	77.69710
182	12.99395	77.69716
183	12.99394	77.69722
184	12.99394	77.69727
185	12.99393	77.69733
186	12.99392	77.69739
187	12.99392	77.69744
188	12.99391	77.69749
189	12.99390	77.69755
190	12.99389	77.69761
191	12.99389	77.69766
192	12.99389	77.69772
193	12.99388	77.69777
194	12.99387	77.69783
195	12.99387	77.69789
196	12.99387	77.69795
197	12.99387	77.69800
198	12.99386	77.69805
199	12.99385	77.69811
200	12.99385	77.69817
201	12.99385	77.69822
202	12.99385	77.69828
203	12.99385	77.69834
204	12.99385	77.69839
205	12.99384	77.69845
206	12.99382	77.69851
207	12.99380	77.69858
208	12.99378	77.69863
209	12.99375	77.69869
210	12.99374	77.69875
211	12.99374	77.69881
212	12.99373	77.69887
213	12.99372	77.69893
214	12.99370	77.69899
215	12.99368	77.69905
216	12.99367	77.69910
217	12.99364	77.69916
218	12.99362	77.69921
219	12.99359	77.69926
220	12.99357	77.69933
221	12.99355	77.69939
222	12.99353	77.69944
223	12.99352	77.69949
224	12.99351	77.69955
225	12.99349	77.69961
226	12.99348	77.69966
227	12.99346	77.69971
228	12.99343	77.69977
229	12.99341	77.69983
230	12.99339	77.69988
231	12.99337	77.69994
232	12.99335	77.70000
233	12.99334	77.70005
234	12.99332	77.70011
235	12.99330	77.70016
236	12.99328	77.70022
237	12.99326	77.70027
238	12.99323	77.70034
239	12.99322	77.70039
240	12.99319	77.70046
241	12.99316	77.70052
242	12.99314	77.70058
243	12.99313	77.70064
244	12.99311	77.70069
245	12.99310	77.70075
246	12.99308	77.70080
247	12.99307	77.70086
248	12.99305	77.70092
249	12.99302	77.70097
250	12.99301	77.70104
251	12.99299	77.70109
252	12.99298	77.70115
253	12.99296	77.70121
254	12.99295	77.70127
255	12.99293	77.70133
256	12.99292	77.70138
257	12.99290	77.70144
258	12.99288	77.70150
259	12.99286	77.70156
260	12.99284	77.70162
261	12.99283	77.70169
262	12.99283	77.70174
263	12.99282	77.70180
264	12.99280	77.70186
265	12.99278	77.70192
266	12.99276	77.70198
267	12.99274	77.70204
268	12.99272	77.70209
269	12.99271	77.70214
270	12.99270	77.70220
271	12.99269	77.70226
272	12.99269	77.70233
273	12.99275	77.70238
274	12.99280	77.70238
275	12.99286	77.70238
276	12.99291	77.70238
277	12.99297	77.70239
278	12.99303	77.70239
279	12.99308	77.70240
280	12.99314	77.70240
281	12.99319	77.70241
282	12.99325	77.70242
283	12.99330	77.70243
284	12.99336	77.70243
285	12.99341	77.70244
286	12.99347	77.70244
287	12.99353	77.70245
288	12.99358	77.70245
289	12.99364	77.70244
290	12.99370	77.70244
291	12.99376	77.70245
292	12.99381	77.70246
293	12.99387	77.70247
294	12.99392	77.70248
295	12.99397	77.70249
296	12.99403	77.70249
297	12.99409	77.70249
298	12.99415	77.70250
299	12.99420	77.70250
300	12.99426	77.70250
301	12.99432	77.70250
302	12.99438	77.70251
303	12.99444	77.70251
304	12.99449	77.70252
305	12.99456	77.70253
306	12.99462	77.70254
307	12.99467	77.70255
308	12.99474	77.70255
309	12.99481	77.70256
310	12.99487	77.70257
311	12.99493	77.70258
312	12.99497	77.70264
313	12.99499	77.70270
314	12.99500	77.70276
315	12.99502	77.70282
316	12.99503	77.70287
317	12.99505	77.70292
318	12.99507	77.70298
319	12.99509	77.70304
320	12.99511	77.70310
321	12.99512	77.70316
322	12.99514	77.70321
323	12.99515	77.70327
324	12.99517	77.70332
325	12.99520	77.70338
326	12.99522	77.70343
327	12.99525	77.70349
328	12.99527	77.70354
329	12.99531	77.70360
330	12.99534	77.70366
331	12.99537	77.70372
332	12.99541	77.70377
333	12.99546	77.70383
334	12.99550	77.70389
335	12.99554	77.70394
336	12.99559	77.70400
337	12.99563	77.70406
338	12.99568	77.70411
339	12.99574	77.70416
340	12.99579	77.70421
341	12.99584	77.70427
342	12.99589	77.70432
343	12.99594	77.70438
344	12.99600	77.70444
345	12.99605	77.70449
346	12.99611	77.70454
347	12.99617	77.70459
348	12.99623	77.70465
349	12.99629	77.70470
350	12.99635	77.70475
351	12.99641	77.70478
352	12.99647	77.70481
353	12.99652	77.70485
354	12.99657	77.70489
355	12.99663	77.70492
356	12.99669	77.70495
357	12.99674	77.70500
358	12.99680	77.70504
359	12.99685	77.70507
360	12.99691	77.70511
361	12.99696	77.70515
362	12.99702	77.70517
363	12.99707	77.70520
364	12.99713	77.70521
365	12.99720	77.70520
366	12.99726	77.70520
367	12.99732	77.70521
368	12.99738	77.70521
369	12.99743	77.70522
370	12.99748	77.70523
371	12.99753	77.70524
372	12.99759	77.70526
373	12.99765	77.70527
374	12.99771	77.70528
375	12.99776	77.70529
376	12.99782	77.70530
377	12.99789	77.70530
378	12.99795	77.70532
379	12.99801	77.70532
380	12.99806	77.70532
381	12.99811	77.70531
382	12.99817	77.70531
383	12.99817	77.70536
384	12.99816	77.70541
385	12.99816	77.70547
386	12.99816	77.70553
387	12.99816	77.70559
388	12.99815	77.70565
389	12.99814	77.70571
390	12.99813	77.70577
391	12.99811	77.70582
392	12.99810	77.70587
393	12.99809	77.70593
394	12.99807	77.70599
395	12.99805	77.70605
396	12.99804	77.70611
397	12.99804	77.70616
398	12.99804	77.70621
399	12.99804	77.70627
400	12.99803	77.70633
401	12.99803	77.70638
402	12.99803	77.70644
403	12.99802	77.70649
404	12.99801	77.70654
405	12.99801	77.70660
406	12.99800	77.70666
407	12.99799	77.70672
408	12.99799	77.70677
409	12.99798	77.70683
410	12.99797	77.70689
411	12.99796	77.70694
412	12.99795	77.70700
413	12.99794	77.70706
414	12.99792	77.70712
415	12.99792	77.70717
416	12.99791	77.70722
417	12.99790	77.70728
418	12.99790	77.70734
419	12.99789	77.70740
420	12.99787	77.70746
421	12.99786	77.70751
422	12.99785	77.70757
423	12.99784	77.70762
424	12.99783	77.70768
425	12.99781	77.70773
426	12.99779	77.70779
427	12.99778	77.70784
428	12.99776	77.70790
429	12.99775	77.70795
430	12.99773	77.70802
431	12.99771	77.70808
432	12.99770	77.70814
433	12.99767	77.70820
434	12.99767	77.70825
435	12.99766	77.70830
436	12.99764	77.70837
437	12.99763	77.70842
438	12.99762	77.70848
439	12.99761	77.70853
440	12.99760	77.70859
441	12.99759	77.70865
442	12.99757	77.70871
443	12.99755	77.70876
444	12.99753	77.70882
445	12.99752	77.70887
446	12.99750	77.70892
447	12.99749	77.70897
448	12.99747	77.70904
449	12.99746	77.70909
450	12.99745	77.70915
451	12.99744	77.70921
452	12.99742	77.70927
453	12.99741	77.70933
454	12.99740	77.70939
455	12.99738	77.70945
456	12.99736	77.70950
457	12.99735	77.70955
458	12.99733	77.70961
459	12.99732	77.70966
460	12.99731	77.70972
461	12.99729	77.70978
462	12.99727	77.70983
463	12.99725	77.70989
464	12.99723	77.70995
465	12.99723	77.71000
466	12.99718	77.71003
467	12.99712	77.71001
468	12.99706	77.70999
469	12.99700	77.70996
470	12.99694	77.70994
471	12.99688	77.70993
472	12.99682	77.70991
473	12.99677	77.70989
474	12.99671	77.70986
475	12.99665	77.70983
476	12.99659	77.70980
477	12.99653	77.70975
478	12.99648	77.70971
479	12.99641	77.70967
480	12.99634	77.70964
481	12.99628	77.70962
482	12.99622	77.70960
483	12.99616	77.70959
484	12.99610	77.70956
485	12.99604	77.70954
486	12.99598	77.70952
487	12.99592	77.70950
488	12.99586	77.70947
489	12.99580	77.70944
490	12.99575	77.70942
491	12.99569	77.70940
492	12.99564	77.70937
493	12.99557	77.70934
494	12.99551	77.70931
495	12.99545	77.70927
496	12.99538	77.70922
497	12.99532	77.70917
498	12.99527	77.70913
499	12.99521	77.70908
500	12.99515	77.70903
501	12.99509	77.70897
502	12.99504	77.70893
503	12.99498	77.70887
504	12.99493	77.70881
505	12.99487	77.70876
506	12.99483	77.70871
507	12.99478	77.70865
508	12.99476	77.70860
509	12.99474	77.70854
510	12.99472	77.70847
511	12.99470	77.70841
512	12.99469	77.70835
513	12.99467	77.70829
514	12.99466	77.70823
515	12.99465	77.70818
516	12.99463	77.70813
517	12.99462	77.70807
518	12.99462	77.70802
519	12.99461	77.70796
520	12.99461	77.70790
521	12.99461	77.70783
522	12.99460	77.70778
523	12.99460	77.70772
524	12.99460	77.70766
525	12.99460	77.70760
526	12.99459	77.70754
527	12.99459	77.70748
528	12.99460	77.70742
529	12.99460	77.70737
530	12.99461	77.70732
531	12.99462	77.70726
532	12.99462	77.70720
533	12.99463	77.70714
534	12.99465	77.70708
535	12.99467	77.70703
536	12.99468	77.70697
537	12.99469	77.70692
538	12.99470	77.70686
539	12.99470	77.70680
540	12.99470	77.70674
541	12.99470	77.70669
542	12.99470	77.70664
543	12.99470	77.70659
544	12.99470	77.70653
545	12.99470	77.70648
546	12.99470	77.70642
547	12.99470	77.70636
548	12.99471	77.70630
549	12.99464	77.70627
550	12.99458	77.70624
551	12.99453	77.70623
552	12.99447	77.70622
553	12.99442	77.70622
554	12.99436	77.70620
555	12.99431	77.70620
556	12.99425	77.70618
557	12.99419	77.70617
558	12.99413	77.70617
559	12.99408	77.70616
560	12.99402	77.70615
561	12.99397	77.70614
562	12.99391	77.70613
563	12.99385	77.70612
564	12.99379	77.70611
565	12.99373	77.70611
566	12.99367	77.70609
567	12.99362	77.70608
568	12.99356	77.70606
569	12.99350	77.70605
570	12.99345	77.70604
571	12.99338	77.70603
572	12.99332	77.70602
573	12.99326	77.70602
574	12.99321	77.70601
575	12.99315	77.70600
576	12.99308	77.70599
577	12.99302	77.70599
578	12.99297	77.70599
579	12.99291	77.70598
580	12.99285	77.70597
581	12.99279	77.70596
582	12.99273	77.70595
583	12.99268	77.70595
584	12.99262	77.70594
585	12.99256	77.70593
586	12.99250	77.70593
587	12.99244	77.70592
588	12.99239	77.70592
589	12.99233	77.70591
590	12.99227	77.70591
591	12.99221	77.70591
592	12.99216	77.70590
593	12.99210	77.70589
594	12.99205	77.70587
595	12.99199	77.70585
596	12.99193	77.70583
597	12.99188	77.70583
598	12.99182	77.70582
599	12.99177	77.70581
600	12.99176	77.70586
601	12.99175	77.70592
602	12.99174	77.70597
603	12.99172	77.70603
604	12.99170	77.70609
605	12.99169	77.70615
606	12.99167	77.70620
607	12.99166	77.70626
608	12.99166	77.70631
609	12.99164	77.70637
610	12.99164	77.70644
611	12.99162	77.70650
612	12.99162	77.70657
613	12.99161	77.70663
614	12.99161	77.70669
615	12.99161	77.70676
616	12.99161	77.70681
617	12.99161	77.70686
618	12.99161	77.70693
