Rank	Latitude	Longitude
1	12.97737	77.77863
2	12.97737	77.77856
3	12.97736	77.77850
4	12.97736	77.77844
5	12.97735	77.77839
6	12.97735	77.77833
7	12.97735	77.77827
8	12.97736	77.77820
9	12.97736	77.77814
10	12.97736	77.77807
11	12.97736	77.77801
12	12.97736	77.77795
13	12.97736	77.77788
14	12.97736	77.77783
15	12.97735	77.77777
16	12.97733	77.77771
17	12.97734	77.77765
18	12.97733	77.77760
19	12.97733	77.77755
20	12.97734	77.77750
21	12.97734	77.77744
22	12.97734	77.77739
23	12.97734	77.77733
24	12.97734	77.77726
25	12.97735	77.77720
26	12.97735	77.77714
27	12.97735	77.77708
28	12.97736	77.77703
29	12.97736	77.77697
30	12.97736	77.77692
31	12.97736	77.77686
32	12.97736	77.77680
33	12.97736	77.77673
34	12.97736	77.77667
35	12.97736	77.77661
36	12.97736	77.77655
37	12.97736	77.77649
38	12.97736	77.77644
39	12.97737	77.77637
40	12.97737	77.77631
41	12.97737	77.77625
42	12.97738	77.77619
43	12.97739	77.77612
44	12.97740	77.77605
45	12.97740	77.77600
46	12.97740	77.77594
47	12.97740	77.77588
48	12.97740	77.77583
49	12.97740	77.77577
50	12.97740	77.77572
51	12.97741	77.77565
52	12.97742	77.77558
53	12.97742	77.77551
54	12.97743	77.77545
55	12.97744	77.77539
56	12.97744	77.77534
57	12.97745	77.77527
58	12.97746	77.77521
59	12.97746	77.77516
60	12.97746	77.77510
61	12.97746	77.77504
62	12.97745	77.77498
63	12.97744	77.77492
64	12.97744	77.77487
65	12.97744	77.77481
66	12.97744	77.77475
67	12.97744	77.77469
68	12.97745	77.77463
69	12.97745	77.77457
70	12.97745	77.77452
71	12.97745	77.77446
72	12.97744	77.77441
73	12.97744	77.77435
74	12.97744	77.77430
75	12.97746	77.77424
76	12.97746	77.77419
77	12.97746	77.77413
78	12.97746	77.77407
79	12.97746	77.77401
80	12.97746	77.77396
81	12.97747	77.77390
82	12.97748	77.77384
83	12.97748	77.77378
84	12.97749	77.77373
85	12.97749	77.77367
86	12.97750	77.77362
87	12.97751	77.77356
88	12.97751	77.77350
89	12.97752	77.77343
90	12.97752	77.77338
91	12.97752	77.77332
92	12.97753	77.77326
93	12.97754	77.77321
94	12.97754	77.77316
95	12.97755	77.77310
96	12.97756	77.77304
97	12.97756	77.77299
98	12.97757	77.77292
99	12.97757	77.77287
100	12.97757	77.77280
101	12.97757	77.77275
102	12.97757	77.77269
103	12.97757	77.77263
104	12.97758	77.77257
105	12.97758	77.77252
106	12.97759	77.77245
107	12.97759	77.77240
108	12.97759	77.77234
109	12.97760	77.77228
110	12.97760	77.77223
111	12.97760	77.77218
112	12.97760	77.77212
113	12.97760	77.77205
114	12.97761	77.77199
115	12.97762	77.77192
116	12.97762	77.77186
117	12.97763	77.77179
118	12.97764	77.77173
119	12.97764	77.77167
120	12.97764	77.77161
121	12.97765	77.77155
122	12.97766	77.77149
123	12.97766	77.77144
124	12.97766	77.77138
125	12.97767	77.77133
126	12.97767	77.77127
127	12.97767	77.77120
128	12.97767	77.77114
129	12.97768	77.77107
130	12.97768	77.77102
131	12.97768	77.77096
132	12.97768	77.77091
133	12.97769	77.77086
134	12.97769	77.77080
135	12.97769	77.77075
136	12.97769	77.77070
137	12.97770	77.77064
138	12.97770	77.77058
139	12.97770	77.77053
140	12.97770	77.77047
141	12.97770	77.77042
142	12.97770	77.77037
143	12.97770	77.77031
144	12.97770	77.77026
145	12.97770	77.77018
146	12.97770	77.77013
147	12.97770	77.77006
148	12.97770	77.77000
149	12.97770	77.76994
150	12.97770	77.76988
151	12.97770	77.76982
152	12.97770	77.76977
153	12.97770	77.76971
154	12.97770	77.76966
155	12.97770	77.76959
156	12.97770	77.76954
157	12.97771	77.76947
158	12.97771	77.76941
159	12.97772	77.76934
160	12.97772	77.76929
161	12.97772	77.76923
162	12.97772	77.76917
163	12.97772	77.76911
164	12.97772	77.76905
165	12.97773	77.76898
166	12.97774	77.76892
167	12.97775	77.76886
168	12.97775	77.76880
169	12.97776	77.76875
170	12.97777	77.76869
171	12.97778	77.76863
172	12.97779	77.76857
173	12.97780	77.76852
174	12.97782	77.76847
175	12.97783	77.76841
176	12.97784	77.76836
177	12.97786	77.76830
178	12.97788	77.76825
179	12.97789	77.76820
180	12.97790	77.76814
181	12.97791	77.76809
182	12.97792	77.76804
183	12.97794	77.76797
184	12.97795	77.76792
185	12.97796	77.76786
186	12.97797	77.76780
187	12.97797	77.76774
188	12.97798	77.76769
189	12.97799	77.76762
190	12.97799	77.76757
191	12.97800	77.76751
192	12.97801	77.76746
193	12.97802	77.76739
194	12.97802	77.76734
195	12.97803	77.76728
196	12.97804	77.76722
197	12.97804	77.76716
198	12.97806	77.76709
199	12.97807	77.76703
200	12.97809	77.76697
201	12.97810	77.76692
202	12.97812	77.76686
203	12.97813	77.76681
204	12.97815	77.76676
205	12.97817	77.76670
206	12.97818	77.76664
207	12.97820	77.76659
208	12.97821	77.76654
209	12.97823	77.76648
210	12.97824	77.76642
211	12.97825	77.76637
212	12.97827	77.76631
213	12.97828	77.76626
214	12.97829	77.76620
