Rank	Latitude	Longitude
1	12.97597	77.77975
2	12.97592	77.77976
3	12.97586	77.77977
4	12.97580	77.77977
5	12.97575	77.77978
6	12.97568	77.77979
7	12.97562	77.77979
8	12.97556	77.77979
9	12.97550	77.77978
10	12.97545	77.77976
11	12.97539	77.77973
12	12.97532	77.77970
13	12.97527	77.77968
14	12.97521	77.77966
15	12.97516	77.77964
16	12.97510	77.77961
17	12.97504	77.77956
18	12.97499	77.77950
19	12.97497	77.77944
20	12.97494	77.77939
21	12.97493	77.77933
22	12.97491	77.77928
23	12.97490	77.77922
24	12.97486	77.77912
25	12.97485	77.77906
26	12.97484	77.77901
27	12.97484	77.77895
28	12.97484	77.77889
29	12.97486	77.77884
30	12.97489	77.77878
31	12.97493	77.77873
32	12.97498	77.77868
33	12.97502	77.77862
34	12.97505	77.77857
35	12.97508	77.77852
36	12.97512	77.77846
37	12.97516	77.77841
38	12.97520	77.77836
39	12.97520	77.77831
40	12.97518	77.77824
41	12.97515	77.77818
42	12.97510	77.77812
43	12.97505	77.77808
44	12.97500	77.77802
45	12.97494	77.77797
46	12.97488	77.77792
47	12.97481	77.77788
48	12.97475	77.77785
49	12.97470	77.77783
50	12.97464	77.77781
51	12.97458	77.77780
52	12.97453	77.77779
53	12.97447	77.77779
54	12.97442	77.77780
55	12.97435	77.77782
56	12.97429	77.77781
57	12.97424	77.77777
58	12.97418	77.77773
59	12.97412	77.77768
60	12.97407	77.77765
61	12.97401	77.77759
62	12.97396	77.77755
63	12.97390	77.77751
64	12.97384	77.77747
65	12.97379	77.77743
66	12.97374	77.77739
67	12.97368	77.77735
68	12.97362	77.77732
69	12.97356	77.77731
70	12.97350	77.77729
71	12.97343	77.77727
72	12.97337	77.77725
73	12.97331	77.77724
74	12.97325	77.77725
75	12.97319	77.77728
76	12.97314	77.77734
77	12.97311	77.77739
78	12.97308	77.77746
79	12.97306	77.77751
80	12.97305	77.77756
81	12.97302	77.77762
82	12.97299	77.77768
83	12.97296	77.77774
84	12.97293	77.77779
85	12.97290	77.77784
86	12.97286	77.77790
87	12.97282	77.77796
88	12.97275	77.77802
89	12.97270	77.77806
90	12.97264	77.77811
91	12.97259	77.77815
92	12.97253	77.77820
93	12.97248	77.77825
94	12.97242	77.77830
95	12.97237	77.77835
96	12.97232	77.77841
97	12.97226	77.77847
98	12.97222	77.77853
99	12.97218	77.77859
100	12.97215	77.77864
101	12.97213	77.77870
102	12.97210	77.77875
