Rank	Latitude	Longitude
1	12.95410	77.69091
2	12.95415	77.69090
3	12.95421	77.69089
4	12.95427	77.69089
5	12.95433	77.69090
6	12.95439	77.69090
7	12.95446	77.69090
8	12.95452	77.69090
9	12.95457	77.69090
10	12.95464	77.69090
11	12.95471	77.69090
12	12.95477	77.69089
13	12.95482	77.69090
14	12.95488	77.69090
15	12.95494	77.69089
16	12.95500	77.69089
17	12.95506	77.69088
18	12.95511	77.69088
19	12.95517	77.69087
20	12.95523	77.69087
21	12.95528	77.69086
22	12.95534	77.69086
23	12.95539	77.69085
24	12.95546	77.69085
25	12.95551	77.69086
26	12.95557	77.69086
27	12.95563	77.69087
28	12.95569	77.69088
29	12.95574	77.69088
30	12.95582	77.69089
31	12.95587	77.69090
32	12.95593	77.69091
33	12.95600	77.69092
34	12.95607	77.69092
35	12.95613	77.69092
36	12.95619	77.69093
37	12.95625	77.69093
38	12.95631	77.69094
39	12.95637	77.69094
40	12.95643	77.69094
41	12.95649	77.69095
42	12.95655	77.69095
43	12.95661	77.69095
44	12.95668	77.69095
45	12.95673	77.69096
46	12.95680	77.69096
47	12.95686	77.69097
48	12.95691	77.69097
49	12.95698	77.69098
50	12.95704	77.69098
51	12.95710	77.69098
52	12.95716	77.69098
53	12.95721	77.69098
54	12.95727	77.69098
55	12.95733	77.69098
56	12.95739	77.69098
57	12.95744	77.69097
58	12.95749	77.69097
59	12.95754	77.69096
60	12.95760	77.69096
61	12.95766	77.69095
62	12.95771	77.69095
63	12.95777	77.69095
64	12.95784	77.69095
65	12.95790	77.69096
66	12.95797	77.69096
67	12.95804	77.69096
68	12.95810	77.69096
69	12.95816	77.69096
70	12.95821	77.69096
71	12.95827	77.69096
72	12.95832	77.69096
73	12.95838	77.69096
74	12.95843	77.69096
75	12.95850	77.69096
76	12.95856	77.69096
77	12.95862	77.69096
78	12.95868	77.69096
79	12.95873	77.69096
80	12.95880	77.69096
81	12.95885	77.69096
82	12.95892	77.69096
83	12.95898	77.69096
84	12.95904	77.69096
85	12.95911	77.69095
86	12.95919	77.69094
87	12.95925	77.69094
88	12.95931	77.69093
89	12.95937	77.69092
90	12.95944	77.69091
91	12.95949	77.69090
92	12.95956	77.69089
93	12.95961	77.69089
94	12.95967	77.69089
95	12.95973	77.69089
96	12.95978	77.69088
97	12.95984	77.69086
98	12.95989	77.69085
99	12.95995	77.69082
100	12.96001	77.69080
101	12.96007	77.69076
102	12.96013	77.69074
103	12.96019	77.69072
104	12.96025	77.69071
105	12.96031	77.69069
106	12.96037	77.69067
107	12.96044	77.69065
108	12.96049	77.69063
109	12.96055	77.69062
110	12.96061	77.69060
111	12.96067	77.69057
112	12.96073	77.69055
113	12.96080	77.69053
114	12.96081	77.69047
115	12.96082	77.69040
116	12.96082	77.69034
117	12.96083	77.69029
118	12.96083	77.69023
119	12.96083	77.69017
120	12.96083	77.69011
