Rank	Latitude	Longitude
1	12.92926	77.63502
2	12.92919	77.63499
3	12.92911	77.63494
4	12.92904	77.63488
5	12.92894	77.63485
6	12.92886	77.63481
7	12.92880	77.63479
8	12.92872	77.63475
9	12.92863	77.63471
10	12.92857	77.63469
11	12.92852	77.63468
12	12.92846	77.63467
13	12.92839	77.63466
14	12.92834	77.63458
15	12.92834	77.63452
16	12.92835	77.63446
17	12.92837	77.63439
18	12.92847	77.63429
19	12.92853	77.63427
20	12.92861	77.63425
21	12.92867	77.63425
22	12.92875	77.63425
23	12.92884	77.63424
24	12.92889	77.63424
25	12.92897	77.63423
26	12.92903	77.63423
27	12.92910	77.63421
28	12.92917	77.63420
29	12.92926	77.63418
30	12.92932	77.63415
31	12.92938	77.63413
32	12.92946	77.63411
33	12.92951	77.63407
34	12.92957	77.63405
35	12.92964	77.63403
36	12.92972	77.63402
37	12.92980	77.63400
38	12.92987	77.63397
39	12.92992	77.63394
40	12.92999	77.63384
41	12.93008	77.63376
42	12.93013	77.63372
43	12.93018	77.63367
44	12.93024	77.63363
45	12.93033	77.63355
46	12.93042	77.63347
47	12.93053	77.63338
48	12.93062	77.63330
49	12.93071	77.63321
50	12.93076	77.63315
51	12.93081	77.63308
52	12.93086	77.63303
53	12.93090	77.63297
54	12.93097	77.63289
55	12.93106	77.63279
56	12.93110	77.63273
57	12.93117	77.63264
58	12.93120	77.63259
59	12.93130	77.63249
60	12.93135	77.63245
61	12.93140	77.63241
62	12.93146	77.63236
63	12.93153	77.63228
64	12.93157	77.63222
65	12.93161	77.63217
66	12.93166	77.63211
67	12.93173	77.63203
68	12.93178	77.63200
69	12.93186	77.63190
70	12.93194	77.63182
71	12.93198	77.63176
72	12.93202	77.63171
73	12.93208	77.63168
74	12.93218	77.63159
75	12.93228	77.63150
76	12.93233	77.63146
77	12.93237	77.63141
78	12.93243	77.63138
79	12.93249	77.63133
80	12.93254	77.63128
81	12.93259	77.63125
82	12.93269	77.63117
83	12.93277	77.63109
84	12.93288	77.63100
85	12.93296	77.63090
86	12.93300	77.63085
87	12.93309	77.63075
88	12.93317	77.63066
89	12.93322	77.63058
90	12.93326	77.63053
91	12.93332	77.63047
92	12.93341	77.63039
93	12.93349	77.63030
94	12.93356	77.63025
95	12.93360	77.63020
96	12.93368	77.63011
97	12.93372	77.63006
98	12.93377	77.62999
99	12.93388	77.62991
100	12.93393	77.62985
101	12.93398	77.62981
102	12.93403	77.62978
103	12.93409	77.62973
104	12.93419	77.62965
105	12.93428	77.62956
106	12.93438	77.62947
107	12.93447	77.62938
108	12.93452	77.62935
109	12.93456	77.62929
110	12.93460	77.62924
111	12.93466	77.62918
112	12.93474	77.62907
113	12.93481	77.62899
114	12.93486	77.62893
115	12.93492	77.62885
116	12.93501	77.62878
117	12.93510	77.62870
118	12.93516	77.62865
119	12.93521	77.62861
120	12.93530	77.62853
121	12.93538	77.62845
122	12.93542	77.62839
123	12.93547	77.62834
124	12.93552	77.62830
125	12.93557	77.62824
126	12.93562	77.62820
127	12.93572	77.62811
128	12.93577	77.62807
129	12.93582	77.62804
130	12.93592	77.62800
131	12.93601	77.62792
132	12.93607	77.62788
133	12.93616	77.62780
134	12.93621	77.62776
135	12.93632	77.62767
136	12.93638	77.62764
137	12.93643	77.62760
138	12.93653	77.62756
139	12.93658	77.62752
140	12.93664	77.62749
141	12.93671	77.62746
142	12.93680	77.62742
143	12.93690	77.62736
144	12.93697	77.62733
145	12.93702	77.62730
146	12.93709	77.62728
147	12.93715	77.62723
148	12.93721	77.62720
149	12.93729	77.62716
150	12.93735	77.62713
151	12.93743	77.62708
152	12.93750	77.62704
153	12.93758	77.62701
154	12.93763	77.62698
155	12.93769	77.62694
156	12.93778	77.62689
157	12.93790	77.62685
158	12.93795	77.62682
159	12.93800	77.62678
160	12.93810	77.62673
161	12.93816	77.62671
162	12.93822	77.62668
163	12.93829	77.62663
164	12.93835	77.62660
165	12.93841	77.62656
166	12.93853	77.62646
167	12.93858	77.62642
168	12.93863	77.62638
169	12.93869	77.62634
170	12.93875	77.62630
171	12.93880	77.62626
172	12.93885	77.62621
173	12.93891	77.62618
174	12.93896	77.62614
175	12.93905	77.62606
176	12.93911	77.62602
177	12.93916	77.62598
178	12.93921	77.62595
179	12.93932	77.62587
180	12.93937	77.62582
181	12.93942	77.62577
182	12.93948	77.62573
183	12.93956	77.62565
184	12.93960	77.62559
185	12.93964	77.62554
186	12.93970	77.62549
187	12.93974	77.62542
188	12.93982	77.62533
189	12.93988	77.62529
190	12.93992	77.62524
191	12.94000	77.62515
192	12.94004	77.62509
193	12.94009	77.62503
194	12.94013	77.62497
195	12.94022	77.62486
196	12.94030	77.62479
197	12.94038	77.62470
198	12.94041	77.62465
199	12.94046	77.62459
200	12.94051	77.62454
201	12.94060	77.62445
202	12.94065	77.62440
203	12.94070	77.62435
204	12.94075	77.62432
205	12.94079	77.62426
206	12.94086	77.62419
207	12.94090	77.62413
208	12.94098	77.62405
209	12.94101	77.62399
210	12.94104	77.62394
211	12.94109	77.62389
212	12.94116	77.62381
213	12.94120	77.62376
214	12.94125	77.62369
215	12.94130	77.62364
216	12.94138	77.62355
217	12.94142	77.62349
218	12.94148	77.62345
219	12.94156	77.62335
220	12.94160	77.62330
221	12.94169	77.62320
222	12.94173	77.62315
223	12.94177	77.62309
224	12.94181	77.62304
225	12.94186	77.62297
226	12.94194	77.62288
227	12.94198	77.62282
228	12.94205	77.62273
229	12.94210	77.62267
230	12.94213	77.62261
231	12.94217	77.62256
232	12.94221	77.62250
233	12.94230	77.62241
234	12.94235	77.62236
235	12.94245	77.62228
236	12.94254	77.62219
237	12.94259	77.62215
238	12.94263	77.62209
239	12.94272	77.62200
240	12.94276	77.62194
241	12.94280	77.62189
242	12.94289	77.62179
243	12.94292	77.62174
244	12.94297	77.62168
245	12.94301	77.62161
246	12.94306	77.62155
247	12.94315	77.62145
248	12.94318	77.62140
249	12.94322	77.62134
250	12.94327	77.62127
251	12.94332	77.62121
252	12.94336	77.62116
253	12.94339	77.62111
254	12.94343	77.62103
255	12.94352	77.62094
256	12.94357	77.62086
257	12.94361	77.62081
258	12.94365	77.62075
259	12.94374	77.62065
260	12.94378	77.62058
261	12.94381	77.62052
262	12.94386	77.62046
263	12.94391	77.62040
264	12.94384	77.62035
265	12.94376	77.62031
266	12.94369	77.62028
267	12.94362	77.62025
268	12.94355	77.62022
269	12.94349	77.62020
270	12.94344	77.62019
271	12.94337	77.62017
272	12.94330	77.62015
273	12.94325	77.62013
274	12.94320	77.62012
275	12.94312	77.62010
276	12.94305	77.62008
277	12.94297	77.62006
278	12.94292	77.62005
279	12.94286	77.62003
280	12.94281	77.62002
281	12.94274	77.61999
282	12.94268	77.61998
283	12.94263	77.61997
284	12.94256	77.61996
285	12.94251	77.61995
286	12.94245	77.61994
287	12.94240	77.61993
288	12.94232	77.61990
289	12.94224	77.61988
290	12.94218	77.61987
291	12.94213	77.61986
292	12.94207	77.61983
293	12.94207	77.61977
294	12.94207	77.61971
295	12.94207	77.61964
296	12.94207	77.61957
297	12.94208	77.61950
298	12.94208	77.61943
299	12.94208	77.61937
300	12.94209	77.61930
301	12.94211	77.61924
302	12.94211	77.61917
303	12.94210	77.61911
304	12.94210	77.61905
305	12.94211	77.61898
306	12.94211	77.61892
307	12.94211	77.61885
308	12.94213	77.61879
309	12.94214	77.61873
310	12.94208	77.61872
311	12.94200	77.61871
312	12.94195	77.61869
313	12.94190	77.61868
314	12.94182	77.61864
315	12.94174	77.61862
316	12.94169	77.61861
317	12.94162	77.61857
318	12.94155	77.61857
319	12.94149	77.61857
320	12.94143	77.61857
321	12.94137	77.61857
322	12.94131	77.61856
323	12.94124	77.61856
324	12.94118	77.61856
325	12.94113	77.61856
326	12.94106	77.61854
327	12.94100	77.61853
328	12.94094	77.61852
329	12.94089	77.61852
330	12.94083	77.61852
331	12.94076	77.61852
332	12.94070	77.61852
333	12.94064	77.61852
334	12.94058	77.61851
