Rank	Latitude	Longitude
1	12.91590	77.62380
2	12.91592	77.62387
3	12.91593	77.62394
4	12.91594	77.62400
5	12.91594	77.62407
6	12.91595	77.62414
7	12.91596	77.62422
8	12.91597	77.62428
9	12.91598	77.62436
10	12.91599	77.62442
11	12.91600	77.62447
12	12.91600	77.62453
13	12.91601	77.62460
14	12.91602	77.62466
15	12.91603	77.62472
16	12.91603	77.62478
17	12.91604	77.62485
18	12.91605	77.62491
19	12.91606	77.62499
20	12.91607	77.62506
21	12.91608	77.62512
22	12.91609	77.62517
23	12.91610	77.62524
24	12.91611	77.62529
25	12.91613	77.62537
26	12.91614	77.62543
27	12.91616	77.62550
28	12.91618	77.62558
29	12.91620	77.62565
30	12.91621	77.62571
31	12.91622	77.62576
32	12.91622	77.62583
33	12.91624	77.62591
34	12.91624	77.62597
35	12.91625	77.62603
36	12.91626	77.62610
37	12.91626	77.62617
38	12.91627	77.62625
39	12.91627	77.62632
40	12.91627	77.62640
41	12.91626	77.62648
42	12.91626	77.62654
43	12.91625	77.62662
44	12.91624	77.62669
45	12.91623	77.62677
46	12.91622	77.62683
47	12.91621	77.62689
48	12.91619	77.62697
49	12.91617	77.62705
50	12.91615	77.62710
51	12.91613	77.62716
52	12.91611	77.62722
53	12.91609	77.62727
54	12.91607	77.62733
55	12.91605	77.62738
56	12.91604	77.62744
57	12.91602	77.62750
58	12.91600	77.62757
59	12.91598	77.62764
60	12.91596	77.62771
61	12.91593	77.62779
62	12.91592	77.62785
63	12.91590	77.62792
64	12.91588	77.62797
65	12.91586	77.62804
66	12.91585	77.62810
67	12.91583	77.62817
68	12.91581	77.62826
69	12.91578	77.62835
70	12.91576	77.62841
71	12.91574	77.62847
72	12.91573	77.62854
73	12.91571	77.62861
74	12.91568	77.62869
75	12.91566	77.62875
76	12.91565	77.62881
77	12.91563	77.62888
78	12.91562	77.62893
79	12.91559	77.62902
80	12.91559	77.62907
81	12.91556	77.62914
82	12.91555	77.62920
83	12.91553	77.62926
84	12.91552	77.62932
85	12.91551	77.62938
86	12.91549	77.62943
87	12.91548	77.62950
88	12.91545	77.62957
89	12.91544	77.62962
90	12.91542	77.62968
91	12.91540	77.62975
92	12.91539	77.62981
93	12.91538	77.62988
94	12.91535	77.62994
95	12.91534	77.63002
96	12.91532	77.63009
97	12.91532	77.63016
98	12.91531	77.63021
99	12.91530	77.63027
100	12.91530	77.63032
101	12.91530	77.63038
102	12.91530	77.63045
103	12.91530	77.63052
104	12.91529	77.63058
105	12.91529	77.63066
106	12.91529	77.63072
107	12.91529	77.63078
108	12.91529	77.63084
109	12.91529	77.63090
110	12.91529	77.63097
111	12.91529	77.63106
112	12.91529	77.63112
113	12.91529	77.63119
114	12.91529	77.63126
115	12.91529	77.63132
116	12.91529	77.63139
117	12.91529	77.63145
118	12.91529	77.63151
119	12.91529	77.63157
120	12.91528	77.63163
121	12.91527	77.63169
122	12.91526	77.63174
123	12.91525	77.63182
124	12.91524	77.63187
125	12.91524	77.63193
126	12.91523	77.63199
127	12.91523	77.63207
128	12.91523	77.63214
129	12.91523	77.63221
130	12.91523	77.63227
131	12.91523	77.63236
132	12.91523	77.63244
133	12.91523	77.63251
134	12.91522	77.63257
135	12.91522	77.63263
136	12.91521	77.63269
137	12.91520	77.63276
138	12.91519	77.63281
139	12.91518	77.63287
140	12.91517	77.63294
141	12.91516	77.63301
142	12.91515	77.63308
143	12.91514	77.63315
144	12.91513	77.63324
145	12.91512	77.63331
146	12.91512	77.63338
147	12.91511	77.63345
148	12.91510	77.63351
149	12.91510	77.63358
150	12.91510	77.63364
151	12.91509	77.63370
152	12.91508	77.63378
153	12.91508	77.63385
154	12.91508	77.63391
155	12.91508	77.63397
156	12.91508	77.63403
157	12.91508	77.63409
158	12.91508	77.63415
159	12.91508	77.63421
160	12.91508	77.63427
161	12.91506	77.63434
162	12.91506	77.63440
163	12.91506	77.63445
164	12.91505	77.63451
165	12.91505	77.63457
166	12.91504	77.63463
167	12.91503	77.63469
168	12.91502	77.63476
169	12.91502	77.63482
170	12.91501	77.63489
171	12.91500	77.63497
172	12.91499	77.63502
173	12.91497	77.63508
174	12.91496	77.63514
175	12.91495	77.63519
176	12.91495	77.63526
177	12.91494	77.63533
